Regulator	Target	MI
122_TIE2_(CVD)	164_CTSD_(CVD)	0.1871876702735049
122_TIE2_(CVD)	129_LOX-1_(CVD)	0.2547766103340168
122_TIE2_(CVD)	151_ST2_(CVD)	0.22565229870331827
122_TIE2_(CVD)	miR-192-5p	0.1821924984689698
122_TIE2_(CVD)	144_FAS_(CVD)	0.4813371371039663
122_TIE2_(CVD)	168_CXCL6_(INF)	0.1791031479369316
122_TIE2_(CVD)	194_PECAM-1_(CVD)	0.39486346670675143
122_TIE2_(CVD)	RNY4-5p	0.13449314510766008
148_PTX3_(CVD)	191_CA-125_(CVD)	0.20249954854169516
148_PTX3_(CVD)	179_ESM-1_(CVD)	0.3561660633893293
148_PTX3_(CVD)	120_TRAIL_(INF)	0.18075330316038585
148_PTX3_(CVD)	126_OSM_(INF)	0.12180472086958005
148_PTX3_(CVD)	179_FGF-19_(INF)	0.1755710200118079
148_PTX3_(CVD)	196_CSF-1_(INF)	0.2550334828020109
148_PTX3_(CVD)	miR-324-5p	0.16873842170573372
108_CD244_(INF)	149_IL-10RB_(INF)	0.37125808478361755
108_CD244_(INF)	168_CXCL6_(INF)	0.2782699679576881
108_CD244_(INF)	153_Beta-NGF_(INF)	0.2701024005957402
108_CD244_(INF)	162_IL-10_(INF)	0.20149283148179897
108_CD244_(INF)	137_HSP 27_(CVD)	0.2673345710194486
108_CD244_(INF)	173_GAL_(CVD)	0.11543433936310521
179_ESM-1_(CVD)	148_PTX3_(CVD)	0.3561660633893293
179_ESM-1_(CVD)	miR-145-5p	0.15429679429627186
179_ESM-1_(CVD)	194_PECAM-1_(CVD)	0.2538668914504747
179_ESM-1_(CVD)	107_PlGF_(CVD)	0.20479408887582995
179_ESM-1_(CVD)	126_IL27-A_(CVD)	0.19514057794335304
179_ESM-1_(CVD)	155_TRANCE_(INF)	0.12258232153025794
179_ESM-1_(CVD)	141_FGF-5_(INF)	0.18323385726228825
129_LOX-1_(CVD)	122_TIE2_(CVD)	0.2547766103340159
129_LOX-1_(CVD)	170_CXCL16_(CVD)	0.28721062088532
129_LOX-1_(CVD)	miR-130a-3p	0.14874437855565148
129_LOX-1_(CVD)	114_CSTB_(CVD)	0.4125190034602326
108_SELE_(CVD)	185_CCL25_(INF)	0.23626956329455506
108_SELE_(CVD)	194_PECAM-1_(CVD)	0.3397615400593814
108_SELE_(CVD)	151_IL-18R1_(INF)	0.2082567930967869
108_SELE_(CVD)	162_U-PAR_(CVD)	0.19201254724111116
108_SELE_(CVD)	151_ST2_(CVD)	0.17636027699903245
108_SELE_(CVD)	101_IL-8_(INF)	0.13049536006277673
108_SELE_(CVD)	miR-16-5p	0.21024707507446916
miR-122-5p	miR-885-5p	0.4935841852144236
miR-122-5p	122_CXCL9_(INF)	0.1753243253740031
miR-122-5p	171_Dkk-1_(CVD)	0.17736098300881675
miR-122-5p	141_GH_(CVD)	0.13094526727247935
miR-122-5p	106_GDNF_(INF)	0.17516350381961843
miR-122-5p	miR-324-5p	0.2109404959932899
miR-122-5p	177_t-PA_(CVD)	0.1844309722811026
miR-122-5p	miR-192-5p	0.3316086663149953
miR-122-5p	188_NT-3_(INF)	0.10653748814869068
miR-21-5p	192_STAMPB_(INF)	0.4221433821018019
miR-21-5p	miR-126-3p	0.6653135496651448
miR-21-5p	miR-19b-3p	0.6910396720737717
miR-21-5p	161_MMP-10_(INF)	0.11959145082068989
178_HB-EGF_(CVD)	125_PDGF subunit B_(CVD)	0.21065742554523048
178_HB-EGF_(CVD)	157_PSGL-1_(CVD)	0.17599466309456702
178_HB-EGF_(CVD)	140_MPO_(CVD)	0.2875817021645162
178_HB-EGF_(CVD)	168_CXCL6_(INF)	0.1555782314444718
178_HB-EGF_(CVD)	121_hK11_(CVD)	0.4645230886080789
178_HB-EGF_(CVD)	124_TNF-R1_(CVD)	0.5144684546891067
miR-145-5p	179_ESM-1_(CVD)	0.15429679429627097
miR-145-5p	185_CTSL1_(CVD)	0.12137579742515126
miR-145-5p	151_ST2_(CVD)	0.18107920067806216
miR-145-5p	101_IL-8_(INF)	0.21108054213256455
miR-145-5p	let-7b-5p	0.5563814151358653
miR-145-5p	134_SLAMF1_(INF)	0.166279742011473
miR-145-5p	133_IL-18_(INF)	0.16483898960481103
miR-145-5p	miR-885-5p	0.22321037333569382
miR-145-5p	miR-26a-5p	0.5665485951358731
179_FGF-19_(INF)	148_PTX3_(CVD)	0.1755710200118088
179_FGF-19_(INF)	152_TIM_(CVD)	0.2157653787238223
179_FGF-19_(INF)	132_SCF_(INF)	0.15131200160653524
179_FGF-19_(INF)	miR-27b-3p	0.1639388895586693
179_FGF-19_(INF)	160_IL-16_(CVD)	0.2764575680149184
179_FGF-19_(INF)	151_ST2_(CVD)	0.1607787982291624
179_FGF-19_(INF)	141_GH_(CVD)	0.11380005179653185
196_CSF-1_(INF)	148_PTX3_(CVD)	0.2550334828020109
196_CSF-1_(INF)	102_VEGF-A_(INF)	0.48953989680125964
196_CSF-1_(INF)	135_TNF-R2_(CVD)	0.45129084097180705
196_CSF-1_(INF)	165_CD5_(INF)	0.5362080286879651
196_CSF-1_(INF)	157_IL-12B_(INF)	0.3208168019130282
196_CSF-1_(INF)	110_OPG_(INF)	0.440503783859457
196_CSF-1_(INF)	115_MCP-1_(INF)	0.38828357424778925
196_CSF-1_(INF)	105_MCP-3_(INF)	0.1863790510924792
196_CSF-1_(INF)	148_IL-15RA_(INF)	0.4371646113969936
miR-143-3p	140_MPO_(CVD)	0.13321593966976586
miR-143-3p	110_OPG_(INF)	0.21949955834679713
miR-143-3p	151_IL-18R1_(INF)	0.18329145853128725
miR-143-3p	195_NT-pro-BNP_(CVD)	0.2117268883650425
miR-143-3p	miR-140-5p	0.2591898241301367
132_SCF_(INF)	153_Beta-NGF_(INF)	0.2397016925295521
132_SCF_(INF)	179_FGF-19_(INF)	0.15131200160653524
132_SCF_(INF)	189_TWEAK_(INF)	0.16570496060213813
132_SCF_(INF)	134_IL-6RA_(CVD)	0.18946789548592413
191_ST1A1_(INF)	111_SRC_(CVD)	0.4973861799220858
191_ST1A1_(INF)	144_FGF-21_(INF)	0.14576907791333937
