Regulator	Target	MI
122_TIE2_(CVD)	194_PECAM-1_(CVD)	0.3509135348571686
122_TIE2_(CVD)	138_TNFSF14_(INF)	0.17221987740120426
122_TIE2_(CVD)	105_MCP-3_(INF)	0.17011762717559797
122_TIE2_(CVD)	150_CHI3L1_(CVD)	0.20081033464505005
122_TIE2_(CVD)	miR-192-5p	0.1517618214603571
122_TIE2_(CVD)	144_FAS_(CVD)	0.3795903873452833
148_PTX3_(CVD)	140_MPO_(CVD)	0.19730550938935565
148_PTX3_(CVD)	168_CXCL6_(INF)	0.12500595892563027
148_PTX3_(CVD)	179_ESM-1_(CVD)	0.2675153011339928
148_PTX3_(CVD)	108_SELE_(CVD)	0.17221950260156316
148_PTX3_(CVD)	130_TRAIL-R2_(CVD)	0.1947556038619478
148_PTX3_(CVD)	151_IL-18R1_(INF)	0.1463584420661057
148_PTX3_(CVD)	115_MCP-1_(INF)	0.15970858077409655
148_PTX3_(CVD)	134_IL-6RA_(CVD)	0.21340989387627562
108_CD244_(INF)	miR-143-3p	0.14351300587217075
108_CD244_(INF)	165_RAGE_(CVD)	0.13898955275449065
108_CD244_(INF)	165_CD5_(INF)	0.3452540043311796
108_CD244_(INF)	miR-150-5p	0.18774868610906648
108_CD244_(INF)	133_IL-18_(INF)	0.20475387198277062
108_CD244_(INF)	140_MPO_(CVD)	0.1949628361885205
108_CD244_(INF)	168_CXCL6_(INF)	0.2722979463227384
108_CD244_(INF)	120_TRAIL_(INF)	0.1883525447804466
108_CD244_(INF)	110_OPG_(INF)	0.3050951327443219
108_CD244_(INF)	154_CXCL5_(INF)	0.17598201911187328
108_CD244_(INF)	miR-16-5p	0.12996151464405603
179_ESM-1_(CVD)	148_PTX3_(CVD)	0.2675153011339928
179_ESM-1_(CVD)	164_CTSD_(CVD)	0.1615597542481071
179_ESM-1_(CVD)	136_MCP-4_(INF)	0.3569436419648202
179_ESM-1_(CVD)	123_TF_(CVD)	0.19882141505811113
179_ESM-1_(CVD)	172_SIRT2_(CVD)	0.14827375008046673
179_ESM-1_(CVD)	154_CXCL5_(INF)	0.12223734381748752
179_ESM-1_(CVD)	145_PAPPA_(CVD)	0.34557107589345915
179_ESM-1_(CVD)	miR-150-5p	0.12584554094983513
129_LOX-1_(CVD)	178_HB-EGF_(CVD)	0.35274231649379395
129_LOX-1_(CVD)	192_STAMPB_(INF)	0.19275185676646078
129_LOX-1_(CVD)	113_IL-6_(CVD)	0.20992762246224483
108_SELE_(CVD)	148_PTX3_(CVD)	0.17221950260156316
108_SELE_(CVD)	164_CTSD_(CVD)	0.15865349039120602
108_SELE_(CVD)	194_PECAM-1_(CVD)	0.3450055169354158
108_SELE_(CVD)	194_ADA_(INF)	0.18933291141707098
108_SELE_(CVD)	196_ECP_(CVD)	0.22163764717146517
108_SELE_(CVD)	117_CXCL11_(INF)	0.14139707355070907
108_SELE_(CVD)	130_CCL4_(INF)	0.1590349530704387
108_SELE_(CVD)	miR-99b-5p	0.2726051730075376
miR-122-5p	miR-885-5p	0.5238783387092916
miR-122-5p	RNY5-5p	0.22402018419213832
miR-122-5p	110_OPG_(INF)	0.16982471265027854
miR-122-5p	136_MMP-3_(CVD)	0.1255760457072279
miR-122-5p	192_NEMO_(CVD)	0.12045720849112307
miR-122-5p	183_SPON1_(CVD)	0.13071934114039063
miR-21-5p	miR-24-3p	0.6515614914568424
miR-21-5p	138_TNFSF14_(INF)	0.1753166870081957
miR-21-5p	177_t-PA_(CVD)	0.13757534908080604
