Regulator	Target	MI
122_TIE2_(CVD)	148_PTX3_(CVD)	0.22663004894680583
122_TIE2_(CVD)	120_TRAIL_(INF)	0.1440022671172816
122_TIE2_(CVD)	194_PECAM-1_(CVD)	0.3709503493067787
122_TIE2_(CVD)	109_IL-7_(INF)	0.15922719461003432
122_TIE2_(CVD)	123_TF_(CVD)	0.25216239864852774
122_TIE2_(CVD)	171_Dkk-1_(CVD)	0.18663803675947133
122_TIE2_(CVD)	144_FAS_(CVD)	0.3104541414152866
148_PTX3_(CVD)	122_TIE2_(CVD)	0.22663004894680672
148_PTX3_(CVD)	179_ESM-1_(CVD)	0.2581113823249961
148_PTX3_(CVD)	miR-143-3p	0.15071150032346914
148_PTX3_(CVD)	115_MCP-1_(INF)	0.18074732946557592
148_PTX3_(CVD)	124_TNF-R1_(CVD)	0.20207680470258182
108_CD244_(INF)	195_TNFB_(INF)	0.1455251508150841
108_CD244_(INF)	136_MCP-4_(INF)	0.22482062596186925
108_CD244_(INF)	131_CD6_(INF)	0.2176542622597477
108_CD244_(INF)	165_CD5_(INF)	0.3724885500694155
179_ESM-1_(CVD)	148_PTX3_(CVD)	0.2581113823249952
179_ESM-1_(CVD)	144_FGF-21_(INF)	0.12602955724218923
179_ESM-1_(CVD)	181_VEGF-D_(CVD)	0.19413215935803851
179_ESM-1_(CVD)	159_TM_(CVD)	0.2568181943070291
179_ESM-1_(CVD)	194_PECAM-1_(CVD)	0.3061332192780144
179_ESM-1_(CVD)	174_DNER_(INF)	0.13506543897808676
179_ESM-1_(CVD)	145_PAPPA_(CVD)	0.26411691440466
179_ESM-1_(CVD)	149_REN_(CVD)	0.12282780138131244
179_ESM-1_(CVD)	miR-16-5p	0.20267637888105305
129_LOX-1_(CVD)	126_OSM_(INF)	0.22905877925647822
129_LOX-1_(CVD)	164_CCL23_(INF)	0.20676352807631737
129_LOX-1_(CVD)	160_IL-16_(CVD)	0.36498806040840925
129_LOX-1_(CVD)	162_U-PAR_(CVD)	0.35470182190393196
129_LOX-1_(CVD)	123_CST5_(INF)	0.191765212035099
129_LOX-1_(CVD)	126_IL27-A_(CVD)	0.26932827622863353
129_LOX-1_(CVD)	let-7d-5p	0.12249828426211629
108_SELE_(CVD)	164_CTSD_(CVD)	0.26434559392002477
108_SELE_(CVD)	185_CCL25_(INF)	0.12813450035918805
108_SELE_(CVD)	131_CD6_(INF)	0.15015424170538783
108_SELE_(CVD)	194_PECAM-1_(CVD)	0.23537608819604383
108_SELE_(CVD)	139_PRL_(CVD)	0.1742579523042167
108_SELE_(CVD)	117_CXCL11_(INF)	0.16209051050594692
108_SELE_(CVD)	162_IL-10_(INF)	0.13553005283075947
108_SELE_(CVD)	177_t-PA_(CVD)	0.1792494674034586
108_SELE_(CVD)	miR-192-5p	0.13927248040274964
108_SELE_(CVD)	miR-99b-5p	0.18561895938432205
miR-122-5p	miR-192-5p	0.2358991565418327
miR-122-5p	151_IL-18R1_(INF)	0.1598360024680474
miR-122-5p	miR-885-5p	0.5570463774529673
miR-122-5p	RNY5-5p	0.28116573365670217
miR-122-5p	128_CXCL1_(INF)	0.13091201696838084
miR-122-5p	177_t-PA_(CVD)	0.11011766297671954
miR-21-5p	RNY5-5p	0.3088396564887024
miR-21-5p	miR-24-3p	0.6795488109061774
miR-21-5p	184_CASP-8_(INF)	0.21321884363372945
miR-21-5p	174_DNER_(INF)	0.14293589269102203
178_HB-EGF_(CVD)	130_TRAIL-R2_(CVD)	0.48088817800108696
178_HB-EGF_(CVD)	165_RAGE_(CVD)	0.2723503082273524
178_HB-EGF_(CVD)	let-7b-5p	0.11787918287682242
178_HB-EGF_(CVD)	134_IL-6RA_(CVD)	0.24230522644159702
178_HB-EGF_(CVD)	183_SPON1_(CVD)	0.34231041789493766
178_HB-EGF_(CVD)	159_TM_(CVD)	0.4022226228099042
178_HB-EGF_(CVD)	123_TF_(CVD)	0.3552397763165045
178_HB-EGF_(CVD)	171_Dkk-1_(CVD)	0.16805243499018552
miR-145-5p	miR-130a-3p	0.4715534299242137
miR-145-5p	miR-140-5p	0.5310932225617924
miR-145-5p	miR-99b-5p	0.40627316957168347
miR-145-5p	115_MCP-1_(INF)	0.12686639609966477
miR-145-5p	miR-197-3p	0.4242085134958815
miR-145-5p	109_EGF_(CVD)	0.35875448824209055
179_FGF-19_(INF)	196_ECP_(CVD)	0.09471057297551244
179_FGF-19_(INF)	miR-140-5p	0.12048347172496321
179_FGF-19_(INF)	150_CHI3L1_(CVD)	0.10508676635161951
179_FGF-19_(INF)	111_LAP TGF-beta-1_(INF)	0.13332006081699266
179_FGF-19_(INF)	145_PAPPA_(CVD)	0.1604105293323892
196_CSF-1_(INF)	149_IL-10RB_(INF)	0.45570337500318203
196_CSF-1_(INF)	miR-324-5p	0.13845824761609649
196_CSF-1_(INF)	143_LIF-R_(INF)	0.42316837791612105
196_CSF-1_(INF)	107_CDCP1_(INF)	0.2218374541816157
196_CSF-1_(INF)	110_OPG_(INF)	0.4123960210515287
196_CSF-1_(INF)	109_IL-7_(INF)	0.2585583090489676
196_CSF-1_(INF)	153_Beta-NGF_(INF)	0.5163214850668689
196_CSF-1_(INF)	miR-221-3p	0.22598907113435907
196_CSF-1_(INF)	190_CCL20_(INF)	0.22826371006684987
miR-143-3p	148_PTX3_(CVD)	0.15071150032346914
miR-143-3p	miR-20b-5p	0.3071015271050834
miR-143-3p	189_TWEAK_(INF)	0.13400333913067541
132_SCF_(INF)	183_MCP-2_(INF)	0.10700300792793271
132_SCF_(INF)	145_PAPPA_(CVD)	0.09744705753643146
132_SCF_(INF)	156_HGF_(INF)	0.1740741621345423
132_SCF_(INF)	miR-99b-5p	0.10244790763136358
132_SCF_(INF)	172_SIRT2_(CVD)	0.12532131382514766
132_SCF_(INF)	173_GAL_(CVD)	0.12769946592036696
191_ST1A1_(INF)	140_MPO_(CVD)	0.09343823603446477
191_ST1A1_(INF)	111_SRC_(CVD)	0.35667731759620125
152_PD-L1_(INF)	103_BDNF_(INF)	0.21455728743234204
152_PD-L1_(INF)	134_SLAMF1_(INF)	0.23727091534293088
152_PD-L1_(INF)	miR-192-5p	0.2259266230429926
152_PD-L1_(INF)	135_TGF-alpha_(INF)	0.4016474402362791
152_PD-L1_(INF)	122_CXCL9_(INF)	0.42642732814146367
152_PD-L1_(INF)	143_RETN_(CVD)	0.3165080762531902
107_PlGF_(CVD)	160_IL-16_(CVD)	0.3703636980923566
107_PlGF_(CVD)	118_PAR-1_(CVD)	0.5747299717884573
107_PlGF_(CVD)	196_ECP_(CVD)	0.25378252575879223
107_PlGF_(CVD)	RNY4-3p	0.11864253380312828
107_PlGF_(CVD)	144_FAS_(CVD)	0.475209775894613
107_PlGF_(CVD)	194_PECAM-1_(CVD)	0.2616901489955872
107_PlGF_(CVD)	121_hK11_(CVD)	0.3389824171328826
107_PlGF_(CVD)	116_KLK6_(CVD)	0.3277724647187634
miR-486-5p	miR-93-5p	0.5480244977145627
miR-486-5p	152_TIM_(CVD)	0.12316022697326989
miR-486-5p	188_NT-3_(INF)	0.15601984608767516
miR-486-5p	182_MMP-12_(CVD)	0.12022372404268378
miR-486-5p	133_IL-18_(INF)	0.11533403683494736
miR-486-5p	miR-16-5p	0.706944064145067
160_IL-16_(CVD)	129_LOX-1_(CVD)	0.4099018168079578
160_IL-16_(CVD)	107_PlGF_(CVD)	0.3703636980923566
160_IL-16_(CVD)	135_TNF-R2_(CVD)	0.40836700648190494
160_IL-16_(CVD)	157_IL-12B_(INF)	0.29214252673785257
160_IL-16_(CVD)	184_CASP-8_(INF)	0.1814492896142461
160_IL-16_(CVD)	175_EN-RAGE_(INF)	0.15190210377541025
112_IL-1ra_(CVD)	187_FABP4_(CVD)	0.33913336331110244
112_IL-1ra_(CVD)	113_IL-6_(CVD)	0.20601378688131344
112_IL-1ra_(CVD)	177_t-PA_(CVD)	0.321968703575938
162_U-PAR_(CVD)	116_IL-17A_(INF)	0.1582688829900789
162_U-PAR_(CVD)	129_LOX-1_(CVD)	0.35470182190393196
162_U-PAR_(CVD)	130_TRAIL-R2_(CVD)	0.5845795731677006
162_U-PAR_(CVD)	135_TNF-R2_(CVD)	0.6392638115159004
162_U-PAR_(CVD)	miR-150-5p	0.18624724450406394
162_U-PAR_(CVD)	170_4E-BP1_(INF)	0.32335659215787693
162_U-PAR_(CVD)	139_FGF-23_(INF)	0.30641126281547937
162_U-PAR_(CVD)	143_RETN_(CVD)	0.34235026746928465
185_CTSL1_(CVD)	164_CCL23_(INF)	0.2169767679473118
185_CTSL1_(CVD)	191_CA-125_(CVD)	0.1760253498858848
185_CTSL1_(CVD)	159_TM_(CVD)	0.31494802094307506
185_CTSL1_(CVD)	miR-29a-3p	0.14007144346355904
185_CTSL1_(CVD)	105_MCP-3_(INF)	0.17620480568810049
185_CTSL1_(CVD)	154_mAmP_(CVD)	0.09953652925004697
151_ST2_(CVD)	195_TNFB_(INF)	0.09351524847134929
151_ST2_(CVD)	143_LIF-R_(INF)	0.09781385454104452
151_ST2_(CVD)	126_IL27-A_(CVD)	0.10900856309424434
151_ST2_(CVD)	136_MMP-3_(CVD)	0.13820498565987638
151_ST2_(CVD)	149_REN_(CVD)	0.25825649977697385
151_ST2_(CVD)	miR-126-3p	0.08931529518537396
102_VEGF-A_(INF)	111_LAP TGF-beta-1_(INF)	0.4402801007024628
102_VEGF-A_(INF)	114_CSTB_(CVD)	0.39952575238296006
102_VEGF-A_(INF)	170_4E-BP1_(INF)	0.4031143158719077
102_VEGF-A_(INF)	185_CCL25_(INF)	0.32064975754537617
102_VEGF-A_(INF)	135_TGF-alpha_(INF)	0.6339041493464865
102_VEGF-A_(INF)	153_Beta-NGF_(INF)	0.4437772886530382
102_VEGF-A_(INF)	162_IL-10_(INF)	0.1657981664964483
102_VEGF-A_(INF)	176_CD40_(INF)	0.5275654886074497
102_VEGF-A_(INF)	161_MMP-10_(INF)	0.1978226018532574
186_CX3CL1_(INF)	165_CD5_(INF)	0.3498991274276797
186_CX3CL1_(INF)	114_IL-17C_(INF)	0.1945537553699923
186_CX3CL1_(INF)	130_CCL4_(INF)	0.2446785903198503
186_CX3CL1_(INF)	195_NT-pro-BNP_(CVD)	0.243343743334675
144_FGF-21_(INF)	116_IL-17A_(INF)	0.113944691967232
144_FGF-21_(INF)	179_ESM-1_(CVD)	0.12602955724218923
144_FGF-21_(INF)	106_GDF-15_(CVD)	0.16272284497331935
144_FGF-21_(INF)	177_t-PA_(CVD)	0.2458739223127706
RNY4-3p	miR-191-5p	0.6718369892837952
RNY4-3p	107_PlGF_(CVD)	0.11864253380312828
RNY4-3p	miR-223-5p(*)	0.5726572289085974
RNY4-3p	145_CCL19_(INF)	0.09571440132402564
