Regulator	Target	MI
122_TIE2_(CVD)	miR-122-5p	0.1498587421753914
122_TIE2_(CVD)	159_TM_(CVD)	0.43663810130429415
122_TIE2_(CVD)	194_PECAM-1_(CVD)	0.40428944706355097
122_TIE2_(CVD)	let-7d-5p	0.18812461542129988
148_PTX3_(CVD)	179_ESM-1_(CVD)	0.35170123360544636
148_PTX3_(CVD)	miR-27b-3p	0.2002494925086049
148_PTX3_(CVD)	170_CXCL16_(CVD)	0.2132572706543403
148_PTX3_(CVD)	126_IL27-A_(CVD)	0.21891603462716525
148_PTX3_(CVD)	166_MIP-1 alpha_(INF)	0.20118534361786278
108_CD244_(INF)	149_IL-10RB_(INF)	0.29619654698226316
108_CD244_(INF)	miR-145-5p	0.20737183609388943
108_CD244_(INF)	miR-223-5p(*)	0.16354777274958998
108_CD244_(INF)	126_IL27-A_(CVD)	0.3252977658266136
108_CD244_(INF)	159_TM_(CVD)	0.17157651924877548
108_CD244_(INF)	106_GDNF_(INF)	0.11509148641834965
108_CD244_(INF)	112_uPA_(INF)	0.28625475063317474
179_ESM-1_(CVD)	148_PTX3_(CVD)	0.35170123360544636
179_ESM-1_(CVD)	194_PECAM-1_(CVD)	0.28160271619068666
179_ESM-1_(CVD)	113_IL-6_(CVD)	0.15593973027101526
179_ESM-1_(CVD)	135_TNF-R2_(CVD)	0.20192773383402152
179_ESM-1_(CVD)	112_uPA_(INF)	0.18517987460769536
179_ESM-1_(CVD)	145_PAPPA_(CVD)	0.24811612709628061
129_LOX-1_(CVD)	140_MPO_(CVD)	0.23144922296042658
129_LOX-1_(CVD)	107_CDCP1_(INF)	0.22683152149964236
129_LOX-1_(CVD)	126_OSM_(INF)	0.17401419860033762
129_LOX-1_(CVD)	194_PECAM-1_(CVD)	0.24760978933655498
129_LOX-1_(CVD)	167_MMP-7_(CVD)	0.3224262302290173
129_LOX-1_(CVD)	123_CST5_(INF)	0.2645270051748252
129_LOX-1_(CVD)	172_SIRT2_(CVD)	0.30073813557088247
129_LOX-1_(CVD)	126_IL27-A_(CVD)	0.19303521697500603
129_LOX-1_(CVD)	183_SPON1_(CVD)	0.3686855327149887
108_SELE_(CVD)	164_CTSD_(CVD)	0.1267922868981346
108_SELE_(CVD)	194_PECAM-1_(CVD)	0.28672994651943107
108_SELE_(CVD)	miR-223-5p(*)	0.12848848783592537
108_SELE_(CVD)	183_SPON1_(CVD)	0.16434223927161629
108_SELE_(CVD)	143_RETN_(CVD)	0.17802221723597977
miR-122-5p	122_TIE2_(CVD)	0.14985874217538964
miR-122-5p	miR-885-5p	0.6220128653168953
miR-122-5p	RNY5-5p	0.36955708468024806
miR-122-5p	177_t-PA_(CVD)	0.14155943277541194
miR-122-5p	141_FGF-5_(INF)	0.15980460881021408
miR-122-5p	miR-192-5p	0.17095863467465033
miR-21-5p	172_SIRT2_(CVD)	0.41593273693116206
miR-21-5p	141_GH_(CVD)	0.1737319147678935
miR-21-5p	131_CD6_(INF)	0.25965795247030865
miR-21-5p	miR-93-5p	0.6715190367220369
miR-21-5p	171_Dkk-1_(CVD)	0.18002297636115028
miR-21-5p	152_TIM_(CVD)	0.16266209530177722
178_HB-EGF_(CVD)	191_ST1A1_(INF)	0.21360705033584626
178_HB-EGF_(CVD)	118_PAR-1_(CVD)	0.4631121878031079
178_HB-EGF_(CVD)	172_SIRT2_(CVD)	0.260882627962574
178_HB-EGF_(CVD)	158_MB_(CVD)	0.2737275481728334
178_HB-EGF_(CVD)	121_hK11_(CVD)	0.49262456693052314
178_HB-EGF_(CVD)	171_Dkk-1_(CVD)	0.33195510968592234
178_HB-EGF_(CVD)	177_t-PA_(CVD)	0.15136159035350705
miR-145-5p	108_CD244_(INF)	0.2063382827246638
miR-145-5p	miR-143-3p	0.3880351097721748
miR-145-5p	let-7b-5p	0.6042315621062011
miR-145-5p	miR-222-3p	0.6863782894549182
miR-145-5p	105_MCP-3_(INF)	0.17750252230226327
179_FGF-19_(INF)	144_FGF-21_(INF)	0.10971268782296928
179_FGF-19_(INF)	196_CSF-1_(INF)	0.18029732364050233
179_FGF-19_(INF)	132_SCF_(INF)	0.1403675228384733
179_FGF-19_(INF)	miR-24-3p	0.1489864207671623
179_FGF-19_(INF)	miR-192-5p	0.09174483198901484
179_FGF-19_(INF)	151_ST2_(CVD)	0.19555438201372954
179_FGF-19_(INF)	143_RETN_(CVD)	0.19516871239626
179_FGF-19_(INF)	miR-16-5p	0.12898521957594156
196_CSF-1_(INF)	miR-28-5p	0.2021257707550861
196_CSF-1_(INF)	149_IL-10RB_(INF)	0.4524668485144163
196_CSF-1_(INF)	179_FGF-19_(INF)	0.18029732364050144
196_CSF-1_(INF)	186_CX3CL1_(INF)	0.4985721320548473
196_CSF-1_(INF)	107_CDCP1_(INF)	0.36440503573927163
196_CSF-1_(INF)	109_IL-7_(INF)	0.3136351368549226
196_CSF-1_(INF)	114_IL-17C_(INF)	0.18387846950272024
196_CSF-1_(INF)	115_MCP-1_(INF)	0.4682789268307639
196_CSF-1_(INF)	156_HGF_(INF)	0.42924393009584616
196_CSF-1_(INF)	117_CXCL11_(INF)	0.2828327700591897
196_CSF-1_(INF)	176_CD40_(INF)	0.4747754821856338
196_CSF-1_(INF)	miR-375	0.20111017385227115
miR-143-3p	miR-145-5p	0.389591806428208
132_SCF_(INF)	153_Beta-NGF_(INF)	0.1742070538804832
132_SCF_(INF)	RNY5-5p	0.12560392824574418
132_SCF_(INF)	179_FGF-19_(INF)	0.1403675228384733
132_SCF_(INF)	184_CASP-8_(INF)	0.16503900960127282
132_SCF_(INF)	193_FS_(CVD)	0.1308218942708752
191_ST1A1_(INF)	195_TNFB_(INF)	0.2316412596177404
191_ST1A1_(INF)	178_HB-EGF_(CVD)	0.21360705033584626
191_ST1A1_(INF)	194_ADA_(INF)	0.21249752917638265
191_ST1A1_(INF)	109_EGF_(CVD)	0.4330291999143343
152_PD-L1_(INF)	102_VEGF-A_(INF)	0.33386164525783
152_PD-L1_(INF)	135_TNF-R2_(CVD)	0.4317444055856381
152_PD-L1_(INF)	134_SLAMF1_(INF)	0.2770427202657135
152_PD-L1_(INF)	133_IL-18_(INF)	0.19892015153122422
152_PD-L1_(INF)	148_IL-15RA_(INF)	0.2793903811891081
107_PlGF_(CVD)	130_TRAIL-R2_(CVD)	0.6843462166331378
107_PlGF_(CVD)	138_TNFSF14_(INF)	0.1711337133321864
107_PlGF_(CVD)	126_IL27-A_(CVD)	0.28690463382039777
miR-486-5p	123_CST5_(INF)	0.1049131529487175
miR-486-5p	miR-16-5p	0.5188614875137256
160_IL-16_(CVD)	172_SIRT2_(CVD)	0.28411275662585034
160_IL-16_(CVD)	159_TM_(CVD)	0.3340218415935574
160_IL-16_(CVD)	189_LEP_(CVD)	0.14738663370958083
112_IL-1ra_(CVD)	187_FABP4_(CVD)	0.3909139445824632
112_IL-1ra_(CVD)	169_CXCL10_(INF)	0.23577480562403608
112_IL-1ra_(CVD)	162_U-PAR_(CVD)	0.22886776204985626
112_IL-1ra_(CVD)	175_EN-RAGE_(INF)	0.2513485009809484
112_IL-1ra_(CVD)	177_t-PA_(CVD)	0.21099492624451344
112_IL-1ra_(CVD)	let-7d-5p	0.140467101665533
162_U-PAR_(CVD)	112_IL-1ra_(CVD)	0.22886776204985626
162_U-PAR_(CVD)	103_AM_(CVD)	0.5150741814204229
162_U-PAR_(CVD)	101_IL-8_(INF)	0.2175420650116937
162_U-PAR_(CVD)	181_VEGF-D_(CVD)	0.2738979513717599
162_U-PAR_(CVD)	114_CSTB_(CVD)	0.5556632085757007
162_U-PAR_(CVD)	188_NT-3_(INF)	0.17516297483645715
162_U-PAR_(CVD)	124_TNF-R1_(CVD)	0.618452533479716
162_U-PAR_(CVD)	152_TIM_(CVD)	0.39941448865104157
185_CTSL1_(CVD)	166_CCL3_(CVD)	0.37213031606729086
185_CTSL1_(CVD)	183_MCP-2_(INF)	0.15325881826454069
185_CTSL1_(CVD)	miR-93-5p	0.14779262226153733
185_CTSL1_(CVD)	116_KLK6_(CVD)	0.29458570475022583
185_CTSL1_(CVD)	112_uPA_(INF)	0.22049688340617468
151_ST2_(CVD)	136_MMP-3_(CVD)	0.37821362004397496
151_ST2_(CVD)	179_FGF-19_(INF)	0.19555438201372954
151_ST2_(CVD)	150_CHI3L1_(CVD)	0.19073690137802934
151_ST2_(CVD)	165_CD5_(INF)	0.23384995270462738
151_ST2_(CVD)	188_BNP_(CVD)	0.20048556756925695
102_VEGF-A_(INF)	164_CCL23_(INF)	0.3825600793173516
102_VEGF-A_(INF)	152_PD-L1_(INF)	0.33386164525783
102_VEGF-A_(INF)	103_AM_(CVD)	0.31188487249230956
102_VEGF-A_(INF)	168_CXCL6_(INF)	0.2486577336667608
102_VEGF-A_(INF)	135_TGF-alpha_(INF)	0.6870511034643032
102_VEGF-A_(INF)	183_MCP-2_(INF)	0.23751458459291275
102_VEGF-A_(INF)	162_IL-10_(INF)	0.28763626622329674
102_VEGF-A_(INF)	141_FGF-5_(INF)	0.22713690163064193
102_VEGF-A_(INF)	161_MMP-10_(INF)	0.23308269215137756
186_CX3CL1_(INF)	116_IL-17A_(INF)	0.12603143064781364
186_CX3CL1_(INF)	196_CSF-1_(INF)	0.4985721320548473
186_CX3CL1_(INF)	miR-192-5p	0.21863968558825153
186_CX3CL1_(INF)	140_MPO_(CVD)	0.2222365642096804
186_CX3CL1_(INF)	miR-221-3p	0.19484786658128872
144_FGF-21_(INF)	191_CA-125_(CVD)	0.15745157879622607
144_FGF-21_(INF)	miR-320a	0.1662906996792728
144_FGF-21_(INF)	179_FGF-19_(INF)	0.10971268782296839
144_FGF-21_(INF)	145_CCL19_(INF)	0.12843023626806893
144_FGF-21_(INF)	167_MMP-7_(CVD)	0.2429945085133811
RNY4-3p	miR-122-5p	0.27781644068867273
RNY4-3p	hsa-miR-574-3p	0.4833952005665507
RNY4-3p	168_CXCL6_(INF)	0.19905342648693924
RNY4-3p	miR-320a	0.5747348740125169
RNY4-3p	miR-191-5p	0.8717731332333276
RNY4-3p	RNY4-5p	0.889749406012454
RNY4-3p	154_CXCL5_(INF)	0.3571875704752703
101_IL-8_(INF)	139_PRL_(CVD)	0.1424118332896116
101_IL-8_(INF)	152_PD-L1_(INF)	0.24122677412405835
101_IL-8_(INF)	162_U-PAR_(CVD)	0.2175420650116937
101_IL-8_(INF)	118_AXIN1_(INF)	0.1660692871515037
101_IL-8_(INF)	110_OPG_(INF)	0.4663687649414321
101_IL-8_(INF)	122_CXCL9_(INF)	0.26109231036523806
101_IL-8_(INF)	105_MCP-3_(INF)	0.2073099830581011
101_IL-8_(INF)	190_CCL20_(INF)	0.2112193688988464
126_IL27-A_(CVD)	148_PTX3_(CVD)	0.21891603462716525
126_IL27-A_(CVD)	108_CD244_(INF)	0.3252977658266136
126_IL27-A_(CVD)	129_LOX-1_(CVD)	0.19303521697500603
126_IL27-A_(CVD)	miR-28-5p	0.21282529951434004
126_IL27-A_(CVD)	131_CD6_(INF)	0.2852224737014035
126_IL27-A_(CVD)	107_PlGF_(CVD)	0.28690463382039777
126_IL27-A_(CVD)	miR-99b-5p	0.2136836096819481
111_LAP TGF-beta-1_(INF)	149_IL-10RB_(INF)	0.45880000513669206
111_LAP TGF-beta-1_(INF)	158_MB_(CVD)	0.2947063167186066
111_LAP TGF-beta-1_(INF)	139_FGF-23_(INF)	0.3754638098419427
111_LAP TGF-beta-1_(INF)	148_IL-15RA_(INF)	0.31801336293596094
