Regulator	Target	MI
122_TIE2_(CVD)	172_SIRT2_(CVD)	0.23232599586213265
122_TIE2_(CVD)	144_FAS_(CVD)	0.4665797110481078
122_TIE2_(CVD)	194_PECAM-1_(CVD)	0.2750056901612705
122_TIE2_(CVD)	109_IL-7_(INF)	0.15176004452245095
122_TIE2_(CVD)	177_t-PA_(CVD)	0.19706391586034844
122_TIE2_(CVD)	117_Gal-3_(CVD)	0.2845281425398358
148_PTX3_(CVD)	179_ESM-1_(CVD)	0.22090049417767776
148_PTX3_(CVD)	miR-324-5p	0.2001495229108139
148_PTX3_(CVD)	189_LEP_(CVD)	0.11818352754065664
148_PTX3_(CVD)	181_VEGF-D_(CVD)	0.15229951774124917
148_PTX3_(CVD)	188_BNP_(CVD)	0.14870860691806342
148_PTX3_(CVD)	miR-143-3p	0.13656427929180381
148_PTX3_(CVD)	107_PlGF_(CVD)	0.1991083230813837
148_PTX3_(CVD)	149_REN_(CVD)	0.16404736633261496
108_CD244_(INF)	140_MPO_(CVD)	0.12552081352075284
108_CD244_(INF)	168_CXCL6_(INF)	0.26562244971956694
108_CD244_(INF)	120_TRAIL_(INF)	0.21541758031356384
108_CD244_(INF)	149_IL-10RB_(INF)	0.3490288681755489
108_CD244_(INF)	hsa-miR-574-3p	0.10245243500392576
108_CD244_(INF)	165_CD5_(INF)	0.37384341557624
108_CD244_(INF)	144_FAS_(CVD)	0.239359729870122
108_CD244_(INF)	133_IL-18_(INF)	0.1774145211750522
179_ESM-1_(CVD)	148_PTX3_(CVD)	0.22090049417767776
179_ESM-1_(CVD)	126_IL27-A_(CVD)	0.1555511180961835
179_ESM-1_(CVD)	130_CCL4_(INF)	0.11650494700257763
179_ESM-1_(CVD)	137_HSP 27_(CVD)	0.2163427613764517
179_ESM-1_(CVD)	194_PECAM-1_(CVD)	0.19925628039763676
179_ESM-1_(CVD)	miR-140-5p	0.15176459192524128
179_ESM-1_(CVD)	145_PAPPA_(CVD)	0.22651174879863234
129_LOX-1_(CVD)	162_U-PAR_(CVD)	0.4031064243431466
129_LOX-1_(CVD)	151_ST2_(CVD)	0.1660825201207654
129_LOX-1_(CVD)	181_VEGF-D_(CVD)	0.19787449872680618
108_SELE_(CVD)	116_IL-17A_(INF)	0.13278123444651335
108_SELE_(CVD)	164_CTSD_(CVD)	0.19268308456151217
108_SELE_(CVD)	148_IL-15RA_(INF)	0.12602519857675354
108_SELE_(CVD)	miR-324-5p	0.11426266310358457
108_SELE_(CVD)	130_CCL4_(INF)	0.14271651464560797
108_SELE_(CVD)	126_OSM_(INF)	0.16236805366011442
108_SELE_(CVD)	194_PECAM-1_(CVD)	0.4051885056286961
108_SELE_(CVD)	144_FAS_(CVD)	0.18303310348405066
miR-122-5p	miR-223-5p(*)	0.1612251676945542
miR-122-5p	miR-885-5p	0.5405068056591569
miR-122-5p	RNY5-5p	0.2971205986400358
miR-122-5p	128_CXCL1_(INF)	0.17579064581278647
miR-122-5p	miR-150-5p	0.0893639848837946
miR-21-5p	miR-126-3p	0.4680745666321018
miR-21-5p	miR-27b-3p	0.18930768071539816
miR-21-5p	miR-223-5p(*)	0.3715281975531024
miR-21-5p	172_SIRT2_(CVD)	0.3309983251104631
miR-21-5p	miR-375	0.15814154224721744
miR-21-5p	188_NT-3_(INF)	0.12982527331839488
178_HB-EGF_(CVD)	149_IL-10RB_(INF)	0.31072606080167464
178_HB-EGF_(CVD)	118_PAR-1_(CVD)	0.5166233153500013
178_HB-EGF_(CVD)	170_CXCL16_(CVD)	0.36501936197692597
178_HB-EGF_(CVD)	191_CA-125_(CVD)	0.18407264780410593
178_HB-EGF_(CVD)	miR-126-5p(*)	0.15905844860803153
178_HB-EGF_(CVD)	miR-16-5p	0.12494598878834129
miR-145-5p	194_ADA_(INF)	0.09820045082770701
miR-145-5p	196_ECP_(CVD)	0.12618592269840612
miR-145-5p	105_MCP-3_(INF)	0.11053564091536572
miR-145-5p	miR-26a-5p	0.5802449748555922
miR-145-5p	189_LEP_(CVD)	0.09792915704302274
179_FGF-19_(INF)	166_CCL3_(CVD)	0.10259263746569136
179_FGF-19_(INF)	144_FGF-21_(INF)	0.09249497787354422
179_FGF-19_(INF)	miR-324-5p	0.10943498746915115
179_FGF-19_(INF)	miR-24-3p	0.22040250996356026
179_FGF-19_(INF)	miR-27b-3p	0.12961412902238045
179_FGF-19_(INF)	116_KLK6_(CVD)	0.11737763751386598
196_CSF-1_(INF)	149_IL-10RB_(INF)	0.40686490223902805
196_CSF-1_(INF)	102_VEGF-A_(INF)	0.43325641993645103
196_CSF-1_(INF)	135_TNF-R2_(CVD)	0.398546167177364
196_CSF-1_(INF)	143_LIF-R_(INF)	0.27852939912501995
196_CSF-1_(INF)	miR-126-3p	0.11437228949572464
196_CSF-1_(INF)	194_ADA_(INF)	0.2158082015694065
196_CSF-1_(INF)	156_HGF_(INF)	0.47305265121498596
196_CSF-1_(INF)	187_TNFRSF9_(INF)	0.4302304768883207
196_CSF-1_(INF)	148_IL-15RA_(INF)	0.33046863614867217
196_CSF-1_(INF)	153_Beta-NGF_(INF)	0.3783097394869861
196_CSF-1_(INF)	162_IL-10_(INF)	0.18158736608535442
196_CSF-1_(INF)	112_uPA_(INF)	0.3604704555993594
miR-143-3p	miR-126-5p(*)	0.16515962093408643
miR-143-3p	148_PTX3_(CVD)	0.1365642792918047
miR-143-3p	148_IL-15RA_(INF)	0.12227673986132803
miR-143-3p	miR-145-5p	0.16156237364790638
miR-143-3p	miR-192-5p	0.1434293355905547
miR-143-3p	151_IL-18R1_(INF)	0.16289668566577387
miR-143-3p	143_LIF-R_(INF)	0.13322027991177343
miR-143-3p	miR-99b-5p	0.16031278149584693
132_SCF_(INF)	185_CCL25_(INF)	0.23172527598921633
132_SCF_(INF)	149_IL-10RB_(INF)	0.18056475190713783
191_ST1A1_(INF)	111_SRC_(CVD)	0.33901684574625435
191_ST1A1_(INF)	111_LAP TGF-beta-1_(INF)	0.14214359872191196
191_ST1A1_(INF)	106_GDF-15_(CVD)	0.16994376024461122
152_PD-L1_(INF)	135_TNF-R2_(CVD)	0.38839790664547635
152_PD-L1_(INF)	133_IL-18_(INF)	0.30984136458179456
152_PD-L1_(INF)	154_mAmP_(CVD)	0.2438456789174941
152_PD-L1_(INF)	166_MIP-1 alpha_(INF)	0.29994325045125336
107_PlGF_(CVD)	148_PTX3_(CVD)	0.1991083230813837
107_PlGF_(CVD)	174_AGRP_(CVD)	0.30298232620208143
107_PlGF_(CVD)	135_TNF-R2_(CVD)	0.617822629447411
107_PlGF_(CVD)	158_MB_(CVD)	0.44349256407366155
