Regulator	Target	MI
122_TIE2_(CVD)	194_PECAM-1_(CVD)	0.37445724858252927
122_TIE2_(CVD)	123_TF_(CVD)	0.3864317630279164
122_TIE2_(CVD)	155_TRANCE_(INF)	0.18246080376585727
122_TIE2_(CVD)	144_FAS_(CVD)	0.31893761177630786
148_PTX3_(CVD)	miR-143-3p	0.1362386293955815
148_PTX3_(CVD)	137_CCL11_(INF)	0.19609695852428644
148_PTX3_(CVD)	113_IL-6_(CVD)	0.17052920957311724
148_PTX3_(CVD)	151_ST2_(CVD)	0.2506542781051113
148_PTX3_(CVD)	117_CXCL11_(INF)	0.2513577292140843
148_PTX3_(CVD)	152_TIM_(CVD)	0.13514616910631805
148_PTX3_(CVD)	let-7b-5p	0.24150121539975888
108_CD244_(INF)	107_CDCP1_(INF)	0.27745722088154157
108_CD244_(INF)	157_IL-12B_(INF)	0.20248132192713175
108_CD244_(INF)	149_IL-10RB_(INF)	0.3905165367268921
108_CD244_(INF)	miR-126-3p	0.17346028032234528
108_CD244_(INF)	106_GDNF_(INF)	0.1235379430525887
179_ESM-1_(CVD)	107_PlGF_(CVD)	0.27226775609924303
179_ESM-1_(CVD)	140_IL-10RA_(INF)	0.1258812375298044
179_ESM-1_(CVD)	172_SIRT2_(CVD)	0.2308617795664638
179_ESM-1_(CVD)	169_CXCL10_(INF)	0.16664982368333003
179_ESM-1_(CVD)	123_CST5_(INF)	0.14213468291969367
179_ESM-1_(CVD)	miR-16-5p	0.16576994175808313
129_LOX-1_(CVD)	162_U-PAR_(CVD)	0.3594332104485014
129_LOX-1_(CVD)	126_IL27-A_(CVD)	0.27390349688969984
129_LOX-1_(CVD)	miR-191-5p	0.20414979570926395
129_LOX-1_(CVD)	miR-375	0.1379702858795646
108_SELE_(CVD)	miR-324-5p	0.10450686850310831
108_SELE_(CVD)	135_TNF-R2_(CVD)	0.2396946231065078
108_SELE_(CVD)	RNY4-5p	0.20499784633802953
108_SELE_(CVD)	177_t-PA_(CVD)	0.14900637495359348
108_SELE_(CVD)	194_PECAM-1_(CVD)	0.3607818821269042
108_SELE_(CVD)	112_IL-1ra_(CVD)	0.2326638684956457
miR-122-5p	168_CXCL6_(INF)	0.18075876744975794
miR-122-5p	miR-885-5p	0.4711631305769881
miR-122-5p	RNY5-5p	0.2356373435438197
miR-122-5p	miR-126-3p	0.16351628314816935
