Regulator	Target	MI
122_TIE2_(CVD)	164_CTSD_(CVD)	0.2317103006011756
122_TIE2_(CVD)	179_ESM-1_(CVD)	0.24851499283575773
122_TIE2_(CVD)	miR-143-3p	0.16641629369250222
122_TIE2_(CVD)	107_PlGF_(CVD)	0.40210019278075126
122_TIE2_(CVD)	181_VEGF-D_(CVD)	0.1993991499711978
122_TIE2_(CVD)	191_CA-125_(CVD)	0.22855608849579312
122_TIE2_(CVD)	194_PECAM-1_(CVD)	0.3639085755090443
122_TIE2_(CVD)	149_REN_(CVD)	0.15424571351991911
122_TIE2_(CVD)	173_GAL_(CVD)	0.15453425878957283
148_PTX3_(CVD)	140_MPO_(CVD)	0.1854622096824734
148_PTX3_(CVD)	153_Beta-NGF_(INF)	0.11362065372333419
148_PTX3_(CVD)	174_AGRP_(CVD)	0.12249980584425124
148_PTX3_(CVD)	181_VEGF-D_(CVD)	0.207646625632127
148_PTX3_(CVD)	miR-92a-3p	0.1258436467073878
108_CD244_(INF)	140_MPO_(CVD)	0.1873541564549912
108_CD244_(INF)	168_CXCL6_(INF)	0.2778581194292622
108_CD244_(INF)	196_CSF-1_(INF)	0.3293602784026417
108_CD244_(INF)	miR-24-3p	0.24758394495680314
108_CD244_(INF)	126_IL27-A_(CVD)	0.20369885375516805
179_ESM-1_(CVD)	122_TIE2_(CVD)	0.22947556760323806
179_ESM-1_(CVD)	178_HB-EGF_(CVD)	0.3233024075127702
179_ESM-1_(CVD)	let-7b-5p	0.13387201525297332
179_ESM-1_(CVD)	145_PAPPA_(CVD)	0.3081074410221314
129_LOX-1_(CVD)	162_U-PAR_(CVD)	0.4365610320507294
129_LOX-1_(CVD)	184_CASP-8_(INF)	0.26453635669924047
129_LOX-1_(CVD)	153_Beta-NGF_(INF)	0.25284152539674576
108_SELE_(CVD)	194_PECAM-1_(CVD)	0.3142799309681976
108_SELE_(CVD)	192_NEMO_(CVD)	0.1392347815885353
108_SELE_(CVD)	155_TRANCE_(INF)	0.12886549640849676
108_SELE_(CVD)	117_Gal-3_(CVD)	0.1724462483592779
miR-122-5p	miR-126-5p(*)	0.11209475128107904
miR-122-5p	124_TNF-R1_(CVD)	0.14955829396728948
miR-122-5p	miR-324-5p	0.15697170980587583
miR-122-5p	162_IL-10_(INF)	0.16992845713054905
miR-122-5p	miR-885-5p	0.4242742633141452
miR-122-5p	RNY5-5p	0.4062321042828918
miR-122-5p	139_PRL_(CVD)	0.12557097597125022
miR-122-5p	115_MCP-1_(INF)	0.17836311620032053
miR-122-5p	145_PAPPA_(CVD)	0.14872916643752188
miR-21-5p	miR-126-3p	0.5818226597932634
miR-21-5p	173_GAL_(CVD)	0.15784522890778518
178_HB-EGF_(CVD)	179_ESM-1_(CVD)	0.3233024075127702
