Regulator	Target	MI
122_TIE2_(CVD)	120_TRAIL_(INF)	0.13170553872928892
122_TIE2_(CVD)	miR-126-3p	0.12177755001456791
122_TIE2_(CVD)	194_PECAM-1_(CVD)	0.43058536536068637
122_TIE2_(CVD)	107_PlGF_(CVD)	0.24227781951235094
122_TIE2_(CVD)	150_CHI3L1_(CVD)	0.19323410169757604
122_TIE2_(CVD)	117_Gal-3_(CVD)	0.24147515104961936
122_TIE2_(CVD)	173_GAL_(CVD)	0.1959420197024322
148_PTX3_(CVD)	185_CCL25_(INF)	0.17089969226213952
148_PTX3_(CVD)	174_AGRP_(CVD)	0.14248661454202605
148_PTX3_(CVD)	151_ST2_(CVD)	0.18907300425475793
148_PTX3_(CVD)	150_CHI3L1_(CVD)	0.2317599793506302
148_PTX3_(CVD)	miR-26a-5p	0.15907349026945816
148_PTX3_(CVD)	126_IL27-A_(CVD)	0.17783087341376191
148_PTX3_(CVD)	130_CCL4_(INF)	0.14189744040851604
148_PTX3_(CVD)	145_PAPPA_(CVD)	0.24692093406283178
108_CD244_(INF)	168_CXCL6_(INF)	0.3469066100059006
108_CD244_(INF)	148_IL-15RA_(INF)	0.23620804468308165
108_CD244_(INF)	165_RAGE_(CVD)	0.13785364716215387
108_CD244_(INF)	165_CD5_(INF)	0.3783274543319717
108_CD244_(INF)	183_SPON1_(CVD)	0.2342024186501206
108_CD244_(INF)	133_IL-18_(INF)	0.23781217369482022
108_CD244_(INF)	miR-16-5p	0.18362406269710707
179_ESM-1_(CVD)	140_MPO_(CVD)	0.2227032639600104
179_ESM-1_(CVD)	157_IL-12B_(INF)	0.16222157111734514
179_ESM-1_(CVD)	129_LOX-1_(CVD)	0.15872681481021722
179_ESM-1_(CVD)	178_HB-EGF_(CVD)	0.2052572367533827
179_ESM-1_(CVD)	192_NEMO_(CVD)	0.23291262124714596
179_ESM-1_(CVD)	171_Dkk-1_(CVD)	0.20392843725527765
179_ESM-1_(CVD)	181_VEGF-D_(CVD)	0.15110857020774304
179_ESM-1_(CVD)	145_PAPPA_(CVD)	0.3611678268471783
179_ESM-1_(CVD)	183_SPON1_(CVD)	0.306097055304587
129_LOX-1_(CVD)	179_ESM-1_(CVD)	0.1587268148102181
129_LOX-1_(CVD)	miR-126-3p	0.135204363512333
129_LOX-1_(CVD)	132_SCF_(INF)	0.13484081105682844
129_LOX-1_(CVD)	162_U-PAR_(CVD)	0.3866619302926795
108_SELE_(CVD)	120_TRAIL_(INF)	0.09670357658737316
108_SELE_(CVD)	177_t-PA_(CVD)	0.1347685666618368
108_SELE_(CVD)	179_FGF-19_(INF)	0.14892672220989223
108_SELE_(CVD)	194_PECAM-1_(CVD)	0.3587709124778806
108_SELE_(CVD)	117_Gal-3_(CVD)	0.13056484419139736
108_SELE_(CVD)	103_AM_(CVD)	0.19402216425071206
miR-122-5p	miR-126-5p(*)	0.16215295284393516
miR-122-5p	167_Flt3L_(INF)	0.11202836886751388
miR-122-5p	106_GDNF_(INF)	0.10137333739710197
miR-122-5p	miR-885-5p	0.4317546501783145
miR-122-5p	RNY5-5p	0.29701762629591677
miR-122-5p	189_LEP_(CVD)	0.11596882302791922
miR-122-5p	189_TWEAK_(INF)	0.14499734143618692
miR-122-5p	139_PRL_(CVD)	0.10666575363898101
miR-122-5p	miR-192-5p	0.2336581504568498
miR-122-5p	113_IL-6_(CVD)	0.14378462418504867
miR-122-5p	123_TF_(CVD)	0.19009388530220672
miR-122-5p	128_CXCL1_(INF)	0.3366507984946976
miR-122-5p	miR-150-5p	0.19396876871345636
miR-21-5p	179_FGF-19_(INF)	0.09061341651780186
miR-21-5p	miR-24-3p	0.6873031473270075
178_HB-EGF_(CVD)	179_ESM-1_(CVD)	0.2052572367533827
178_HB-EGF_(CVD)	134_IL-6RA_(CVD)	0.1721836078999326
178_HB-EGF_(CVD)	185_CCL25_(INF)	0.19499684989731492
178_HB-EGF_(CVD)	miR-24-3p	0.20585192939338448
178_HB-EGF_(CVD)	124_TNF-R1_(CVD)	0.5709139778228565
178_HB-EGF_(CVD)	182_MMP-12_(CVD)	0.3611522334658286
miR-145-5p	miR-143-3p	0.14848768344331642
miR-145-5p	miR-30b-5p	0.6383127191081197
miR-145-5p	miR-126-3p	0.4907093099921136
miR-145-5p	miR-27b-3p	0.29509660414587824
miR-145-5p	117_CXCL11_(INF)	0.18240761834796615
miR-145-5p	155_TRANCE_(INF)	0.15090287596212537
miR-145-5p	161_MMP-10_(INF)	0.19568413088633552
179_FGF-19_(INF)	132_SCF_(INF)	0.12338289736252506
179_FGF-19_(INF)	150_CHI3L1_(CVD)	0.11764025234608955
179_FGF-19_(INF)	126_OSM_(INF)	0.10396925984104399
179_FGF-19_(INF)	108_SELE_(CVD)	0.14892672220989223
179_FGF-19_(INF)	151_ST2_(CVD)	0.12657488252136506
179_FGF-19_(INF)	miR-21-5p	0.09061341651780097
196_CSF-1_(INF)	102_VEGF-A_(INF)	0.43943277285532645
196_CSF-1_(INF)	165_CD5_(INF)	0.3937717165672163
196_CSF-1_(INF)	110_OPG_(INF)	0.38095983093080754
196_CSF-1_(INF)	109_IL-7_(INF)	0.28132805257447036
196_CSF-1_(INF)	122_CXCL9_(INF)	0.41731814493333363
196_CSF-1_(INF)	105_MCP-3_(INF)	0.1515165834471004
miR-143-3p	191_ST1A1_(INF)	0.12187325680526939
miR-143-3p	195_TNFB_(INF)	0.09169126672134453
miR-143-3p	193_FS_(CVD)	0.20444499550309292
miR-143-3p	173_CCL28_(INF)	0.11358819079959837
miR-143-3p	miR-145-5p	0.14848768344331642
132_SCF_(INF)	129_LOX-1_(CVD)	0.13484081105682844
132_SCF_(INF)	179_FGF-19_(INF)	0.11107850954193399
132_SCF_(INF)	189_TWEAK_(INF)	0.15932167083239968
132_SCF_(INF)	186_CX3CL1_(INF)	0.17236955949452426
132_SCF_(INF)	172_SIRT2_(CVD)	0.13493282125463235
191_ST1A1_(INF)	111_SRC_(CVD)	0.4149120027799382
191_ST1A1_(INF)	miR-143-3p	0.12187325680527117
191_ST1A1_(INF)	155_TRANCE_(INF)	0.1360891162628235
191_ST1A1_(INF)	134_IL-6RA_(CVD)	0.1521164908705792
152_PD-L1_(INF)	miR-122-5p	0.13647285387259878
152_PD-L1_(INF)	183_MCP-2_(INF)	0.2553493926316408
152_PD-L1_(INF)	123_CST5_(INF)	0.2268170969886345
152_PD-L1_(INF)	151_ST2_(CVD)	0.15388591819634634
152_PD-L1_(INF)	124_TNF-R1_(CVD)	0.4612761755565167
107_PlGF_(CVD)	122_TIE2_(CVD)	0.24227781951235272
107_PlGF_(CVD)	130_TRAIL-R2_(CVD)	0.6607305783183746
107_PlGF_(CVD)	151_IL-18R1_(INF)	0.22364077831207485
107_PlGF_(CVD)	196_ECP_(CVD)	0.32745708664976636
107_PlGF_(CVD)	135_TNF-R2_(CVD)	0.5616799356677804
107_PlGF_(CVD)	158_MB_(CVD)	0.3529993251842347
107_PlGF_(CVD)	114_CSTB_(CVD)	0.5421688595864991
107_PlGF_(CVD)	121_hK11_(CVD)	0.5686124953571303
107_PlGF_(CVD)	116_KLK6_(CVD)	0.3353479234522583
107_PlGF_(CVD)	137_HSP 27_(CVD)	0.20973784107477744
miR-486-5p	miR-885-5p	0.19613478384895178
miR-486-5p	miR-320a	0.4350684213907945
