Regulator	Target	MI
122_TIE2_(CVD)	168_CXCL6_(INF)	0.3997976958808396
122_TIE2_(CVD)	miR-320a	0.23839391676756172
122_TIE2_(CVD)	194_PECAM-1_(CVD)	0.3557294516997862
122_TIE2_(CVD)	107_PlGF_(CVD)	0.5283987388797398
122_TIE2_(CVD)	144_FAS_(CVD)	0.40042435139564514
148_PTX3_(CVD)	179_ESM-1_(CVD)	0.2626816832632146
148_PTX3_(CVD)	miR-223-5p(*)	0.14712295748808213
148_PTX3_(CVD)	188_NT-3_(INF)	0.15644236745079088
148_PTX3_(CVD)	168_CXCL6_(INF)	0.28698519700660885
148_PTX3_(CVD)	191_CA-125_(CVD)	0.15445872331123045
148_PTX3_(CVD)	113_IL-6_(CVD)	0.308030047477577
148_PTX3_(CVD)	173_GAL_(CVD)	0.14607282594947435
108_CD244_(INF)	151_IL-18R1_(INF)	0.12232102493062413
108_CD244_(INF)	126_IL27-A_(CVD)	0.23777610838868313
108_CD244_(INF)	112_uPA_(INF)	0.36152849549970245
108_CD244_(INF)	176_CD40_(INF)	0.4304836683215658
108_CD244_(INF)	miR-375	0.23662381921644027
108_CD244_(INF)	133_IL-18_(INF)	0.24568883165105238
179_ESM-1_(CVD)	148_PTX3_(CVD)	0.2626816832632146
179_ESM-1_(CVD)	157_IL-12B_(INF)	0.3528788031056296
179_ESM-1_(CVD)	185_CCL25_(INF)	0.23533252518132386
179_ESM-1_(CVD)	130_TRAIL-R2_(CVD)	0.28773825660863395
179_ESM-1_(CVD)	139_PRL_(CVD)	0.19857357477092652
179_ESM-1_(CVD)	192_NEMO_(CVD)	0.2828029612729006
179_ESM-1_(CVD)	181_VEGF-D_(CVD)	0.2710908449932976
179_ESM-1_(CVD)	145_PAPPA_(CVD)	0.2859613426247307
129_LOX-1_(CVD)	160_IL-16_(CVD)	0.2912646084337469
129_LOX-1_(CVD)	162_U-PAR_(CVD)	0.3206344177032987
129_LOX-1_(CVD)	126_IL27-A_(CVD)	0.2796932533033898
129_LOX-1_(CVD)	157_PSGL-1_(CVD)	0.16703335777336914
129_LOX-1_(CVD)	140_MPO_(CVD)	0.2563402668745134
129_LOX-1_(CVD)	126_OSM_(INF)	0.28325199624902986
129_LOX-1_(CVD)	136_MCP-4_(INF)	0.35968080185718954
108_SELE_(CVD)	107_CDCP1_(INF)	0.20959591364976227
108_SELE_(CVD)	164_CTSD_(CVD)	0.3722302302314002
108_SELE_(CVD)	185_CCL25_(INF)	0.1581742849257317
108_SELE_(CVD)	194_PECAM-1_(CVD)	0.35897760914284316
108_SELE_(CVD)	107_PlGF_(CVD)	0.26034118599901035
108_SELE_(CVD)	150_CHI3L1_(CVD)	0.2629738710585219
108_SELE_(CVD)	165_RAGE_(CVD)	0.2214523539975568
miR-122-5p	116_IL-17A_(INF)	0.14529562975704646
miR-122-5p	miR-885-5p	0.5357049974264374
miR-122-5p	RNY5-5p	0.23986964565203817
miR-122-5p	156_HGF_(INF)	0.23249901260829642
miR-122-5p	154_mAmP_(CVD)	0.18388825162396394
miR-122-5p	177_t-PA_(CVD)	0.23768936109734096
miR-122-5p	miR-192-5p	0.2319288760731837
miR-122-5p	188_NT-3_(INF)	0.13057408103618062
miR-122-5p	miR-150-5p	0.17286176748701187
miR-21-5p	miR-143-3p	0.36923471727603285
miR-21-5p	miR-223-3p	0.6366294593651007
miR-21-5p	miR-150-5p	0.33983390200628527
178_HB-EGF_(CVD)	118_PAR-1_(CVD)	0.5162046907815734
178_HB-EGF_(CVD)	159_TM_(CVD)	0.4354134211597174
178_HB-EGF_(CVD)	miR-24-3p	0.2809027267976969
178_HB-EGF_(CVD)	171_Dkk-1_(CVD)	0.2881931377875482
miR-145-5p	miR-143-3p	0.46378384458216626
miR-145-5p	132_SCF_(INF)	0.11082580633342864
miR-145-5p	112_IL-1ra_(CVD)	0.14447411274671307
miR-145-5p	miR-26a-5p	0.8267770068711453
179_FGF-19_(INF)	155_TRANCE_(INF)	0.11343052277796684
179_FGF-19_(INF)	175_EN-RAGE_(INF)	0.0958214205189103
179_FGF-19_(INF)	121_hK11_(CVD)	0.133131183362023
179_FGF-19_(INF)	miR-92a-3p	0.1390159987855517
179_FGF-19_(INF)	181_VEGF-D_(CVD)	0.1359272650773793
179_FGF-19_(INF)	151_ST2_(CVD)	0.11300646129806147
196_CSF-1_(INF)	149_IL-10RB_(INF)	0.523462778126337
196_CSF-1_(INF)	164_CCL23_(INF)	0.47292547368219573
196_CSF-1_(INF)	135_TNF-R2_(CVD)	0.48416667707433536
196_CSF-1_(INF)	miR-130a-3p	0.16288697378988548
196_CSF-1_(INF)	133_IL-18_(INF)	0.24663897080261243
196_CSF-1_(INF)	135_TGF-alpha_(INF)	0.48100513648593424
196_CSF-1_(INF)	miR-375	0.2137617797089062
miR-143-3p	miR-21-5p	0.36923471727603285
miR-143-3p	miR-145-5p	0.46378384458216537
miR-143-3p	153_Beta-NGF_(INF)	0.2230905587391705
miR-143-3p	173_CCL28_(INF)	0.22687694596524466
132_SCF_(INF)	miR-145-5p	0.11082580633342776
132_SCF_(INF)	167_MMP-7_(CVD)	0.2567310516141754
132_SCF_(INF)	186_CX3CL1_(INF)	0.25477662157861847
191_ST1A1_(INF)	111_SRC_(CVD)	0.365212283979635
191_ST1A1_(INF)	115_MCP-1_(INF)	0.1646106939924712
191_ST1A1_(INF)	135_TNF-R2_(CVD)	0.14579563139570606
191_ST1A1_(INF)	182_MMP-12_(CVD)	0.1427753019603646
152_PD-L1_(INF)	135_TNF-R2_(CVD)	0.3671804340884144
152_PD-L1_(INF)	134_SLAMF1_(INF)	0.3550032990698533
152_PD-L1_(INF)	107_CDCP1_(INF)	0.28335217896365883
152_PD-L1_(INF)	162_IL-10_(INF)	0.30745507912646985
