Regulator	Target	MI
122_TIE2_(CVD)	miR-122-5p	0.14043730271820376
122_TIE2_(CVD)	194_PECAM-1_(CVD)	0.21235588261315108
122_TIE2_(CVD)	107_PlGF_(CVD)	0.2853548151479899
122_TIE2_(CVD)	let-7d-5p	0.1794828728213096
148_PTX3_(CVD)	miR-324-5p	0.14998384675100773
148_PTX3_(CVD)	181_VEGF-D_(CVD)	0.15202990023409502
148_PTX3_(CVD)	190_CCL20_(INF)	0.12641183383270516
108_CD244_(INF)	168_CXCL6_(INF)	0.23066101442031606
108_CD244_(INF)	164_CTSD_(CVD)	0.10887050174865376
108_CD244_(INF)	131_CD6_(INF)	0.31064696532580616
108_CD244_(INF)	112_uPA_(INF)	0.321661517195845
108_CD244_(INF)	165_CD5_(INF)	0.33712710663492373
108_CD244_(INF)	miR-30b-5p	0.19329741448379334
108_CD244_(INF)	133_IL-18_(INF)	0.2515813739109447
179_ESM-1_(CVD)	139_PRL_(CVD)	0.09811503753233097
179_ESM-1_(CVD)	152_PD-L1_(INF)	0.1400518223378313
179_ESM-1_(CVD)	157_PSGL-1_(CVD)	0.13554613928334458
179_ESM-1_(CVD)	118_PAR-1_(CVD)	0.1813684940688045
179_ESM-1_(CVD)	171_Dkk-1_(CVD)	0.22829214702116296
179_ESM-1_(CVD)	miR-16-5p	0.1333924786953009
129_LOX-1_(CVD)	167_MMP-7_(CVD)	0.4558237328315222
129_LOX-1_(CVD)	112_IL-1ra_(CVD)	0.2646142701622338
129_LOX-1_(CVD)	162_U-PAR_(CVD)	0.3528597692043576
129_LOX-1_(CVD)	172_SIRT2_(CVD)	0.1489410802451676
129_LOX-1_(CVD)	196_ECP_(CVD)	0.37336860421495643
129_LOX-1_(CVD)	134_IL-6RA_(CVD)	0.1851037566921523
129_LOX-1_(CVD)	176_CD40_(INF)	0.2783343378565464
108_SELE_(CVD)	164_CTSD_(CVD)	0.14446778784825742
108_SELE_(CVD)	194_PECAM-1_(CVD)	0.4075910848707647
108_SELE_(CVD)	134_IL-6RA_(CVD)	0.18042906420582572
108_SELE_(CVD)	183_MCP-2_(INF)	0.17337638088592744
