Regulator	Target	MI
122_TIE2_(CVD)	131_CD6_(INF)	0.14054836321109665
122_TIE2_(CVD)	194_PECAM-1_(CVD)	0.4768999250562862
122_TIE2_(CVD)	150_CHI3L1_(CVD)	0.1729897495336843
122_TIE2_(CVD)	miR-140-5p	0.16347021287295593
122_TIE2_(CVD)	109_EGF_(CVD)	0.2114148376290217
122_TIE2_(CVD)	144_FAS_(CVD)	0.4411242815400227
148_PTX3_(CVD)	179_ESM-1_(CVD)	0.23696620722609207
148_PTX3_(CVD)	196_CSF-1_(INF)	0.2688485195720238
148_PTX3_(CVD)	140_IL-10RA_(INF)	0.20166954923012526
148_PTX3_(CVD)	miR-324-5p	0.22045962292663734
148_PTX3_(CVD)	162_IL-10_(INF)	0.23623445427714085
148_PTX3_(CVD)	miR-99b-5p	0.23281557448968382
148_PTX3_(CVD)	144_FAS_(CVD)	0.22556088324868018
108_CD244_(INF)	140_MPO_(CVD)	0.14784338596037916
108_CD244_(INF)	126_IL27-A_(CVD)	0.23869301399874399
108_CD244_(INF)	111_LAP TGF-beta-1_(INF)	0.30216657906089317
179_ESM-1_(CVD)	148_PTX3_(CVD)	0.23696620722609207
179_ESM-1_(CVD)	118_PAR-1_(CVD)	0.19589541312585013
179_ESM-1_(CVD)	142_MMP-1_(INF)	0.1364627338005162
179_ESM-1_(CVD)	176_CD40_(INF)	0.201549419579524
179_ESM-1_(CVD)	141_FGF-5_(INF)	0.17357913859183682
179_ESM-1_(CVD)	143_LIF-R_(INF)	0.2650335324104276
179_ESM-1_(CVD)	117_Gal-3_(CVD)	0.22274493992090072
179_ESM-1_(CVD)	miR-16-5p	0.2773541703117175
129_LOX-1_(CVD)	160_IL-16_(CVD)	0.5036027789464077
129_LOX-1_(CVD)	162_U-PAR_(CVD)	0.3982220758127628
129_LOX-1_(CVD)	140_MPO_(CVD)	0.3203286694800527
129_LOX-1_(CVD)	126_OSM_(INF)	0.16982540625145148
129_LOX-1_(CVD)	miR-29a-3p	0.1982034259877583
129_LOX-1_(CVD)	122_CXCL9_(INF)	0.24936366656910547
129_LOX-1_(CVD)	153_Beta-NGF_(INF)	0.25642401278098426
108_SELE_(CVD)	164_CTSD_(CVD)	0.17837331609972118
108_SELE_(CVD)	miR-885-5p	0.24236940016732955
108_SELE_(CVD)	194_PECAM-1_(CVD)	0.3936134245277447
108_SELE_(CVD)	145_CCL19_(INF)	0.10183427366593367
108_SELE_(CVD)	138_TNFSF14_(INF)	0.13421784823504623
108_SELE_(CVD)	113_IL-6_(CVD)	0.15095375583517345
108_SELE_(CVD)	miR-16-5p	0.13165212285770433
miR-122-5p	140_MPO_(CVD)	0.1658400433182896
miR-122-5p	192_STAMPB_(INF)	0.23598070172277819
miR-122-5p	miR-885-5p	0.7478696069051267
miR-122-5p	RNY5-5p	0.26247130195541146
miR-122-5p	110_OPG_(INF)	0.1520601660871721
miR-122-5p	188_BNP_(CVD)	0.3237188873520749
miR-122-5p	miR-192-5p	0.2019548985834927
miR-122-5p	miR-150-5p	0.1691450972339137
miR-21-5p	140_IL-10RA_(INF)	0.11875141728484628
miR-21-5p	188_NT-3_(INF)	0.17790717656866928
miR-21-5p	miR-24-3p	0.7243123507065494
miR-21-5p	miR-197-3p	0.45627727138796015
miR-21-5p	187_TNFRSF9_(INF)	0.1429132835812279
178_HB-EGF_(CVD)	162_U-PAR_(CVD)	0.43662678697208435
178_HB-EGF_(CVD)	171_Dkk-1_(CVD)	0.31855832328671596
178_HB-EGF_(CVD)	143_RETN_(CVD)	0.4139663535485374
miR-145-5p	miR-143-3p	0.2401002975657036
miR-145-5p	miR-99b-5p	0.5192143750976017
miR-145-5p	miR-20b-5p	0.6241148680264823
miR-145-5p	let-7d-5p	0.520417776869845
179_FGF-19_(INF)	110_OPG_(INF)	0.2554932615875085
179_FGF-19_(INF)	169_CXCL10_(INF)	0.10483280704572984
179_FGF-19_(INF)	165_RAGE_(CVD)	0.1316200843950064
179_FGF-19_(INF)	177_t-PA_(CVD)	0.09371824238726045
179_FGF-19_(INF)	139_PRL_(CVD)	0.14630245933282104
179_FGF-19_(INF)	miR-27b-3p	0.16415725785030943
196_CSF-1_(INF)	148_PTX3_(CVD)	0.2688485195720247
196_CSF-1_(INF)	149_IL-10RB_(INF)	0.4962382894783497
