Regulator	Target	MI
122_TIE2_(CVD)	164_CTSD_(CVD)	0.11717624814015704
122_TIE2_(CVD)	179_ESM-1_(CVD)	0.19554852876003093
122_TIE2_(CVD)	RNY4-5p	0.19701882513366176
122_TIE2_(CVD)	143_LIF-R_(INF)	0.1732650802665079
122_TIE2_(CVD)	144_FAS_(CVD)	0.3336462278488561
148_PTX3_(CVD)	191_CA-125_(CVD)	0.2599248620904442
148_PTX3_(CVD)	179_ESM-1_(CVD)	0.297588598163788
148_PTX3_(CVD)	miR-29a-3p	0.14042182350596288
148_PTX3_(CVD)	126_IL27-A_(CVD)	0.2421739166142869
108_CD244_(INF)	179_FGF-19_(INF)	0.14666197913983847
108_CD244_(INF)	138_TNFSF14_(INF)	0.17269149187048694
108_CD244_(INF)	172_SIRT2_(CVD)	0.15320302157219867
108_CD244_(INF)	165_CD5_(INF)	0.2792499637546344
108_CD244_(INF)	188_NT-3_(INF)	0.13656740284125402
108_CD244_(INF)	170_4E-BP1_(INF)	0.24721057198528218
108_CD244_(INF)	168_CXCL6_(INF)	0.2821488883293988
108_CD244_(INF)	169_CXCL10_(INF)	0.218494250912606
179_ESM-1_(CVD)	140_MPO_(CVD)	0.16242046550276967
179_ESM-1_(CVD)	122_TIE2_(CVD)	0.19554852876003004
179_ESM-1_(CVD)	148_PTX3_(CVD)	0.297588598163788
179_ESM-1_(CVD)	118_AXIN1_(INF)	0.17666861066798845
179_ESM-1_(CVD)	106_GDNF_(INF)	0.1389713647698212
179_ESM-1_(CVD)	181_VEGF-D_(CVD)	0.23067895234079927
179_ESM-1_(CVD)	145_PAPPA_(CVD)	0.2744789058509651
179_ESM-1_(CVD)	183_SPON1_(CVD)	0.1988745460263388
179_ESM-1_(CVD)	190_CCL20_(INF)	0.16403965178849056
129_LOX-1_(CVD)	162_U-PAR_(CVD)	0.4604031967666051
129_LOX-1_(CVD)	123_CST5_(INF)	0.2626232596008782
129_LOX-1_(CVD)	130_CCL4_(INF)	0.22021839046630554
129_LOX-1_(CVD)	145_PAPPA_(CVD)	0.19599210879955287
108_SELE_(CVD)	140_MPO_(CVD)	0.1417517562970252
108_SELE_(CVD)	107_CDCP1_(INF)	0.14791975956159042
108_SELE_(CVD)	195_NT-pro-BNP_(CVD)	0.13485622835866096
108_SELE_(CVD)	RNY5-5p	0.17743990451182778
108_SELE_(CVD)	miR-130a-3p	0.1472591443641118
108_SELE_(CVD)	194_PECAM-1_(CVD)	0.35369133529642127
108_SELE_(CVD)	157_PSGL-1_(CVD)	0.12735277211874596
108_SELE_(CVD)	138_TNFSF14_(INF)	0.12405179948475009
108_SELE_(CVD)	112_IL-1ra_(CVD)	0.14921266342607353
108_SELE_(CVD)	149_REN_(CVD)	0.13466910709097313
miR-122-5p	miR-324-5p	0.1770374080592454
miR-122-5p	miR-885-5p	0.6175857056135312
miR-122-5p	RNY5-5p	0.181201647600453
miR-122-5p	139_PRL_(CVD)	0.18871449296969978
miR-122-5p	miR-192-5p	0.3020164390163842
miR-122-5p	118_PAR-1_(CVD)	0.16106590036378599
miR-122-5p	151_ST2_(CVD)	0.1777897949192333
miR-21-5p	174_AGRP_(CVD)	0.16093780375214894
miR-21-5p	miR-24-3p	0.567547622065411
miR-21-5p	140_IL-10RA_(INF)	0.19453131006986268
miR-21-5p	141_GH_(CVD)	0.12876489164913618
178_HB-EGF_(CVD)	135_TNF-R2_(CVD)	0.4939916037271317
178_HB-EGF_(CVD)	158_MB_(CVD)	0.3227190383665848
178_HB-EGF_(CVD)	123_TF_(CVD)	0.4917027477430018
miR-145-5p	149_IL-10RB_(INF)	0.1569506540814345
miR-145-5p	hsa-miR-574-3p	0.5204755553642864
miR-145-5p	miR-26a-5p	0.6366292197623089
179_FGF-19_(INF)	175_EN-RAGE_(INF)	0.1060568314928414
179_FGF-19_(INF)	167_Flt3L_(INF)	0.17885134594916874
179_FGF-19_(INF)	150_CHI3L1_(CVD)	0.14672211245204014
179_FGF-19_(INF)	108_CD244_(INF)	0.14666197913983847
179_FGF-19_(INF)	RNY4-5p	0.15302109266576025
179_FGF-19_(INF)	miR-885-5p	0.1361401401936888
179_FGF-19_(INF)	158_MB_(CVD)	0.1142908760353949
179_FGF-19_(INF)	184_CASP-8_(INF)	0.16377104609362458
196_CSF-1_(INF)	186_CX3CL1_(INF)	0.3721299998599328
196_CSF-1_(INF)	135_TNF-R2_(CVD)	0.4605538499978552
196_CSF-1_(INF)	107_CDCP1_(INF)	0.313099981995439
196_CSF-1_(INF)	135_TGF-alpha_(INF)	0.5178246257080508
196_CSF-1_(INF)	115_MCP-1_(INF)	0.39044759440563404
196_CSF-1_(INF)	156_HGF_(INF)	0.41402803070311034
196_CSF-1_(INF)	187_TNFRSF9_(INF)	0.5534617855025648
196_CSF-1_(INF)	153_Beta-NGF_(INF)	0.4181817885882575
miR-143-3p	134_SLAMF1_(INF)	0.12490350606814804
miR-143-3p	miR-140-5p	0.3123189990284265
miR-143-3p	117_Gal-3_(CVD)	0.13368989733437253
132_SCF_(INF)	195_TNFB_(INF)	0.10938757800224064
132_SCF_(INF)	miR-30b-5p	0.1276285587005752
132_SCF_(INF)	126_IL27-A_(CVD)	0.09575226369346179
191_ST1A1_(INF)	139_FGF-23_(INF)	0.23227029783465802
191_ST1A1_(INF)	111_SRC_(CVD)	0.3540654527585687
152_PD-L1_(INF)	151_ST2_(CVD)	0.18136450433472717
152_PD-L1_(INF)	135_TNF-R2_(CVD)	0.39633275716162863
152_PD-L1_(INF)	134_SLAMF1_(INF)	0.2610173656128918
152_PD-L1_(INF)	184_CASP-8_(INF)	0.19653766797482497
107_PlGF_(CVD)	174_AGRP_(CVD)	0.29444373417240577
107_PlGF_(CVD)	167_MMP-7_(CVD)	0.35228997537128137
107_PlGF_(CVD)	118_PAR-1_(CVD)	0.5405539708796256
107_PlGF_(CVD)	193_FS_(CVD)	0.39035561562063226
107_PlGF_(CVD)	181_VEGF-D_(CVD)	0.17868821867988505
107_PlGF_(CVD)	144_FAS_(CVD)	0.40612391802353187
107_PlGF_(CVD)	136_MMP-3_(CVD)	0.30156619361200665
107_PlGF_(CVD)	miR-20b-5p	0.16528338511538365
107_PlGF_(CVD)	121_hK11_(CVD)	0.48328425368487604
miR-486-5p	miR-93-5p	0.5373761683591827
miR-486-5p	155_TRANCE_(INF)	0.09658508874384886
miR-486-5p	miR-92a-3p	0.4894662404209855
miR-486-5p	106_GDF-15_(CVD)	0.2081056109221473
miR-486-5p	miR-16-5p	0.5599688825675733
160_IL-16_(CVD)	174_AGRP_(CVD)	0.3152493735266342
160_IL-16_(CVD)	196_ECP_(CVD)	0.24651504933165214
160_IL-16_(CVD)	169_CXCL10_(INF)	0.24520954911649628
160_IL-16_(CVD)	124_TNF-R1_(CVD)	0.3931821801350406
112_IL-1ra_(CVD)	108_SELE_(CVD)	0.14921266342607442
112_IL-1ra_(CVD)	151_IL-18R1_(INF)	0.14821701504983853
112_IL-1ra_(CVD)	141_GH_(CVD)	0.09638551982652022
112_IL-1ra_(CVD)	189_LEP_(CVD)	0.334882891202958
112_IL-1ra_(CVD)	let-7d-5p	0.12724405206114575
162_U-PAR_(CVD)	129_LOX-1_(CVD)	0.460403196766606
162_U-PAR_(CVD)	130_TRAIL-R2_(CVD)	0.6826872881337129
162_U-PAR_(CVD)	185_CTSL1_(CVD)	0.3129247379865898
162_U-PAR_(CVD)	166_CCL3_(CVD)	0.46767336574847107
162_U-PAR_(CVD)	134_SLAMF1_(INF)	0.33607121295341624
162_U-PAR_(CVD)	114_CSTB_(CVD)	0.6280877866692132
162_U-PAR_(CVD)	113_IL-6_(CVD)	0.36727987761928915
162_U-PAR_(CVD)	143_RETN_(CVD)	0.4310521344155429
185_CTSL1_(CVD)	162_U-PAR_(CVD)	0.3129247379865898
185_CTSL1_(CVD)	191_CA-125_(CVD)	0.1593530264962295
185_CTSL1_(CVD)	miR-221-3p	0.14317328951886843
151_ST2_(CVD)	136_MMP-3_(CVD)	0.22346076909775725
151_ST2_(CVD)	miR-122-5p	0.1777897949192333
151_ST2_(CVD)	152_PD-L1_(INF)	0.18136450433472628
151_ST2_(CVD)	150_CHI3L1_(CVD)	0.1781400352393021
151_ST2_(CVD)	157_PSGL-1_(CVD)	0.1085788145521498
151_ST2_(CVD)	149_REN_(CVD)	0.14774256824535392
151_ST2_(CVD)	144_FAS_(CVD)	0.16101499242322959
102_VEGF-A_(INF)	114_CSTB_(CVD)	0.4553273164712248
102_VEGF-A_(INF)	170_4E-BP1_(INF)	0.48500542625248677
102_VEGF-A_(INF)	122_CXCL9_(INF)	0.314600821907999
102_VEGF-A_(INF)	176_CD40_(INF)	0.5857936595577193
186_CX3CL1_(INF)	196_CSF-1_(INF)	0.37212999985993367
186_CX3CL1_(INF)	195_NT-pro-BNP_(CVD)	0.3387656667352257
186_CX3CL1_(INF)	141_FGF-5_(INF)	0.24363149363568937
144_FGF-21_(INF)	150_CHI3L1_(CVD)	0.21608959823462648
144_FGF-21_(INF)	149_IL-10RB_(INF)	0.21576637827657486
RNY4-3p	187_FABP4_(CVD)	0.14490626300791387
RNY4-3p	miR-320a	0.5183737121639167
RNY4-3p	113_IL-6_(CVD)	0.19840976686295075
RNY4-3p	miR-126-5p(*)	0.508769327140123
RNY4-3p	RNY4-5p	0.9278949287330978
101_IL-8_(INF)	107_CDCP1_(INF)	0.24968478160456797
101_IL-8_(INF)	169_CXCL10_(INF)	0.2744272420960119
101_IL-8_(INF)	miR-93-5p	0.1448979185993542
101_IL-8_(INF)	156_HGF_(INF)	0.25385243900774945
126_IL27-A_(CVD)	148_PTX3_(CVD)	0.2421739166142869
126_IL27-A_(CVD)	132_SCF_(INF)	0.09575226369346179
126_IL27-A_(CVD)	194_ADA_(INF)	0.11170520621135793
126_IL27-A_(CVD)	135_TNF-R2_(CVD)	0.3253975496304138
126_IL27-A_(CVD)	let-7b-5p	0.1589794401306106
126_IL27-A_(CVD)	134_SLAMF1_(INF)	0.16871853752085997
111_LAP TGF-beta-1_(INF)	149_IL-10RB_(INF)	0.3936997185920781
111_LAP TGF-beta-1_(INF)	156_HGF_(INF)	0.40380344180000716
111_LAP TGF-beta-1_(INF)	123_TF_(CVD)	0.24798903723499865
111_LAP TGF-beta-1_(INF)	140_IL-10RA_(INF)	0.31713954372506237
111_LAP TGF-beta-1_(INF)	143_LIF-R_(INF)	0.3598831544963037
111_LAP TGF-beta-1_(INF)	128_CXCL1_(INF)	0.2799511990154073
165_RAGE_(CVD)	191_CA-125_(CVD)	0.15674952803770292
165_RAGE_(CVD)	159_TM_(CVD)	0.21753569799759465
165_RAGE_(CVD)	miR-223-5p(*)	0.1564511728652045
165_RAGE_(CVD)	183_SPON1_(CVD)	0.28040245712058365
165_CD5_(INF)	108_CD244_(INF)	0.2792499637546353
165_CD5_(INF)	149_IL-10RB_(INF)	0.43177646331807296
165_CD5_(INF)	miR-150-5p	0.11636152523507803
165_CD5_(INF)	157_IL-12B_(INF)	0.22286693445316175
165_CD5_(INF)	185_CCL25_(INF)	0.30484483421506336
165_CD5_(INF)	miR-20b-5p	0.23498614848624122
165_CD5_(INF)	131_CD6_(INF)	0.2883834339450484
165_CD5_(INF)	187_TNFRSF9_(INF)	0.41923827260366586
165_CD5_(INF)	182_MMP-12_(CVD)	0.28539695810230015
173_CCL28_(INF)	195_TNFB_(INF)	0.17769005902912927
173_CCL28_(INF)	107_CDCP1_(INF)	0.19080730476335894
173_CCL28_(INF)	149_IL-10RB_(INF)	0.23546352260156045
173_CCL28_(INF)	114_IL-17C_(INF)	0.1258074249995067
173_CCL28_(INF)	192_NEMO_(CVD)	0.19553827665312795
173_CCL28_(INF)	112_uPA_(INF)	0.4285558651276169
173_CCL28_(INF)	154_mAmP_(CVD)	0.1549204240497568
173_CCL28_(INF)	141_FGF-5_(INF)	0.1262662002998285
173_CCL28_(INF)	161_MMP-10_(INF)	0.28382868435041253
173_CCL28_(INF)	149_REN_(CVD)	0.1432547336037926
181_VEGF-D_(CVD)	179_ESM-1_(CVD)	0.23067895234079927
181_VEGF-D_(CVD)	120_TRAIL_(INF)	0.2175575645263832
181_VEGF-D_(CVD)	141_FGF-5_(INF)	0.17328926263204103
181_VEGF-D_(CVD)	107_PlGF_(CVD)	0.17868821867988505
181_VEGF-D_(CVD)	141_GH_(CVD)	0.12626394628138726
188_BNP_(CVD)	195_NT-pro-BNP_(CVD)	1.424631908874269
134_IL-6RA_(CVD)	164_CTSD_(CVD)	0.1365868373146899
134_IL-6RA_(CVD)	miR-324-5p	0.10600650480458995
134_IL-6RA_(CVD)	170_CXCL16_(CVD)	0.3250209185140003
134_SLAMF1_(INF)	116_IL-17A_(INF)	0.15744737766322014
134_SLAMF1_(INF)	miR-143-3p	0.12490350606814804
134_SLAMF1_(INF)	152_PD-L1_(INF)	0.2610173656128909
134_SLAMF1_(INF)	162_U-PAR_(CVD)	0.32312417148594896
134_SLAMF1_(INF)	126_IL27-A_(CVD)	0.16871853752086086
134_SLAMF1_(INF)	107_CDCP1_(INF)	0.18025414234776616
134_SLAMF1_(INF)	115_MCP-1_(INF)	0.21141707569494628
134_SLAMF1_(INF)	105_MCP-3_(INF)	0.1349267920991455
miR-140-5p	miR-143-3p	0.29199545809039673
miR-140-5p	miR-324-5p	0.27819705124115934
miR-140-5p	miR-29a-3p	0.525886480290267
miR-140-5p	miR-19b-3p	0.8187252738666935
miR-192-5p	miR-122-5p	0.3020164390163842
miR-192-5p	156_HGF_(INF)	0.14434578779127882
miR-192-5p	193_FS_(CVD)	0.12637111143465685
miR-192-5p	hsa-miR-574-3p	0.30704028462739696
miR-192-5p	166_CCL3_(CVD)	0.16752332694949867
miR-192-5p	miR-375	0.2265287841307515
145_CCL19_(INF)	miR-93-5p	0.15435447934689073
145_CCL19_(INF)	193_FS_(CVD)	0.14792933956759402
145_CCL19_(INF)	135_TGF-alpha_(INF)	0.12088997131704815
145_CCL19_(INF)	131_CD6_(INF)	0.10870133483360611
145_CCL19_(INF)	190_CCL20_(INF)	0.1399528569455697
157_PSGL-1_(CVD)	167_Flt3L_(INF)	0.1283942994600693
157_PSGL-1_(CVD)	125_PDGF subunit B_(CVD)	0.12265519330912777
