Regulator	Target	MI
122_TIE2_(CVD)	148_PTX3_(CVD)	0.22920190897138593
122_TIE2_(CVD)	136_MCP-4_(INF)	0.16418043808676686
122_TIE2_(CVD)	194_PECAM-1_(CVD)	0.28902499116790903
122_TIE2_(CVD)	107_PlGF_(CVD)	0.33418781762792893
122_TIE2_(CVD)	184_CASP-8_(INF)	0.1647196191384337
122_TIE2_(CVD)	123_TF_(CVD)	0.23011855377080082
122_TIE2_(CVD)	145_PAPPA_(CVD)	0.18151832619251262
122_TIE2_(CVD)	182_MMP-12_(CVD)	0.30024949041554905
148_PTX3_(CVD)	122_TIE2_(CVD)	0.22920190897138593
148_PTX3_(CVD)	191_CA-125_(CVD)	0.2199237995945449
148_PTX3_(CVD)	179_ESM-1_(CVD)	0.30348747989809066
148_PTX3_(CVD)	175_EN-RAGE_(INF)	0.15522465788257378
148_PTX3_(CVD)	miR-324-5p	0.153211079027062
148_PTX3_(CVD)	126_IL27-A_(CVD)	0.18444360651734915
148_PTX3_(CVD)	miR-140-5p	0.13641173364246217
148_PTX3_(CVD)	157_PSGL-1_(CVD)	0.11985601702570747
108_CD244_(INF)	149_IL-10RB_(INF)	0.30950847070561416
108_CD244_(INF)	139_PRL_(CVD)	0.15976657921253512
108_CD244_(INF)	137_HSP 27_(CVD)	0.13846028422230638
179_ESM-1_(CVD)	148_PTX3_(CVD)	0.30348747989809066
179_ESM-1_(CVD)	171_Dkk-1_(CVD)	0.15665226878223404
179_ESM-1_(CVD)	153_Beta-NGF_(INF)	0.16966988278294615
179_ESM-1_(CVD)	188_BNP_(CVD)	0.154485644772004
179_ESM-1_(CVD)	137_HSP 27_(CVD)	0.21974153508160477
179_ESM-1_(CVD)	145_PAPPA_(CVD)	0.19074747483419596
179_ESM-1_(CVD)	182_MMP-12_(CVD)	0.17179477006338928
129_LOX-1_(CVD)	126_IL27-A_(CVD)	0.1816072495638501
129_LOX-1_(CVD)	140_MPO_(CVD)	0.18204925329049093
129_LOX-1_(CVD)	107_CDCP1_(INF)	0.18044549872301552
129_LOX-1_(CVD)	126_OSM_(INF)	0.21343760178956384
129_LOX-1_(CVD)	124_TNF-R1_(CVD)	0.3231716630293189
129_LOX-1_(CVD)	153_Beta-NGF_(INF)	0.3747024169930713
129_LOX-1_(CVD)	RNY4-5p	0.13870036473356073
129_LOX-1_(CVD)	117_Gal-3_(CVD)	0.17823850284041765
108_SELE_(CVD)	196_ECP_(CVD)	0.26938956127444413
108_SELE_(CVD)	miR-320a	0.15534785563650022
108_SELE_(CVD)	194_PECAM-1_(CVD)	0.27162587186559417
108_SELE_(CVD)	183_MCP-2_(INF)	0.13903438282428215
108_SELE_(CVD)	112_IL-1ra_(CVD)	0.19783899191318977
108_SELE_(CVD)	103_AM_(CVD)	0.2542275539970822
miR-122-5p	175_EN-RAGE_(INF)	0.13590682526177655
miR-122-5p	miR-885-5p	0.41961168887656974
miR-122-5p	RNY5-5p	0.19595562280473633
miR-122-5p	154_mAmP_(CVD)	0.15699728433997784
miR-21-5p	189_TWEAK_(INF)	0.16607710737035752
miR-21-5p	132_SCF_(INF)	0.12407021834859933
miR-21-5p	miR-223-3p	0.6110974721431353
miR-21-5p	155_TRANCE_(INF)	0.1733048147542684
178_HB-EGF_(CVD)	179_FGF-19_(INF)	0.10803954468260457
178_HB-EGF_(CVD)	107_PlGF_(CVD)	0.4239022516792277
178_HB-EGF_(CVD)	160_IL-16_(CVD)	0.3600912366727185
178_HB-EGF_(CVD)	193_FS_(CVD)	0.24833235445290835
178_HB-EGF_(CVD)	158_MB_(CVD)	0.4273891249611266
178_HB-EGF_(CVD)	171_Dkk-1_(CVD)	0.3496102567207293
miR-145-5p	miR-143-3p	0.27890936142218514
miR-145-5p	miR-30b-5p	0.7042867837200513
miR-145-5p	156_HGF_(INF)	0.15208185890719772
miR-145-5p	let-7d-5p	0.4896085931841494
179_FGF-19_(INF)	145_CCL19_(INF)	0.17092980334381647
179_FGF-19_(INF)	157_PSGL-1_(CVD)	0.14284971821353576
179_FGF-19_(INF)	miR-28-5p	0.106753984022669
179_FGF-19_(INF)	178_HB-EGF_(CVD)	0.10803954468260457
196_CSF-1_(INF)	149_IL-10RB_(INF)	0.4292996814026724
196_CSF-1_(INF)	102_VEGF-A_(INF)	0.4996068649545231
196_CSF-1_(INF)	165_CD5_(INF)	0.40717136296158873
196_CSF-1_(INF)	110_OPG_(INF)	0.3973291623437749
196_CSF-1_(INF)	123_CST5_(INF)	0.19796972432627058
196_CSF-1_(INF)	175_EN-RAGE_(INF)	0.14721439536423375
196_CSF-1_(INF)	105_MCP-3_(INF)	0.31441222971819194
196_CSF-1_(INF)	117_CXCL11_(INF)	0.2897999319298128
196_CSF-1_(INF)	153_Beta-NGF_(INF)	0.43166904899582637
miR-143-3p	miR-145-5p	0.27890936142218514
miR-143-3p	132_SCF_(INF)	0.11958254701691562
miR-143-3p	124_TNF-R1_(CVD)	0.14224635837114352
miR-143-3p	128_CXCL1_(INF)	0.23510651793612958
132_SCF_(INF)	164_CTSD_(CVD)	0.1255106781234785
132_SCF_(INF)	miR-21-5p	0.12407021834859933
132_SCF_(INF)	103_BDNF_(INF)	0.0913032125873885
132_SCF_(INF)	miR-143-3p	0.10473591028689011
132_SCF_(INF)	138_TNFSF14_(INF)	0.13755643110783122
132_SCF_(INF)	151_ST2_(CVD)	0.14696288873042374
