Regulator	Target	MI
122_TIE2_(CVD)	107_PlGF_(CVD)	0.3376001539995208
122_TIE2_(CVD)	194_PECAM-1_(CVD)	0.40872902202045847
148_PTX3_(CVD)	136_MMP-3_(CVD)	0.1734115484079748
148_PTX3_(CVD)	135_TGF-alpha_(INF)	0.21165793608753702
148_PTX3_(CVD)	107_PlGF_(CVD)	0.23638532923014477
148_PTX3_(CVD)	188_NT-3_(INF)	0.09471950040815624
108_CD244_(INF)	140_MPO_(CVD)	0.21200575112953768
108_CD244_(INF)	131_CD6_(INF)	0.24243578321474324
108_CD244_(INF)	165_CD5_(INF)	0.32968232241384765
108_CD244_(INF)	miR-16-5p	0.14659242601369993
179_ESM-1_(CVD)	135_TGF-alpha_(INF)	0.25052392695375136
179_ESM-1_(CVD)	194_PECAM-1_(CVD)	0.34773934075444135
179_ESM-1_(CVD)	RNY4-5p	0.16349125374562234
179_ESM-1_(CVD)	174_DNER_(INF)	0.2617326148963164
179_ESM-1_(CVD)	145_PAPPA_(CVD)	0.19727863737526352
129_LOX-1_(CVD)	162_U-PAR_(CVD)	0.3275734887617947
129_LOX-1_(CVD)	126_IL27-A_(CVD)	0.18193698128373192
129_LOX-1_(CVD)	107_CDCP1_(INF)	0.2333892880181727
129_LOX-1_(CVD)	110_OPG_(INF)	0.24520928190833757
129_LOX-1_(CVD)	145_PAPPA_(CVD)	0.2543450814821977
108_SELE_(CVD)	106_GDNF_(INF)	0.25081866482368476
108_SELE_(CVD)	150_CHI3L1_(CVD)	0.14123231462001762
108_SELE_(CVD)	174_AGRP_(CVD)	0.1387516008885168
108_SELE_(CVD)	miR-320a	0.13280094150515342
108_SELE_(CVD)	177_t-PA_(CVD)	0.16888985005321633
108_SELE_(CVD)	194_PECAM-1_(CVD)	0.36959937843342505
108_SELE_(CVD)	134_SLAMF1_(INF)	0.14466922700990015
miR-122-5p	189_TWEAK_(INF)	0.171725145094082
miR-122-5p	152_PD-L1_(INF)	0.15906708028296723
miR-122-5p	miR-885-5p	0.35144394602111984
miR-122-5p	RNY5-5p	0.2769995082137573
miR-21-5p	110_OPG_(INF)	0.14282069057500024
miR-21-5p	miR-20b-5p	0.45649777403407654
miR-21-5p	miR-320a	0.4568059203246282
miR-21-5p	miR-130a-3p	0.43167347959490865
miR-21-5p	141_FGF-5_(INF)	0.1527166523183885
178_HB-EGF_(CVD)	107_PlGF_(CVD)	0.5534191167140872
178_HB-EGF_(CVD)	193_FS_(CVD)	0.3440651672925039
178_HB-EGF_(CVD)	165_RAGE_(CVD)	0.3517903837529319
178_HB-EGF_(CVD)	191_CA-125_(CVD)	0.26084598612470256
178_HB-EGF_(CVD)	RNY5-5p	0.3119978214864245
178_HB-EGF_(CVD)	159_TM_(CVD)	0.5458795534883096
178_HB-EGF_(CVD)	171_Dkk-1_(CVD)	0.30525481809834787
178_HB-EGF_(CVD)	124_TNF-R1_(CVD)	0.6007605005149044
miR-145-5p	191_ST1A1_(INF)	0.21646229059486544
miR-145-5p	miR-191-5p	0.41243883683436167
miR-145-5p	hsa-miR-574-3p	0.5948772814934369
miR-145-5p	117_CXCL11_(INF)	0.14116242349469577
miR-145-5p	miR-26a-5p	0.5653165172942529
miR-145-5p	miR-140-5p	0.5165948262358881
179_FGF-19_(INF)	143_LIF-R_(INF)	0.10713964234769069
179_FGF-19_(INF)	154_mAmP_(CVD)	0.13410565032192512
179_FGF-19_(INF)	193_FS_(CVD)	0.1266683577112051
179_FGF-19_(INF)	miR-320a	0.13742807918303246
179_FGF-19_(INF)	151_ST2_(CVD)	0.13037260533452866
196_CSF-1_(INF)	125_PDGF subunit B_(CVD)	0.12603782143706344
196_CSF-1_(INF)	149_IL-10RB_(INF)	0.517308893329461
196_CSF-1_(INF)	102_VEGF-A_(INF)	0.5421842631306903
196_CSF-1_(INF)	186_CX3CL1_(INF)	0.43445206400899306
196_CSF-1_(INF)	miR-324-5p	0.18070674192096892
196_CSF-1_(INF)	101_IL-8_(INF)	0.27978848114358446
196_CSF-1_(INF)	135_TNF-R2_(CVD)	0.3951474299636475
196_CSF-1_(INF)	120_TRAIL_(INF)	0.27191793941541764
196_CSF-1_(INF)	miR-885-5p	0.16359847891315393
196_CSF-1_(INF)	110_OPG_(INF)	0.43605828587953965
196_CSF-1_(INF)	169_CXCL10_(INF)	0.36970831594782183
196_CSF-1_(INF)	109_IL-7_(INF)	0.27195962568430154
196_CSF-1_(INF)	123_CST5_(INF)	0.3568322837589806
196_CSF-1_(INF)	175_EN-RAGE_(INF)	0.23689639995760192
196_CSF-1_(INF)	174_DNER_(INF)	0.23590716447874094
miR-143-3p	107_CDCP1_(INF)	0.17961532472580188
miR-143-3p	187_FABP4_(CVD)	0.12015494403824878
miR-143-3p	miR-130a-3p	0.25200370026926855
miR-143-3p	173_CCL28_(INF)	0.21412172519844308
miR-143-3p	miR-192-5p	0.16394407399603583
132_SCF_(INF)	165_CD5_(INF)	0.23600879875944525
132_SCF_(INF)	191_ST1A1_(INF)	0.14750819199135634
132_SCF_(INF)	193_FS_(CVD)	0.27246848894631537
132_SCF_(INF)	151_ST2_(CVD)	0.2074341158654578
191_ST1A1_(INF)	196_ECP_(CVD)	0.0999666350799373
191_ST1A1_(INF)	191_CA-125_(CVD)	0.15724252808021788
191_ST1A1_(INF)	150_CHI3L1_(CVD)	0.10448296996187612
191_ST1A1_(INF)	miR-324-5p	0.16306582458256536
191_ST1A1_(INF)	miR-145-5p	0.21646229059486455
191_ST1A1_(INF)	132_SCF_(INF)	0.14750819199135545
191_ST1A1_(INF)	138_TNFSF14_(INF)	0.14301605186142474
191_ST1A1_(INF)	109_EGF_(CVD)	0.31370235416191594
152_PD-L1_(INF)	miR-122-5p	0.15906708028296634
152_PD-L1_(INF)	164_CCL23_(INF)	0.3362886736150177
152_PD-L1_(INF)	miR-140-5p	0.2069678671767763
152_PD-L1_(INF)	143_LIF-R_(INF)	0.29175366641776534
152_PD-L1_(INF)	170_4E-BP1_(INF)	0.2476984586420068
152_PD-L1_(INF)	159_TM_(CVD)	0.2688525980066503
152_PD-L1_(INF)	109_IL-7_(INF)	0.2208259052902184
107_PlGF_(CVD)	122_TIE2_(CVD)	0.3376001539995208
107_PlGF_(CVD)	148_PTX3_(CVD)	0.23638532923014477
107_PlGF_(CVD)	178_HB-EGF_(CVD)	0.5534191167140872
107_PlGF_(CVD)	miR-486-5p	0.1755345523509666
107_PlGF_(CVD)	170_CXCL16_(CVD)	0.3880474441025319
107_PlGF_(CVD)	158_MB_(CVD)	0.46352840728993705
107_PlGF_(CVD)	121_hK11_(CVD)	0.5045343926387691
107_PlGF_(CVD)	106_GDNF_(INF)	0.21176094711185467
107_PlGF_(CVD)	105_CD40-L_(CVD)	0.28450181143608333
miR-486-5p	107_PlGF_(CVD)	0.1755345523509666
miR-486-5p	miR-93-5p	0.5132144478229739
miR-486-5p	miR-16-5p	0.7804419033537622
160_IL-16_(CVD)	138_TNFSF14_(INF)	0.2813359720310107
160_IL-16_(CVD)	135_TNF-R2_(CVD)	0.42070856765097187
160_IL-16_(CVD)	188_NT-3_(INF)	0.24269435835160014
160_IL-16_(CVD)	194_PECAM-1_(CVD)	0.3533247427930437
112_IL-1ra_(CVD)	187_FABP4_(CVD)	0.4323045456559642
112_IL-1ra_(CVD)	113_IL-6_(CVD)	0.23309416645089165
112_IL-1ra_(CVD)	177_t-PA_(CVD)	0.26933038059635717
112_IL-1ra_(CVD)	145_CCL19_(INF)	0.25241998249398456
162_U-PAR_(CVD)	129_LOX-1_(CVD)	0.3275734887617956
162_U-PAR_(CVD)	135_TNF-R2_(CVD)	0.4954069683136515
162_U-PAR_(CVD)	134_IL-6RA_(CVD)	0.30853327704697797
162_U-PAR_(CVD)	105_MCP-3_(INF)	0.28042256804951915
185_CTSL1_(CVD)	miR-24-3p	0.17870937392465702
185_CTSL1_(CVD)	166_CCL3_(CVD)	0.3904666574263347
185_CTSL1_(CVD)	173_CCL28_(INF)	0.26649823327896716
185_CTSL1_(CVD)	183_SPON1_(CVD)	0.3202667356250313
151_ST2_(CVD)	157_IL-12B_(INF)	0.2278000020912394
151_ST2_(CVD)	136_MMP-3_(CVD)	0.3714564326432743
151_ST2_(CVD)	181_VEGF-D_(CVD)	0.12586709736406476
151_ST2_(CVD)	130_TRAIL-R2_(CVD)	0.2377918489634041
151_ST2_(CVD)	155_TRANCE_(INF)	0.1387596181531423
151_ST2_(CVD)	179_FGF-19_(INF)	0.13037260533452866
151_ST2_(CVD)	132_SCF_(INF)	0.2074341158654569
102_VEGF-A_(INF)	196_CSF-1_(INF)	0.5421842631306903
102_VEGF-A_(INF)	133_IL-18_(INF)	0.2256637710658813
102_VEGF-A_(INF)	168_CXCL6_(INF)	0.4507408111343576
102_VEGF-A_(INF)	139_FGF-23_(INF)	0.4415583349324361
102_VEGF-A_(INF)	156_HGF_(INF)	0.3452267232052071
