Regulator	Target	MI
122_TIE2_(CVD)	185_CTSL1_(CVD)	0.2453707742467417
122_TIE2_(CVD)	144_FAS_(CVD)	0.3708727988806997
122_TIE2_(CVD)	194_PECAM-1_(CVD)	0.393105515480519
122_TIE2_(CVD)	123_TF_(CVD)	0.2824967115814019
122_TIE2_(CVD)	112_uPA_(INF)	0.1831558149959207
122_TIE2_(CVD)	177_t-PA_(CVD)	0.16958024739676958
148_PTX3_(CVD)	168_CXCL6_(INF)	0.31299593336435905
148_PTX3_(CVD)	179_ESM-1_(CVD)	0.18297977407979626
148_PTX3_(CVD)	178_HB-EGF_(CVD)	0.1851646426569875
148_PTX3_(CVD)	193_FS_(CVD)	0.20351363083637786
148_PTX3_(CVD)	162_IL-10_(INF)	0.17110628905101954
108_CD244_(INF)	189_TWEAK_(INF)	0.2896611564664342
108_CD244_(INF)	168_CXCL6_(INF)	0.3230624633938959
108_CD244_(INF)	131_CD6_(INF)	0.24486176524392445
108_CD244_(INF)	184_CASP-8_(INF)	0.24625285302914168
108_CD244_(INF)	117_CXCL11_(INF)	0.37676159311933954
108_CD244_(INF)	162_IL-10_(INF)	0.1722990482470914
179_ESM-1_(CVD)	148_PTX3_(CVD)	0.18297977407979626
179_ESM-1_(CVD)	137_CCL11_(INF)	0.23219440694650828
179_ESM-1_(CVD)	107_PlGF_(CVD)	0.1884953138913925
179_ESM-1_(CVD)	RNY4-3p	0.1312798634595458
179_ESM-1_(CVD)	165_RAGE_(CVD)	0.1958848810142646
179_ESM-1_(CVD)	137_HSP 27_(CVD)	0.20887074386966997
179_ESM-1_(CVD)	145_PAPPA_(CVD)	0.24010169538864545
129_LOX-1_(CVD)	160_IL-16_(CVD)	0.39098804989868086
129_LOX-1_(CVD)	162_U-PAR_(CVD)	0.46780542089132027
129_LOX-1_(CVD)	110_OPG_(INF)	0.21700947387326686
129_LOX-1_(CVD)	194_PECAM-1_(CVD)	0.3287747143302857
129_LOX-1_(CVD)	122_CXCL9_(INF)	0.28595331595038864
129_LOX-1_(CVD)	miR-375	0.21751770747940213
108_SELE_(CVD)	164_CTSD_(CVD)	0.1465520526729467
108_SELE_(CVD)	130_TRAIL-R2_(CVD)	0.2811716377865139
108_SELE_(CVD)	194_PECAM-1_(CVD)	0.31240792472567414
108_SELE_(CVD)	192_NEMO_(CVD)	0.16825285353446517
108_SELE_(CVD)	103_BDNF_(INF)	0.09818438203290292
miR-122-5p	192_STAMPB_(INF)	0.17709191856793804
miR-122-5p	miR-885-5p	0.5891710500093161
miR-122-5p	RNY5-5p	0.28360917823163145
miR-122-5p	102_VEGF-A_(INF)	0.20555807000512338
miR-122-5p	162_IL-10_(INF)	0.24664311102159342
miR-122-5p	RNY4-5p	0.19160817973200572
miR-122-5p	195_NT-pro-BNP_(CVD)	0.2098882911754485
miR-122-5p	177_t-PA_(CVD)	0.1987505525657518
miR-21-5p	miR-126-3p	0.6674803134039333
miR-21-5p	194_ADA_(INF)	0.17410671948448808
miR-21-5p	miR-93-5p	0.6571352547984661
miR-21-5p	miR-197-3p	0.5453739370890318
miR-21-5p	miR-26a-5p	0.5610732295287981
miR-21-5p	130_CCL4_(INF)	0.18778091608694503
miR-21-5p	105_CD40-L_(CVD)	0.36841553037502894
miR-21-5p	154_CXCL5_(INF)	0.2998409553990493
178_HB-EGF_(CVD)	148_PTX3_(CVD)	0.1851646426569875
178_HB-EGF_(CVD)	188_BNP_(CVD)	0.2077816467090674
178_HB-EGF_(CVD)	121_hK11_(CVD)	0.4658305254918611
178_HB-EGF_(CVD)	123_TF_(CVD)	0.4476619047034083
178_HB-EGF_(CVD)	124_TNF-R1_(CVD)	0.5942389011883833
miR-145-5p	miR-143-3p	0.3393930436589425
miR-145-5p	114_CSTB_(CVD)	0.23163559777541654
miR-145-5p	miR-20b-5p	0.4984286792232613
miR-145-5p	miR-29a-3p	0.4971237556850312
miR-145-5p	187_TNFRSF9_(INF)	0.2668711108422688
179_FGF-19_(INF)	141_FGF-5_(INF)	0.11398105792074631
179_FGF-19_(INF)	miR-27b-3p	0.09208739679989542
179_FGF-19_(INF)	151_IL-18R1_(INF)	0.14707977723895116
179_FGF-19_(INF)	RNY4-3p	0.13401799136716708
179_FGF-19_(INF)	miR-324-5p	0.12637649144801255
179_FGF-19_(INF)	117_Gal-3_(CVD)	0.143593827750772
179_FGF-19_(INF)	miR-16-5p	0.09054640901585742
196_CSF-1_(INF)	149_IL-10RB_(INF)	0.5174379852311493
196_CSF-1_(INF)	134_IL-6RA_(CVD)	0.17427836255002216
196_CSF-1_(INF)	134_SLAMF1_(INF)	0.2178191362979751
196_CSF-1_(INF)	110_OPG_(INF)	0.35186647723869857
196_CSF-1_(INF)	135_TGF-alpha_(INF)	0.6788942793821606
196_CSF-1_(INF)	115_MCP-1_(INF)	0.44139352407524957
miR-143-3p	miR-885-5p	0.21601246962463083
miR-143-3p	RNY5-5p	0.22344024956055808
miR-143-3p	miR-145-5p	0.336267061697586
miR-143-3p	143_LIF-R_(INF)	0.12943421284653223
miR-143-3p	174_DNER_(INF)	0.11124746817445352
miR-143-3p	106_GDF-15_(CVD)	0.13769064196569225
132_SCF_(INF)	106_GDNF_(INF)	0.11964962869952789
132_SCF_(INF)	195_NT-pro-BNP_(CVD)	0.1763520856572045
132_SCF_(INF)	192_NEMO_(CVD)	0.1857098096827734
132_SCF_(INF)	186_CX3CL1_(INF)	0.20484431377729084
191_ST1A1_(INF)	140_MPO_(CVD)	0.12375722777857501
191_ST1A1_(INF)	136_MMP-3_(CVD)	0.11762154136641367
191_ST1A1_(INF)	111_SRC_(CVD)	0.3610995821469052
191_ST1A1_(INF)	miR-93-5p	0.19319918185570462
191_ST1A1_(INF)	116_KLK6_(CVD)	0.09976835520588434
191_ST1A1_(INF)	134_IL-6RA_(CVD)	0.1631301098353113
152_PD-L1_(INF)	173_CCL28_(INF)	0.2808838600835699
152_PD-L1_(INF)	135_TGF-alpha_(INF)	0.3934523659210276
152_PD-L1_(INF)	154_mAmP_(CVD)	0.1802045735452582
107_PlGF_(CVD)	179_ESM-1_(CVD)	0.1884953138913925
107_PlGF_(CVD)	miR-223-5p(*)	0.2778927472117081
107_PlGF_(CVD)	124_TNF-R1_(CVD)	0.6655874876474863
miR-486-5p	miR-93-5p	0.4264292643263188
miR-486-5p	miR-16-5p	0.4750614912979847
160_IL-16_(CVD)	129_LOX-1_(CVD)	0.39098804989867997
160_IL-16_(CVD)	118_PAR-1_(CVD)	0.4476729618129971
160_IL-16_(CVD)	miR-20b-5p	0.22722940227865163
160_IL-16_(CVD)	195_NT-pro-BNP_(CVD)	0.23712067464225228
112_IL-1ra_(CVD)	187_FABP4_(CVD)	0.42371494400921517
112_IL-1ra_(CVD)	169_CXCL10_(INF)	0.26153933174378174
112_IL-1ra_(CVD)	miR-126-3p	0.18133312883709962
112_IL-1ra_(CVD)	142_MMP-1_(INF)	0.14769616519305195
112_IL-1ra_(CVD)	143_RETN_(CVD)	0.26857149703219196
112_IL-1ra_(CVD)	105_MCP-3_(INF)	0.2918517975428614
162_U-PAR_(CVD)	129_LOX-1_(CVD)	0.4678054208913194
162_U-PAR_(CVD)	118_PAR-1_(CVD)	0.5664868113958956
162_U-PAR_(CVD)	185_CTSL1_(CVD)	0.45024535876307503
162_U-PAR_(CVD)	196_ECP_(CVD)	0.3242575351842856
162_U-PAR_(CVD)	150_CHI3L1_(CVD)	0.24335061700956828
162_U-PAR_(CVD)	135_TNF-R2_(CVD)	0.6256405675932646
162_U-PAR_(CVD)	114_CSTB_(CVD)	0.596635454546365
162_U-PAR_(CVD)	121_hK11_(CVD)	0.3938577780256738
162_U-PAR_(CVD)	152_TIM_(CVD)	0.23390933749741727
162_U-PAR_(CVD)	105_CD40-L_(CVD)	0.21921194112847164
162_U-PAR_(CVD)	174_DNER_(INF)	0.1985842485787268
185_CTSL1_(CVD)	122_TIE2_(CVD)	0.2453707742467417
185_CTSL1_(CVD)	162_U-PAR_(CVD)	0.45024535876307503
185_CTSL1_(CVD)	miR-130a-3p	0.1848646079095415
185_CTSL1_(CVD)	166_MIP-1 alpha_(INF)	0.31667639035818773
151_ST2_(CVD)	164_CTSD_(CVD)	0.23696148666098082
151_ST2_(CVD)	136_MMP-3_(CVD)	0.2816294772972716
151_ST2_(CVD)	151_IL-18R1_(INF)	0.13832539244477982
