Regulator	Target	MI
122_TIE2_(CVD)	194_PECAM-1_(CVD)	0.4521904880739678
122_TIE2_(CVD)	171_Dkk-1_(CVD)	0.1889674524668461
122_TIE2_(CVD)	144_FAS_(CVD)	0.354468180436597
148_PTX3_(CVD)	140_MPO_(CVD)	0.24602668973039155
148_PTX3_(CVD)	179_ESM-1_(CVD)	0.1949700798264251
148_PTX3_(CVD)	miR-324-5p	0.18507362235640823
148_PTX3_(CVD)	181_VEGF-D_(CVD)	0.2017541696869838
148_PTX3_(CVD)	miR-223-5p(*)	0.10436752153065942
148_PTX3_(CVD)	115_MCP-1_(INF)	0.14196003598865126
148_PTX3_(CVD)	183_SPON1_(CVD)	0.16199131789365584
108_CD244_(INF)	140_MPO_(CVD)	0.16180599315810973
108_CD244_(INF)	170_4E-BP1_(INF)	0.3496896206268527
108_CD244_(INF)	168_CXCL6_(INF)	0.27866994916308574
108_CD244_(INF)	112_uPA_(INF)	0.29339162036013633
108_CD244_(INF)	165_CD5_(INF)	0.3853918848258777
108_CD244_(INF)	miR-16-5p	0.1770205655492143
179_ESM-1_(CVD)	148_PTX3_(CVD)	0.19497007982642423
179_ESM-1_(CVD)	126_IL27-A_(CVD)	0.2110801445351962
179_ESM-1_(CVD)	miR-126-3p	0.12902962618963887
179_ESM-1_(CVD)	155_TRANCE_(INF)	0.12300800254460675
179_ESM-1_(CVD)	196_CSF-1_(INF)	0.20422128076221124
179_ESM-1_(CVD)	114_IL-17C_(INF)	0.1240016724276316
179_ESM-1_(CVD)	142_MMP-1_(INF)	0.14661863662669639
129_LOX-1_(CVD)	162_U-PAR_(CVD)	0.352750311738653
129_LOX-1_(CVD)	miR-130a-3p	0.12724613725703993
129_LOX-1_(CVD)	115_MCP-1_(INF)	0.16733456558116888
108_SELE_(CVD)	157_IL-12B_(INF)	0.10884414286185429
108_SELE_(CVD)	105_MCP-3_(INF)	0.12554600357354673
108_SELE_(CVD)	miR-21-5p	0.21325298500368284
108_SELE_(CVD)	194_PECAM-1_(CVD)	0.34465073493901777
108_SELE_(CVD)	183_MCP-2_(INF)	0.13148890826156556
108_SELE_(CVD)	174_DNER_(INF)	0.1674500480229355
108_SELE_(CVD)	103_AM_(CVD)	0.21208961176355867
miR-122-5p	175_EN-RAGE_(INF)	0.20134944210284722
miR-122-5p	196_ECP_(CVD)	0.1510643846625772
miR-122-5p	126_IL27-A_(CVD)	0.13346315796579145
miR-122-5p	130_CCL4_(INF)	0.11099947116386755
miR-122-5p	miR-885-5p	0.4581595227117683
miR-122-5p	132_SCF_(INF)	0.14602652756880552
miR-122-5p	113_IL-6_(CVD)	0.11899499287019122
miR-122-5p	128_CXCL1_(INF)	0.16785290466574754
miR-21-5p	185_CCL25_(INF)	0.14129427569749087
miR-21-5p	108_SELE_(CVD)	0.21325298500368284
miR-21-5p	miR-24-3p	0.4834859356214647
178_HB-EGF_(CVD)	141_GH_(CVD)	0.19649672102266091
178_HB-EGF_(CVD)	165_RAGE_(CVD)	0.32573873474799964
178_HB-EGF_(CVD)	158_MB_(CVD)	0.3546345365552579
178_HB-EGF_(CVD)	124_TNF-R1_(CVD)	0.5550692990053792
178_HB-EGF_(CVD)	154_CXCL5_(INF)	0.1928491266259904
miR-145-5p	188_BNP_(CVD)	0.18384465868667377
miR-145-5p	miR-30b-5p	0.5558610195089875
179_FGF-19_(INF)	103_BDNF_(INF)	0.13809343093311366
179_FGF-19_(INF)	miR-27b-3p	0.11675127352140446
179_FGF-19_(INF)	182_MMP-12_(CVD)	0.15284482869646876
179_FGF-19_(INF)	159_TM_(CVD)	0.2083191170115386
196_CSF-1_(INF)	179_ESM-1_(CVD)	0.20422128076221124
196_CSF-1_(INF)	149_IL-10RB_(INF)	0.4260358739901653
196_CSF-1_(INF)	189_TWEAK_(INF)	0.23876006093003532
196_CSF-1_(INF)	miR-143-3p	0.20554892809034975
196_CSF-1_(INF)	135_TNF-R2_(CVD)	0.489013650015484
196_CSF-1_(INF)	miR-140-5p	0.14639008299670309
196_CSF-1_(INF)	188_NT-3_(INF)	0.14559367344182306
196_CSF-1_(INF)	176_CD40_(INF)	0.47423012352796245
miR-143-3p	187_FABP4_(CVD)	0.17270495869750047
miR-143-3p	126_OSM_(INF)	0.24183728714181907
miR-143-3p	174_AGRP_(CVD)	0.08963801142400118
miR-143-3p	196_CSF-1_(INF)	0.20554892809034975
miR-143-3p	miR-192-5p	0.2227567190095252
miR-143-3p	151_IL-18R1_(INF)	0.19035520060156763
miR-143-3p	miR-99b-5p	0.18860720503615802
132_SCF_(INF)	miR-126-5p(*)	0.15151056034079424
132_SCF_(INF)	136_MMP-3_(CVD)	0.17877416293171589
132_SCF_(INF)	154_mAmP_(CVD)	0.15645581821689714
132_SCF_(INF)	165_CD5_(INF)	0.21632034112952958
132_SCF_(INF)	miR-122-5p	0.14602652756880552
132_SCF_(INF)	191_ST1A1_(INF)	0.12426213176774059
191_ST1A1_(INF)	137_HSP 27_(CVD)	0.29000664106841434
191_ST1A1_(INF)	132_SCF_(INF)	0.12426213176774059
191_ST1A1_(INF)	115_MCP-1_(INF)	0.15134290903838288
152_PD-L1_(INF)	140_IL-10RA_(INF)	0.17953953519436094
152_PD-L1_(INF)	117_CXCL11_(INF)	0.21204065224505353
152_PD-L1_(INF)	124_TNF-R1_(CVD)	0.4075685450626345
107_PlGF_(CVD)	174_AGRP_(CVD)	0.21538158435258836
107_PlGF_(CVD)	118_PAR-1_(CVD)	0.5638756835152492
107_PlGF_(CVD)	193_FS_(CVD)	0.2955333176655923
107_PlGF_(CVD)	106_GDF-15_(CVD)	0.4704075477717149
107_PlGF_(CVD)	144_FAS_(CVD)	0.46433185075327454
107_PlGF_(CVD)	miR-150-5p	0.17529859094127342
107_PlGF_(CVD)	121_hK11_(CVD)	0.5598713291449453
107_PlGF_(CVD)	124_TNF-R1_(CVD)	0.7050750954228668
107_PlGF_(CVD)	137_HSP 27_(CVD)	0.30339488618069144
107_PlGF_(CVD)	miR-16-5p	0.157079163005724
miR-486-5p	157_IL-12B_(INF)	0.1757889611713237
miR-486-5p	RNY5-5p	0.23765353009466406
miR-486-5p	151_IL-18R1_(INF)	0.09641345283405567
miR-486-5p	miR-93-5p	0.5128364410124062
miR-486-5p	142_MMP-1_(INF)	0.13792522616002145
miR-486-5p	196_ECP_(CVD)	0.11671479114103533
miR-486-5p	miR-16-5p	0.5404079148929322
160_IL-16_(CVD)	138_TNFSF14_(INF)	0.20370447722773033
160_IL-16_(CVD)	114_CSTB_(CVD)	0.4046540574963897
160_IL-16_(CVD)	192_STAMPB_(INF)	0.2660730294219995
112_IL-1ra_(CVD)	187_FABP4_(CVD)	0.33470156412388974
112_IL-1ra_(CVD)	177_t-PA_(CVD)	0.2630569168991297
112_IL-1ra_(CVD)	174_DNER_(INF)	0.1343940661692784
162_U-PAR_(CVD)	129_LOX-1_(CVD)	0.3527503117386539
162_U-PAR_(CVD)	130_TRAIL-R2_(CVD)	0.7129333310753756
162_U-PAR_(CVD)	185_CTSL1_(CVD)	0.31209804631742255
162_U-PAR_(CVD)	101_IL-8_(INF)	0.24641787604084087
162_U-PAR_(CVD)	188_BNP_(CVD)	0.37313102243946794
162_U-PAR_(CVD)	114_CSTB_(CVD)	0.5980806490277546
162_U-PAR_(CVD)	106_GDF-15_(CVD)	0.6353920712054091
162_U-PAR_(CVD)	183_SPON1_(CVD)	0.4719592388603999
162_U-PAR_(CVD)	113_IL-6_(CVD)	0.2281922088246935
185_CTSL1_(CVD)	162_U-PAR_(CVD)	0.31209804631742166
185_CTSL1_(CVD)	105_MCP-3_(INF)	0.20552828066497142
185_CTSL1_(CVD)	105_CD40-L_(CVD)	0.1910235408049834
185_CTSL1_(CVD)	174_DNER_(INF)	0.12217608564883697
185_CTSL1_(CVD)	182_MMP-12_(CVD)	0.5130052941563807
151_ST2_(CVD)	136_MMP-3_(CVD)	0.2864121904110952
151_ST2_(CVD)	177_t-PA_(CVD)	0.1606074611970998
151_ST2_(CVD)	183_MCP-2_(INF)	0.13430593262301382
151_ST2_(CVD)	143_LIF-R_(INF)	0.1369341733059466
151_ST2_(CVD)	118_PAR-1_(CVD)	0.18444295645579345
151_ST2_(CVD)	182_MMP-12_(CVD)	0.13430457980077826
151_ST2_(CVD)	172_SIRT2_(CVD)	0.19250031126908151
102_VEGF-A_(INF)	164_CCL23_(INF)	0.29022173349857283
102_VEGF-A_(INF)	144_FGF-21_(INF)	0.2014458167600619
102_VEGF-A_(INF)	170_4E-BP1_(INF)	0.5345563094721317
102_VEGF-A_(INF)	139_FGF-23_(INF)	0.33580175497353526
102_VEGF-A_(INF)	135_TGF-alpha_(INF)	0.5835845208015442
102_VEGF-A_(INF)	187_TNFRSF9_(INF)	0.3398290453534827
102_VEGF-A_(INF)	153_Beta-NGF_(INF)	0.3228789995385366
102_VEGF-A_(INF)	176_CD40_(INF)	0.5338071825207216
102_VEGF-A_(INF)	161_MMP-10_(INF)	0.21265768325432965
186_CX3CL1_(INF)	165_RAGE_(CVD)	0.2256389333029647
186_CX3CL1_(INF)	miR-30b-5p	0.20059551063297132
186_CX3CL1_(INF)	158_MB_(CVD)	0.26753436670540776
186_CX3CL1_(INF)	122_CXCL9_(INF)	0.35817404495544825
186_CX3CL1_(INF)	187_TNFRSF9_(INF)	0.3716714519923414
186_CX3CL1_(INF)	176_CD40_(INF)	0.4183095106752557
144_FGF-21_(INF)	168_CXCL6_(INF)	0.16626058897472262
144_FGF-21_(INF)	164_CTSD_(CVD)	0.18852537568162653
144_FGF-21_(INF)	173_CCL28_(INF)	0.16748164581745328
144_FGF-21_(INF)	193_FS_(CVD)	0.16121538890550813
144_FGF-21_(INF)	102_VEGF-A_(INF)	0.2014458167600619
RNY4-3p	157_IL-12B_(INF)	0.12191314406737419
RNY4-3p	miR-320a	0.42344093331892996
RNY4-3p	RNY4-5p	0.7716223923241676
RNY4-3p	141_FGF-5_(INF)	0.11959058420108981
101_IL-8_(INF)	107_CDCP1_(INF)	0.25574248857691817
101_IL-8_(INF)	169_CXCL10_(INF)	0.1999936017829489
101_IL-8_(INF)	162_U-PAR_(CVD)	0.24641787604084087
101_IL-8_(INF)	175_EN-RAGE_(INF)	0.13146625112567367
101_IL-8_(INF)	176_CD40_(INF)	0.2480614408428492
101_IL-8_(INF)	141_FGF-5_(INF)	0.2348271006815148
101_IL-8_(INF)	190_CCL20_(INF)	0.21219752347807308
126_IL27-A_(CVD)	116_IL-17A_(INF)	0.14702953152185572
126_IL27-A_(CVD)	179_ESM-1_(CVD)	0.2110801445351962
126_IL27-A_(CVD)	miR-122-5p	0.13346315796579145
126_IL27-A_(CVD)	124_TNF-R1_(CVD)	0.31074740472090046
126_IL27-A_(CVD)	145_PAPPA_(CVD)	0.2771253123104058
111_LAP TGF-beta-1_(INF)	120_TRAIL_(INF)	0.24988474970880503
111_LAP TGF-beta-1_(INF)	110_OPG_(INF)	0.37600265015349965
111_LAP TGF-beta-1_(INF)	149_IL-10RB_(INF)	0.3793636026099909
111_LAP TGF-beta-1_(INF)	109_IL-7_(INF)	0.2546125841596565
111_LAP TGF-beta-1_(INF)	130_CCL4_(INF)	0.19587355589025535
111_LAP TGF-beta-1_(INF)	128_CXCL1_(INF)	0.13318425323036998
111_LAP TGF-beta-1_(INF)	144_FAS_(CVD)	0.25492868656803847
165_RAGE_(CVD)	192_STAMPB_(INF)	0.14563679280799846
