Regulator	Target	MI
122_TIE2_(CVD)	194_PECAM-1_(CVD)	0.4416310126260239
122_TIE2_(CVD)	107_PlGF_(CVD)	0.35776042545108844
122_TIE2_(CVD)	167_MMP-7_(CVD)	0.29716665863775926
122_TIE2_(CVD)	172_SIRT2_(CVD)	0.23217243972718826
122_TIE2_(CVD)	106_GDNF_(INF)	0.09659138810657542
122_TIE2_(CVD)	103_BDNF_(INF)	0.11899897671173587
148_PTX3_(CVD)	179_ESM-1_(CVD)	0.2975041650639767
148_PTX3_(CVD)	135_TGF-alpha_(INF)	0.23255992305865814
148_PTX3_(CVD)	miR-29a-3p	0.1614926493716453
148_PTX3_(CVD)	151_ST2_(CVD)	0.16066050793708264
148_PTX3_(CVD)	126_IL27-A_(CVD)	0.18324096374879595
148_PTX3_(CVD)	162_IL-10_(INF)	0.1410731987624878
148_PTX3_(CVD)	miR-375	0.1493849789933961
108_CD244_(INF)	168_CXCL6_(INF)	0.27410654075629726
108_CD244_(INF)	195_TNFB_(INF)	0.17658536030596483
108_CD244_(INF)	174_AGRP_(CVD)	0.2480105665130088
108_CD244_(INF)	149_IL-10RB_(INF)	0.314789702557972
108_CD244_(INF)	194_ADA_(INF)	0.3878270955889169
108_CD244_(INF)	miR-19b-3p	0.16619824090114577
108_CD244_(INF)	130_CCL4_(INF)	0.24881771953002296
108_CD244_(INF)	144_FAS_(CVD)	0.3424705152060925
179_ESM-1_(CVD)	148_PTX3_(CVD)	0.2975041650639776
179_ESM-1_(CVD)	166_CCL3_(CVD)	0.2126052874662463
179_ESM-1_(CVD)	141_FGF-5_(INF)	0.15547977788336986
179_ESM-1_(CVD)	145_PAPPA_(CVD)	0.26233307117928373
129_LOX-1_(CVD)	160_IL-16_(CVD)	0.3819378531780071
129_LOX-1_(CVD)	162_U-PAR_(CVD)	0.6150227531106056
129_LOX-1_(CVD)	172_SIRT2_(CVD)	0.1976124769643981
108_SELE_(CVD)	177_t-PA_(CVD)	0.17696662577474864
108_SELE_(CVD)	miR-21-5p	0.18855611873108913
108_SELE_(CVD)	130_TRAIL-R2_(CVD)	0.2500103262327835
108_SELE_(CVD)	194_PECAM-1_(CVD)	0.4119167974093463
108_SELE_(CVD)	miR-150-5p	0.10909277561544961
miR-122-5p	106_GDNF_(INF)	0.11130772205971073
miR-122-5p	miR-885-5p	0.5405483621659135
miR-122-5p	RNY5-5p	0.44874641135153315
miR-122-5p	miR-221-3p	0.24153704661905184
miR-122-5p	155_TRANCE_(INF)	0.11754101593959376
miR-21-5p	108_SELE_(CVD)	0.18855611873108913
miR-21-5p	miR-24-3p	0.6349017492467866
miR-21-5p	miR-27b-3p	0.3413196634953026
miR-21-5p	miR-223-5p(*)	0.6103507253809042
178_HB-EGF_(CVD)	150_CHI3L1_(CVD)	0.15991571747717526
178_HB-EGF_(CVD)	miR-140-5p	0.23331230906116307
178_HB-EGF_(CVD)	106_GDF-15_(CVD)	0.4210030365759039
178_HB-EGF_(CVD)	171_Dkk-1_(CVD)	0.2998318717776094
178_HB-EGF_(CVD)	124_TNF-R1_(CVD)	0.4592836069741191
178_HB-EGF_(CVD)	145_PAPPA_(CVD)	0.15687900511664843
miR-145-5p	188_BNP_(CVD)	0.162030362750202
miR-145-5p	let-7b-5p	0.5719389458641571
miR-145-5p	miR-99b-5p	0.41784947655923776
miR-145-5p	miR-885-5p	0.15115901542020893
miR-145-5p	miR-197-3p	0.4993802167937842
miR-145-5p	miR-26a-5p	0.6226106931073856
179_FGF-19_(INF)	113_IL-6_(CVD)	0.20931242886388368
179_FGF-19_(INF)	154_mAmP_(CVD)	0.09580495631983954
179_FGF-19_(INF)	149_REN_(CVD)	0.1049230508709531
179_FGF-19_(INF)	188_NT-3_(INF)	0.13379274364696148
179_FGF-19_(INF)	181_VEGF-D_(CVD)	0.10957590637782566
179_FGF-19_(INF)	miR-150-5p	0.12099941368708933
196_CSF-1_(INF)	149_IL-10RB_(INF)	0.458821849478527
196_CSF-1_(INF)	138_TNFSF14_(INF)	0.22744873159454926
196_CSF-1_(INF)	133_IL-18_(INF)	0.28076834214741453
196_CSF-1_(INF)	135_TGF-alpha_(INF)	0.5480450928190992
196_CSF-1_(INF)	109_IL-7_(INF)	0.20706338891909937
196_CSF-1_(INF)	142_MMP-1_(INF)	0.15223660489755098
196_CSF-1_(INF)	187_TNFRSF9_(INF)	0.36662006025977334
196_CSF-1_(INF)	117_CXCL11_(INF)	0.2862917458613419
196_CSF-1_(INF)	153_Beta-NGF_(INF)	0.4571704712508655
196_CSF-1_(INF)	miR-221-3p	0.2006393611607704
miR-143-3p	151_IL-18R1_(INF)	0.1566457408193367
miR-143-3p	miR-29a-3p	0.32544619143438513
miR-143-3p	188_NT-3_(INF)	0.11228996413785541
miR-143-3p	143_RETN_(CVD)	0.13976908451133685
132_SCF_(INF)	174_DNER_(INF)	0.1349955785256407
132_SCF_(INF)	162_IL-10_(INF)	0.10645115378952053
132_SCF_(INF)	117_Gal-3_(CVD)	0.12684334882174753
132_SCF_(INF)	165_CD5_(INF)	0.14363890804407653
132_SCF_(INF)	190_CCL20_(INF)	0.2065394455937568
191_ST1A1_(INF)	196_ECP_(CVD)	0.16146861960568604
191_ST1A1_(INF)	111_SRC_(CVD)	0.37599958634901576
191_ST1A1_(INF)	122_CXCL9_(INF)	0.12533234846578356
152_PD-L1_(INF)	134_SLAMF1_(INF)	0.2706829887271791
152_PD-L1_(INF)	124_TNF-R1_(CVD)	0.3476547782138484
107_PlGF_(CVD)	122_TIE2_(CVD)	0.3577604254510893
107_PlGF_(CVD)	174_AGRP_(CVD)	0.28993226769988656
107_PlGF_(CVD)	miR-486-5p	0.21283001840145577
107_PlGF_(CVD)	170_CXCL16_(CVD)	0.37431291249080445
107_PlGF_(CVD)	135_TNF-R2_(CVD)	0.5329546296853316
107_PlGF_(CVD)	158_MB_(CVD)	0.304380124893318
107_PlGF_(CVD)	121_hK11_(CVD)	0.5225159389580485
107_PlGF_(CVD)	143_RETN_(CVD)	0.34358953262694936
107_PlGF_(CVD)	152_TIM_(CVD)	0.31163881987370967
miR-486-5p	RNY5-5p	0.21246611921885084
miR-486-5p	107_PlGF_(CVD)	0.21283001840145577
miR-486-5p	miR-93-5p	0.5361457562012877
miR-486-5p	112_IL-1ra_(CVD)	0.146911586613367
miR-486-5p	141_GH_(CVD)	0.1640085304572585
miR-486-5p	miR-16-5p	0.5185648482451457
160_IL-16_(CVD)	129_LOX-1_(CVD)	0.381937853178008
160_IL-16_(CVD)	135_TNF-R2_(CVD)	0.5134439491900382
160_IL-16_(CVD)	111_LAP TGF-beta-1_(INF)	0.2633541055323656
160_IL-16_(CVD)	157_PSGL-1_(CVD)	0.1461025213458491
160_IL-16_(CVD)	miR-126-3p	0.2337504796203964
160_IL-16_(CVD)	175_EN-RAGE_(INF)	0.26326526025435815
160_IL-16_(CVD)	117_Gal-3_(CVD)	0.4484998893714698
112_IL-1ra_(CVD)	187_FABP4_(CVD)	0.43904504604612704
112_IL-1ra_(CVD)	110_OPG_(INF)	0.23364596705393126
112_IL-1ra_(CVD)	miR-486-5p	0.146911586613367
112_IL-1ra_(CVD)	196_ECP_(CVD)	0.23509272535171988
112_IL-1ra_(CVD)	130_CCL4_(INF)	0.18145255847182096
112_IL-1ra_(CVD)	177_t-PA_(CVD)	0.20631395373809625
162_U-PAR_(CVD)	129_LOX-1_(CVD)	0.6150227531106056
162_U-PAR_(CVD)	130_TRAIL-R2_(CVD)	0.7411265114506724
162_U-PAR_(CVD)	139_PRL_(CVD)	0.18838814149182426
162_U-PAR_(CVD)	140_IL-10RA_(INF)	0.18359429213694511
162_U-PAR_(CVD)	135_TNF-R2_(CVD)	0.7727820522207098
162_U-PAR_(CVD)	114_CSTB_(CVD)	0.5341657832089757
162_U-PAR_(CVD)	105_MCP-3_(INF)	0.21270560815291084
162_U-PAR_(CVD)	148_IL-15RA_(INF)	0.35007958197189737
162_U-PAR_(CVD)	182_MMP-12_(CVD)	0.26968924585244824
185_CTSL1_(CVD)	135_TNF-R2_(CVD)	0.29460079518830096
185_CTSL1_(CVD)	162_IL-10_(INF)	0.2305017741653579
185_CTSL1_(CVD)	141_FGF-5_(INF)	0.2569815937241495
185_CTSL1_(CVD)	105_CD40-L_(CVD)	0.2019040537040544
185_CTSL1_(CVD)	145_CCL19_(INF)	0.1439834393371484
151_ST2_(CVD)	148_PTX3_(CVD)	0.16066050793708264
151_ST2_(CVD)	150_CHI3L1_(CVD)	0.25695044441054815
151_ST2_(CVD)	136_MMP-3_(CVD)	0.22270109414139672
151_ST2_(CVD)	let-7b-5p	0.20537967717829897
151_ST2_(CVD)	143_LIF-R_(INF)	0.1521809936653149
151_ST2_(CVD)	174_DNER_(INF)	0.1666448534916949
151_ST2_(CVD)	182_MMP-12_(CVD)	0.15388546845735274
102_VEGF-A_(INF)	130_TRAIL-R2_(CVD)	0.37050137988034315
102_VEGF-A_(INF)	187_FABP4_(CVD)	0.3617946270965957
102_VEGF-A_(INF)	135_TGF-alpha_(INF)	0.6652217652911014
102_VEGF-A_(INF)	let-7d-5p	0.1513949337536351
186_CX3CL1_(INF)	135_TNF-R2_(CVD)	0.3291440129426446
186_CX3CL1_(INF)	165_CD5_(INF)	0.3219323786723187
186_CX3CL1_(INF)	188_BNP_(CVD)	0.2921584192588229
186_CX3CL1_(INF)	185_CCL25_(INF)	0.34535679773081274
186_CX3CL1_(INF)	135_TGF-alpha_(INF)	0.3731954536477575
144_FGF-21_(INF)	125_PDGF subunit B_(CVD)	0.10957103580217264
144_FGF-21_(INF)	177_t-PA_(CVD)	0.27166220667923113
144_FGF-21_(INF)	151_IL-18R1_(INF)	0.18518088597989646
144_FGF-21_(INF)	103_AM_(CVD)	0.2491271990933175
RNY4-3p	miR-223-5p(*)	0.536713532649232
RNY4-3p	RNY4-5p	0.8206620235228463
101_IL-8_(INF)	107_CDCP1_(INF)	0.24299001110194673
101_IL-8_(INF)	169_CXCL10_(INF)	0.237263722444923
101_IL-8_(INF)	156_HGF_(INF)	0.3004357691475201
101_IL-8_(INF)	162_IL-10_(INF)	0.23340123739203023
101_IL-8_(INF)	188_BNP_(CVD)	0.2642450847294988
101_IL-8_(INF)	143_LIF-R_(INF)	0.3812113213252726
101_IL-8_(INF)	182_MMP-12_(CVD)	0.23744849492585818
101_IL-8_(INF)	144_FAS_(CVD)	0.13868744969638325
101_IL-8_(INF)	190_CCL20_(INF)	0.21531861364385652
126_IL27-A_(CVD)	148_PTX3_(CVD)	0.18324096374879506
126_IL27-A_(CVD)	122_CXCL9_(INF)	0.2071806604556503
126_IL27-A_(CVD)	166_CCL3_(CVD)	0.3375573637614977
126_IL27-A_(CVD)	145_PAPPA_(CVD)	0.18471077089408627
111_LAP TGF-beta-1_(INF)	160_IL-16_(CVD)	0.2633541055323656
111_LAP TGF-beta-1_(INF)	170_4E-BP1_(INF)	0.27076407399626756
111_LAP TGF-beta-1_(INF)	107_CDCP1_(INF)	0.2063746676948517
111_LAP TGF-beta-1_(INF)	156_HGF_(INF)	0.3330039235725595
165_RAGE_(CVD)	185_CCL25_(INF)	0.18896603257739653
165_RAGE_(CVD)	174_AGRP_(CVD)	0.18618036992757858
165_RAGE_(CVD)	189_TWEAK_(INF)	0.17400627143324598
165_RAGE_(CVD)	121_hK11_(CVD)	0.38314981848640706
165_RAGE_(CVD)	167_Flt3L_(INF)	0.18617236982420682
165_RAGE_(CVD)	miR-150-5p	0.1027383623584095
165_CD5_(INF)	149_IL-10RB_(INF)	0.4112161187594401
165_CD5_(INF)	132_SCF_(INF)	0.14363890804407653
165_CD5_(INF)	186_CX3CL1_(INF)	0.3219323786723196
165_CD5_(INF)	miR-150-5p	0.28686783291016127
165_CD5_(INF)	120_TRAIL_(INF)	0.16568704425820702
165_CD5_(INF)	131_CD6_(INF)	0.37873276959892355
165_CD5_(INF)	187_TNFRSF9_(INF)	0.4007212317554467
173_CCL28_(INF)	140_IL-10RA_(INF)	0.2362985165438456
173_CCL28_(INF)	142_MMP-1_(INF)	0.2579781058508157
173_CCL28_(INF)	118_AXIN1_(INF)	0.15605806727715876
173_CCL28_(INF)	153_Beta-NGF_(INF)	0.24821849453402045
173_CCL28_(INF)	174_DNER_(INF)	0.26885708587169876
173_CCL28_(INF)	188_NT-3_(INF)	0.15250086260932338
181_VEGF-D_(CVD)	140_MPO_(CVD)	0.18032947559249735
181_VEGF-D_(CVD)	162_IL-10_(INF)	0.11300068632071092
181_VEGF-D_(CVD)	179_FGF-19_(INF)	0.10957590637782566
181_VEGF-D_(CVD)	miR-30b-5p	0.15422270312580277
181_VEGF-D_(CVD)	183_MCP-2_(INF)	0.2395688852861042
181_VEGF-D_(CVD)	166_MIP-1 alpha_(INF)	0.2665936015858854
181_VEGF-D_(CVD)	171_Dkk-1_(CVD)	0.20697397478712887
181_VEGF-D_(CVD)	183_SPON1_(CVD)	0.22206912230432074
188_BNP_(CVD)	157_IL-12B_(INF)	0.2117840043658319
188_BNP_(CVD)	130_TRAIL-R2_(CVD)	0.2830472990397075
188_BNP_(CVD)	miR-145-5p	0.162030362750202
188_BNP_(CVD)	193_FS_(CVD)	0.2880277573835057
188_BNP_(CVD)	186_CX3CL1_(INF)	0.2921584192588238
188_BNP_(CVD)	101_IL-8_(INF)	0.2642450847294988
188_BNP_(CVD)	195_NT-pro-BNP_(CVD)	1.2009463222254029
134_IL-6RA_(CVD)	120_TRAIL_(INF)	0.21081875882457002
134_IL-6RA_(CVD)	110_OPG_(INF)	0.14331836760495165
134_IL-6RA_(CVD)	130_TRAIL-R2_(CVD)	0.23874031568393406
134_IL-6RA_(CVD)	miR-223-5p(*)	0.27788943386709875
134_SLAMF1_(INF)	107_CDCP1_(INF)	0.21988315377409862
134_SLAMF1_(INF)	157_IL-12B_(INF)	0.16927128344914255
134_SLAMF1_(INF)	152_PD-L1_(INF)	0.2706829887271791
134_SLAMF1_(INF)	130_CCL4_(INF)	0.12938828572191596
134_SLAMF1_(INF)	145_CCL19_(INF)	0.14621316245766547
134_SLAMF1_(INF)	106_GDF-15_(CVD)	0.22615969196182384
miR-140-5p	178_HB-EGF_(CVD)	0.23331230906116307
miR-140-5p	miR-222-3p	0.8555832007686774
miR-140-5p	113_IL-6_(CVD)	0.13202652868684517
miR-140-5p	miR-19b-3p	0.8778820961045231
miR-192-5p	miR-885-5p	0.22663460660477064
miR-192-5p	RNY5-5p	0.18302233423236736
miR-192-5p	miR-320a	0.24286330785935384
miR-192-5p	176_CD40_(INF)	0.1505160574073674
miR-192-5p	141_FGF-5_(INF)	0.18718118863122957
miR-192-5p	142_MMP-1_(INF)	0.13362891964413315
145_CCL19_(INF)	195_TNFB_(INF)	0.09584999091338009
145_CCL19_(INF)	134_SLAMF1_(INF)	0.14621316245766458
145_CCL19_(INF)	167_MMP-7_(CVD)	0.17370231753258025
145_CCL19_(INF)	185_CTSL1_(CVD)	0.1439834393371484
157_PSGL-1_(CVD)	137_CCL11_(INF)	0.12900093111999933
157_PSGL-1_(CVD)	184_CASP-8_(INF)	0.14598277119129222
157_PSGL-1_(CVD)	160_IL-16_(CVD)	0.12856873979644945
157_PSGL-1_(CVD)	miR-150-5p	0.12225405820520141
158_MB_(CVD)	125_PDGF subunit B_(CVD)	0.18050036739694786
158_MB_(CVD)	107_PlGF_(CVD)	0.304380124893318
158_MB_(CVD)	RNY5-5p	0.19804068739927772
158_MB_(CVD)	136_MMP-3_(CVD)	0.25847736800362675
158_MB_(CVD)	116_KLK6_(CVD)	0.23606492981676297
miR-223-3p	miR-223-5p(*)	0.5361621482156673
miR-223-3p	miR-150-5p	0.3858264130180036
miR-223-3p	miR-126-3p	0.9579653076635104
miR-223-3p	miR-24-3p	0.9739364012515308
miR-223-3p	miR-222-3p	0.6830939288736193
miR-223-3p	RNY4-5p	0.7013883146776605
114_CSTB_(CVD)	162_U-PAR_(CVD)	0.5341657832089757
114_CSTB_(CVD)	103_AM_(CVD)	0.45620812733728755
114_CSTB_(CVD)	183_SPON1_(CVD)	0.34650611606630033
114_CSTB_(CVD)	miR-150-5p	0.16184242579746133
114_CSTB_(CVD)	187_FABP4_(CVD)	0.5580221807770176
114_CSTB_(CVD)	169_CXCL10_(INF)	0.2704229862443013
114_CSTB_(CVD)	143_RETN_(CVD)	0.3897880915886116
114_CSTB_(CVD)	166_MIP-1 alpha_(INF)	0.2728989559883823
miR-99b-5p	107_CDCP1_(INF)	0.17295311998999185
miR-99b-5p	miR-145-5p	0.42107807434984323
106_GDF-15_(CVD)	116_IL-17A_(INF)	0.21244263051488144
106_GDF-15_(CVD)	178_HB-EGF_(CVD)	0.4210030365759039
106_GDF-15_(CVD)	130_TRAIL-R2_(CVD)	0.6141797137503211
106_GDF-15_(CVD)	137_CCL11_(INF)	0.19622081571498473
106_GDF-15_(CVD)	134_SLAMF1_(INF)	0.22615969196182384
106_GDF-15_(CVD)	140_MPO_(CVD)	0.260118702452405
106_GDF-15_(CVD)	miR-126-5p(*)	0.14903722685207743
106_GDF-15_(CVD)	155_TRANCE_(INF)	0.18469023361717696
188_NT-3_(INF)	179_FGF-19_(INF)	0.13081168193446668
188_NT-3_(INF)	miR-143-3p	0.11440366348378372
188_NT-3_(INF)	miR-29a-3p	0.11275164831783258
188_NT-3_(INF)	128_CXCL1_(INF)	0.11750416219529747
188_NT-3_(INF)	170_CXCL16_(CVD)	0.11052418029231514
188_NT-3_(INF)	173_CCL28_(INF)	0.10008886376219994
144_FAS_(CVD)	108_CD244_(INF)	0.3424705152060925
144_FAS_(CVD)	101_IL-8_(INF)	0.13868744969638325
144_FAS_(CVD)	124_TNF-R1_(CVD)	0.49908447764795305
133_IL-18_(INF)	131_CD6_(INF)	0.20339333883684763
133_IL-18_(INF)	196_CSF-1_(INF)	0.29318508655491105
133_IL-18_(INF)	130_CCL4_(INF)	0.16476893237697698
140_MPO_(CVD)	189_TWEAK_(INF)	0.17456471300247856
140_MPO_(CVD)	141_GH_(CVD)	0.2148349401980525
140_MPO_(CVD)	196_ECP_(CVD)	0.40616264823864423
140_MPO_(CVD)	RNY4-5p	0.23784907742530592
140_MPO_(CVD)	181_VEGF-D_(CVD)	0.18032947559249735
140_MPO_(CVD)	106_GDF-15_(CVD)	0.260118702452405
140_MPO_(CVD)	173_GAL_(CVD)	0.10818602291681234
170_4E-BP1_(INF)	149_IL-10RB_(INF)	0.4362337209168352
170_4E-BP1_(INF)	137_CCL11_(INF)	0.4246528019770439
170_4E-BP1_(INF)	111_LAP TGF-beta-1_(INF)	0.27076407399626756
170_4E-BP1_(INF)	168_CXCL6_(INF)	0.2174036314221084
170_4E-BP1_(INF)	136_MCP-4_(INF)	0.27789552109025095
170_4E-BP1_(INF)	139_FGF-23_(INF)	0.33528103385920804
170_4E-BP1_(INF)	124_TNF-R1_(CVD)	0.39985490163105464
170_4E-BP1_(INF)	176_CD40_(INF)	0.40254806492952167
168_CXCL6_(INF)	170_4E-BP1_(INF)	0.2174036314221084
168_CXCL6_(INF)	116_IL-17A_(INF)	0.1348437704480503
168_CXCL6_(INF)	108_CD244_(INF)	0.27410654075629726
168_CXCL6_(INF)	112_uPA_(INF)	0.24916947552165336
168_CXCL6_(INF)	177_t-PA_(CVD)	0.20097410571690766
168_CXCL6_(INF)	143_LIF-R_(INF)	0.2298970492257606
168_CXCL6_(INF)	145_PAPPA_(CVD)	0.18843332437211924
168_CXCL6_(INF)	128_CXCL1_(INF)	0.13815351724206515
191_CA-125_(CVD)	137_HSP 27_(CVD)	0.12775130127796164
