Regulator	Target	MI
122_TIE2_(CVD)	148_PTX3_(CVD)	0.1619401449950164
122_TIE2_(CVD)	157_PSGL-1_(CVD)	0.136441962005601
122_TIE2_(CVD)	144_FAS_(CVD)	0.3708515417947087
122_TIE2_(CVD)	194_PECAM-1_(CVD)	0.4311123333952489
148_PTX3_(CVD)	122_TIE2_(CVD)	0.1619401449950164
148_PTX3_(CVD)	157_IL-12B_(INF)	0.17439772358799033
148_PTX3_(CVD)	179_ESM-1_(CVD)	0.16611706480275412
148_PTX3_(CVD)	136_MMP-3_(CVD)	0.13817114220072302
148_PTX3_(CVD)	miR-223-5p(*)	0.21426327868714878
148_PTX3_(CVD)	105_MCP-3_(INF)	0.1416904702425743
148_PTX3_(CVD)	126_IL27-A_(CVD)	0.21003216681803316
108_CD244_(INF)	149_IL-10RB_(INF)	0.4498666524130135
108_CD244_(INF)	194_ADA_(INF)	0.21923678816968817
108_CD244_(INF)	miR-375	0.11943826768344401
108_CD244_(INF)	149_REN_(CVD)	0.23453977348976007
179_ESM-1_(CVD)	148_PTX3_(CVD)	0.1681872354841465
179_ESM-1_(CVD)	miR-320a	0.1888990845279741
179_ESM-1_(CVD)	179_FGF-19_(INF)	0.2274560709643847
179_ESM-1_(CVD)	185_CTSL1_(CVD)	0.24501202715468384
179_ESM-1_(CVD)	145_CCL19_(INF)	0.20069746275219114
179_ESM-1_(CVD)	145_PAPPA_(CVD)	0.3886246991769191
129_LOX-1_(CVD)	162_U-PAR_(CVD)	0.4601274638562316
129_LOX-1_(CVD)	101_IL-8_(INF)	0.35999758247312297
129_LOX-1_(CVD)	miR-99b-5p	0.12542936052250564
129_LOX-1_(CVD)	140_MPO_(CVD)	0.21335816180233724
108_SELE_(CVD)	107_CDCP1_(INF)	0.17925279889893186
108_SELE_(CVD)	164_CTSD_(CVD)	0.20952906166709084
108_SELE_(CVD)	194_PECAM-1_(CVD)	0.3353701278112098
108_SELE_(CVD)	112_IL-1ra_(CVD)	0.28300788287825984
108_SELE_(CVD)	185_CTSL1_(CVD)	0.4010183069136817
108_SELE_(CVD)	134_IL-6RA_(CVD)	0.22664799930830615
miR-122-5p	164_CTSD_(CVD)	0.18221053641721863
miR-122-5p	miR-885-5p	0.6667849717708378
miR-122-5p	RNY5-5p	0.21369824237459945
miR-122-5p	miR-28-5p	0.19672373667073195
miR-122-5p	miR-145-5p	0.2183711074886574
miR-122-5p	102_VEGF-A_(INF)	0.2538453086846184
