Regulator	Target	MI
122_TIE2_(CVD)	miR-20b-5p	0.21936823181814447
122_TIE2_(CVD)	142_MMP-1_(INF)	0.1455840661769976
122_TIE2_(CVD)	177_t-PA_(CVD)	0.18127725444147558
122_TIE2_(CVD)	155_TRANCE_(INF)	0.13296328428116233
122_TIE2_(CVD)	144_FAS_(CVD)	0.32854319177333036
148_PTX3_(CVD)	179_ESM-1_(CVD)	0.2695749527949678
148_PTX3_(CVD)	126_OSM_(INF)	0.1914859074533437
148_PTX3_(CVD)	149_IL-10RB_(INF)	0.19153277535077695
148_PTX3_(CVD)	130_TRAIL-R2_(CVD)	0.17414875407088637
148_PTX3_(CVD)	123_CST5_(INF)	0.1245238587235793
148_PTX3_(CVD)	miR-324-5p	0.17999291121535776
148_PTX3_(CVD)	126_IL27-A_(CVD)	0.15341027801057816
108_CD244_(INF)	164_CTSD_(CVD)	0.13957768150811578
108_CD244_(INF)	186_CX3CL1_(INF)	0.24822093423575975
108_CD244_(INF)	144_FAS_(CVD)	0.1913313166412518
108_CD244_(INF)	195_TNFB_(INF)	0.18488257887330395
108_CD244_(INF)	157_IL-12B_(INF)	0.2428732969966445
108_CD244_(INF)	120_TRAIL_(INF)	0.16125516233984083
108_CD244_(INF)	162_IL-10_(INF)	0.1828233293294801
179_ESM-1_(CVD)	148_PTX3_(CVD)	0.2695749527949669
179_ESM-1_(CVD)	178_HB-EGF_(CVD)	0.2419061415883652
179_ESM-1_(CVD)	196_CSF-1_(INF)	0.21588562405988032
179_ESM-1_(CVD)	154_mAmP_(CVD)	0.09788424691529052
179_ESM-1_(CVD)	145_PAPPA_(CVD)	0.2507424357305297
179_ESM-1_(CVD)	188_NT-3_(INF)	0.13378213145222695
129_LOX-1_(CVD)	162_U-PAR_(CVD)	0.49629231615192726
129_LOX-1_(CVD)	126_IL27-A_(CVD)	0.3592084904496202
129_LOX-1_(CVD)	136_MCP-4_(INF)	0.2473895565855626
129_LOX-1_(CVD)	194_PECAM-1_(CVD)	0.19204058265337753
129_LOX-1_(CVD)	miR-29a-3p	0.1717587823150879
108_SELE_(CVD)	196_ECP_(CVD)	0.21315058319401814
108_SELE_(CVD)	157_IL-12B_(INF)	0.1207912595503764
108_SELE_(CVD)	164_CTSD_(CVD)	0.20390794790010158
108_SELE_(CVD)	194_PECAM-1_(CVD)	0.3233731683076657
108_SELE_(CVD)	miR-197-3p	0.18849444044822317
miR-122-5p	168_CXCL6_(INF)	0.12935256052814825
miR-122-5p	117_CXCL11_(INF)	0.12795117686642854
miR-122-5p	miR-324-5p	0.19597734304122305
miR-122-5p	187_FABP4_(CVD)	0.12233063273715139
miR-122-5p	miR-885-5p	0.4328243926747115
miR-122-5p	RNY5-5p	0.3509993295377356
miR-122-5p	miR-192-5p	0.33598662356614195
miR-21-5p	miR-126-3p	0.6190249972363358
miR-21-5p	miR-29a-3p	0.5253968533612294
miR-21-5p	138_TNFSF14_(INF)	0.15066686044074107
178_HB-EGF_(CVD)	179_ESM-1_(CVD)	0.2419061415883652
178_HB-EGF_(CVD)	107_PlGF_(CVD)	0.5235675894083673
178_HB-EGF_(CVD)	160_IL-16_(CVD)	0.466913842090527
178_HB-EGF_(CVD)	miR-140-5p	0.1365379235687918
178_HB-EGF_(CVD)	RNY5-5p	0.1910811535586454
miR-145-5p	miR-143-3p	0.2550585207072782
miR-145-5p	miR-30b-5p	0.7054771921610401
miR-145-5p	187_TNFRSF9_(INF)	0.15727635234782245
miR-145-5p	177_t-PA_(CVD)	0.13262231177069506
179_FGF-19_(INF)	RNY4-3p	0.19681383982354284
179_FGF-19_(INF)	110_OPG_(INF)	0.23931149520709916
179_FGF-19_(INF)	miR-99b-5p	0.12395952682598477
179_FGF-19_(INF)	151_ST2_(CVD)	0.14646591780353901
196_CSF-1_(INF)	179_ESM-1_(CVD)	0.21588562405988032
196_CSF-1_(INF)	149_IL-10RB_(INF)	0.5705396418602158
196_CSF-1_(INF)	130_TRAIL-R2_(CVD)	0.382786612136762
196_CSF-1_(INF)	165_CD5_(INF)	0.4434128502838943
196_CSF-1_(INF)	158_MB_(CVD)	0.23946034372709413
196_CSF-1_(INF)	169_CXCL10_(INF)	0.2832661999074153
196_CSF-1_(INF)	135_TGF-alpha_(INF)	0.4933227587361362
196_CSF-1_(INF)	115_MCP-1_(INF)	0.4378552904604316
196_CSF-1_(INF)	156_HGF_(INF)	0.36120965799590365
196_CSF-1_(INF)	175_EN-RAGE_(INF)	0.24605665071171146
196_CSF-1_(INF)	105_MCP-3_(INF)	0.24885041397164454
196_CSF-1_(INF)	130_CCL4_(INF)	0.25615634803676457
196_CSF-1_(INF)	190_CCL20_(INF)	0.18306560319134757
miR-143-3p	miR-145-5p	0.2550585207072782
miR-143-3p	miR-192-5p	0.20798997357008275
132_SCF_(INF)	153_Beta-NGF_(INF)	0.36838010125821885
132_SCF_(INF)	184_CASP-8_(INF)	0.15220284964092823
132_SCF_(INF)	RNY4-5p	0.19449140183136393
132_SCF_(INF)	165_RAGE_(CVD)	0.14470882087595704
191_ST1A1_(INF)	192_STAMPB_(INF)	0.30989083474960744
191_ST1A1_(INF)	152_TIM_(CVD)	0.1088836176619905
152_PD-L1_(INF)	135_TNF-R2_(CVD)	0.3726048779771851
152_PD-L1_(INF)	134_SLAMF1_(INF)	0.23703049137114363
152_PD-L1_(INF)	106_GDF-15_(CVD)	0.3023089163012651
152_PD-L1_(INF)	117_CXCL11_(INF)	0.3055465591817308
107_PlGF_(CVD)	164_CCL23_(INF)	0.19892361742303954
107_PlGF_(CVD)	178_HB-EGF_(CVD)	0.5235675894083673
107_PlGF_(CVD)	167_MMP-7_(CVD)	0.406306048053251
