Regulator	Target	MI
122_TIE2_(CVD)	164_CTSD_(CVD)	0.19482102280751246
122_TIE2_(CVD)	108_SELE_(CVD)	0.26037200035262575
122_TIE2_(CVD)	139_PRL_(CVD)	0.17300325570880037
122_TIE2_(CVD)	107_PlGF_(CVD)	0.25638879635105294
122_TIE2_(CVD)	170_CXCL16_(CVD)	0.2486258169071638
122_TIE2_(CVD)	172_SIRT2_(CVD)	0.2772456452730614
122_TIE2_(CVD)	let-7b-5p	0.1819895885337326
122_TIE2_(CVD)	miR-375	0.1701293679484568
148_PTX3_(CVD)	168_CXCL6_(INF)	0.1501947757577362
148_PTX3_(CVD)	179_ESM-1_(CVD)	0.18333497340571459
148_PTX3_(CVD)	174_AGRP_(CVD)	0.19456415643054736
148_PTX3_(CVD)	miR-324-5p	0.15659269117619612
148_PTX3_(CVD)	126_IL27-A_(CVD)	0.2304956122625006
148_PTX3_(CVD)	181_VEGF-D_(CVD)	0.13330478012586333
148_PTX3_(CVD)	miR-375	0.15933003109959465
148_PTX3_(CVD)	188_NT-3_(INF)	0.13749696162899738
148_PTX3_(CVD)	183_SPON1_(CVD)	0.2705436281395377
108_CD244_(INF)	102_VEGF-A_(INF)	0.3044261052066588
108_CD244_(INF)	140_MPO_(CVD)	0.24363941859903981
108_CD244_(INF)	168_CXCL6_(INF)	0.31823407794828285
108_CD244_(INF)	157_IL-12B_(INF)	0.27262671817151407
108_CD244_(INF)	130_CCL4_(INF)	0.2209110965285621
179_ESM-1_(CVD)	148_PTX3_(CVD)	0.1833349734057137
179_ESM-1_(CVD)	159_TM_(CVD)	0.3231799963375952
179_ESM-1_(CVD)	189_TWEAK_(INF)	0.21530268373464168
179_ESM-1_(CVD)	194_PECAM-1_(CVD)	0.2105618548990229
179_ESM-1_(CVD)	139_PRL_(CVD)	0.12284186556279408
179_ESM-1_(CVD)	140_IL-10RA_(INF)	0.14768245220824916
179_ESM-1_(CVD)	171_Dkk-1_(CVD)	0.21453467434304763
179_ESM-1_(CVD)	148_IL-15RA_(INF)	0.17413451616007336
179_ESM-1_(CVD)	154_mAmP_(CVD)	0.2348942181930207
179_ESM-1_(CVD)	145_PAPPA_(CVD)	0.2597278450700209
129_LOX-1_(CVD)	160_IL-16_(CVD)	0.3655599259976823
129_LOX-1_(CVD)	167_MMP-7_(CVD)	0.38250794808191735
129_LOX-1_(CVD)	162_U-PAR_(CVD)	0.5172584445388733
108_SELE_(CVD)	122_TIE2_(CVD)	0.26037200035262664
108_SELE_(CVD)	130_TRAIL-R2_(CVD)	0.2175163302741021
108_SELE_(CVD)	194_PECAM-1_(CVD)	0.3678378257183379
108_SELE_(CVD)	134_IL-6RA_(CVD)	0.1780259989606403
108_SELE_(CVD)	151_IL-18R1_(INF)	0.13596229044971153
108_SELE_(CVD)	192_NEMO_(CVD)	0.11150515139240369
