Regulator	Target	MI
122_TIE2_(CVD)	116_IL-17A_(INF)	0.13331599346083411
122_TIE2_(CVD)	107_PlGF_(CVD)	0.3863225091462841
122_TIE2_(CVD)	170_4E-BP1_(INF)	0.21478921263868145
122_TIE2_(CVD)	194_PECAM-1_(CVD)	0.2931924719787462
122_TIE2_(CVD)	137_HSP 27_(CVD)	0.18135978249877294
122_TIE2_(CVD)	145_PAPPA_(CVD)	0.21371624927088284
148_PTX3_(CVD)	179_ESM-1_(CVD)	0.35331601080454345
148_PTX3_(CVD)	107_PlGF_(CVD)	0.3062238379684077
148_PTX3_(CVD)	miR-92a-3p	0.2638375602953582
148_PTX3_(CVD)	173_GAL_(CVD)	0.14528194084381152
108_CD244_(INF)	135_TNF-R2_(CVD)	0.34511680566809755
108_CD244_(INF)	165_CD5_(INF)	0.3504313077497754
108_CD244_(INF)	168_CXCL6_(INF)	0.2996184799772905
108_CD244_(INF)	109_EGF_(CVD)	0.16308047869626385
179_ESM-1_(CVD)	148_PTX3_(CVD)	0.35331601080454256
179_ESM-1_(CVD)	139_PRL_(CVD)	0.1343920675625645
179_ESM-1_(CVD)	193_FS_(CVD)	0.30701404980092306
179_ESM-1_(CVD)	172_SIRT2_(CVD)	0.3111827327505665
179_ESM-1_(CVD)	144_FGF-21_(INF)	0.19107190296328547
179_ESM-1_(CVD)	181_VEGF-D_(CVD)	0.21229843626613842
179_ESM-1_(CVD)	let-7b-5p	0.17735286644303905
179_ESM-1_(CVD)	141_FGF-5_(INF)	0.22048692659146418
179_ESM-1_(CVD)	145_PAPPA_(CVD)	0.3456648018839221
129_LOX-1_(CVD)	138_TNFSF14_(INF)	0.22437012486529007
129_LOX-1_(CVD)	160_IL-16_(CVD)	0.38693525283899266
129_LOX-1_(CVD)	196_ECP_(CVD)	0.35542080772631923
129_LOX-1_(CVD)	184_CASP-8_(INF)	0.20010285558129404
129_LOX-1_(CVD)	122_CXCL9_(INF)	0.33767944508325876
129_LOX-1_(CVD)	171_Dkk-1_(CVD)	0.2554000886200054
129_LOX-1_(CVD)	145_PAPPA_(CVD)	0.2223396225949239
108_SELE_(CVD)	194_PECAM-1_(CVD)	0.3252903916006131
108_SELE_(CVD)	193_FS_(CVD)	0.17979210300263215
miR-122-5p	miR-26a-5p	0.2063118050813868
miR-122-5p	miR-885-5p	0.5299549595947033
miR-122-5p	RNY5-5p	0.29218460026219795
miR-122-5p	139_PRL_(CVD)	0.25901520320660687
miR-122-5p	miR-192-5p	0.3684123402473247
miR-122-5p	miR-27b-3p	0.15075608542490393
miR-122-5p	142_MMP-1_(INF)	0.15681548342678298
miR-21-5p	miR-126-3p	0.624076448064284
miR-21-5p	miR-320a	0.5798776932915581
miR-21-5p	187_TNFRSF9_(INF)	0.14591987572291298
miR-21-5p	103_BDNF_(INF)	0.14477788224755717
178_HB-EGF_(CVD)	196_CSF-1_(INF)	0.384329035537065
178_HB-EGF_(CVD)	135_TNF-R2_(CVD)	0.5884327665076974
178_HB-EGF_(CVD)	165_RAGE_(CVD)	0.4351714124214112
178_HB-EGF_(CVD)	158_MB_(CVD)	0.393335066366026
miR-145-5p	101_IL-8_(INF)	0.19864411572514928
miR-145-5p	miR-222-3p	0.5571600900929434
miR-145-5p	161_MMP-10_(INF)	0.28242621688631875
179_FGF-19_(INF)	164_CTSD_(CVD)	0.1656621722764564
179_FGF-19_(INF)	167_MMP-7_(CVD)	0.20429748820640548
179_FGF-19_(INF)	123_CST5_(INF)	0.13296727013649523
196_CSF-1_(INF)	178_HB-EGF_(CVD)	0.3843290355370659
196_CSF-1_(INF)	102_VEGF-A_(INF)	0.5674075807162655
196_CSF-1_(INF)	111_LAP TGF-beta-1_(INF)	0.4815803366665996
196_CSF-1_(INF)	109_IL-7_(INF)	0.3630403483032909
196_CSF-1_(INF)	156_HGF_(INF)	0.4945469268393987
196_CSF-1_(INF)	175_EN-RAGE_(INF)	0.18935552816624757
196_CSF-1_(INF)	149_IL-10RB_(INF)	0.46345865002209674
196_CSF-1_(INF)	140_IL-10RA_(INF)	0.25956481151371413
196_CSF-1_(INF)	118_AXIN1_(INF)	0.4021149200142622
196_CSF-1_(INF)	143_LIF-R_(INF)	0.3479968220059053
196_CSF-1_(INF)	107_CDCP1_(INF)	0.33622026448004405
miR-143-3p	157_IL-12B_(INF)	0.13808445171945216
miR-143-3p	109_IL-7_(INF)	0.15211410096288436
miR-143-3p	167_Flt3L_(INF)	0.1839847672403092
miR-143-3p	101_IL-8_(INF)	0.147585688286342
miR-143-3p	miR-140-5p	0.36901918092875796
miR-143-3p	183_SPON1_(CVD)	0.14251017655190257
132_SCF_(INF)	162_IL-10_(INF)	0.17306915371822296
132_SCF_(INF)	RNY5-5p	0.2534179918123227
132_SCF_(INF)	189_TWEAK_(INF)	0.17056609446666293
132_SCF_(INF)	139_PRL_(CVD)	0.16908477034274316
132_SCF_(INF)	123_CST5_(INF)	0.15774412900971058
132_SCF_(INF)	190_CCL20_(INF)	0.1848079811044725
191_ST1A1_(INF)	111_SRC_(CVD)	0.4211573435265876
191_ST1A1_(INF)	167_MMP-7_(CVD)	0.2600276174151217
191_ST1A1_(INF)	173_CCL28_(INF)	0.1147849818633091
191_ST1A1_(INF)	117_Gal-3_(CVD)	0.22255608123903592
152_PD-L1_(INF)	135_TNF-R2_(CVD)	0.45227608103174965
152_PD-L1_(INF)	134_SLAMF1_(INF)	0.29121864762710814
152_PD-L1_(INF)	133_IL-18_(INF)	0.21776265280430174
152_PD-L1_(INF)	175_EN-RAGE_(INF)	0.1849295570909053
107_PlGF_(CVD)	122_TIE2_(CVD)	0.38632250914628496
107_PlGF_(CVD)	148_PTX3_(CVD)	0.3062238379684077
107_PlGF_(CVD)	144_FAS_(CVD)	0.4711259437873512
107_PlGF_(CVD)	miR-197-3p	0.2594486947090866
107_PlGF_(CVD)	152_TIM_(CVD)	0.3272837559422701
107_PlGF_(CVD)	135_TNF-R2_(CVD)	0.554371128150799
107_PlGF_(CVD)	121_hK11_(CVD)	0.5716061197869031
miR-486-5p	miR-93-5p	0.48923377032325543
miR-486-5p	106_GDNF_(INF)	0.1384849858727213
miR-486-5p	miR-16-5p	0.5425125770623298
160_IL-16_(CVD)	129_LOX-1_(CVD)	0.38693525283899266
160_IL-16_(CVD)	135_TNF-R2_(CVD)	0.44717660608376697
160_IL-16_(CVD)	194_PECAM-1_(CVD)	0.3560998284428285
160_IL-16_(CVD)	192_NEMO_(CVD)	0.21653370472764522
112_IL-1ra_(CVD)	187_FABP4_(CVD)	0.48032029944928833
112_IL-1ra_(CVD)	113_IL-6_(CVD)	0.24172082178773646
112_IL-1ra_(CVD)	177_t-PA_(CVD)	0.241209984788469
162_U-PAR_(CVD)	130_TRAIL-R2_(CVD)	0.7615541179875702
162_U-PAR_(CVD)	135_TNF-R2_(CVD)	0.655188451936846
162_U-PAR_(CVD)	181_VEGF-D_(CVD)	0.2019039438257595
162_U-PAR_(CVD)	134_SLAMF1_(INF)	0.3181413564930047
162_U-PAR_(CVD)	114_CSTB_(CVD)	0.5411323484958155
162_U-PAR_(CVD)	106_GDF-15_(CVD)	0.4675446632318385
162_U-PAR_(CVD)	121_hK11_(CVD)	0.4395143976542437
162_U-PAR_(CVD)	113_IL-6_(CVD)	0.45496897221553656
162_U-PAR_(CVD)	176_CD40_(INF)	0.4427201526491924
185_CTSL1_(CVD)	135_TNF-R2_(CVD)	0.31963280926863824
185_CTSL1_(CVD)	107_CDCP1_(INF)	0.23308773666057014
151_ST2_(CVD)	136_MMP-3_(CVD)	0.3859506078854045
151_ST2_(CVD)	miR-29a-3p	0.15332721541816774
151_ST2_(CVD)	118_PAR-1_(CVD)	0.30556999710631594
