Regulator	Target	MI
122_TIE2_(CVD)	194_PECAM-1_(CVD)	0.4160060412509763
122_TIE2_(CVD)	151_ST2_(CVD)	0.14480381320919644
122_TIE2_(CVD)	171_Dkk-1_(CVD)	0.20701001699223287
122_TIE2_(CVD)	172_SIRT2_(CVD)	0.2185498407473201
148_PTX3_(CVD)	179_ESM-1_(CVD)	0.210574505407779
148_PTX3_(CVD)	miR-191-5p	0.14130197965255942
148_PTX3_(CVD)	113_IL-6_(CVD)	0.16572524081849505
148_PTX3_(CVD)	126_IL27-A_(CVD)	0.19429801945929803
148_PTX3_(CVD)	189_LEP_(CVD)	0.15119351430973982
148_PTX3_(CVD)	miR-375	0.1707359082823734
148_PTX3_(CVD)	166_MIP-1 alpha_(INF)	0.18829392683237423
148_PTX3_(CVD)	183_SPON1_(CVD)	0.21972676925179435
108_CD244_(INF)	124_TNF-R1_(CVD)	0.23163226123222191
108_CD244_(INF)	112_uPA_(INF)	0.20696358372073576
108_CD244_(INF)	165_CD5_(INF)	0.25877096937571054
108_CD244_(INF)	134_IL-6RA_(CVD)	0.19005235104643248
108_CD244_(INF)	miR-30b-5p	0.1868369388425677
179_ESM-1_(CVD)	140_MPO_(CVD)	0.15284175350148477
179_ESM-1_(CVD)	148_PTX3_(CVD)	0.21071455877253875
179_ESM-1_(CVD)	134_SLAMF1_(INF)	0.16116885868200015
179_ESM-1_(CVD)	miR-27b-3p	0.1330772506263047
179_ESM-1_(CVD)	143_LIF-R_(INF)	0.11013077914779235
179_ESM-1_(CVD)	140_IL-10RA_(INF)	0.11886339711962624
129_LOX-1_(CVD)	184_CASP-8_(INF)	0.21084851995288734
129_LOX-1_(CVD)	123_CST5_(INF)	0.14706822700976474
129_LOX-1_(CVD)	196_ECP_(CVD)	0.4527355242556803
129_LOX-1_(CVD)	114_CSTB_(CVD)	0.3396466555599327
129_LOX-1_(CVD)	miR-92a-3p	0.15880678251065206
108_SELE_(CVD)	194_PECAM-1_(CVD)	0.4110506975392392
108_SELE_(CVD)	112_IL-1ra_(CVD)	0.19938571645169656
108_SELE_(CVD)	170_CXCL16_(CVD)	0.1602008099871295
miR-122-5p	miR-885-5p	0.31911303600851326
miR-122-5p	195_NT-pro-BNP_(CVD)	0.12418347141920538
miR-122-5p	RNY5-5p	0.34229333809793605
miR-122-5p	177_t-PA_(CVD)	0.17907877886417456
miR-122-5p	miR-145-5p	0.124919601654776
miR-122-5p	189_TWEAK_(INF)	0.10031337495718429
miR-122-5p	miR-192-5p	0.14588404382217135
miR-122-5p	183_MCP-2_(INF)	0.1887792599468634
miR-21-5p	RNY5-5p	0.20083988786273377
miR-21-5p	139_FGF-23_(INF)	0.17108208599294716
miR-21-5p	miR-24-3p	0.6055737405478538
miR-21-5p	miR-197-3p	0.5521428728562441
miR-21-5p	miR-221-3p	0.5758067469858554
178_HB-EGF_(CVD)	118_PAR-1_(CVD)	0.48383130755848924
178_HB-EGF_(CVD)	157_PSGL-1_(CVD)	0.1557699892960711
178_HB-EGF_(CVD)	121_hK11_(CVD)	0.5273832044287543
178_HB-EGF_(CVD)	123_TF_(CVD)	0.32703844566209295
178_HB-EGF_(CVD)	145_PAPPA_(CVD)	0.13130846432827958
miR-145-5p	miR-122-5p	0.12491960165477511
miR-145-5p	164_CCL23_(INF)	0.16609762499712044
miR-145-5p	miR-19b-3p	0.5515424805745797
179_FGF-19_(INF)	107_CDCP1_(INF)	0.12227787635607701
179_FGF-19_(INF)	110_OPG_(INF)	0.15741879431750672
179_FGF-19_(INF)	miR-99b-5p	0.24622359067706068
196_CSF-1_(INF)	165_CD5_(INF)	0.4476231298342892
196_CSF-1_(INF)	135_TGF-alpha_(INF)	0.49647624787611466
196_CSF-1_(INF)	148_IL-15RA_(INF)	0.3020129730271277
196_CSF-1_(INF)	190_CCL20_(INF)	0.2224703722482042
miR-143-3p	let-7b-5p	0.23058397456890933
miR-143-3p	miR-192-5p	0.18008665637554433
miR-143-3p	142_MMP-1_(INF)	0.11870006766594177
132_SCF_(INF)	195_TNFB_(INF)	0.10477317866000568
132_SCF_(INF)	185_CCL25_(INF)	0.1346851347790734
132_SCF_(INF)	miR-223-5p(*)	0.1548360870549761
132_SCF_(INF)	126_IL27-A_(CVD)	0.11646137375423748
132_SCF_(INF)	131_CD6_(INF)	0.13547986439097492
191_ST1A1_(INF)	111_SRC_(CVD)	0.361364559947436
191_ST1A1_(INF)	165_CD5_(INF)	0.11449942726184759
191_ST1A1_(INF)	158_MB_(CVD)	0.1351608127631856
152_PD-L1_(INF)	135_TNF-R2_(CVD)	0.2958213561163543
152_PD-L1_(INF)	134_SLAMF1_(INF)	0.2970276191888708
152_PD-L1_(INF)	133_IL-18_(INF)	0.2986426745658912
152_PD-L1_(INF)	136_MMP-3_(CVD)	0.1966596780890546
152_PD-L1_(INF)	miR-197-3p	0.09279187734907257
152_PD-L1_(INF)	117_CXCL11_(INF)	0.30063723034813084
152_PD-L1_(INF)	155_TRANCE_(INF)	0.11947600877349629
107_PlGF_(CVD)	160_IL-16_(CVD)	0.3711935160965396
107_PlGF_(CVD)	RNY4-3p	0.18105348232865204
107_PlGF_(CVD)	135_TNF-R2_(CVD)	0.5332806721875745
107_PlGF_(CVD)	181_VEGF-D_(CVD)	0.18965640239746762
107_PlGF_(CVD)	miR-140-5p	0.19555302388066131
107_PlGF_(CVD)	194_PECAM-1_(CVD)	0.28965596896436363
107_PlGF_(CVD)	121_hK11_(CVD)	0.4813227763919459
miR-486-5p	136_MMP-3_(CVD)	0.14844754411476124
miR-486-5p	miR-93-5p	0.45696623045282525
miR-486-5p	149_REN_(CVD)	0.15868440261263306
miR-486-5p	188_NT-3_(INF)	0.12159711610596258
miR-486-5p	miR-16-5p	0.4317297090376657
160_IL-16_(CVD)	107_PlGF_(CVD)	0.35617717042060626
160_IL-16_(CVD)	138_TNFSF14_(INF)	0.2846647387230874
160_IL-16_(CVD)	118_PAR-1_(CVD)	0.3717369411592166
160_IL-16_(CVD)	172_SIRT2_(CVD)	0.30941410157566285
112_IL-1ra_(CVD)	187_FABP4_(CVD)	0.3359260298051714
112_IL-1ra_(CVD)	108_SELE_(CVD)	0.19938571645169656
112_IL-1ra_(CVD)	167_MMP-7_(CVD)	0.3078711469970381
112_IL-1ra_(CVD)	123_TF_(CVD)	0.19643908755834616
112_IL-1ra_(CVD)	177_t-PA_(CVD)	0.31972781404281303
112_IL-1ra_(CVD)	145_CCL19_(INF)	0.22066009770778727
112_IL-1ra_(CVD)	miR-375	0.16570545791097668
162_U-PAR_(CVD)	196_ECP_(CVD)	0.3392360507009906
162_U-PAR_(CVD)	183_SPON1_(CVD)	0.4834725384856471
162_U-PAR_(CVD)	113_IL-6_(CVD)	0.3709951874507311
162_U-PAR_(CVD)	143_RETN_(CVD)	0.4213870270434148
162_U-PAR_(CVD)	124_TNF-R1_(CVD)	0.5930203008438335
185_CTSL1_(CVD)	135_TNF-R2_(CVD)	0.27112781303563693
185_CTSL1_(CVD)	miR-221-3p	0.1090236420267674
185_CTSL1_(CVD)	145_CCL19_(INF)	0.1604751975455745
151_ST2_(CVD)	122_TIE2_(CVD)	0.14480381320919555
151_ST2_(CVD)	105_MCP-3_(INF)	0.14500106426946502
151_ST2_(CVD)	136_MMP-3_(CVD)	0.3315634181151106
151_ST2_(CVD)	miR-221-3p	0.1353754831529148
151_ST2_(CVD)	149_REN_(CVD)	0.11551865048155463
102_VEGF-A_(INF)	111_LAP TGF-beta-1_(INF)	0.38080592173778793
102_VEGF-A_(INF)	114_CSTB_(CVD)	0.43234720843829333
102_VEGF-A_(INF)	185_CCL25_(INF)	0.2691216411744719
102_VEGF-A_(INF)	135_TGF-alpha_(INF)	0.6980072275381
102_VEGF-A_(INF)	113_IL-6_(CVD)	0.21500414908115495
102_VEGF-A_(INF)	156_HGF_(INF)	0.5079851982517853
102_VEGF-A_(INF)	123_CST5_(INF)	0.21459175217902615
102_VEGF-A_(INF)	106_GDNF_(INF)	0.18533967194764234
102_VEGF-A_(INF)	153_Beta-NGF_(INF)	0.38519045093700033
102_VEGF-A_(INF)	141_FGF-5_(INF)	0.280701855517
186_CX3CL1_(INF)	135_TNF-R2_(CVD)	0.36883760240933494
186_CX3CL1_(INF)	143_LIF-R_(INF)	0.33301363688540686
186_CX3CL1_(INF)	110_OPG_(INF)	0.40079027041993953
144_FGF-21_(INF)	107_CDCP1_(INF)	0.1437172381277989
144_FGF-21_(INF)	191_CA-125_(CVD)	0.08995637574127091
144_FGF-21_(INF)	145_CCL19_(INF)	0.09905336166379808
144_FGF-21_(INF)	miR-29a-3p	0.0917604527909841
144_FGF-21_(INF)	114_CSTB_(CVD)	0.1274778047756735
144_FGF-21_(INF)	177_t-PA_(CVD)	0.20338254238593123
RNY4-3p	107_PlGF_(CVD)	0.18105348232865204
RNY4-3p	miR-223-5p(*)	0.5252548315230481
RNY4-3p	hsa-miR-574-3p	0.4234130389039148
RNY4-3p	168_CXCL6_(INF)	0.1604889431372154
RNY4-3p	miR-320a	0.4850659143875511
RNY4-3p	RNY4-5p	0.7400180861206245
101_IL-8_(INF)	135_TGF-alpha_(INF)	0.25355395024304617
101_IL-8_(INF)	161_MMP-10_(INF)	0.14618601610138526
101_IL-8_(INF)	190_CCL20_(INF)	0.33251847750543906
126_IL27-A_(CVD)	148_PTX3_(CVD)	0.19433303264760315
126_IL27-A_(CVD)	125_PDGF subunit B_(CVD)	0.10104236485001739
126_IL27-A_(CVD)	191_CA-125_(CVD)	0.18539922139682563
126_IL27-A_(CVD)	136_MCP-4_(INF)	0.17299775831379893
126_IL27-A_(CVD)	132_SCF_(INF)	0.11646137375423748
126_IL27-A_(CVD)	166_CCL3_(CVD)	0.23505077124188123
126_IL27-A_(CVD)	196_ECP_(CVD)	0.20177435148895828
