Regulator	Target	MI
122_TIE2_(CVD)	194_PECAM-1_(CVD)	0.39551867034226085
122_TIE2_(CVD)	156_HGF_(INF)	0.19748560923398806
122_TIE2_(CVD)	142_MMP-1_(INF)	0.1892601662865605
122_TIE2_(CVD)	miR-197-3p	0.14539579676342917
122_TIE2_(CVD)	144_FAS_(CVD)	0.318479605840551
148_PTX3_(CVD)	140_MPO_(CVD)	0.16633178838612395
148_PTX3_(CVD)	164_CTSD_(CVD)	0.1881586850645487
148_PTX3_(CVD)	179_ESM-1_(CVD)	0.2881026019797597
148_PTX3_(CVD)	174_AGRP_(CVD)	0.1630615234582553
148_PTX3_(CVD)	miR-20b-5p	0.10885013225164109
148_PTX3_(CVD)	126_IL27-A_(CVD)	0.28490490969854676
148_PTX3_(CVD)	135_TNF-R2_(CVD)	0.27921574108683256
148_PTX3_(CVD)	173_CCL28_(INF)	0.17261069770179027
148_PTX3_(CVD)	173_GAL_(CVD)	0.12651811467092777
108_CD244_(INF)	186_CX3CL1_(INF)	0.28147429883571373
108_CD244_(INF)	168_CXCL6_(INF)	0.2358822999137944
108_CD244_(INF)	139_FGF-23_(INF)	0.2642364639888628
108_CD244_(INF)	148_IL-15RA_(INF)	0.3022969725479525
108_CD244_(INF)	112_uPA_(INF)	0.3104836265248254
179_ESM-1_(CVD)	148_PTX3_(CVD)	0.2881026019797588
179_ESM-1_(CVD)	107_PlGF_(CVD)	0.25547458950141166
179_ESM-1_(CVD)	171_Dkk-1_(CVD)	0.20422251160877813
179_ESM-1_(CVD)	165_RAGE_(CVD)	0.24359595529360067
179_ESM-1_(CVD)	let-7d-5p	0.15507815202029374
179_ESM-1_(CVD)	190_CCL20_(INF)	0.13616377609187946
129_LOX-1_(CVD)	135_TNF-R2_(CVD)	0.3856323434152511
129_LOX-1_(CVD)	126_OSM_(INF)	0.211010484425878
129_LOX-1_(CVD)	194_PECAM-1_(CVD)	0.2079333709932154
129_LOX-1_(CVD)	153_Beta-NGF_(INF)	0.23836281609921528
129_LOX-1_(CVD)	161_MMP-10_(INF)	0.17578667371672818
108_SELE_(CVD)	164_CTSD_(CVD)	0.18867957379334044
108_SELE_(CVD)	194_PECAM-1_(CVD)	0.4093469612667233
108_SELE_(CVD)	miR-486-5p	0.0919506058750219
108_SELE_(CVD)	162_U-PAR_(CVD)	0.25848126477093647
108_SELE_(CVD)	181_VEGF-D_(CVD)	0.1721446888337015
108_SELE_(CVD)	103_BDNF_(INF)	0.11560495224699707
108_SELE_(CVD)	173_GAL_(CVD)	0.16220889657677162
miR-122-5p	miR-885-5p	0.4949199414596457
miR-122-5p	RNY5-5p	0.14390893433981944
miR-122-5p	miR-28-5p	0.12712750191615374
miR-122-5p	130_TRAIL-R2_(CVD)	0.1853993923897379
miR-122-5p	184_CASP-8_(INF)	0.1220611142001351
miR-21-5p	135_TGF-alpha_(INF)	0.17358580368327114
miR-21-5p	miR-24-3p	0.7591895723438498
miR-21-5p	106_GDNF_(INF)	0.09868070525491834
miR-21-5p	miR-26a-5p	0.6452441040021739
miR-21-5p	miR-92a-3p	0.43111752858402674
178_HB-EGF_(CVD)	144_FGF-21_(INF)	0.17290813403167604
178_HB-EGF_(CVD)	135_TNF-R2_(CVD)	0.4276975632478246
178_HB-EGF_(CVD)	miR-126-3p	0.15159656663558696
178_HB-EGF_(CVD)	171_Dkk-1_(CVD)	0.34527163887175405
178_HB-EGF_(CVD)	152_TIM_(CVD)	0.3203019354059684
miR-145-5p	164_CCL23_(INF)	0.15969955811460856
miR-145-5p	miR-143-3p	0.2656018104790645
miR-145-5p	miR-29a-3p	0.5064778560753584
miR-145-5p	miR-26a-5p	0.6367789418544705
miR-145-5p	166_MIP-1 alpha_(INF)	0.1721138405921563
179_FGF-19_(INF)	110_OPG_(INF)	0.15741974243972834
179_FGF-19_(INF)	140_IL-10RA_(INF)	0.10403786786951663
179_FGF-19_(INF)	miR-19b-3p	0.18265260550337548
196_CSF-1_(INF)	186_CX3CL1_(INF)	0.4076219966155987
196_CSF-1_(INF)	135_TGF-alpha_(INF)	0.5386358469533059
196_CSF-1_(INF)	187_TNFRSF9_(INF)	0.45289326973236665
196_CSF-1_(INF)	153_Beta-NGF_(INF)	0.3519247998929691
miR-143-3p	miR-145-5p	0.2656018104790645
miR-143-3p	139_PRL_(CVD)	0.1042817523660311
miR-143-3p	141_GH_(CVD)	0.18083177272894702
miR-143-3p	175_EN-RAGE_(INF)	0.1346170060205747
miR-143-3p	miR-192-5p	0.22346390602336275
132_SCF_(INF)	miR-26a-5p	0.14341253528396614
132_SCF_(INF)	193_FS_(CVD)	0.0987171091152339
132_SCF_(INF)	186_CX3CL1_(INF)	0.17472016564697945
191_ST1A1_(INF)	136_MCP-4_(INF)	0.13175233575249568
191_ST1A1_(INF)	111_SRC_(CVD)	0.5458177730577294
191_ST1A1_(INF)	188_BNP_(CVD)	0.1655890447062287
152_PD-L1_(INF)	135_TNF-R2_(CVD)	0.4264106680879056
152_PD-L1_(INF)	106_GDF-15_(CVD)	0.31897263747504123
152_PD-L1_(INF)	133_IL-18_(INF)	0.1576911297824699
