Regulator	Target	MI
122_TIE2_(CVD)	194_PECAM-1_(CVD)	0.3857757277226037
122_TIE2_(CVD)	124_TNF-R1_(CVD)	0.34154849908423657
148_PTX3_(CVD)	179_ESM-1_(CVD)	0.21042265234173563
148_PTX3_(CVD)	123_TF_(CVD)	0.20886777530071132
148_PTX3_(CVD)	150_CHI3L1_(CVD)	0.16000390436947765
148_PTX3_(CVD)	106_GDF-15_(CVD)	0.3023841857720182
108_CD244_(INF)	miR-30b-5p	0.21859680669585657
108_CD244_(INF)	140_MPO_(CVD)	0.2622591715988287
108_CD244_(INF)	168_CXCL6_(INF)	0.3228778514020272
108_CD244_(INF)	159_TM_(CVD)	0.20344007094236893
108_CD244_(INF)	112_uPA_(INF)	0.25872473977873955
179_ESM-1_(CVD)	148_PTX3_(CVD)	0.21042265234173563
179_ESM-1_(CVD)	131_CD6_(INF)	0.14294151485378315
179_ESM-1_(CVD)	miR-191-5p	0.17858215990194992
179_ESM-1_(CVD)	194_ADA_(INF)	0.12917810385273754
179_ESM-1_(CVD)	145_CCL19_(INF)	0.12240597430851352
179_ESM-1_(CVD)	143_LIF-R_(INF)	0.15254106259055522
179_ESM-1_(CVD)	183_SPON1_(CVD)	0.2036951870684245
129_LOX-1_(CVD)	140_MPO_(CVD)	0.30061139959896277
129_LOX-1_(CVD)	112_IL-1ra_(CVD)	0.20599601640380172
129_LOX-1_(CVD)	162_U-PAR_(CVD)	0.33562026121927246
129_LOX-1_(CVD)	175_EN-RAGE_(INF)	0.26112129541968887
129_LOX-1_(CVD)	153_Beta-NGF_(INF)	0.2792359334859551
129_LOX-1_(CVD)	112_uPA_(INF)	0.17441469599488357
129_LOX-1_(CVD)	134_IL-6RA_(CVD)	0.16762900203800513
108_SELE_(CVD)	164_CTSD_(CVD)	0.11872939260803861
108_SELE_(CVD)	194_PECAM-1_(CVD)	0.3418024864361513
108_SELE_(CVD)	151_IL-18R1_(INF)	0.16995753120033363
108_SELE_(CVD)	112_IL-1ra_(CVD)	0.24534386853434498
108_SELE_(CVD)	miR-197-3p	0.27054580847651977
108_SELE_(CVD)	151_ST2_(CVD)	0.20055734395062075
108_SELE_(CVD)	101_IL-8_(INF)	0.25847122885808727
108_SELE_(CVD)	112_uPA_(INF)	0.14226445881364924
108_SELE_(CVD)	181_VEGF-D_(CVD)	0.1622861186934168
miR-122-5p	157_IL-12B_(INF)	0.12160375183500793
miR-122-5p	miR-885-5p	0.4396358922900854
miR-122-5p	132_SCF_(INF)	0.11645879298539885
miR-122-5p	109_IL-7_(INF)	0.20137159815271133
miR-122-5p	114_IL-17C_(INF)	0.09394489509207293
miR-122-5p	miR-223-5p(*)	0.2650907106650724
miR-122-5p	174_DNER_(INF)	0.16102961360008727
miR-21-5p	141_GH_(CVD)	0.10174434390866427
miR-21-5p	miR-126-3p	0.6584539264174438
178_HB-EGF_(CVD)	140_MPO_(CVD)	0.2736249308948553
178_HB-EGF_(CVD)	136_MCP-4_(INF)	0.18046899147411466
178_HB-EGF_(CVD)	159_TM_(CVD)	0.4116025444003615
178_HB-EGF_(CVD)	124_TNF-R1_(CVD)	0.45600446693276364
miR-145-5p	miR-143-3p	0.3675384979046532
miR-145-5p	miR-30b-5p	0.6176776523106131
miR-145-5p	111_SRC_(CVD)	0.4353910698981842
miR-145-5p	154_mAmP_(CVD)	0.22181088535674487
179_FGF-19_(INF)	RNY4-3p	0.19931231660458604
179_FGF-19_(INF)	110_OPG_(INF)	0.11866518531965209
179_FGF-19_(INF)	167_MMP-7_(CVD)	0.2547562806555357
196_CSF-1_(INF)	149_IL-10RB_(INF)	0.43275854861853436
196_CSF-1_(INF)	165_CD5_(INF)	0.4501971990566087
196_CSF-1_(INF)	134_SLAMF1_(INF)	0.28956238873507445
196_CSF-1_(INF)	135_TGF-alpha_(INF)	0.4911846490487468
196_CSF-1_(INF)	162_IL-10_(INF)	0.29839935444790644
196_CSF-1_(INF)	112_uPA_(INF)	0.3720300983998417
196_CSF-1_(INF)	let-7d-5p	0.2347725270019687
miR-143-3p	miR-885-5p	0.22885574493012228
miR-143-3p	130_TRAIL-R2_(CVD)	0.19400467849193248
miR-143-3p	miR-145-5p	0.37820557338259153
miR-143-3p	167_Flt3L_(INF)	0.12673629715389811
miR-143-3p	144_FGF-21_(INF)	0.17497138622634445
miR-143-3p	111_LAP TGF-beta-1_(INF)	0.17153676447168564
132_SCF_(INF)	153_Beta-NGF_(INF)	0.3530358939267204
132_SCF_(INF)	miR-122-5p	0.11645879298539885
132_SCF_(INF)	miR-126-3p	0.14182068788556013
132_SCF_(INF)	189_TWEAK_(INF)	0.14413189240264845
132_SCF_(INF)	186_CX3CL1_(INF)	0.30895147815132784
191_ST1A1_(INF)	109_EGF_(CVD)	0.4362996851092955
152_PD-L1_(INF)	160_IL-16_(CVD)	0.39759543686310916
152_PD-L1_(INF)	151_ST2_(CVD)	0.2023263258247443
152_PD-L1_(INF)	134_SLAMF1_(INF)	0.2809724805326468
152_PD-L1_(INF)	106_GDF-15_(CVD)	0.3043200881252295
152_PD-L1_(INF)	miR-27b-3p	0.1867299973851928
152_PD-L1_(INF)	117_CXCL11_(INF)	0.2983730511344911
107_PlGF_(CVD)	165_RAGE_(CVD)	0.4065611602286001
107_PlGF_(CVD)	144_FAS_(CVD)	0.3576764106624504
107_PlGF_(CVD)	159_TM_(CVD)	0.40390265582995344
107_PlGF_(CVD)	121_hK11_(CVD)	0.45990335447461295
107_PlGF_(CVD)	124_TNF-R1_(CVD)	0.5305933708125652
107_PlGF_(CVD)	154_mAmP_(CVD)	0.15623784993119205
107_PlGF_(CVD)	117_Gal-3_(CVD)	0.39604214104857505
miR-486-5p	miR-320a	0.5244304167890093
miR-486-5p	miR-93-5p	0.6425974316472676
miR-486-5p	miR-375	0.21611876033160815
miR-486-5p	miR-16-5p	0.6146010824368586
160_IL-16_(CVD)	152_PD-L1_(INF)	0.39759543686311005
160_IL-16_(CVD)	166_CCL3_(CVD)	0.4089713428719799
160_IL-16_(CVD)	135_TNF-R2_(CVD)	0.43383736209645907
160_IL-16_(CVD)	168_CXCL6_(INF)	0.22494177012584515
160_IL-16_(CVD)	191_CA-125_(CVD)	0.12005128618830518
160_IL-16_(CVD)	159_TM_(CVD)	0.398964122342103
112_IL-1ra_(CVD)	187_FABP4_(CVD)	0.3897259560082391
112_IL-1ra_(CVD)	126_OSM_(INF)	0.22316386385881604
112_IL-1ra_(CVD)	129_LOX-1_(CVD)	0.20599601640380172
112_IL-1ra_(CVD)	136_MCP-4_(INF)	0.18433609666739592
112_IL-1ra_(CVD)	108_SELE_(CVD)	0.24534386853434498
112_IL-1ra_(CVD)	113_IL-6_(CVD)	0.1939472694281701
112_IL-1ra_(CVD)	165_RAGE_(CVD)	0.1825539206808342
