Regulator	Target	MI
122_TIE2_(CVD)	125_PDGF subunit B_(CVD)	0.1879222698087437
122_TIE2_(CVD)	194_PECAM-1_(CVD)	0.35344182404923874
122_TIE2_(CVD)	151_IL-18R1_(INF)	0.12540679910920804
122_TIE2_(CVD)	144_FAS_(CVD)	0.2615488960133838
148_PTX3_(CVD)	191_CA-125_(CVD)	0.16615222346717662
148_PTX3_(CVD)	miR-122-5p	0.12250624793187281
148_PTX3_(CVD)	171_Dkk-1_(CVD)	0.1928187324467734
148_PTX3_(CVD)	126_IL27-A_(CVD)	0.1702680755357493
148_PTX3_(CVD)	154_mAmP_(CVD)	0.09541189849391518
148_PTX3_(CVD)	miR-92a-3p	0.10725514785540557
148_PTX3_(CVD)	149_REN_(CVD)	0.1500625259795756
148_PTX3_(CVD)	183_SPON1_(CVD)	0.16001385865779483
148_PTX3_(CVD)	133_IL-18_(INF)	0.12224086786620436
108_CD244_(INF)	168_CXCL6_(INF)	0.19090544467742276
108_CD244_(INF)	107_CDCP1_(INF)	0.2215783734605088
108_CD244_(INF)	189_TWEAK_(INF)	0.44762689792512234
108_CD244_(INF)	139_PRL_(CVD)	0.13024964735860056
108_CD244_(INF)	152_PD-L1_(INF)	0.18303874301316458
108_CD244_(INF)	126_IL27-A_(CVD)	0.19827454816850487
108_CD244_(INF)	165_RAGE_(CVD)	0.17538429971453073
179_ESM-1_(CVD)	129_LOX-1_(CVD)	0.18434698905646396
179_ESM-1_(CVD)	181_VEGF-D_(CVD)	0.20267992466279505
179_ESM-1_(CVD)	194_ADA_(INF)	0.18777559998357773
179_ESM-1_(CVD)	145_PAPPA_(CVD)	0.2560615726577371
179_ESM-1_(CVD)	171_Dkk-1_(CVD)	0.18872063211761603
179_ESM-1_(CVD)	183_SPON1_(CVD)	0.19197196342807477
129_LOX-1_(CVD)	179_ESM-1_(CVD)	0.18434698905646396
129_LOX-1_(CVD)	167_MMP-7_(CVD)	0.3409329609672609
129_LOX-1_(CVD)	172_SIRT2_(CVD)	0.20361489955297163
129_LOX-1_(CVD)	126_OSM_(INF)	0.17892241828427125
129_LOX-1_(CVD)	169_CXCL10_(INF)	0.239817553549158
108_SELE_(CVD)	164_CTSD_(CVD)	0.21135715218142792
108_SELE_(CVD)	101_IL-8_(INF)	0.14178568494582588
108_SELE_(CVD)	120_TRAIL_(INF)	0.1108350516979586
108_SELE_(CVD)	194_PECAM-1_(CVD)	0.37322971961155815
108_SELE_(CVD)	194_ADA_(INF)	0.29344694045426944
miR-122-5p	148_PTX3_(CVD)	0.12250624793187281
miR-122-5p	miR-885-5p	0.4810077418681038
miR-122-5p	RNY5-5p	0.1759813421125731
miR-21-5p	179_FGF-19_(INF)	0.14742029838466575
miR-21-5p	miR-92a-3p	0.4526325839306491
miR-21-5p	126_OSM_(INF)	0.31224955939067733
miR-21-5p	RNY5-5p	0.26518797013658
miR-21-5p	miR-93-5p	0.5951991468588513
miR-21-5p	117_CXCL11_(INF)	0.1669604960508453
miR-21-5p	RNY4-5p	0.544342447606148
miR-21-5p	miR-375	0.14869686628804768
178_HB-EGF_(CVD)	miR-145-5p	0.19350767270727864
178_HB-EGF_(CVD)	107_PlGF_(CVD)	0.49393408013687434
178_HB-EGF_(CVD)	184_CASP-8_(INF)	0.2375796642932686
178_HB-EGF_(CVD)	123_TF_(CVD)	0.42127045694614385
178_HB-EGF_(CVD)	141_FGF-5_(INF)	0.18326451004051592
178_HB-EGF_(CVD)	117_Gal-3_(CVD)	0.30392729328794044
miR-145-5p	178_HB-EGF_(CVD)	0.19350767270727953
miR-145-5p	168_CXCL6_(INF)	0.17878399052504523
miR-145-5p	miR-222-3p	0.7004922677208176
miR-145-5p	RNY4-5p	0.47315526378255246
179_FGF-19_(INF)	155_TRANCE_(INF)	0.1034178223951443
179_FGF-19_(INF)	139_PRL_(CVD)	0.09010270315378133
179_FGF-19_(INF)	193_FS_(CVD)	0.10076882951917021
