Regulator	Target	MI
122_TIE2_(CVD)	116_IL-17A_(INF)	0.21376126490517056
122_TIE2_(CVD)	148_PTX3_(CVD)	0.2032400187564205
122_TIE2_(CVD)	164_CTSD_(CVD)	0.20793014150544664
122_TIE2_(CVD)	181_VEGF-D_(CVD)	0.19410941037622642
122_TIE2_(CVD)	144_FAS_(CVD)	0.4098655195203147
122_TIE2_(CVD)	miR-126-3p	0.2024407586710133
122_TIE2_(CVD)	142_MMP-1_(INF)	0.16394966226125618
148_PTX3_(CVD)	122_TIE2_(CVD)	0.2032400187564205
148_PTX3_(CVD)	195_TNFB_(INF)	0.10841154684570764
148_PTX3_(CVD)	130_TRAIL-R2_(CVD)	0.24100561280295185
148_PTX3_(CVD)	194_ADA_(INF)	0.15876532449558045
148_PTX3_(CVD)	171_Dkk-1_(CVD)	0.20631475830526913
148_PTX3_(CVD)	miR-324-5p	0.19103500487856362
148_PTX3_(CVD)	195_NT-pro-BNP_(CVD)	0.2247323681637532
148_PTX3_(CVD)	145_PAPPA_(CVD)	0.14986061872770584
108_CD244_(INF)	111_LAP TGF-beta-1_(INF)	0.2950824806175749
108_CD244_(INF)	165_CD5_(INF)	0.346175947966449
108_CD244_(INF)	133_IL-18_(INF)	0.17692318241246507
108_CD244_(INF)	194_PECAM-1_(CVD)	0.17537449540648353
179_ESM-1_(CVD)	miR-126-5p(*)	0.14662703800557075
179_ESM-1_(CVD)	165_RAGE_(CVD)	0.2103116031476926
179_ESM-1_(CVD)	181_VEGF-D_(CVD)	0.1977909561818434
179_ESM-1_(CVD)	188_BNP_(CVD)	0.17768322722760477
129_LOX-1_(CVD)	162_U-PAR_(CVD)	0.4241696386422573
129_LOX-1_(CVD)	196_ECP_(CVD)	0.3389443641441563
129_LOX-1_(CVD)	107_CDCP1_(INF)	0.32538532460428815
129_LOX-1_(CVD)	126_OSM_(INF)	0.2892827490495442
129_LOX-1_(CVD)	184_CASP-8_(INF)	0.3536312029067874
108_SELE_(CVD)	164_CTSD_(CVD)	0.20946269597120626
108_SELE_(CVD)	miR-28-5p	0.13041758127478698
108_SELE_(CVD)	194_PECAM-1_(CVD)	0.27832750185497
108_SELE_(CVD)	112_IL-1ra_(CVD)	0.2527101479433522
108_SELE_(CVD)	miR-324-5p	0.12409774346304037
108_SELE_(CVD)	181_VEGF-D_(CVD)	0.21188305179025857
miR-122-5p	miR-885-5p	0.42620659386313164
miR-122-5p	136_MMP-3_(CVD)	0.10762768856136784
miR-122-5p	miR-145-5p	0.31003459706882186
miR-122-5p	196_CSF-1_(INF)	0.177064994222782
miR-122-5p	157_PSGL-1_(CVD)	0.14770159258067128
miR-21-5p	179_FGF-19_(INF)	0.1390074366552092
miR-21-5p	miR-223-3p	0.6630678762685154
miR-21-5p	miR-27b-3p	0.3851293596555472
miR-21-5p	miR-29a-3p	0.4412608597544576
