Regulator	Target	MI
122_TIE2_(CVD)	181_VEGF-D_(CVD)	0.25480329435676285
122_TIE2_(CVD)	144_FAS_(CVD)	0.4750525559197474
122_TIE2_(CVD)	183_SPON1_(CVD)	0.37214997945489614
122_TIE2_(CVD)	miR-885-5p	0.14936514565493209
122_TIE2_(CVD)	194_PECAM-1_(CVD)	0.33039657992997906
122_TIE2_(CVD)	106_GDNF_(INF)	0.10370357714337519
148_PTX3_(CVD)	107_CDCP1_(INF)	0.17131898841809523
148_PTX3_(CVD)	179_ESM-1_(CVD)	0.25797054291536714
148_PTX3_(CVD)	136_MMP-3_(CVD)	0.2736903378656672
148_PTX3_(CVD)	164_CCL23_(INF)	0.21342239609235936
148_PTX3_(CVD)	171_Dkk-1_(CVD)	0.16616852977105534
148_PTX3_(CVD)	153_Beta-NGF_(INF)	0.19742361327606162
148_PTX3_(CVD)	miR-324-5p	0.15872590765650507
148_PTX3_(CVD)	126_IL27-A_(CVD)	0.22533883228735974
108_CD244_(INF)	111_LAP TGF-beta-1_(INF)	0.32986704110543386
108_CD244_(INF)	140_MPO_(CVD)	0.27851128263576097
108_CD244_(INF)	170_4E-BP1_(INF)	0.3915791266372901
108_CD244_(INF)	168_CXCL6_(INF)	0.2961706404293434
179_ESM-1_(CVD)	168_CXCL6_(INF)	0.1974953325502593
179_ESM-1_(CVD)	148_PTX3_(CVD)	0.25797054291536714
179_ESM-1_(CVD)	129_LOX-1_(CVD)	0.17644966976786502
179_ESM-1_(CVD)	189_TWEAK_(INF)	0.21210996256828718
179_ESM-1_(CVD)	116_KLK6_(CVD)	0.15428245308046762
179_ESM-1_(CVD)	195_NT-pro-BNP_(CVD)	0.22473931001193126
179_ESM-1_(CVD)	181_VEGF-D_(CVD)	0.23013546471088286
179_ESM-1_(CVD)	let-7b-5p	0.13403295318218156
179_ESM-1_(CVD)	145_PAPPA_(CVD)	0.2755334220584551
129_LOX-1_(CVD)	179_ESM-1_(CVD)	0.17644966976786414
129_LOX-1_(CVD)	118_PAR-1_(CVD)	0.3565812144717322
129_LOX-1_(CVD)	111_LAP TGF-beta-1_(INF)	0.19602312306142
129_LOX-1_(CVD)	miR-99b-5p	0.1440710904516953
129_LOX-1_(CVD)	140_MPO_(CVD)	0.249004008314051
129_LOX-1_(CVD)	175_EN-RAGE_(INF)	0.16058651212495167
108_SELE_(CVD)	miR-320a	0.13940137549586673
108_SELE_(CVD)	194_PECAM-1_(CVD)	0.4781510673275857
108_SELE_(CVD)	160_IL-16_(CVD)	0.27139489217815527
108_SELE_(CVD)	151_ST2_(CVD)	0.23013491108755701
108_SELE_(CVD)	177_t-PA_(CVD)	0.24173729954603118
miR-122-5p	miR-885-5p	0.4247998329538305
miR-122-5p	RNY5-5p	0.32219470007512196
miR-122-5p	194_ADA_(INF)	0.16777512921514148
miR-122-5p	118_AXIN1_(INF)	0.1144919984310846
miR-122-5p	135_TNF-R2_(CVD)	0.18852708803405616
miR-122-5p	155_TRANCE_(INF)	0.10742588052820334
miR-21-5p	158_MB_(CVD)	0.14712875198130604
miR-21-5p	107_CDCP1_(INF)	0.10369560615960527
miR-21-5p	192_STAMPB_(INF)	0.5723423008688115
miR-21-5p	miR-885-5p	0.16418897597049842
miR-21-5p	miR-24-3p	0.7055907923951308
178_HB-EGF_(CVD)	130_TRAIL-R2_(CVD)	0.5158754657926394
178_HB-EGF_(CVD)	191_ST1A1_(INF)	0.29726176091961953
178_HB-EGF_(CVD)	107_PlGF_(CVD)	0.5092195028731137
178_HB-EGF_(CVD)	118_PAR-1_(CVD)	0.5463003924038317
miR-145-5p	181_VEGF-D_(CVD)	0.15177450928741543
miR-145-5p	miR-30b-5p	0.625475198593791
miR-145-5p	105_MCP-3_(INF)	0.14224067423674214
miR-145-5p	155_TRANCE_(INF)	0.12350180617900453
miR-145-5p	174_DNER_(INF)	0.13138934499391297
179_FGF-19_(INF)	196_CSF-1_(INF)	0.16959625617291607
179_FGF-19_(INF)	137_CCL11_(INF)	0.1221763187769298
179_FGF-19_(INF)	141_FGF-5_(INF)	0.11348479166114878
179_FGF-19_(INF)	miR-126-3p	0.15711423943591285
196_CSF-1_(INF)	164_CCL23_(INF)	0.3210949961068632
196_CSF-1_(INF)	179_FGF-19_(INF)	0.16959625617291607
196_CSF-1_(INF)	140_IL-10RA_(INF)	0.27249407449807084
196_CSF-1_(INF)	102_VEGF-A_(INF)	0.5959592173800754
196_CSF-1_(INF)	168_CXCL6_(INF)	0.3096750479647943
196_CSF-1_(INF)	109_IL-7_(INF)	0.24124793462319438
196_CSF-1_(INF)	175_EN-RAGE_(INF)	0.2281257465107771
196_CSF-1_(INF)	112_uPA_(INF)	0.4038218038673618
196_CSF-1_(INF)	176_CD40_(INF)	0.48281160014946245
196_CSF-1_(INF)	173_GAL_(CVD)	0.1264914987068888
miR-143-3p	157_IL-12B_(INF)	0.12352141541834527
miR-143-3p	RNY4-3p	0.19621116112804682
miR-143-3p	154_mAmP_(CVD)	0.10048090408251387
miR-143-3p	109_IL-7_(INF)	0.148555255097353
miR-143-3p	miR-192-5p	0.21362726492208406
miR-143-3p	miR-99b-5p	0.1745742914281676
132_SCF_(INF)	164_CTSD_(CVD)	0.2091568265722623
132_SCF_(INF)	153_Beta-NGF_(INF)	0.26479020831633004
132_SCF_(INF)	135_TNF-R2_(CVD)	0.17008018208732878
132_SCF_(INF)	112_uPA_(INF)	0.20982885663472217
132_SCF_(INF)	miR-126-3p	0.1803507562642599
132_SCF_(INF)	182_MMP-12_(CVD)	0.1970556894252562
191_ST1A1_(INF)	111_SRC_(CVD)	0.4431040927304455
191_ST1A1_(INF)	149_IL-10RB_(INF)	0.18748867565654237
191_ST1A1_(INF)	178_HB-EGF_(CVD)	0.29726176091961953
191_ST1A1_(INF)	154_mAmP_(CVD)	0.09889944677458118
191_ST1A1_(INF)	182_MMP-12_(CVD)	0.20687267550606858
152_PD-L1_(INF)	144_FGF-21_(INF)	0.1431336411189088
152_PD-L1_(INF)	134_SLAMF1_(INF)	0.32640602837783295
152_PD-L1_(INF)	139_FGF-23_(INF)	0.2636753225459634
152_PD-L1_(INF)	159_TM_(CVD)	0.3798619638113703
152_PD-L1_(INF)	106_GDNF_(INF)	0.13618877635449955
107_PlGF_(CVD)	164_CTSD_(CVD)	0.24479790523815037
107_PlGF_(CVD)	178_HB-EGF_(CVD)	0.5092195028731137
107_PlGF_(CVD)	193_FS_(CVD)	0.35197850792077556
107_PlGF_(CVD)	170_CXCL16_(CVD)	0.4680271355297041
107_PlGF_(CVD)	133_IL-18_(INF)	0.27756072834173384
107_PlGF_(CVD)	159_TM_(CVD)	0.5398970034390453
