Regulator	Target	MI
122_TIE2_(CVD)	116_IL-17A_(INF)	0.166362674755689
122_TIE2_(CVD)	164_CTSD_(CVD)	0.14712929123131513
122_TIE2_(CVD)	miR-223-3p	0.1272987555880487
122_TIE2_(CVD)	144_FAS_(CVD)	0.38739097576983905
122_TIE2_(CVD)	168_CXCL6_(INF)	0.13755619383288575
122_TIE2_(CVD)	194_PECAM-1_(CVD)	0.28992505199714547
122_TIE2_(CVD)	142_MMP-1_(INF)	0.15917480969136744
122_TIE2_(CVD)	miR-375	0.2037098334236429
122_TIE2_(CVD)	145_PAPPA_(CVD)	0.2364468170693197
148_PTX3_(CVD)	130_TRAIL-R2_(CVD)	0.2898475622924783
148_PTX3_(CVD)	151_IL-18R1_(INF)	0.14577681746571347
148_PTX3_(CVD)	162_IL-10_(INF)	0.15821548237535765
148_PTX3_(CVD)	145_PAPPA_(CVD)	0.29249502801809246
108_CD244_(INF)	140_MPO_(CVD)	0.14312164732553168
108_CD244_(INF)	168_CXCL6_(INF)	0.3323335145991413
108_CD244_(INF)	131_CD6_(INF)	0.3153095480678276
108_CD244_(INF)	112_uPA_(INF)	0.31196148179097527
179_ESM-1_(CVD)	178_HB-EGF_(CVD)	0.3563306915341107
179_ESM-1_(CVD)	miR-143-3p	0.17257268059104192
179_ESM-1_(CVD)	123_TF_(CVD)	0.2878456370119533
179_ESM-1_(CVD)	miR-126-5p(*)	0.16669900210869493
179_ESM-1_(CVD)	145_PAPPA_(CVD)	0.2167143638392517
129_LOX-1_(CVD)	179_FGF-19_(INF)	0.24861874821458052
129_LOX-1_(CVD)	162_U-PAR_(CVD)	0.39106700924647075
129_LOX-1_(CVD)	165_CD5_(INF)	0.2955317655481675
129_LOX-1_(CVD)	116_KLK6_(CVD)	0.2925458721421794
129_LOX-1_(CVD)	145_PAPPA_(CVD)	0.1645797401426039
108_SELE_(CVD)	164_CTSD_(CVD)	0.3289531413358837
108_SELE_(CVD)	194_PECAM-1_(CVD)	0.21682294119926304
108_SELE_(CVD)	176_CD40_(INF)	0.17188808141570977
108_SELE_(CVD)	177_t-PA_(CVD)	0.17910137302794027
108_SELE_(CVD)	117_Gal-3_(CVD)	0.18993253782245212
108_SELE_(CVD)	128_CXCL1_(INF)	0.13234504591661178
miR-122-5p	187_TNFRSF9_(INF)	0.15250830289059714
miR-122-5p	miR-885-5p	0.4576686718172658
miR-122-5p	195_NT-pro-BNP_(CVD)	0.2129503651985747
miR-122-5p	RNY5-5p	0.3795307218185471
miR-122-5p	177_t-PA_(CVD)	0.23179329408508043
miR-122-5p	miR-375	0.16057695682237227
miR-122-5p	140_IL-10RA_(INF)	0.122413296665421
miR-122-5p	miR-150-5p	0.27129369055850283
miR-21-5p	miR-126-3p	0.8304751469323834
miR-21-5p	189_LEP_(CVD)	0.15897982549429912
178_HB-EGF_(CVD)	179_ESM-1_(CVD)	0.3563306915341107
178_HB-EGF_(CVD)	191_ST1A1_(INF)	0.1647448818606998
178_HB-EGF_(CVD)	160_IL-16_(CVD)	0.33592039774543814
