Regulator	Target	MI
122_TIE2_(CVD)	140_MPO_(CVD)	0.24071349484525761
122_TIE2_(CVD)	194_PECAM-1_(CVD)	0.2823427365375064
122_TIE2_(CVD)	181_VEGF-D_(CVD)	0.30694180660266035
122_TIE2_(CVD)	155_TRANCE_(INF)	0.17551586647993656
122_TIE2_(CVD)	145_PAPPA_(CVD)	0.2708650266813901
122_TIE2_(CVD)	144_FAS_(CVD)	0.4562490117002813
148_PTX3_(CVD)	191_CA-125_(CVD)	0.23288102915593356
148_PTX3_(CVD)	174_AGRP_(CVD)	0.1544810042762359
148_PTX3_(CVD)	130_TRAIL-R2_(CVD)	0.24978576585027135
148_PTX3_(CVD)	miR-145-5p	0.2430554172343351
148_PTX3_(CVD)	150_CHI3L1_(CVD)	0.18310929161713752
148_PTX3_(CVD)	101_IL-8_(INF)	0.13093509749735333
148_PTX3_(CVD)	174_DNER_(INF)	0.1642934918668182
108_CD244_(INF)	165_CD5_(INF)	0.2742674553685003
108_CD244_(INF)	168_CXCL6_(INF)	0.28804792896181564
108_CD244_(INF)	173_GAL_(CVD)	0.19305687015899675
179_ESM-1_(CVD)	189_TWEAK_(INF)	0.1711074321620547
179_ESM-1_(CVD)	142_MMP-1_(INF)	0.13182320493916944
179_ESM-1_(CVD)	miR-126-5p(*)	0.13994828412130733
179_ESM-1_(CVD)	181_VEGF-D_(CVD)	0.23767554769189925
179_ESM-1_(CVD)	145_PAPPA_(CVD)	0.2854130337963925
179_ESM-1_(CVD)	183_SPON1_(CVD)	0.28159014703608687
129_LOX-1_(CVD)	162_U-PAR_(CVD)	0.38626507830852486
129_LOX-1_(CVD)	172_SIRT2_(CVD)	0.23734661564690995
129_LOX-1_(CVD)	123_CST5_(INF)	0.3387755149063221
108_SELE_(CVD)	116_IL-17A_(INF)	0.12743568419189266
108_SELE_(CVD)	185_CCL25_(INF)	0.16538070289820883
108_SELE_(CVD)	194_PECAM-1_(CVD)	0.48447258634237844
108_SELE_(CVD)	151_IL-18R1_(INF)	0.2682598683074815
108_SELE_(CVD)	114_CSTB_(CVD)	0.18541315665709845
108_SELE_(CVD)	145_PAPPA_(CVD)	0.19676019652248833
108_SELE_(CVD)	miR-16-5p	0.19010090535830138
miR-122-5p	miR-885-5p	0.4817971451845242
miR-122-5p	RNY5-5p	0.23378847845906403
miR-122-5p	165_RAGE_(CVD)	0.1617197865200648
miR-122-5p	miR-143-3p	0.15509329286286988
miR-122-5p	miR-192-5p	0.1400967612542523
miR-122-5p	118_PAR-1_(CVD)	0.18557463919530992
miR-21-5p	134_SLAMF1_(INF)	0.12977867181183012
miR-21-5p	miR-150-5p	0.3542878318967304
miR-21-5p	miR-24-3p	0.6086571212451641
miR-21-5p	miR-27b-3p	0.4131277733952903
miR-21-5p	177_t-PA_(CVD)	0.17855023569320672
miR-21-5p	141_FGF-5_(INF)	0.10674361478291683
178_HB-EGF_(CVD)	179_FGF-19_(INF)	0.17582627741751633
178_HB-EGF_(CVD)	118_PAR-1_(CVD)	0.5644630604353376
178_HB-EGF_(CVD)	170_CXCL16_(CVD)	0.4578813574354905
178_HB-EGF_(CVD)	139_FGF-23_(INF)	0.29615504590342656
178_HB-EGF_(CVD)	109_IL-7_(INF)	0.25945381302323156
178_HB-EGF_(CVD)	miR-27b-3p	0.2563452386356291
178_HB-EGF_(CVD)	184_CASP-8_(INF)	0.17877166859726845
miR-145-5p	148_PTX3_(CVD)	0.22798935021781563
miR-145-5p	164_CCL23_(INF)	0.2582922621231125
miR-145-5p	miR-143-3p	0.3314020552105337
miR-145-5p	195_TNFB_(INF)	0.15253177774062365
miR-145-5p	miR-221-3p	0.5832626964502259
179_FGF-19_(INF)	178_HB-EGF_(CVD)	0.17582627741751633
179_FGF-19_(INF)	miR-197-3p	0.16768347033064135
196_CSF-1_(INF)	149_IL-10RB_(INF)	0.5388096586050475
196_CSF-1_(INF)	186_CX3CL1_(INF)	0.45114150463227976
196_CSF-1_(INF)	miR-130a-3p	0.272026256575189
196_CSF-1_(INF)	107_CDCP1_(INF)	0.24354869722464034
196_CSF-1_(INF)	120_TRAIL_(INF)	0.24721327236976443
196_CSF-1_(INF)	110_OPG_(INF)	0.38992160551331523
196_CSF-1_(INF)	159_TM_(CVD)	0.3665946506882749
196_CSF-1_(INF)	121_hK11_(CVD)	0.38485770456878665
196_CSF-1_(INF)	112_uPA_(INF)	0.43901908479706186
196_CSF-1_(INF)	176_CD40_(INF)	0.45266911173288094
miR-143-3p	miR-122-5p	0.13930790390910008
miR-143-3p	miR-145-5p	0.3314020552105337
miR-143-3p	173_CCL28_(INF)	0.1581593876451377
miR-143-3p	155_TRANCE_(INF)	0.09967613229882488
miR-143-3p	miR-140-5p	0.2781752994530331
miR-143-3p	190_CCL20_(INF)	0.21107135107148878
132_SCF_(INF)	153_Beta-NGF_(INF)	0.11289254565707463
132_SCF_(INF)	miR-223-5p(*)	0.11707962349102541
132_SCF_(INF)	174_DNER_(INF)	0.11979778550285669
132_SCF_(INF)	149_REN_(CVD)	0.11238368192448078
132_SCF_(INF)	165_CD5_(INF)	0.21472486939478674
191_ST1A1_(INF)	195_TNFB_(INF)	0.12157285130579254
191_ST1A1_(INF)	195_NT-pro-BNP_(CVD)	0.24360840599604838
191_ST1A1_(INF)	109_EGF_(CVD)	0.330928525452701
191_ST1A1_(INF)	128_CXCL1_(INF)	0.39437532575931833
152_PD-L1_(INF)	116_IL-17A_(INF)	0.2966075066766436
152_PD-L1_(INF)	134_SLAMF1_(INF)	0.30280519657874727
152_PD-L1_(INF)	169_CXCL10_(INF)	0.31967413053701677
152_PD-L1_(INF)	121_hK11_(CVD)	0.40622351760105424
152_PD-L1_(INF)	154_mAmP_(CVD)	0.14136629767010955
107_PlGF_(CVD)	118_PAR-1_(CVD)	0.6076345202221551
107_PlGF_(CVD)	165_RAGE_(CVD)	0.2938616751783085
107_PlGF_(CVD)	106_GDF-15_(CVD)	0.42329491591230806
107_PlGF_(CVD)	140_MPO_(CVD)	0.20717853939061648
107_PlGF_(CVD)	171_Dkk-1_(CVD)	0.2583809895029594
107_PlGF_(CVD)	124_TNF-R1_(CVD)	0.6651728457003321
miR-486-5p	miR-93-5p	0.4733626305385492
miR-486-5p	123_CST5_(INF)	0.13951374480453715
miR-486-5p	miR-16-5p	0.4319206861728606
160_IL-16_(CVD)	131_CD6_(INF)	0.22754237918321962
160_IL-16_(CVD)	159_TM_(CVD)	0.43316107129206305
160_IL-16_(CVD)	194_PECAM-1_(CVD)	0.2412679249293026
160_IL-16_(CVD)	192_NEMO_(CVD)	0.1959181890312216
112_IL-1ra_(CVD)	157_IL-12B_(INF)	0.16559887660908323
112_IL-1ra_(CVD)	187_FABP4_(CVD)	0.4178852427921358
112_IL-1ra_(CVD)	169_CXCL10_(INF)	0.2742407682349519
112_IL-1ra_(CVD)	134_SLAMF1_(INF)	0.18162525108403127
162_U-PAR_(CVD)	129_LOX-1_(CVD)	0.38626507830852397
162_U-PAR_(CVD)	130_TRAIL-R2_(CVD)	0.7959353983888073
162_U-PAR_(CVD)	137_CCL11_(INF)	0.31942101966247094
162_U-PAR_(CVD)	167_MMP-7_(CVD)	0.469528008740296
162_U-PAR_(CVD)	114_CSTB_(CVD)	0.6468864732851758
162_U-PAR_(CVD)	106_GDF-15_(CVD)	0.516906242659827
162_U-PAR_(CVD)	113_IL-6_(CVD)	0.3827084252401427
162_U-PAR_(CVD)	miR-19b-3p	0.25398394947109715
162_U-PAR_(CVD)	143_RETN_(CVD)	0.49127130158210086
162_U-PAR_(CVD)	124_TNF-R1_(CVD)	0.7428180169178216
185_CTSL1_(CVD)	135_TNF-R2_(CVD)	0.3253560991285189
185_CTSL1_(CVD)	188_BNP_(CVD)	0.2547206165268623
185_CTSL1_(CVD)	182_MMP-12_(CVD)	0.3286272812858151
151_ST2_(CVD)	149_REN_(CVD)	0.22490389931542332
151_ST2_(CVD)	143_RETN_(CVD)	0.21949060217035132
102_VEGF-A_(INF)	167_Flt3L_(INF)	0.2460328417647455
102_VEGF-A_(INF)	114_CSTB_(CVD)	0.4052930344648136
102_VEGF-A_(INF)	169_CXCL10_(INF)	0.290516988042433
102_VEGF-A_(INF)	miR-20b-5p	0.32029059472173316
102_VEGF-A_(INF)	176_CD40_(INF)	0.5275920306040289
186_CX3CL1_(INF)	189_TWEAK_(INF)	0.31098406842912674
186_CX3CL1_(INF)	196_CSF-1_(INF)	0.45114150463228064
186_CX3CL1_(INF)	miR-324-5p	0.1727850400852482
186_CX3CL1_(INF)	135_TGF-alpha_(INF)	0.4594090403515061
186_CX3CL1_(INF)	miR-221-3p	0.22984362880128195
186_CX3CL1_(INF)	141_FGF-5_(INF)	0.24188687277219056
144_FGF-21_(INF)	175_EN-RAGE_(INF)	0.16633304268269722
144_FGF-21_(INF)	191_CA-125_(CVD)	0.18520412263475095
144_FGF-21_(INF)	195_NT-pro-BNP_(CVD)	0.17164213187093313
144_FGF-21_(INF)	154_mAmP_(CVD)	0.10270143599958459
144_FGF-21_(INF)	181_VEGF-D_(CVD)	0.20827186855134538
144_FGF-21_(INF)	177_t-PA_(CVD)	0.2937484669197685
144_FGF-21_(INF)	139_PRL_(CVD)	0.2603577011759004
RNY4-3p	miR-223-5p(*)	0.5436929378672142
RNY4-3p	169_CXCL10_(INF)	0.22999065671586827
RNY4-3p	RNY4-5p	0.8194380385885349
101_IL-8_(INF)	168_CXCL6_(INF)	0.26286845451557284
101_IL-8_(INF)	107_CDCP1_(INF)	0.24644036258724444
101_IL-8_(INF)	148_PTX3_(CVD)	0.1309350974973542
101_IL-8_(INF)	125_PDGF subunit B_(CVD)	0.11282934788118659
101_IL-8_(INF)	141_FGF-5_(INF)	0.11049624512394729
101_IL-8_(INF)	161_MMP-10_(INF)	0.2324951381921343
101_IL-8_(INF)	182_MMP-12_(CVD)	0.2049490328084156
101_IL-8_(INF)	190_CCL20_(INF)	0.20338317803646877
126_IL27-A_(CVD)	116_IL-17A_(INF)	0.12424895530843738
126_IL27-A_(CVD)	130_CCL4_(INF)	0.16191408874525237
126_IL27-A_(CVD)	135_TNF-R2_(CVD)	0.28102478068578574
126_IL27-A_(CVD)	145_PAPPA_(CVD)	0.3009601680889169
126_IL27-A_(CVD)	miR-99b-5p	0.1952708328265107
111_LAP TGF-beta-1_(INF)	149_IL-10RB_(INF)	0.511921988344163
111_LAP TGF-beta-1_(INF)	164_CCL23_(INF)	0.2539291302003326
111_LAP TGF-beta-1_(INF)	137_CCL11_(INF)	0.27152352175963834
111_LAP TGF-beta-1_(INF)	158_MB_(CVD)	0.26230600239899093
111_LAP TGF-beta-1_(INF)	109_IL-7_(INF)	0.2233956694486885
111_LAP TGF-beta-1_(INF)	156_HGF_(INF)	0.3713244540035241
111_LAP TGF-beta-1_(INF)	130_CCL4_(INF)	0.24933341699335898
165_RAGE_(CVD)	195_TNFB_(INF)	0.1630251011396977
165_RAGE_(CVD)	185_CCL25_(INF)	0.24886176886961664
165_RAGE_(CVD)	miR-122-5p	0.17731664120173107
165_RAGE_(CVD)	107_PlGF_(CVD)	0.2938616751783085
165_RAGE_(CVD)	112_uPA_(INF)	0.2518369756199528
165_RAGE_(CVD)	154_mAmP_(CVD)	0.12482810490015606
165_CD5_(INF)	108_CD244_(INF)	0.27426745536850117
165_CD5_(INF)	149_IL-10RB_(INF)	0.5055196467777714
165_CD5_(INF)	132_SCF_(INF)	0.21472486939478586
165_CD5_(INF)	195_TNFB_(INF)	0.1335543643357795
165_CD5_(INF)	157_IL-12B_(INF)	0.28283097338567664
165_CD5_(INF)	131_CD6_(INF)	0.18467413902655405
165_CD5_(INF)	miR-29a-3p	0.22867316933010695
165_CD5_(INF)	187_TNFRSF9_(INF)	0.544079832718384
173_CCL28_(INF)	miR-143-3p	0.1581593876451377
173_CCL28_(INF)	miR-223-3p	0.17599002863327673
173_CCL28_(INF)	135_TGF-alpha_(INF)	0.37007470156827615
173_CCL28_(INF)	175_EN-RAGE_(INF)	0.2755761166090407
181_VEGF-D_(CVD)	122_TIE2_(CVD)	0.2880109858946245
181_VEGF-D_(CVD)	125_PDGF subunit B_(CVD)	0.14439550585677097
181_VEGF-D_(CVD)	144_FGF-21_(INF)	0.20827186855134627
181_VEGF-D_(CVD)	117_CXCL11_(INF)	0.12939340756126683
181_VEGF-D_(CVD)	179_ESM-1_(CVD)	0.23767554769189925
181_VEGF-D_(CVD)	126_OSM_(INF)	0.1693850682771787
181_VEGF-D_(CVD)	174_DNER_(INF)	0.24778410787602834
181_VEGF-D_(CVD)	123_TF_(CVD)	0.20419137056258574
188_BNP_(CVD)	184_CASP-8_(INF)	0.13505057999461378
188_BNP_(CVD)	185_CTSL1_(CVD)	0.2547206165268623
188_BNP_(CVD)	153_Beta-NGF_(INF)	0.2063693101707793
188_BNP_(CVD)	195_NT-pro-BNP_(CVD)	1.421456208277629
188_BNP_(CVD)	155_TRANCE_(INF)	0.11502805536480931
188_BNP_(CVD)	183_SPON1_(CVD)	0.2805175817595549
134_IL-6RA_(CVD)	RNY5-5p	0.20086721850410605
134_IL-6RA_(CVD)	130_TRAIL-R2_(CVD)	0.35650714603313727
134_IL-6RA_(CVD)	miR-375	0.12274864504902805
134_SLAMF1_(INF)	107_CDCP1_(INF)	0.2559608187029161
134_SLAMF1_(INF)	126_OSM_(INF)	0.25014847648769667
134_SLAMF1_(INF)	miR-21-5p	0.129778671811831
134_SLAMF1_(INF)	152_PD-L1_(INF)	0.30280519657874727
134_SLAMF1_(INF)	112_IL-1ra_(CVD)	0.18162525108403127
134_SLAMF1_(INF)	117_CXCL11_(INF)	0.19106435354971563
134_SLAMF1_(INF)	130_CCL4_(INF)	0.18176480446272691
134_SLAMF1_(INF)	188_NT-3_(INF)	0.13811271608135733
miR-140-5p	miR-143-3p	0.2939606884068011
miR-140-5p	114_CSTB_(CVD)	0.22409558026390908
miR-140-5p	miR-29a-3p	0.4391654538832306
miR-140-5p	miR-19b-3p	0.7613807046324732
miR-140-5p	189_LEP_(CVD)	0.23196455627479562
miR-192-5p	miR-122-5p	0.2646364815011726
miR-192-5p	164_CCL23_(INF)	0.1514775312645824
miR-192-5p	155_TRANCE_(INF)	0.10657093596389355
miR-192-5p	miR-30b-5p	0.15146314425251095
miR-192-5p	184_CASP-8_(INF)	0.10948686660779394
miR-192-5p	174_DNER_(INF)	0.14438159674435713
145_CCL19_(INF)	126_OSM_(INF)	0.23910661439072545
145_CCL19_(INF)	156_HGF_(INF)	0.23736089406501293
145_CCL19_(INF)	151_ST2_(CVD)	0.15218095141690036
157_PSGL-1_(CVD)	192_STAMPB_(INF)	0.17195847720675328
157_PSGL-1_(CVD)	156_HGF_(INF)	0.21273613463689323
158_MB_(CVD)	111_LAP TGF-beta-1_(INF)	0.26230600239899093
158_MB_(CVD)	183_SPON1_(CVD)	0.28932862678404714
158_MB_(CVD)	136_MMP-3_(CVD)	0.3073343457533806
158_MB_(CVD)	124_TNF-R1_(CVD)	0.40113753529587903
miR-223-3p	miR-223-5p(*)	0.5287444346814523
miR-223-3p	hsa-miR-574-3p	0.5698442405942528
miR-223-3p	173_CCL28_(INF)	0.17599002863327673
miR-223-3p	miR-320a	0.614602129133627
miR-223-3p	miR-24-3p	1.2829999483890413
miR-223-3p	121_hK11_(CVD)	0.25957225932044814
miR-223-3p	miR-222-3p	0.6961336423706133
miR-223-3p	RNY4-5p	0.6015083760931415
114_CSTB_(CVD)	108_SELE_(CVD)	0.18541315665709845
114_CSTB_(CVD)	193_FS_(CVD)	0.2600402390171066
114_CSTB_(CVD)	162_U-PAR_(CVD)	0.6468864732851749
114_CSTB_(CVD)	103_AM_(CVD)	0.5442011820821362
114_CSTB_(CVD)	102_VEGF-A_(INF)	0.4052930344648127
114_CSTB_(CVD)	150_CHI3L1_(CVD)	0.32401191584182154
114_CSTB_(CVD)	miR-140-5p	0.22409558026390997
114_CSTB_(CVD)	187_FABP4_(CVD)	0.5079756497184
114_CSTB_(CVD)	155_TRANCE_(INF)	0.10789490281203129
114_CSTB_(CVD)	117_Gal-3_(CVD)	0.3569981881025077
miR-99b-5p	184_CASP-8_(INF)	0.24036404302674708
miR-99b-5p	miR-26a-5p	0.5041342313906485
miR-99b-5p	126_IL27-A_(CVD)	0.1952708328265107
106_GDF-15_(CVD)	107_PlGF_(CVD)	0.42329491591230806
106_GDF-15_(CVD)	162_U-PAR_(CVD)	0.5382437909063782
106_GDF-15_(CVD)	106_GDNF_(INF)	0.12950837975308005
106_GDF-15_(CVD)	182_MMP-12_(CVD)	0.39694061731503183
188_NT-3_(INF)	139_FGF-23_(INF)	0.11511083290356616
188_NT-3_(INF)	miR-126-3p	0.13685386828545454
188_NT-3_(INF)	114_IL-17C_(INF)	0.09759963656132786
188_NT-3_(INF)	145_CCL19_(INF)	0.10674509939932442
188_NT-3_(INF)	174_DNER_(INF)	0.11387894560336509
144_FAS_(CVD)	122_TIE2_(CVD)	0.4562490117002813
144_FAS_(CVD)	164_CTSD_(CVD)	0.2114242276968339
144_FAS_(CVD)	118_PAR-1_(CVD)	0.4785187844226302
144_FAS_(CVD)	170_CXCL16_(CVD)	0.4018061067046288
144_FAS_(CVD)	159_TM_(CVD)	0.4760611344491057
133_IL-18_(INF)	124_TNF-R1_(CVD)	0.2968297897640424
133_IL-18_(INF)	miR-26a-5p	0.2101440003459354
133_IL-18_(INF)	162_IL-10_(INF)	0.19724933491423258
140_MPO_(CVD)	122_TIE2_(CVD)	0.24071349484525761
140_MPO_(CVD)	111_SRC_(CVD)	0.15460805349071371
140_MPO_(CVD)	109_IL-7_(INF)	0.14099406453919894
140_MPO_(CVD)	151_IL-18R1_(INF)	0.15316440808258402
140_MPO_(CVD)	107_PlGF_(CVD)	0.2071785393906156
140_MPO_(CVD)	196_ECP_(CVD)	0.29654456594124934
170_4E-BP1_(INF)	135_TNF-R2_(CVD)	0.4247123713438974
170_4E-BP1_(INF)	184_CASP-8_(INF)	0.2193355435190414
170_4E-BP1_(INF)	156_HGF_(INF)	0.37775926826251105
168_CXCL6_(INF)	108_CD244_(INF)	0.28804792896181564
168_CXCL6_(INF)	151_IL-18R1_(INF)	0.2020320518177927
168_CXCL6_(INF)	192_NEMO_(CVD)	0.18371188782129177
168_CXCL6_(INF)	101_IL-8_(INF)	0.2628684545155737
168_CXCL6_(INF)	112_uPA_(INF)	0.32670443825727524
191_CA-125_(CVD)	148_PTX3_(CVD)	0.23288102915593445
191_CA-125_(CVD)	144_FGF-21_(INF)	0.18520412263475095
191_CA-125_(CVD)	162_IL-10_(INF)	0.11618632586075694
191_CA-125_(CVD)	miR-126-3p	0.14786954453649503
191_CA-125_(CVD)	151_IL-18R1_(INF)	0.1184551233453659
191_CA-125_(CVD)	123_TF_(CVD)	0.1928833159790253
192_STAMPB_(INF)	118_PAR-1_(CVD)	0.26106706479785835
192_STAMPB_(INF)	172_SIRT2_(CVD)	0.5652404894806473
192_STAMPB_(INF)	157_PSGL-1_(CVD)	0.17195847720675328
192_STAMPB_(INF)	184_CASP-8_(INF)	0.3322883501083398
192_STAMPB_(INF)	miR-93-5p	0.47444293241919766
miR-885-5p	105_MCP-3_(INF)	0.10457628493622195
miR-885-5p	124_TNF-R1_(CVD)	0.17640889234885027
miR-885-5p	miR-122-5p	0.4817971451845251
miR-885-5p	194_PECAM-1_(CVD)	0.10546986113858825
miR-885-5p	123_CST5_(INF)	0.1384796719282404
126_OSM_(INF)	120_TRAIL_(INF)	0.1450398220871687
126_OSM_(INF)	114_IL-17C_(INF)	0.2688678492666119
126_OSM_(INF)	175_EN-RAGE_(INF)	0.1574542759280737
126_OSM_(INF)	135_TNF-R2_(CVD)	0.24761303137785706
126_OSM_(INF)	181_VEGF-D_(CVD)	0.16938506827718047
126_OSM_(INF)	134_SLAMF1_(INF)	0.25014847648769667
126_OSM_(INF)	145_CCL19_(INF)	0.23910661439072545
RNY5-5p	miR-122-5p	0.23378847845906403
RNY5-5p	miR-223-5p(*)	0.3389671567285433
RNY5-5p	152_TIM_(CVD)	0.21308714869241285
RNY5-5p	134_IL-6RA_(CVD)	0.20086721850410605
110_OPG_(INF)	196_CSF-1_(INF)	0.3899216055133161
110_OPG_(INF)	139_PRL_(CVD)	0.13011840656653284
110_OPG_(INF)	141_GH_(CVD)	0.11795100939378056
110_OPG_(INF)	150_CHI3L1_(CVD)	0.2245611273631889
110_OPG_(INF)	156_HGF_(INF)	0.5001724972110244
110_OPG_(INF)	175_EN-RAGE_(INF)	0.2563434336609971
110_OPG_(INF)	153_Beta-NGF_(INF)	0.29003701325529097
110_OPG_(INF)	155_TRANCE_(INF)	0.14220343248321754
136_MMP-3_(CVD)	161_MMP-10_(INF)	0.2250927949451773
136_MMP-3_(CVD)	145_CCL19_(INF)	0.15547046189427594
136_MMP-3_(CVD)	158_MB_(CVD)	0.3073343457533806
136_MMP-3_(CVD)	173_GAL_(CVD)	0.12933333257548174
169_CXCL10_(INF)	152_PD-L1_(INF)	0.31967413053701677
169_CXCL10_(INF)	138_TNFSF14_(INF)	0.30072121235729377
169_CXCL10_(INF)	112_IL-1ra_(CVD)	0.2742407682349519
169_CXCL10_(INF)	102_VEGF-A_(INF)	0.290516988042433
169_CXCL10_(INF)	RNY4-3p	0.2478035181205147
169_CXCL10_(INF)	184_CASP-8_(INF)	0.22739038139514012
169_CXCL10_(INF)	122_CXCL9_(INF)	0.6087041214144895
169_CXCL10_(INF)	105_MCP-3_(INF)	0.25942659120672484
169_CXCL10_(INF)	106_GDNF_(INF)	0.13363322199402639
169_CXCL10_(INF)	117_CXCL11_(INF)	0.4584759879070708
139_FGF-23_(INF)	178_HB-EGF_(CVD)	0.29615504590342656
139_FGF-23_(INF)	188_NT-3_(INF)	0.11234144529546253
139_FGF-23_(INF)	136_MCP-4_(INF)	0.2315933373882233
139_FGF-23_(INF)	187_TNFRSF9_(INF)	0.39565037661850955
139_FGF-23_(INF)	176_CD40_(INF)	0.4437255777802598
139_FGF-23_(INF)	182_MMP-12_(CVD)	0.2272601902775433
111_SRC_(CVD)	170_CXCL16_(CVD)	0.1927401416059782
111_SRC_(CVD)	140_MPO_(CVD)	0.15460805349071371
111_SRC_(CVD)	120_TRAIL_(INF)	0.11870210246096491
111_SRC_(CVD)	miR-24-3p	0.5204406415187925
111_SRC_(CVD)	192_NEMO_(CVD)	0.7365504396806299
111_SRC_(CVD)	137_HSP 27_(CVD)	0.6753098273781406
111_SRC_(CVD)	109_EGF_(CVD)	0.7996566737248756
111_SRC_(CVD)	128_CXCL1_(INF)	0.48110473082727445
