Regulator	Target	MI
122_TIE2_(CVD)	123_TF_(CVD)	0.2809107872819441
122_TIE2_(CVD)	171_Dkk-1_(CVD)	0.17182710066762752
122_TIE2_(CVD)	124_TNF-R1_(CVD)	0.47539046278383257
122_TIE2_(CVD)	181_VEGF-D_(CVD)	0.17234019942689116
148_PTX3_(CVD)	179_ESM-1_(CVD)	0.1753423860970127
148_PTX3_(CVD)	174_AGRP_(CVD)	0.13246566778210322
148_PTX3_(CVD)	miR-122-5p	0.12188546721289573
148_PTX3_(CVD)	135_TGF-alpha_(INF)	0.16697265520142146
148_PTX3_(CVD)	159_TM_(CVD)	0.1712946512613147
148_PTX3_(CVD)	194_PECAM-1_(CVD)	0.19023140940232874
148_PTX3_(CVD)	miR-375	0.1096346478326149
108_CD244_(INF)	140_MPO_(CVD)	0.13055602707516112
108_CD244_(INF)	168_CXCL6_(INF)	0.2166005850619408
108_CD244_(INF)	157_IL-12B_(INF)	0.3637248301943732
108_CD244_(INF)	131_CD6_(INF)	0.30854024999190965
108_CD244_(INF)	130_CCL4_(INF)	0.12067230292984021
179_ESM-1_(CVD)	148_PTX3_(CVD)	0.1753423860970127
179_ESM-1_(CVD)	144_FGF-21_(INF)	0.1024276227054921
179_ESM-1_(CVD)	181_VEGF-D_(CVD)	0.12681403707676075
179_ESM-1_(CVD)	145_PAPPA_(CVD)	0.19747492438334113
179_ESM-1_(CVD)	183_SPON1_(CVD)	0.164355887698016
129_LOX-1_(CVD)	miR-20b-5p	0.173843024853789
129_LOX-1_(CVD)	107_PlGF_(CVD)	0.2902490675172551
129_LOX-1_(CVD)	171_Dkk-1_(CVD)	0.20632171122413379
108_SELE_(CVD)	164_CTSD_(CVD)	0.21994858034500453
108_SELE_(CVD)	150_CHI3L1_(CVD)	0.11582565521777788
108_SELE_(CVD)	miR-885-5p	0.09779160334685955
108_SELE_(CVD)	miR-130a-3p	0.140042546420311
108_SELE_(CVD)	194_PECAM-1_(CVD)	0.26593246581577823
108_SELE_(CVD)	134_IL-6RA_(CVD)	0.17888408407428802
108_SELE_(CVD)	107_PlGF_(CVD)	0.17925597542049232
miR-122-5p	196_ECP_(CVD)	0.11246830768343585
miR-122-5p	148_PTX3_(CVD)	0.12188546721289484
miR-122-5p	164_CTSD_(CVD)	0.13047107409409797
miR-122-5p	miR-885-5p	0.5224193531186971
miR-122-5p	RNY5-5p	0.3195940052112851
miR-122-5p	189_TWEAK_(INF)	0.14536471520851357
miR-122-5p	miR-192-5p	0.20473020564191824
miR-122-5p	miR-27b-3p	0.13283613821084295
miR-122-5p	142_MMP-1_(INF)	0.10363338654984933
miR-21-5p	miR-223-3p	0.7360651039923631
178_HB-EGF_(CVD)	124_TNF-R1_(CVD)	0.48139524411916224
miR-145-5p	188_BNP_(CVD)	0.13506986234960294
miR-145-5p	133_IL-18_(INF)	0.09653384988976388
miR-145-5p	120_TRAIL_(INF)	0.21453399307867027
miR-145-5p	miR-885-5p	0.11265886662769287
miR-145-5p	miR-222-3p	0.5895669237154717
miR-145-5p	190_CCL20_(INF)	0.12344455739239368
179_FGF-19_(INF)	143_LIF-R_(INF)	0.14518675940780756
179_FGF-19_(INF)	miR-26a-5p	0.12192740315081618
179_FGF-19_(INF)	101_IL-8_(INF)	0.09163390867472732
196_CSF-1_(INF)	149_IL-10RB_(INF)	0.5462901135012022
196_CSF-1_(INF)	118_AXIN1_(INF)	0.1973678713789626
196_CSF-1_(INF)	168_CXCL6_(INF)	0.20648001292521911
196_CSF-1_(INF)	135_TGF-alpha_(INF)	0.3971893915210831
196_CSF-1_(INF)	115_MCP-1_(INF)	0.37242303053403436
196_CSF-1_(INF)	156_HGF_(INF)	0.4502366297206182
196_CSF-1_(INF)	187_TNFRSF9_(INF)	0.47145177901046065
miR-143-3p	miR-375	0.1075518931650219
miR-143-3p	miR-99b-5p	0.2603727933547466
132_SCF_(INF)	189_TWEAK_(INF)	0.20201131585965815
191_ST1A1_(INF)	126_OSM_(INF)	0.09174063845356528
191_ST1A1_(INF)	111_SRC_(CVD)	0.4169480242738377
191_ST1A1_(INF)	113_IL-6_(CVD)	0.12157006774246781
191_ST1A1_(INF)	141_FGF-5_(INF)	0.1391084044425579
191_ST1A1_(INF)	173_GAL_(CVD)	0.10958950233391107
152_PD-L1_(INF)	136_MMP-3_(CVD)	0.12336550155734916
152_PD-L1_(INF)	107_PlGF_(CVD)	0.3500180978798202
152_PD-L1_(INF)	140_IL-10RA_(INF)	0.14698882296647842
152_PD-L1_(INF)	134_SLAMF1_(INF)	0.22970404754454243
152_PD-L1_(INF)	109_EGF_(CVD)	0.11666922425237569
152_PD-L1_(INF)	133_IL-18_(INF)	0.17576186377208636
107_PlGF_(CVD)	129_LOX-1_(CVD)	0.2902490675172551
107_PlGF_(CVD)	174_AGRP_(CVD)	0.15222785341805345
107_PlGF_(CVD)	108_SELE_(CVD)	0.17925597542049232
107_PlGF_(CVD)	152_PD-L1_(INF)	0.3500180978798202
107_PlGF_(CVD)	135_TNF-R2_(CVD)	0.5589000319701842
107_PlGF_(CVD)	158_MB_(CVD)	0.2272021483072857
107_PlGF_(CVD)	183_SPON1_(CVD)	0.35049882892381223
107_PlGF_(CVD)	121_hK11_(CVD)	0.48393883355024503
miR-486-5p	miR-92a-3p	0.40513662429790553
miR-486-5p	144_FAS_(CVD)	0.10459669899882051
miR-486-5p	miR-16-5p	0.5342607935117654
160_IL-16_(CVD)	118_PAR-1_(CVD)	0.38710068715130674
160_IL-16_(CVD)	159_TM_(CVD)	0.3947371129978654
112_IL-1ra_(CVD)	187_FABP4_(CVD)	0.2802556115150594
112_IL-1ra_(CVD)	140_IL-10RA_(INF)	0.13119077178494365
112_IL-1ra_(CVD)	170_CXCL16_(CVD)	0.1951151845596879
112_IL-1ra_(CVD)	175_EN-RAGE_(INF)	0.1203611710739656
112_IL-1ra_(CVD)	177_t-PA_(CVD)	0.2236775692281059
162_U-PAR_(CVD)	130_TRAIL-R2_(CVD)	0.5490189003838655
162_U-PAR_(CVD)	126_IL27-A_(CVD)	0.22531790172521493
162_U-PAR_(CVD)	135_TNF-R2_(CVD)	0.5181332079524923
162_U-PAR_(CVD)	114_CSTB_(CVD)	0.5492551063186557
162_U-PAR_(CVD)	106_GDF-15_(CVD)	0.47086509028874257
162_U-PAR_(CVD)	169_CXCL10_(INF)	0.2090019887568575
162_U-PAR_(CVD)	176_CD40_(INF)	0.31713924340447175
162_U-PAR_(CVD)	145_PAPPA_(CVD)	0.1980820448363394
162_U-PAR_(CVD)	182_MMP-12_(CVD)	0.3378039335104477
185_CTSL1_(CVD)	118_PAR-1_(CVD)	0.3375115375159581
185_CTSL1_(CVD)	miR-126-5p(*)	0.12365643297792595
185_CTSL1_(CVD)	114_CSTB_(CVD)	0.35669267299224217
151_ST2_(CVD)	120_TRAIL_(INF)	0.12555627247908063
151_ST2_(CVD)	135_TNF-R2_(CVD)	0.14032803530403903
151_ST2_(CVD)	136_MMP-3_(CVD)	0.24966845967451246
151_ST2_(CVD)	189_TWEAK_(INF)	0.0910121344669319
151_ST2_(CVD)	miR-30b-5p	0.11138192833210514
151_ST2_(CVD)	193_FS_(CVD)	0.15470034751583928
151_ST2_(CVD)	149_REN_(CVD)	0.11422816160448335
102_VEGF-A_(INF)	111_LAP TGF-beta-1_(INF)	0.347619913582613
102_VEGF-A_(INF)	114_CSTB_(CVD)	0.420078260968312
102_VEGF-A_(INF)	miR-126-3p	0.21558256904802153
102_VEGF-A_(INF)	135_TGF-alpha_(INF)	0.5490962237966261
102_VEGF-A_(INF)	106_GDNF_(INF)	0.15505296906357557
102_VEGF-A_(INF)	162_IL-10_(INF)	0.14554012364860291
102_VEGF-A_(INF)	176_CD40_(INF)	0.530471919118674
186_CX3CL1_(INF)	110_OPG_(INF)	0.3108456837109044
186_CX3CL1_(INF)	135_TGF-alpha_(INF)	0.3192181996595549
186_CX3CL1_(INF)	159_TM_(CVD)	0.3687987746654189
186_CX3CL1_(INF)	105_MCP-3_(INF)	0.18769478686887808
144_FGF-21_(INF)	179_ESM-1_(CVD)	0.1024276227054921
144_FGF-21_(INF)	109_EGF_(CVD)	0.11493635989187556
144_FGF-21_(INF)	139_FGF-23_(INF)	0.2385630379006498
144_FGF-21_(INF)	106_GDF-15_(CVD)	0.20903115584875653
144_FGF-21_(INF)	189_LEP_(CVD)	0.16900485009651778
144_FGF-21_(INF)	177_t-PA_(CVD)	0.15016810114240364
RNY4-3p	179_FGF-19_(INF)	0.09978721991923312
RNY4-3p	miR-191-5p	0.7777403519696264
RNY4-3p	112_uPA_(INF)	0.12479303416473808
RNY4-3p	miR-375	0.17572687699501266
101_IL-8_(INF)	107_CDCP1_(INF)	0.2878322856632112
101_IL-8_(INF)	126_OSM_(INF)	0.23274616602727605
101_IL-8_(INF)	179_FGF-19_(INF)	0.09163390867472732
101_IL-8_(INF)	115_MCP-1_(INF)	0.24020061611184307
101_IL-8_(INF)	150_CHI3L1_(CVD)	0.18878871798256736
