Regulator	Target	MI
122_TIE2_(CVD)	170_4E-BP1_(INF)	0.21515601258508976
122_TIE2_(CVD)	116_IL-17A_(INF)	0.1493391799819177
122_TIE2_(CVD)	148_PTX3_(CVD)	0.19071379325287996
122_TIE2_(CVD)	164_CTSD_(CVD)	0.15670247590427966
122_TIE2_(CVD)	194_PECAM-1_(CVD)	0.2772403087921802
122_TIE2_(CVD)	143_LIF-R_(INF)	0.2418741526284789
122_TIE2_(CVD)	144_FAS_(CVD)	0.3180095951505404
148_PTX3_(CVD)	122_TIE2_(CVD)	0.19071379325288085
148_PTX3_(CVD)	130_TRAIL-R2_(CVD)	0.22888408008407612
148_PTX3_(CVD)	153_Beta-NGF_(INF)	0.18273249639619316
148_PTX3_(CVD)	miR-223-3p	0.14575666318686054
148_PTX3_(CVD)	miR-375	0.10163881016110032
148_PTX3_(CVD)	145_PAPPA_(CVD)	0.19471359449227865
108_CD244_(INF)	170_4E-BP1_(INF)	0.21521779108781924
108_CD244_(INF)	123_CST5_(INF)	0.1714338569389433
108_CD244_(INF)	186_CX3CL1_(INF)	0.31863520507866117
108_CD244_(INF)	RNY4-3p	0.20287293954060015
108_CD244_(INF)	126_IL27-A_(CVD)	0.26227182194292276
108_CD244_(INF)	165_CD5_(INF)	0.25393289181850154
179_ESM-1_(CVD)	178_HB-EGF_(CVD)	0.16970987228783496
179_ESM-1_(CVD)	miR-126-5p(*)	0.21205739494264275
179_ESM-1_(CVD)	126_IL27-A_(CVD)	0.20053068319321898
179_ESM-1_(CVD)	195_NT-pro-BNP_(CVD)	0.14000761398444617
179_ESM-1_(CVD)	145_PAPPA_(CVD)	0.2567671999904677
179_ESM-1_(CVD)	miR-16-5p	0.17485634281297635
129_LOX-1_(CVD)	107_CDCP1_(INF)	0.19339997966155842
129_LOX-1_(CVD)	167_MMP-7_(CVD)	0.2787008798528552
129_LOX-1_(CVD)	196_ECP_(CVD)	0.22698619567077927
129_LOX-1_(CVD)	105_MCP-3_(INF)	0.1466724381869806
129_LOX-1_(CVD)	153_Beta-NGF_(INF)	0.22855828167674996
129_LOX-1_(CVD)	112_uPA_(INF)	0.24973437502196738
129_LOX-1_(CVD)	114_CSTB_(CVD)	0.2436056208724411
108_SELE_(CVD)	106_GDNF_(INF)	0.14475738882928546
108_SELE_(CVD)	miR-324-5p	0.15281500840455564
108_SELE_(CVD)	178_HB-EGF_(CVD)	0.12016655267377718
108_SELE_(CVD)	194_PECAM-1_(CVD)	0.3030236021666326
108_SELE_(CVD)	134_IL-6RA_(CVD)	0.22637958325656538
108_SELE_(CVD)	166_MIP-1 alpha_(INF)	0.18130856480278368
miR-122-5p	miR-885-5p	0.4168592872596415
miR-122-5p	RNY5-5p	0.39088411532357714
miR-122-5p	miR-28-5p	0.1613910598826882
miR-122-5p	189_TWEAK_(INF)	0.14439229580595736
miR-122-5p	miR-143-3p	0.24556163853738333
miR-122-5p	miR-192-5p	0.12146109409587691
miR-122-5p	145_CCL19_(INF)	0.10468826637574846
miR-122-5p	miR-150-5p	0.182707439369719
miR-21-5p	miR-126-3p	0.683430001531451
178_HB-EGF_(CVD)	179_ESM-1_(CVD)	0.16970987228783496
178_HB-EGF_(CVD)	108_SELE_(CVD)	0.1201665526737763
178_HB-EGF_(CVD)	118_PAR-1_(CVD)	0.5504216118262466
178_HB-EGF_(CVD)	165_RAGE_(CVD)	0.23847056308809034
miR-145-5p	RNY4-5p	0.43729340917738835
miR-145-5p	137_HSP 27_(CVD)	0.3225186356686809
miR-145-5p	miR-30b-5p	0.5145636878587281
179_FGF-19_(INF)	194_ADA_(INF)	0.11697973794818672
179_FGF-19_(INF)	miR-99b-5p	0.10144423030750538
179_FGF-19_(INF)	170_CXCL16_(CVD)	0.1076938546894537
196_CSF-1_(INF)	149_IL-10RB_(INF)	0.4729537277030138
196_CSF-1_(INF)	102_VEGF-A_(INF)	0.38476464672172206
196_CSF-1_(INF)	111_LAP TGF-beta-1_(INF)	0.42435302836463773
196_CSF-1_(INF)	112_uPA_(INF)	0.3743690303501541
miR-143-3p	miR-122-5p	0.22002458140677472
miR-143-3p	miR-19b-3p	0.2711926890604133
miR-143-3p	173_CCL28_(INF)	0.18939711522956948
miR-143-3p	182_MMP-12_(CVD)	0.09694141612305884
miR-143-3p	144_FAS_(CVD)	0.13295419548237497
132_SCF_(INF)	135_TGF-alpha_(INF)	0.2237317482380643
132_SCF_(INF)	138_TNFSF14_(INF)	0.23852577268464703
191_ST1A1_(INF)	157_IL-12B_(INF)	0.13415613067968923
191_ST1A1_(INF)	111_SRC_(CVD)	0.45594319831954877
152_PD-L1_(INF)	142_MMP-1_(INF)	0.18135674717041272
152_PD-L1_(INF)	124_TNF-R1_(CVD)	0.3337828664497051
152_PD-L1_(INF)	155_TRANCE_(INF)	0.12958057544155288
152_PD-L1_(INF)	166_MIP-1 alpha_(INF)	0.236764585915747
107_PlGF_(CVD)	174_AGRP_(CVD)	0.18127683636157954
107_PlGF_(CVD)	158_MB_(CVD)	0.35517589973354546
107_PlGF_(CVD)	144_FAS_(CVD)	0.4537660373795216
107_PlGF_(CVD)	121_hK11_(CVD)	0.5432153444414194
