Regulator	Target	MI
122_TIE2_(CVD)	179_FGF-19_(INF)	0.17238754281144164
122_TIE2_(CVD)	194_PECAM-1_(CVD)	0.28596260937750095
122_TIE2_(CVD)	139_PRL_(CVD)	0.20478805521018195
122_TIE2_(CVD)	107_PlGF_(CVD)	0.41866495757282784
122_TIE2_(CVD)	172_SIRT2_(CVD)	0.23529044636620622
122_TIE2_(CVD)	130_CCL4_(INF)	0.15406940307039108
122_TIE2_(CVD)	181_VEGF-D_(CVD)	0.20050480359163103
122_TIE2_(CVD)	134_SLAMF1_(INF)	0.12906053470925372
148_PTX3_(CVD)	179_ESM-1_(CVD)	0.1705500502264261
148_PTX3_(CVD)	136_MMP-3_(CVD)	0.1351766544220956
148_PTX3_(CVD)	107_PlGF_(CVD)	0.2302582366711743
148_PTX3_(CVD)	150_CHI3L1_(CVD)	0.22196040343666112
148_PTX3_(CVD)	miR-324-5p	0.17501879211104399
148_PTX3_(CVD)	126_IL27-A_(CVD)	0.1952421282718042
148_PTX3_(CVD)	173_CCL28_(INF)	0.2163032850484372
148_PTX3_(CVD)	157_PSGL-1_(CVD)	0.13460980319395066
108_CD244_(INF)	140_MPO_(CVD)	0.14340187373704083
108_CD244_(INF)	168_CXCL6_(INF)	0.3443580690680248
108_CD244_(INF)	117_CXCL11_(INF)	0.3643281455553078
108_CD244_(INF)	165_CD5_(INF)	0.32046585673283623
108_CD244_(INF)	144_FAS_(CVD)	0.20254287290681283
108_CD244_(INF)	miR-150-5p	0.13633814002455047
179_ESM-1_(CVD)	140_MPO_(CVD)	0.19646880180466297
179_ESM-1_(CVD)	148_PTX3_(CVD)	0.17055005022642522
179_ESM-1_(CVD)	172_SIRT2_(CVD)	0.19058514579403063
179_ESM-1_(CVD)	162_IL-10_(INF)	0.1932364269215654
179_ESM-1_(CVD)	112_uPA_(INF)	0.20700679012672385
179_ESM-1_(CVD)	195_NT-pro-BNP_(CVD)	0.18120452777313467
179_ESM-1_(CVD)	181_VEGF-D_(CVD)	0.1626881865918941
179_ESM-1_(CVD)	161_MMP-10_(INF)	0.19654532559224336
179_ESM-1_(CVD)	145_PAPPA_(CVD)	0.2994300228010678
129_LOX-1_(CVD)	162_U-PAR_(CVD)	0.43673370652271526
129_LOX-1_(CVD)	134_IL-6RA_(CVD)	0.2567464900519161
129_LOX-1_(CVD)	142_MMP-1_(INF)	0.10531053764673715
108_SELE_(CVD)	194_PECAM-1_(CVD)	0.3273944941808473
108_SELE_(CVD)	170_CXCL16_(CVD)	0.24690680637851425
108_SELE_(CVD)	101_IL-8_(INF)	0.19629441237419343
108_SELE_(CVD)	182_MMP-12_(CVD)	0.12772557405595464
miR-122-5p	miR-885-5p	0.250264719213658
miR-122-5p	195_NT-pro-BNP_(CVD)	0.2047678597739191
miR-122-5p	miR-92a-3p	0.23422673732117172
miR-21-5p	188_NT-3_(INF)	0.1578511748030449
miR-21-5p	miR-20b-5p	0.715129830286485
miR-21-5p	miR-24-3p	0.7375763781081854
miR-21-5p	192_NEMO_(CVD)	0.6266379758179719
miR-21-5p	miR-197-3p	0.5066014122411282
178_HB-EGF_(CVD)	118_PAR-1_(CVD)	0.47307947572320597
178_HB-EGF_(CVD)	141_GH_(CVD)	0.19887254680179822
178_HB-EGF_(CVD)	165_RAGE_(CVD)	0.33289495650877843
178_HB-EGF_(CVD)	158_MB_(CVD)	0.27365228511943407
178_HB-EGF_(CVD)	140_MPO_(CVD)	0.2438144909547617
178_HB-EGF_(CVD)	miR-24-3p	0.2577740602945422
178_HB-EGF_(CVD)	121_hK11_(CVD)	0.4904404757821439
178_HB-EGF_(CVD)	106_GDNF_(INF)	0.14312897235004485
178_HB-EGF_(CVD)	166_MIP-1 alpha_(INF)	0.2985814332554426
miR-145-5p	151_ST2_(CVD)	0.16392039757732135
miR-145-5p	miR-192-5p	0.22369410352825625
miR-145-5p	miR-30b-5p	0.6735652998753006
miR-145-5p	117_CXCL11_(INF)	0.2451431268446731
179_FGF-19_(INF)	122_TIE2_(CVD)	0.17238754281144164
179_FGF-19_(INF)	110_OPG_(INF)	0.14875264047212866
179_FGF-19_(INF)	188_BNP_(CVD)	0.14052737433737228
179_FGF-19_(INF)	154_CXCL5_(INF)	0.23627911572340388
179_FGF-19_(INF)	151_ST2_(CVD)	0.13646911548570984
196_CSF-1_(INF)	149_IL-10RB_(INF)	0.49301213389505083
196_CSF-1_(INF)	102_VEGF-A_(INF)	0.57815103937667
196_CSF-1_(INF)	miR-324-5p	0.20024959431482703
196_CSF-1_(INF)	183_MCP-2_(INF)	0.2275150173659668
196_CSF-1_(INF)	115_MCP-1_(INF)	0.39363227360199016
196_CSF-1_(INF)	156_HGF_(INF)	0.45901215428281006
196_CSF-1_(INF)	miR-126-5p(*)	0.24636026458829985
196_CSF-1_(INF)	130_CCL4_(INF)	0.2284090821830178
196_CSF-1_(INF)	137_HSP 27_(CVD)	0.23345994495345046
miR-143-3p	miR-21-5p	0.4639269652005362
miR-143-3p	170_4E-BP1_(INF)	0.13564507724936004
miR-143-3p	miR-885-5p	0.2709194030576052
miR-143-3p	miR-20b-5p	0.44068109376566067
miR-143-3p	154_CXCL5_(INF)	0.31083257910299533
132_SCF_(INF)	miR-29a-3p	0.14326543472804065
132_SCF_(INF)	165_RAGE_(CVD)	0.18009002238430405
132_SCF_(INF)	176_CD40_(INF)	0.3697398538000316
191_ST1A1_(INF)	111_SRC_(CVD)	0.47270192079001205
191_ST1A1_(INF)	131_CD6_(INF)	0.18657924818091498
191_ST1A1_(INF)	167_MMP-7_(CVD)	0.14483941238677112
191_ST1A1_(INF)	112_uPA_(INF)	0.14975070814954172
191_ST1A1_(INF)	158_MB_(CVD)	0.16372760769979777
152_PD-L1_(INF)	miR-93-5p	0.15407931273948616
152_PD-L1_(INF)	124_TNF-R1_(CVD)	0.2845567815870833
152_PD-L1_(INF)	173_GAL_(CVD)	0.17825112210109673
107_PlGF_(CVD)	122_TIE2_(CVD)	0.41866495757282696
107_PlGF_(CVD)	148_PTX3_(CVD)	0.2302582366711743
107_PlGF_(CVD)	114_CSTB_(CVD)	0.5161540591929006
107_PlGF_(CVD)	144_FAS_(CVD)	0.33414763800465774
107_PlGF_(CVD)	143_RETN_(CVD)	0.4673747494367957
107_PlGF_(CVD)	117_CXCL11_(INF)	0.2993945926738366
107_PlGF_(CVD)	124_TNF-R1_(CVD)	0.5655942402147733
miR-486-5p	miR-93-5p	0.5581754694144063
miR-486-5p	155_TRANCE_(INF)	0.10632146886488858
miR-486-5p	182_MMP-12_(CVD)	0.15424150743738618
miR-486-5p	miR-16-5p	0.7234302107278552
160_IL-16_(CVD)	116_IL-17A_(INF)	0.12136400037009754
160_IL-16_(CVD)	miR-28-5p	0.1486262237083924
160_IL-16_(CVD)	114_CSTB_(CVD)	0.4255565036224098
160_IL-16_(CVD)	195_NT-pro-BNP_(CVD)	0.2577590706504802
160_IL-16_(CVD)	145_PAPPA_(CVD)	0.18844342493718358
160_IL-16_(CVD)	173_GAL_(CVD)	0.1573328044752298
112_IL-1ra_(CVD)	194_ADA_(INF)	0.12271253518020764
112_IL-1ra_(CVD)	138_TNFSF14_(INF)	0.18697232390832763
112_IL-1ra_(CVD)	177_t-PA_(CVD)	0.18733890939220554
112_IL-1ra_(CVD)	114_CSTB_(CVD)	0.30158598245425505
162_U-PAR_(CVD)	129_LOX-1_(CVD)	0.43673370652271526
162_U-PAR_(CVD)	130_TRAIL-R2_(CVD)	0.6064238946490592
162_U-PAR_(CVD)	181_VEGF-D_(CVD)	0.21578224602876084
162_U-PAR_(CVD)	145_CCL19_(INF)	0.17120838300606955
162_U-PAR_(CVD)	139_FGF-23_(INF)	0.2603141700984537
162_U-PAR_(CVD)	121_hK11_(CVD)	0.4937806910517768
162_U-PAR_(CVD)	113_IL-6_(CVD)	0.2883699874233727
162_U-PAR_(CVD)	122_CXCL9_(INF)	0.35162738113384506
162_U-PAR_(CVD)	141_FGF-5_(INF)	0.1981490906475445
185_CTSL1_(CVD)	120_TRAIL_(INF)	0.15438150770179337
185_CTSL1_(CVD)	151_IL-18R1_(INF)	0.1534722984618453
185_CTSL1_(CVD)	183_MCP-2_(INF)	0.18193499521777934
185_CTSL1_(CVD)	103_AM_(CVD)	0.35029489905248656
185_CTSL1_(CVD)	165_RAGE_(CVD)	0.18195372640154517
185_CTSL1_(CVD)	166_MIP-1 alpha_(INF)	0.2970413458519152
151_ST2_(CVD)	167_Flt3L_(INF)	0.15310327912238275
151_ST2_(CVD)	136_MMP-3_(CVD)	0.23078902405483603
151_ST2_(CVD)	181_VEGF-D_(CVD)	0.12471906562121227
151_ST2_(CVD)	miR-145-5p	0.15078190517915235
151_ST2_(CVD)	179_FGF-19_(INF)	0.13646911548571072
151_ST2_(CVD)	149_REN_(CVD)	0.16619145939309288
102_VEGF-A_(INF)	196_CSF-1_(INF)	0.5781510393766691
102_VEGF-A_(INF)	167_Flt3L_(INF)	0.17960286695131433
102_VEGF-A_(INF)	miR-99b-5p	0.14350097735419087
102_VEGF-A_(INF)	170_4E-BP1_(INF)	0.5268448304348894
102_VEGF-A_(INF)	139_FGF-23_(INF)	0.34620885217893527
102_VEGF-A_(INF)	135_TGF-alpha_(INF)	0.6748377719169829
102_VEGF-A_(INF)	175_EN-RAGE_(INF)	0.20003763880654457
102_VEGF-A_(INF)	187_TNFRSF9_(INF)	0.4446612348400558
102_VEGF-A_(INF)	176_CD40_(INF)	0.5697257109710359
186_CX3CL1_(INF)	149_IL-10RB_(INF)	0.3630399687369019
186_CX3CL1_(INF)	103_BDNF_(INF)	0.14063500383238825
186_CX3CL1_(INF)	RNY4-5p	0.22711164406409345
144_FGF-21_(INF)	109_IL-7_(INF)	0.1304082242767235
