Regulator	Target	MI
122_TIE2_(CVD)	194_PECAM-1_(CVD)	0.2719772283345705
122_TIE2_(CVD)	162_U-PAR_(CVD)	0.32697137044872804
122_TIE2_(CVD)	171_Dkk-1_(CVD)	0.18005452909740782
122_TIE2_(CVD)	miR-324-5p	0.18677075732256032
122_TIE2_(CVD)	144_FAS_(CVD)	0.306514992893395
148_PTX3_(CVD)	179_ESM-1_(CVD)	0.3463474570030547
148_PTX3_(CVD)	135_TGF-alpha_(INF)	0.2708095634548737
148_PTX3_(CVD)	miR-143-3p	0.11576505690446037
148_PTX3_(CVD)	miR-375	0.16172416846568982
108_CD244_(INF)	152_PD-L1_(INF)	0.27668498978385614
108_CD244_(INF)	126_IL27-A_(CVD)	0.19276921310517547
108_CD244_(INF)	165_CD5_(INF)	0.4133432909106878
108_CD244_(INF)	133_IL-18_(INF)	0.2566815702990839
108_CD244_(INF)	168_CXCL6_(INF)	0.2434305805646595
108_CD244_(INF)	157_IL-12B_(INF)	0.27023410803437375
108_CD244_(INF)	183_MCP-2_(INF)	0.14563686569163448
108_CD244_(INF)	154_mAmP_(CVD)	0.1514029607635976
108_CD244_(INF)	109_EGF_(CVD)	0.1829004822860698
179_ESM-1_(CVD)	140_MPO_(CVD)	0.2123703010546265
179_ESM-1_(CVD)	148_PTX3_(CVD)	0.3463474570030538
179_ESM-1_(CVD)	194_ADA_(INF)	0.11852712041929436
179_ESM-1_(CVD)	142_MMP-1_(INF)	0.1570515166254527
179_ESM-1_(CVD)	miR-197-3p	0.167618765650543
179_ESM-1_(CVD)	144_FGF-21_(INF)	0.12941392522216155
179_ESM-1_(CVD)	126_IL27-A_(CVD)	0.2190649270149594
179_ESM-1_(CVD)	158_MB_(CVD)	0.2093947472001627
179_ESM-1_(CVD)	183_SPON1_(CVD)	0.21587742925224784
129_LOX-1_(CVD)	132_SCF_(INF)	0.17488463998896098
129_LOX-1_(CVD)	160_IL-16_(CVD)	0.29648087099097076
129_LOX-1_(CVD)	112_IL-1ra_(CVD)	0.3536483690725527
129_LOX-1_(CVD)	162_U-PAR_(CVD)	0.48139563962875886
129_LOX-1_(CVD)	134_IL-6RA_(CVD)	0.22456432610525656
129_LOX-1_(CVD)	miR-150-5p	0.16222354836312292
108_SELE_(CVD)	164_CTSD_(CVD)	0.15243945163421824
108_SELE_(CVD)	185_CCL25_(INF)	0.18787706139134652
108_SELE_(CVD)	159_TM_(CVD)	0.22962206481707437
108_SELE_(CVD)	194_PECAM-1_(CVD)	0.28887877860401456
108_SELE_(CVD)	miR-143-3p	0.09453425126380921
108_SELE_(CVD)	134_IL-6RA_(CVD)	0.2722550476492005
108_SELE_(CVD)	191_ST1A1_(INF)	0.11379850491848043
108_SELE_(CVD)	183_MCP-2_(INF)	0.153793439612107
108_SELE_(CVD)	miR-223-5p(*)	0.1498238842100612
108_SELE_(CVD)	193_FS_(CVD)	0.17289469950606318
108_SELE_(CVD)	112_IL-1ra_(CVD)	0.23606557206785528
miR-122-5p	miR-885-5p	0.22135950465250964
miR-122-5p	195_NT-pro-BNP_(CVD)	0.14577595302720603
miR-122-5p	miR-28-5p	0.17178680631048948
miR-122-5p	177_t-PA_(CVD)	0.17795065995566883
miR-122-5p	141_FGF-5_(INF)	0.19971908230798174
miR-21-5p	miR-223-5p(*)	0.4412327380856711
miR-21-5p	miR-140-5p	0.5326160385533605
miR-21-5p	miR-24-3p	0.7061537611802233
miR-21-5p	154_mAmP_(CVD)	0.1175349476888039
miR-21-5p	let-7d-5p	0.584689056610924
miR-21-5p	161_MMP-10_(INF)	0.11177117184473317
178_HB-EGF_(CVD)	130_TRAIL-R2_(CVD)	0.4602214959138795
178_HB-EGF_(CVD)	188_BNP_(CVD)	0.24293816567671733
178_HB-EGF_(CVD)	121_hK11_(CVD)	0.42727909408808706
178_HB-EGF_(CVD)	184_CASP-8_(INF)	0.3310869253896751
178_HB-EGF_(CVD)	105_CD40-L_(CVD)	0.2951144512294066
miR-145-5p	189_TWEAK_(INF)	0.1429366913892931
miR-145-5p	111_SRC_(CVD)	0.43261768228923714
miR-145-5p	miR-126-3p	0.44312399895414245
miR-145-5p	109_IL-7_(INF)	0.34740218640100284
miR-145-5p	miR-26a-5p	0.46528859971306513
miR-145-5p	miR-375	0.1740652400479421
179_FGF-19_(INF)	103_BDNF_(INF)	0.10771941721262923
179_FGF-19_(INF)	189_TWEAK_(INF)	0.19743069648684575
179_FGF-19_(INF)	164_CTSD_(CVD)	0.1230130006512411
179_FGF-19_(INF)	miR-26a-5p	0.10088451588286951
179_FGF-19_(INF)	160_IL-16_(CVD)	0.14787016207042658
179_FGF-19_(INF)	115_MCP-1_(INF)	0.20081889484621573
179_FGF-19_(INF)	151_ST2_(CVD)	0.15706168914219543
196_CSF-1_(INF)	149_IL-10RB_(INF)	0.47257525673640544
196_CSF-1_(INF)	135_TNF-R2_(CVD)	0.45785901241152427
196_CSF-1_(INF)	111_LAP TGF-beta-1_(INF)	0.3451970214004234
196_CSF-1_(INF)	188_NT-3_(INF)	0.13977387740582436
196_CSF-1_(INF)	120_TRAIL_(INF)	0.278959548621013
196_CSF-1_(INF)	110_OPG_(INF)	0.5168254735769597
196_CSF-1_(INF)	135_TGF-alpha_(INF)	0.45697818142659496
196_CSF-1_(INF)	miR-29a-3p	0.2050507203818892
196_CSF-1_(INF)	115_MCP-1_(INF)	0.3920820046910496
196_CSF-1_(INF)	187_TNFRSF9_(INF)	0.6050280671629045
196_CSF-1_(INF)	148_IL-15RA_(INF)	0.32244740461784804
196_CSF-1_(INF)	130_CCL4_(INF)	0.31196874297834754
196_CSF-1_(INF)	162_IL-10_(INF)	0.26000602532831874
196_CSF-1_(INF)	miR-375	0.21017904311059787
miR-143-3p	148_PTX3_(CVD)	0.11576505690446037
miR-143-3p	miR-20b-5p	0.30329294155234177
miR-143-3p	108_SELE_(CVD)	0.09453425126380921
miR-143-3p	123_TF_(CVD)	0.1338935500997298
miR-143-3p	173_CCL28_(INF)	0.1390908569105589
132_SCF_(INF)	129_LOX-1_(CVD)	0.17488463998896187
132_SCF_(INF)	117_Gal-3_(CVD)	0.20318642197842696
132_SCF_(INF)	miR-197-3p	0.12724542739321087
132_SCF_(INF)	186_CX3CL1_(INF)	0.19526672831496672
191_ST1A1_(INF)	108_SELE_(CVD)	0.11379850491848043
191_ST1A1_(INF)	118_AXIN1_(INF)	0.6343148757819623
191_ST1A1_(INF)	105_MCP-3_(INF)	0.14588122460030828
191_ST1A1_(INF)	miR-324-5p	0.2403998570529149
191_ST1A1_(INF)	158_MB_(CVD)	0.11442317158571491
152_PD-L1_(INF)	108_CD244_(INF)	0.27668498978385614
152_PD-L1_(INF)	164_CCL23_(INF)	0.23830065200810147
152_PD-L1_(INF)	miR-27b-3p	0.20381411767398738
152_PD-L1_(INF)	117_CXCL11_(INF)	0.28807052034881586
152_PD-L1_(INF)	124_TNF-R1_(CVD)	0.3994635979788681
152_PD-L1_(INF)	162_IL-10_(INF)	0.23201588408383955
107_PlGF_(CVD)	164_CTSD_(CVD)	0.24934750315178444
107_PlGF_(CVD)	174_AGRP_(CVD)	0.19086256958818293
107_PlGF_(CVD)	160_IL-16_(CVD)	0.49655303435229303
107_PlGF_(CVD)	106_GDF-15_(CVD)	0.4837195471411615
107_PlGF_(CVD)	144_FAS_(CVD)	0.5049543969345258
107_PlGF_(CVD)	131_CD6_(INF)	0.16893259904079905
107_PlGF_(CVD)	194_PECAM-1_(CVD)	0.2985496109066732
107_PlGF_(CVD)	121_hK11_(CVD)	0.4996368904802644
107_PlGF_(CVD)	124_TNF-R1_(CVD)	0.5716976175908393
