Regulator	Target	MI
122_TIE2_(CVD)	179_ESM-1_(CVD)	0.16465311754049772
122_TIE2_(CVD)	194_PECAM-1_(CVD)	0.2971540109240438
122_TIE2_(CVD)	123_TF_(CVD)	0.23018290400960062
122_TIE2_(CVD)	181_VEGF-D_(CVD)	0.19495937671954433
122_TIE2_(CVD)	144_FAS_(CVD)	0.368812005890935
148_PTX3_(CVD)	179_ESM-1_(CVD)	0.2161072908180559
148_PTX3_(CVD)	126_IL27-A_(CVD)	0.1492914988604772
148_PTX3_(CVD)	136_MMP-3_(CVD)	0.09355269828623847
148_PTX3_(CVD)	131_CD6_(INF)	0.09187102687810089
148_PTX3_(CVD)	194_PECAM-1_(CVD)	0.1337381268064366
148_PTX3_(CVD)	miR-192-5p	0.11140363048901314
148_PTX3_(CVD)	miR-92a-3p	0.10510092418833406
148_PTX3_(CVD)	miR-150-5p	0.10493972921143246
108_CD244_(INF)	195_TNFB_(INF)	0.25427088466715553
108_CD244_(INF)	165_CD5_(INF)	0.31099749016216993
179_ESM-1_(CVD)	140_MPO_(CVD)	0.22804210501562583
179_ESM-1_(CVD)	122_TIE2_(CVD)	0.16465311754049772
179_ESM-1_(CVD)	148_PTX3_(CVD)	0.2161072908180559
179_ESM-1_(CVD)	150_CHI3L1_(CVD)	0.20658469329259166
179_ESM-1_(CVD)	153_Beta-NGF_(INF)	0.11366994246379569
179_ESM-1_(CVD)	177_t-PA_(CVD)	0.13334354173378227
179_ESM-1_(CVD)	103_BDNF_(INF)	0.10131069556645755
179_ESM-1_(CVD)	145_PAPPA_(CVD)	0.2427131114815575
129_LOX-1_(CVD)	miR-486-5p	0.14770861274861335
129_LOX-1_(CVD)	160_IL-16_(CVD)	0.3338304457389487
129_LOX-1_(CVD)	140_IL-10RA_(INF)	0.11860886016492778
129_LOX-1_(CVD)	162_U-PAR_(CVD)	0.3309029326423927
129_LOX-1_(CVD)	113_IL-6_(CVD)	0.27436897597823506
108_SELE_(CVD)	164_CTSD_(CVD)	0.17632055885121467
108_SELE_(CVD)	125_PDGF subunit B_(CVD)	0.21184542815164065
108_SELE_(CVD)	194_PECAM-1_(CVD)	0.3378411690762757
108_SELE_(CVD)	151_IL-18R1_(INF)	0.14546030637167373
108_SELE_(CVD)	183_MCP-2_(INF)	0.16875753224058787
108_SELE_(CVD)	145_PAPPA_(CVD)	0.15488039085933725
108_SELE_(CVD)	106_GDF-15_(CVD)	0.1877127865060828
miR-122-5p	175_EN-RAGE_(INF)	0.19986118083818472
miR-122-5p	miR-885-5p	0.4924171686554075
miR-122-5p	RNY5-5p	0.2823719538590437
miR-122-5p	141_FGF-5_(INF)	0.13579987480297984
miR-122-5p	miR-150-5p	0.2045811986847088
miR-21-5p	miR-24-3p	0.6404854443989905
178_HB-EGF_(CVD)	135_TNF-R2_(CVD)	0.5270949252462289
178_HB-EGF_(CVD)	165_RAGE_(CVD)	0.3158368797119646
178_HB-EGF_(CVD)	184_CASP-8_(INF)	0.24433696406968242
miR-145-5p	164_CCL23_(INF)	0.13220434192089847
miR-145-5p	193_FS_(CVD)	0.18902703380895236
miR-145-5p	103_AM_(CVD)	0.12715038790252908
miR-145-5p	126_IL27-A_(CVD)	0.11411428379831356
miR-145-5p	miR-140-5p	0.6654029484867339
179_FGF-19_(INF)	170_4E-BP1_(INF)	0.12282259367512438
179_FGF-19_(INF)	117_Gal-3_(CVD)	0.12853464773021717
179_FGF-19_(INF)	149_REN_(CVD)	0.0983869650933471
179_FGF-19_(INF)	miR-197-3p	0.15369733910946337
196_CSF-1_(INF)	101_IL-8_(INF)	0.31726454511427526
196_CSF-1_(INF)	165_CD5_(INF)	0.4434142236647931
196_CSF-1_(INF)	170_4E-BP1_(INF)	0.44193390584252956
196_CSF-1_(INF)	185_CCL25_(INF)	0.24057002910802883
196_CSF-1_(INF)	135_TGF-alpha_(INF)	0.4277292798072265
196_CSF-1_(INF)	115_MCP-1_(INF)	0.4347196193643388
196_CSF-1_(INF)	156_HGF_(INF)	0.47024752940651915
miR-143-3p	165_RAGE_(CVD)	0.11955112882370234
miR-143-3p	miR-192-5p	0.19359600298145807
miR-143-3p	miR-19b-3p	0.29625834929754813
132_SCF_(INF)	miR-26a-5p	0.15192610389435135
132_SCF_(INF)	112_uPA_(INF)	0.23902841955119936
191_ST1A1_(INF)	107_CDCP1_(INF)	0.12195096724883037
191_ST1A1_(INF)	miR-885-5p	0.1173943894059235
191_ST1A1_(INF)	111_SRC_(CVD)	0.38836751904211564
191_ST1A1_(INF)	195_NT-pro-BNP_(CVD)	0.18016805376758693
152_PD-L1_(INF)	164_CCL23_(INF)	0.2672907694336848
152_PD-L1_(INF)	102_VEGF-A_(INF)	0.29355451064655025
152_PD-L1_(INF)	166_MIP-1 alpha_(INF)	0.29755527966295947
107_PlGF_(CVD)	135_TNF-R2_(CVD)	0.6453164743368491
107_PlGF_(CVD)	miR-130a-3p	0.19459736772089808
107_PlGF_(CVD)	144_FAS_(CVD)	0.46478152023969965
107_PlGF_(CVD)	183_SPON1_(CVD)	0.36480855475528795
107_PlGF_(CVD)	159_TM_(CVD)	0.49243046327690454
107_PlGF_(CVD)	121_hK11_(CVD)	0.4715623599966614
107_PlGF_(CVD)	123_TF_(CVD)	0.2960969297587379
107_PlGF_(CVD)	171_Dkk-1_(CVD)	0.2274763605404475
miR-486-5p	129_LOX-1_(CVD)	0.14770861274861335
miR-486-5p	142_MMP-1_(INF)	0.09425731939988946
miR-486-5p	miR-324-5p	0.18002376120563746
miR-486-5p	106_GDF-15_(CVD)	0.13090749040840954
miR-486-5p	miR-16-5p	0.46611488336467044
160_IL-16_(CVD)	129_LOX-1_(CVD)	0.3338304457389487
160_IL-16_(CVD)	134_IL-6RA_(CVD)	0.32687856137890225
160_IL-16_(CVD)	114_CSTB_(CVD)	0.325191088203713
160_IL-16_(CVD)	170_4E-BP1_(INF)	0.2664137191572449
160_IL-16_(CVD)	168_CXCL6_(INF)	0.23458600816060216
160_IL-16_(CVD)	192_STAMPB_(INF)	0.2558709377406476
160_IL-16_(CVD)	159_TM_(CVD)	0.4720067447509191
160_IL-16_(CVD)	112_uPA_(INF)	0.2676095149998883
160_IL-16_(CVD)	173_GAL_(CVD)	0.16954635112791117
112_IL-1ra_(CVD)	151_IL-18R1_(INF)	0.22367808335858186
112_IL-1ra_(CVD)	113_IL-6_(CVD)	0.21232129119494658
112_IL-1ra_(CVD)	105_MCP-3_(INF)	0.1925603059210781
112_IL-1ra_(CVD)	135_TNF-R2_(CVD)	0.4535249049836798
112_IL-1ra_(CVD)	177_t-PA_(CVD)	0.278315410248994
162_U-PAR_(CVD)	129_LOX-1_(CVD)	0.33090293264239357
162_U-PAR_(CVD)	130_TRAIL-R2_(CVD)	0.7444540009341276
162_U-PAR_(CVD)	145_CCL19_(INF)	0.1857887170335708
162_U-PAR_(CVD)	114_CSTB_(CVD)	0.5239652925800211
162_U-PAR_(CVD)	106_GDF-15_(CVD)	0.547267671064299
162_U-PAR_(CVD)	185_CCL25_(INF)	0.21432968410127806
162_U-PAR_(CVD)	124_TNF-R1_(CVD)	0.6283765004283666
162_U-PAR_(CVD)	182_MMP-12_(CVD)	0.3154214476569548
185_CTSL1_(CVD)	114_CSTB_(CVD)	0.3162906620279209
185_CTSL1_(CVD)	140_MPO_(CVD)	0.23837438208590367
185_CTSL1_(CVD)	175_EN-RAGE_(INF)	0.2707639935262529
185_CTSL1_(CVD)	154_mAmP_(CVD)	0.13166222510981385
151_ST2_(CVD)	136_MMP-3_(CVD)	0.22307523558123954
151_ST2_(CVD)	miR-130a-3p	0.09919847801407133
151_ST2_(CVD)	143_LIF-R_(INF)	0.19289218092118965
151_ST2_(CVD)	142_MMP-1_(INF)	0.1613569463002662
151_ST2_(CVD)	149_REN_(CVD)	0.1353922112758692
102_VEGF-A_(INF)	152_PD-L1_(INF)	0.29355451064655114
102_VEGF-A_(INF)	144_FGF-21_(INF)	0.1837665007328324
102_VEGF-A_(INF)	114_CSTB_(CVD)	0.4361509187716779
102_VEGF-A_(INF)	miR-885-5p	0.23562129967200995
102_VEGF-A_(INF)	135_TGF-alpha_(INF)	0.6332168830557396
102_VEGF-A_(INF)	114_IL-17C_(INF)	0.1755663690612721
102_VEGF-A_(INF)	192_NEMO_(CVD)	0.1439788599284375
102_VEGF-A_(INF)	156_HGF_(INF)	0.44147859623970476
102_VEGF-A_(INF)	148_IL-15RA_(INF)	0.33711910601418804
102_VEGF-A_(INF)	153_Beta-NGF_(INF)	0.4766578460379147
102_VEGF-A_(INF)	162_IL-10_(INF)	0.2540055597001132
102_VEGF-A_(INF)	154_mAmP_(CVD)	0.1502851742196869
186_CX3CL1_(INF)	135_TNF-R2_(CVD)	0.5147594953592973
186_CX3CL1_(INF)	158_MB_(CVD)	0.26503506186832304
186_CX3CL1_(INF)	143_LIF-R_(INF)	0.32244981167201114
186_CX3CL1_(INF)	miR-20b-5p	0.18886751480856745
186_CX3CL1_(INF)	176_CD40_(INF)	0.43673571509776554
186_CX3CL1_(INF)	141_FGF-5_(INF)	0.3770711745958053
144_FGF-21_(INF)	128_CXCL1_(INF)	0.09533915380309743
144_FGF-21_(INF)	149_REN_(CVD)	0.11603136948383685
144_FGF-21_(INF)	102_VEGF-A_(INF)	0.18376650073283152
RNY4-3p	miR-223-5p(*)	0.5694861469034223
RNY4-3p	miR-191-5p	0.8658606581826502
RNY4-3p	RNY4-5p	0.87598804442238
101_IL-8_(INF)	196_CSF-1_(INF)	0.31726454511427526
101_IL-8_(INF)	162_IL-10_(INF)	0.21469302593145922
126_IL27-A_(CVD)	148_PTX3_(CVD)	0.1492914988604772
126_IL27-A_(CVD)	RNY5-5p	0.21876604221008655
126_IL27-A_(CVD)	miR-145-5p	0.11411428379831356
126_IL27-A_(CVD)	124_TNF-R1_(CVD)	0.1928005012443066
111_LAP TGF-beta-1_(INF)	140_IL-10RA_(INF)	0.1135658410951379
111_LAP TGF-beta-1_(INF)	miR-324-5p	0.12926427390775785
111_LAP TGF-beta-1_(INF)	143_LIF-R_(INF)	0.375435658572405
111_LAP TGF-beta-1_(INF)	109_IL-7_(INF)	0.2669653045200109
111_LAP TGF-beta-1_(INF)	115_MCP-1_(INF)	0.36480934877480475
111_LAP TGF-beta-1_(INF)	156_HGF_(INF)	0.3796918672892424
111_LAP TGF-beta-1_(INF)	176_CD40_(INF)	0.3643685582504901
165_RAGE_(CVD)	187_FABP4_(CVD)	0.17471727065985387
165_RAGE_(CVD)	139_FGF-23_(INF)	0.24253816705868392
165_RAGE_(CVD)	164_CCL23_(INF)	0.1189332137563408
165_RAGE_(CVD)	178_HB-EGF_(CVD)	0.3158368797119646
165_RAGE_(CVD)	miR-143-3p	0.11955112882370145
165_RAGE_(CVD)	137_HSP 27_(CVD)	0.21502096939325188
165_RAGE_(CVD)	141_FGF-5_(INF)	0.17320458200468547
165_CD5_(INF)	108_CD244_(INF)	0.31099749016216993
165_CD5_(INF)	196_CSF-1_(INF)	0.4434142236647931
165_CD5_(INF)	131_CD6_(INF)	0.31703475797623426
165_CD5_(INF)	194_ADA_(INF)	0.2216822292501508
165_CD5_(INF)	187_TNFRSF9_(INF)	0.5811337116389916
173_CCL28_(INF)	110_OPG_(INF)	0.2534282085144799
173_CCL28_(INF)	122_CXCL9_(INF)	0.2956399937703198
173_CCL28_(INF)	140_IL-10RA_(INF)	0.10850208417385243
173_CCL28_(INF)	148_IL-15RA_(INF)	0.31045545196700974
181_VEGF-D_(CVD)	122_TIE2_(CVD)	0.19495937671954522
181_VEGF-D_(CVD)	136_MCP-4_(INF)	0.13671061955936992
181_VEGF-D_(CVD)	141_FGF-5_(INF)	0.19682917745109307
