Regulator	Target	MI
122_TIE2_(CVD)	120_TRAIL_(INF)	0.13177632640776338
122_TIE2_(CVD)	194_PECAM-1_(CVD)	0.28277140950540325
122_TIE2_(CVD)	177_t-PA_(CVD)	0.18419255819304414
122_TIE2_(CVD)	188_NT-3_(INF)	0.09525274585195653
122_TIE2_(CVD)	144_FAS_(CVD)	0.43058974717967313
122_TIE2_(CVD)	173_GAL_(CVD)	0.1780866031049948
148_PTX3_(CVD)	140_MPO_(CVD)	0.2642563465152765
148_PTX3_(CVD)	168_CXCL6_(INF)	0.15131455926069393
148_PTX3_(CVD)	191_CA-125_(CVD)	0.12305755117331962
148_PTX3_(CVD)	179_ESM-1_(CVD)	0.3154652897415291
148_PTX3_(CVD)	167_MMP-7_(CVD)	0.19929967019292416
148_PTX3_(CVD)	175_EN-RAGE_(INF)	0.12816224228127027
148_PTX3_(CVD)	126_IL27-A_(CVD)	0.18635821710926237
148_PTX3_(CVD)	143_LIF-R_(INF)	0.1719381363929413
148_PTX3_(CVD)	145_PAPPA_(CVD)	0.18413227563840984
108_CD244_(INF)	168_CXCL6_(INF)	0.2617832359989549
108_CD244_(INF)	157_IL-12B_(INF)	0.1959961016634324
108_CD244_(INF)	196_ECP_(CVD)	0.16050681439623116
108_CD244_(INF)	117_CXCL11_(INF)	0.2757280853455768
108_CD244_(INF)	126_IL27-A_(CVD)	0.2658453711257609
108_CD244_(INF)	112_uPA_(INF)	0.2117916406819873
108_CD244_(INF)	165_CD5_(INF)	0.24435448742687083
179_ESM-1_(CVD)	148_PTX3_(CVD)	0.3154652897415291
179_ESM-1_(CVD)	miR-126-3p	0.16249305240997458
179_ESM-1_(CVD)	142_MMP-1_(INF)	0.1025251233712341
179_ESM-1_(CVD)	183_SPON1_(CVD)	0.27659796071128095
129_LOX-1_(CVD)	126_IL27-A_(CVD)	0.20248423254176107
129_LOX-1_(CVD)	135_TNF-R2_(CVD)	0.3512018111708004
129_LOX-1_(CVD)	165_RAGE_(CVD)	0.26596955352518314
108_SELE_(CVD)	175_EN-RAGE_(INF)	0.13196417902951207
108_SELE_(CVD)	157_IL-12B_(INF)	0.18170931054053518
108_SELE_(CVD)	177_t-PA_(CVD)	0.21671919319707555
108_SELE_(CVD)	194_PECAM-1_(CVD)	0.3716888602159214
108_SELE_(CVD)	194_ADA_(INF)	0.08903589229739861
108_SELE_(CVD)	167_MMP-7_(CVD)	0.17106223366856632
108_SELE_(CVD)	149_REN_(CVD)	0.17907746354350973
miR-122-5p	195_TNFB_(INF)	0.1102142111808373
miR-122-5p	130_CCL4_(INF)	0.15564115150683744
miR-122-5p	miR-885-5p	0.47555021966103705
miR-122-5p	195_NT-pro-BNP_(CVD)	0.16859431170932737
miR-122-5p	RNY5-5p	0.36254612917607343
miR-122-5p	137_CCL11_(INF)	0.10643584886581436
miR-122-5p	miR-92a-3p	0.21262770598048686
miR-21-5p	miR-223-5p(*)	0.5775938340199875
miR-21-5p	140_IL-10RA_(INF)	0.16403752908455171
miR-21-5p	185_CCL25_(INF)	0.1562249098940045
miR-21-5p	miR-126-3p	0.714107399956629
miR-21-5p	miR-320a	0.49510263750881744
miR-21-5p	121_hK11_(CVD)	0.2547462144078825
178_HB-EGF_(CVD)	160_IL-16_(CVD)	0.39140019816271376
178_HB-EGF_(CVD)	170_CXCL16_(CVD)	0.3480672823559603
178_HB-EGF_(CVD)	140_MPO_(CVD)	0.4219134067914201
178_HB-EGF_(CVD)	124_TNF-R1_(CVD)	0.5196627336894446
178_HB-EGF_(CVD)	137_HSP 27_(CVD)	0.3361490957990876
miR-145-5p	164_CCL23_(INF)	0.14427572564933655
miR-145-5p	172_SIRT2_(CVD)	0.3688764668109874
miR-145-5p	117_CXCL11_(INF)	0.1798381679549923
miR-145-5p	miR-26a-5p	0.6098461238011561
179_FGF-19_(INF)	miR-27b-3p	0.1087363798250216
179_FGF-19_(INF)	183_MCP-2_(INF)	0.1338621168840275
179_FGF-19_(INF)	116_KLK6_(CVD)	0.15343555853322766
179_FGF-19_(INF)	151_ST2_(CVD)	0.10202840705131866
179_FGF-19_(INF)	188_BNP_(CVD)	0.0944692186871432
179_FGF-19_(INF)	141_GH_(CVD)	0.09293864932744711
196_CSF-1_(INF)	149_IL-10RB_(INF)	0.465477579178347
196_CSF-1_(INF)	126_IL27-A_(CVD)	0.208652937190287
196_CSF-1_(INF)	111_LAP TGF-beta-1_(INF)	0.31323524788731927
196_CSF-1_(INF)	165_CD5_(INF)	0.5331130297981908
196_CSF-1_(INF)	135_TGF-alpha_(INF)	0.49215382360636184
196_CSF-1_(INF)	115_MCP-1_(INF)	0.4171682869380344
196_CSF-1_(INF)	156_HGF_(INF)	0.4027093920784619
196_CSF-1_(INF)	124_TNF-R1_(CVD)	0.4507496785165763
196_CSF-1_(INF)	154_mAmP_(CVD)	0.23839449461857853
196_CSF-1_(INF)	let-7d-5p	0.1857007251592151
miR-143-3p	miR-126-3p	0.170860199363851
miR-143-3p	190_CCL20_(INF)	0.14609788662951395
132_SCF_(INF)	195_TNFB_(INF)	0.10751652440968673
132_SCF_(INF)	111_LAP TGF-beta-1_(INF)	0.23408059023487926
132_SCF_(INF)	miR-28-5p	0.17904333709906606
132_SCF_(INF)	miR-126-3p	0.16487543932707371
132_SCF_(INF)	miR-192-5p	0.15559287551537793
132_SCF_(INF)	157_PSGL-1_(CVD)	0.09424746901821202
132_SCF_(INF)	186_CX3CL1_(INF)	0.27835729051798186
191_ST1A1_(INF)	157_IL-12B_(INF)	0.13621505279779544
191_ST1A1_(INF)	115_MCP-1_(INF)	0.11193877409237096
191_ST1A1_(INF)	137_HSP 27_(CVD)	0.4896123663188847
191_ST1A1_(INF)	177_t-PA_(CVD)	0.12673671169677547
191_ST1A1_(INF)	158_MB_(CVD)	0.23961330592056207
152_PD-L1_(INF)	135_TNF-R2_(CVD)	0.3905720883982715
152_PD-L1_(INF)	166_MIP-1 alpha_(INF)	0.39435671312802434
107_PlGF_(CVD)	167_MMP-7_(CVD)	0.45056727024218546
107_PlGF_(CVD)	124_TNF-R1_(CVD)	0.6158233176475507
