Regulator	Target	MI
122_TIE2_(CVD)	164_CTSD_(CVD)	0.1841089832080245
122_TIE2_(CVD)	194_PECAM-1_(CVD)	0.31080739880515384
122_TIE2_(CVD)	181_VEGF-D_(CVD)	0.15662277058349705
122_TIE2_(CVD)	144_FAS_(CVD)	0.2911298249687775
148_PTX3_(CVD)	153_Beta-NGF_(INF)	0.13433196027222394
148_PTX3_(CVD)	179_ESM-1_(CVD)	0.23951132268071795
148_PTX3_(CVD)	136_MMP-3_(CVD)	0.1772485526950307
148_PTX3_(CVD)	167_MMP-7_(CVD)	0.13959837345968484
108_CD244_(INF)	170_4E-BP1_(INF)	0.3907095664762874
108_CD244_(INF)	168_CXCL6_(INF)	0.31463045214343577
108_CD244_(INF)	135_TGF-alpha_(INF)	0.23293918224791188
108_CD244_(INF)	131_CD6_(INF)	0.18253513490487006
108_CD244_(INF)	192_NEMO_(CVD)	0.2274089101799337
108_CD244_(INF)	112_IL-1ra_(CVD)	0.17496122979892714
108_CD244_(INF)	117_CXCL11_(INF)	0.22185846617973048
108_CD244_(INF)	130_CCL4_(INF)	0.3879879174143408
108_CD244_(INF)	112_uPA_(INF)	0.21215332287935063
108_CD244_(INF)	133_IL-18_(INF)	0.2154273534064517
179_ESM-1_(CVD)	148_PTX3_(CVD)	0.23951132268071795
179_ESM-1_(CVD)	108_SELE_(CVD)	0.12337933363527043
179_ESM-1_(CVD)	118_PAR-1_(CVD)	0.29609173435693403
179_ESM-1_(CVD)	181_VEGF-D_(CVD)	0.17127592528569213
179_ESM-1_(CVD)	141_FGF-5_(INF)	0.21746488331370806
179_ESM-1_(CVD)	miR-223-3p	0.22628323780981763
179_ESM-1_(CVD)	145_PAPPA_(CVD)	0.27307027583907395
179_ESM-1_(CVD)	190_CCL20_(INF)	0.11521612751992283
129_LOX-1_(CVD)	107_CDCP1_(INF)	0.17309253933068192
129_LOX-1_(CVD)	192_STAMPB_(INF)	0.15207751819123594
129_LOX-1_(CVD)	110_OPG_(INF)	0.31756955331522896
129_LOX-1_(CVD)	160_IL-16_(CVD)	0.2628397699526497
129_LOX-1_(CVD)	162_U-PAR_(CVD)	0.3642619308980306
129_LOX-1_(CVD)	126_IL27-A_(CVD)	0.2240202741022399
129_LOX-1_(CVD)	157_PSGL-1_(CVD)	0.14846213794511431
129_LOX-1_(CVD)	117_Gal-3_(CVD)	0.3115377093330496
108_SELE_(CVD)	179_ESM-1_(CVD)	0.12337933363527043
108_SELE_(CVD)	177_t-PA_(CVD)	0.1457130795807693
108_SELE_(CVD)	179_FGF-19_(INF)	0.10987422039463723
108_SELE_(CVD)	194_PECAM-1_(CVD)	0.32594213284882034
108_SELE_(CVD)	132_SCF_(INF)	0.09465110621587325
108_SELE_(CVD)	miR-375	0.09209296093696029
miR-122-5p	105_MCP-3_(INF)	0.1470608696378113
miR-122-5p	192_STAMPB_(INF)	0.1963056005848678
miR-122-5p	miR-324-5p	0.14146994018416859
miR-122-5p	miR-885-5p	0.4864785209570961
miR-122-5p	RNY5-5p	0.21449526875467217
miR-122-5p	173_CCL28_(INF)	0.14637903615680425
miR-122-5p	miR-192-5p	0.4687059797501041
miR-21-5p	miR-28-5p	0.23345458330074997
miR-21-5p	hsa-miR-574-3p	0.48245635370867124
miR-21-5p	miR-126-3p	0.7415847233013979
miR-21-5p	131_CD6_(INF)	0.1738107135288791
miR-21-5p	155_TRANCE_(INF)	0.13668774266246153
178_HB-EGF_(CVD)	107_PlGF_(CVD)	0.4387089025475932
178_HB-EGF_(CVD)	171_Dkk-1_(CVD)	0.24577064683944716
miR-145-5p	miR-143-3p	0.3409165574948867
miR-145-5p	miR-24-3p	0.5712219120111932
miR-145-5p	miR-30b-5p	0.5768190195320102
179_FGF-19_(INF)	108_SELE_(CVD)	0.10987422039463723
179_FGF-19_(INF)	149_IL-10RB_(INF)	0.10262923215158626
179_FGF-19_(INF)	141_GH_(CVD)	0.1366192479327477
179_FGF-19_(INF)	miR-16-5p	0.12453039550284029
196_CSF-1_(INF)	149_IL-10RB_(INF)	0.4428195130400647
196_CSF-1_(INF)	132_SCF_(INF)	0.18179225080355277
196_CSF-1_(INF)	miR-324-5p	0.137229708243507
196_CSF-1_(INF)	135_TNF-R2_(CVD)	0.3332995356337838
196_CSF-1_(INF)	165_CD5_(INF)	0.39183338516578914
196_CSF-1_(INF)	170_4E-BP1_(INF)	0.3597379778188783
196_CSF-1_(INF)	135_TGF-alpha_(INF)	0.44346764185553944
196_CSF-1_(INF)	148_IL-15RA_(INF)	0.29336240270289426
196_CSF-1_(INF)	130_CCL4_(INF)	0.2755914953425087
196_CSF-1_(INF)	112_uPA_(INF)	0.333038462373505
196_CSF-1_(INF)	174_DNER_(INF)	0.21675364264407548
196_CSF-1_(INF)	190_CCL20_(INF)	0.16705929989151969
