Regulator	Target	MI
122_TIE2_(CVD)	164_CTSD_(CVD)	0.24141666413318852
122_TIE2_(CVD)	159_TM_(CVD)	0.40230748598141997
122_TIE2_(CVD)	194_PECAM-1_(CVD)	0.36970154118124743
122_TIE2_(CVD)	107_PlGF_(CVD)	0.37487486207349363
122_TIE2_(CVD)	123_TF_(CVD)	0.4515871221607286
148_PTX3_(CVD)	179_ESM-1_(CVD)	0.25206464736614187
148_PTX3_(CVD)	130_TRAIL-R2_(CVD)	0.2644159426235735
148_PTX3_(CVD)	117_CXCL11_(INF)	0.15348930844966358
148_PTX3_(CVD)	miR-324-5p	0.18117171246666341
148_PTX3_(CVD)	130_CCL4_(INF)	0.1208221610176059
148_PTX3_(CVD)	141_FGF-5_(INF)	0.19701670067114296
108_CD244_(INF)	168_CXCL6_(INF)	0.23040862754528746
108_CD244_(INF)	149_IL-10RB_(INF)	0.23379949836140934
108_CD244_(INF)	miR-93-5p	0.10136017939048081
108_CD244_(INF)	130_CCL4_(INF)	0.19359554596196205
108_CD244_(INF)	112_uPA_(INF)	0.21380817046379175
108_CD244_(INF)	189_LEP_(CVD)	0.12397644434446864
108_CD244_(INF)	134_SLAMF1_(INF)	0.18771539531006187
179_ESM-1_(CVD)	148_PTX3_(CVD)	0.25206464736614187
179_ESM-1_(CVD)	115_MCP-1_(INF)	0.15474022327213977
179_ESM-1_(CVD)	123_TF_(CVD)	0.19487142035656824
179_ESM-1_(CVD)	142_MMP-1_(INF)	0.2131294721309347
179_ESM-1_(CVD)	172_SIRT2_(CVD)	0.18864932915710764
179_ESM-1_(CVD)	181_VEGF-D_(CVD)	0.16304665845682642
179_ESM-1_(CVD)	miR-223-3p	0.19150699187420006
179_ESM-1_(CVD)	145_PAPPA_(CVD)	0.17565171069975172
129_LOX-1_(CVD)	162_U-PAR_(CVD)	0.39651085852753276
129_LOX-1_(CVD)	196_ECP_(CVD)	0.291117011092509
129_LOX-1_(CVD)	150_CHI3L1_(CVD)	0.2673013455273372
129_LOX-1_(CVD)	175_EN-RAGE_(INF)	0.21902181528589804
129_LOX-1_(CVD)	152_TIM_(CVD)	0.18662629796221353
108_SELE_(CVD)	107_CDCP1_(INF)	0.24298044333076607
108_SELE_(CVD)	157_IL-12B_(INF)	0.10387319230986325
