Regulator	Target	MI
122_TIE2_(CVD)	194_PECAM-1_(CVD)	0.33613998975635084
122_TIE2_(CVD)	109_EGF_(CVD)	0.14938012084158458
122_TIE2_(CVD)	182_MMP-12_(CVD)	0.20408011458995734
148_PTX3_(CVD)	195_TNFB_(INF)	0.1651468009120416
148_PTX3_(CVD)	191_CA-125_(CVD)	0.1732458984051739
148_PTX3_(CVD)	179_ESM-1_(CVD)	0.21628382929070877
148_PTX3_(CVD)	miR-324-5p	0.10576266229754161
148_PTX3_(CVD)	120_TRAIL_(INF)	0.09829422419390088
148_PTX3_(CVD)	miR-885-5p	0.09277962790010719
148_PTX3_(CVD)	136_MMP-3_(CVD)	0.2687177733805086
148_PTX3_(CVD)	miR-28-5p	0.13580046231475063
148_PTX3_(CVD)	miR-375	0.09861361553995884
148_PTX3_(CVD)	113_IL-6_(CVD)	0.1245123904029013
148_PTX3_(CVD)	145_PAPPA_(CVD)	0.36620968885421235
148_PTX3_(CVD)	miR-197-3p	0.10820916785876555
108_CD244_(INF)	134_IL-6RA_(CVD)	0.205892700228266
108_CD244_(INF)	195_TNFB_(INF)	0.1934122497988815
108_CD244_(INF)	131_CD6_(INF)	0.2538482536603208
108_CD244_(INF)	miR-24-3p	0.1725632521613294
108_CD244_(INF)	112_uPA_(INF)	0.2748366886824476
179_ESM-1_(CVD)	148_PTX3_(CVD)	0.19419064328944113
179_ESM-1_(CVD)	107_PlGF_(CVD)	0.2670940616782316
179_ESM-1_(CVD)	172_SIRT2_(CVD)	0.128124005978691
179_ESM-1_(CVD)	miR-126-5p(*)	0.17006478489374643
179_ESM-1_(CVD)	190_CCL20_(INF)	0.1332495655493613
129_LOX-1_(CVD)	135_TNF-R2_(CVD)	0.3791025579273999
108_SELE_(CVD)	157_IL-12B_(INF)	0.17678425016145116
108_SELE_(CVD)	191_CA-125_(CVD)	0.1603602871262204
108_SELE_(CVD)	165_RAGE_(CVD)	0.1540282675187976
108_SELE_(CVD)	111_SRC_(CVD)	0.1182578702117576
108_SELE_(CVD)	194_PECAM-1_(CVD)	0.2786146763894095
108_SELE_(CVD)	156_HGF_(INF)	0.19070038707577464
miR-122-5p	170_4E-BP1_(INF)	0.17459661778446467
miR-122-5p	miR-885-5p	0.33542837486881805
miR-122-5p	RNY5-5p	0.30174390974662035
miR-122-5p	miR-28-5p	0.136712078562498
miR-122-5p	188_BNP_(CVD)	0.12642800822851186
miR-122-5p	118_PAR-1_(CVD)	0.1371148076843438
miR-122-5p	141_GH_(CVD)	0.16711397979385278
miR-21-5p	miR-126-3p	0.6661152744761205
miR-21-5p	140_IL-10RA_(INF)	0.1268649258938952
miR-21-5p	157_PSGL-1_(CVD)	0.17256285391819048
178_HB-EGF_(CVD)	170_CXCL16_(CVD)	0.3741989157526113
178_HB-EGF_(CVD)	116_KLK6_(CVD)	0.4308313743576049
178_HB-EGF_(CVD)	171_Dkk-1_(CVD)	0.23953318925857126
178_HB-EGF_(CVD)	124_TNF-R1_(CVD)	0.5914390631455495
miR-145-5p	miR-143-3p	0.23607712585270324
miR-145-5p	let-7b-5p	0.42148947732238806
miR-145-5p	106_GDNF_(INF)	0.16206527920110148
miR-145-5p	117_CXCL11_(INF)	0.1540913197807967
miR-145-5p	miR-26a-5p	0.5399783303822652
179_FGF-19_(INF)	miR-126-5p(*)	0.20455367099031196
179_FGF-19_(INF)	109_IL-7_(INF)	0.10664348764158138
179_FGF-19_(INF)	143_LIF-R_(INF)	0.09397503197691304
179_FGF-19_(INF)	120_TRAIL_(INF)	0.10361913402416079
179_FGF-19_(INF)	113_IL-6_(CVD)	0.1107598422352476
179_FGF-19_(INF)	151_ST2_(CVD)	0.1642954115588715
196_CSF-1_(INF)	149_IL-10RB_(INF)	0.5144190938883009
196_CSF-1_(INF)	107_PlGF_(CVD)	0.3829000687587234
196_CSF-1_(INF)	102_VEGF-A_(INF)	0.46680073293375646
196_CSF-1_(INF)	103_BDNF_(INF)	0.1035579945024514
196_CSF-1_(INF)	miR-27b-3p	0.21385134429242214
196_CSF-1_(INF)	156_HGF_(INF)	0.36757567340521735
196_CSF-1_(INF)	123_CST5_(INF)	0.2935362921616367
196_CSF-1_(INF)	112_uPA_(INF)	0.4404426657918421
196_CSF-1_(INF)	174_DNER_(INF)	0.24777320217734378
miR-143-3p	140_MPO_(CVD)	0.16346206854790868
miR-143-3p	miR-145-5p	0.23607712585270324
miR-143-3p	151_IL-18R1_(INF)	0.12850969022077852
miR-143-3p	195_NT-pro-BNP_(CVD)	0.16894905932592863
miR-143-3p	157_PSGL-1_(CVD)	0.09117518316544171
132_SCF_(INF)	153_Beta-NGF_(INF)	0.18066924775643045
132_SCF_(INF)	154_mAmP_(CVD)	0.15877635398615908
132_SCF_(INF)	miR-28-5p	0.11184108515634072
132_SCF_(INF)	165_CD5_(INF)	0.15383858957444652
132_SCF_(INF)	105_CD40-L_(CVD)	0.09492066166421509
132_SCF_(INF)	183_MCP-2_(INF)	0.16209850789887792
132_SCF_(INF)	121_hK11_(CVD)	0.14770320207745158
132_SCF_(INF)	113_IL-6_(CVD)	0.2324654593178792
191_ST1A1_(INF)	111_SRC_(CVD)	0.30535880249288994
191_ST1A1_(INF)	140_IL-10RA_(INF)	0.12822622714891896
191_ST1A1_(INF)	miR-375	0.09268063204776578
152_PD-L1_(INF)	135_TNF-R2_(CVD)	0.5161986268841323
152_PD-L1_(INF)	123_CST5_(INF)	0.2641109061501625
107_PlGF_(CVD)	179_ESM-1_(CVD)	0.2670940616782307
107_PlGF_(CVD)	196_CSF-1_(INF)	0.3962935918521602
107_PlGF_(CVD)	167_MMP-7_(CVD)	0.5472329885418334
107_PlGF_(CVD)	118_PAR-1_(CVD)	0.5857258196988822
107_PlGF_(CVD)	193_FS_(CVD)	0.25825654437353407
107_PlGF_(CVD)	191_CA-125_(CVD)	0.16759223233017195
107_PlGF_(CVD)	159_TM_(CVD)	0.5219353001117204
107_PlGF_(CVD)	143_RETN_(CVD)	0.3708001096963258
107_PlGF_(CVD)	124_TNF-R1_(CVD)	0.67964895234027
miR-486-5p	120_TRAIL_(INF)	0.1434884260930911
miR-486-5p	miR-320a	0.3922151650099419
miR-486-5p	164_CCL23_(INF)	0.21111138843597832
miR-486-5p	139_PRL_(CVD)	0.14721856119782917
miR-486-5p	113_IL-6_(CVD)	0.2413288672221654
miR-486-5p	188_NT-3_(INF)	0.11818751182922416
miR-486-5p	miR-16-5p	0.5504405156387868
160_IL-16_(CVD)	167_MMP-7_(CVD)	0.4208360628711052
160_IL-16_(CVD)	135_TNF-R2_(CVD)	0.48746223173013625
160_IL-16_(CVD)	187_FABP4_(CVD)	0.35011886367968437
160_IL-16_(CVD)	miR-221-3p	0.13271381014536576
160_IL-16_(CVD)	177_t-PA_(CVD)	0.31956854433640736
112_IL-1ra_(CVD)	187_FABP4_(CVD)	0.43109035157776177
112_IL-1ra_(CVD)	113_IL-6_(CVD)	0.18435655025166753
112_IL-1ra_(CVD)	177_t-PA_(CVD)	0.21709242351546099
162_U-PAR_(CVD)	164_CTSD_(CVD)	0.3121447915775226
162_U-PAR_(CVD)	130_TRAIL-R2_(CVD)	0.7172312421416329
162_U-PAR_(CVD)	138_TNFSF14_(INF)	0.2759256501080376
162_U-PAR_(CVD)	170_CXCL16_(CVD)	0.36916573642128814
162_U-PAR_(CVD)	196_ECP_(CVD)	0.30362974911071383
162_U-PAR_(CVD)	114_CSTB_(CVD)	0.6222204414382535
162_U-PAR_(CVD)	RNY5-5p	0.23674993934578747
162_U-PAR_(CVD)	182_MMP-12_(CVD)	0.2611320683114977
185_CTSL1_(CVD)	135_TNF-R2_(CVD)	0.3592142071589475
185_CTSL1_(CVD)	183_MCP-2_(INF)	0.17691820306378148
185_CTSL1_(CVD)	miR-222-3p	0.16420910408294453
185_CTSL1_(CVD)	112_uPA_(INF)	0.2565983214969343
151_ST2_(CVD)	miR-885-5p	0.1974606721488259
151_ST2_(CVD)	136_MMP-3_(CVD)	0.30137121541377354
151_ST2_(CVD)	179_FGF-19_(INF)	0.1642954115588715
151_ST2_(CVD)	151_IL-18R1_(INF)	0.19974787756168944
151_ST2_(CVD)	167_MMP-7_(CVD)	0.2159252852918021
151_ST2_(CVD)	RNY4-5p	0.13642617834554382
102_VEGF-A_(INF)	196_CSF-1_(INF)	0.46680073293375735
102_VEGF-A_(INF)	170_4E-BP1_(INF)	0.5031162016218325
102_VEGF-A_(INF)	168_CXCL6_(INF)	0.3173822183926456
102_VEGF-A_(INF)	135_TGF-alpha_(INF)	0.5742046533721945
102_VEGF-A_(INF)	124_TNF-R1_(CVD)	0.49337664004942816
102_VEGF-A_(INF)	176_CD40_(INF)	0.606671365269694
102_VEGF-A_(INF)	166_MIP-1 alpha_(INF)	0.4157199086490495
186_CX3CL1_(INF)	125_PDGF subunit B_(CVD)	0.1538022213438941
186_CX3CL1_(INF)	194_ADA_(INF)	0.2795053002868073
186_CX3CL1_(INF)	121_hK11_(CVD)	0.3956292426145911
186_CX3CL1_(INF)	184_CASP-8_(INF)	0.2396948944181645
186_CX3CL1_(INF)	105_MCP-3_(INF)	0.17714831061117398
186_CX3CL1_(INF)	176_CD40_(INF)	0.4336428213476182
144_FGF-21_(INF)	124_TNF-R1_(CVD)	0.14018660175750597
144_FGF-21_(INF)	miR-885-5p	0.22593810810175974
144_FGF-21_(INF)	183_MCP-2_(INF)	0.15472628224259388
144_FGF-21_(INF)	miR-92a-3p	0.17635518037727937
RNY4-3p	192_STAMPB_(INF)	0.30875179353778126
RNY4-3p	miR-320a	0.5110706082004635
RNY4-3p	miR-191-5p	0.7003719243390218
RNY4-3p	126_IL27-A_(CVD)	0.15799518372605892
RNY4-3p	RNY4-5p	0.6754771745003652
101_IL-8_(INF)	130_TRAIL-R2_(CVD)	0.33965764180245017
101_IL-8_(INF)	157_IL-12B_(INF)	0.2149555800927132
101_IL-8_(INF)	182_MMP-12_(CVD)	0.18456896361214614
101_IL-8_(INF)	190_CCL20_(INF)	0.15027008045419255
126_IL27-A_(CVD)	116_IL-17A_(INF)	0.15259643007297985
126_IL27-A_(CVD)	RNY4-3p	0.16478767069088285
126_IL27-A_(CVD)	162_IL-10_(INF)	0.1648425394423505
126_IL27-A_(CVD)	145_PAPPA_(CVD)	0.2120738616931881
126_IL27-A_(CVD)	106_GDF-15_(CVD)	0.33537301230053096
111_LAP TGF-beta-1_(INF)	149_IL-10RB_(INF)	0.4508818097498706
111_LAP TGF-beta-1_(INF)	130_CCL4_(INF)	0.23602308797367488
111_LAP TGF-beta-1_(INF)	128_CXCL1_(INF)	0.1409306790778686
165_RAGE_(CVD)	108_SELE_(CVD)	0.1540282675187976
165_RAGE_(CVD)	181_VEGF-D_(CVD)	0.1580786508721621
165_RAGE_(CVD)	183_SPON1_(CVD)	0.40691355518236527
165_RAGE_(CVD)	194_ADA_(INF)	0.21344681298183854
165_RAGE_(CVD)	121_hK11_(CVD)	0.344586311116565
165_RAGE_(CVD)	155_TRANCE_(INF)	0.14780145894362207
165_CD5_(INF)	149_IL-10RB_(INF)	0.45755559428671067
165_CD5_(INF)	132_SCF_(INF)	0.1538385895744483
165_CD5_(INF)	131_CD6_(INF)	0.41558529395486676
165_CD5_(INF)	187_TNFRSF9_(INF)	0.48863791783545185
165_CD5_(INF)	176_CD40_(INF)	0.4285082672806597
173_CCL28_(INF)	137_CCL11_(INF)	0.30898161952464065
173_CCL28_(INF)	139_PRL_(CVD)	0.16230173053607366
173_CCL28_(INF)	118_AXIN1_(INF)	0.17240517840896086
173_CCL28_(INF)	153_Beta-NGF_(INF)	0.2934614325485647
173_CCL28_(INF)	112_uPA_(INF)	0.3809322944991145
173_CCL28_(INF)	106_GDF-15_(CVD)	0.2210573516937968
181_VEGF-D_(CVD)	120_TRAIL_(INF)	0.1784733785792536
181_VEGF-D_(CVD)	165_RAGE_(CVD)	0.1580786508721621
181_VEGF-D_(CVD)	188_BNP_(CVD)	0.11412997108853062
181_VEGF-D_(CVD)	123_TF_(CVD)	0.192337131175071
181_VEGF-D_(CVD)	171_Dkk-1_(CVD)	0.2021104328067329
181_VEGF-D_(CVD)	141_GH_(CVD)	0.12618965435791196
188_BNP_(CVD)	195_NT-pro-BNP_(CVD)	1.2780470098179881
188_BNP_(CVD)	miR-122-5p	0.12642800822851186
188_BNP_(CVD)	184_CASP-8_(INF)	0.16474420063758277
134_IL-6RA_(CVD)	108_CD244_(INF)	0.205892700228266
134_IL-6RA_(CVD)	187_FABP4_(CVD)	0.28706158465934273
134_IL-6RA_(CVD)	139_PRL_(CVD)	0.24158098387984417
134_IL-6RA_(CVD)	miR-223-5p(*)	0.12294341435242373
134_IL-6RA_(CVD)	166_CCL3_(CVD)	0.22808330389985265
134_SLAMF1_(INF)	124_TNF-R1_(CVD)	0.3098764868292383
