Regulator	Target	MI
122_TIE2_(CVD)	148_PTX3_(CVD)	0.2826077422257631
122_TIE2_(CVD)	185_CTSL1_(CVD)	0.2238886535356972
122_TIE2_(CVD)	144_FAS_(CVD)	0.33379132451896343
122_TIE2_(CVD)	110_OPG_(INF)	0.1861382744402018
122_TIE2_(CVD)	miR-126-3p	0.18384573998344855
122_TIE2_(CVD)	194_PECAM-1_(CVD)	0.29543720459494693
122_TIE2_(CVD)	171_Dkk-1_(CVD)	0.2413953247078684
122_TIE2_(CVD)	137_HSP 27_(CVD)	0.2654927492402699
122_TIE2_(CVD)	145_PAPPA_(CVD)	0.1799906311374313
148_PTX3_(CVD)	122_TIE2_(CVD)	0.2826077422257631
148_PTX3_(CVD)	179_ESM-1_(CVD)	0.29332766910009855
148_PTX3_(CVD)	miR-122-5p	0.20830007329145683
148_PTX3_(CVD)	113_IL-6_(CVD)	0.22883900154026016
148_PTX3_(CVD)	126_IL27-A_(CVD)	0.2577081203958054
148_PTX3_(CVD)	135_TNF-R2_(CVD)	0.2525762138794301
148_PTX3_(CVD)	miR-16-5p	0.16914131579992642
108_CD244_(INF)	170_4E-BP1_(INF)	0.33275356962149694
108_CD244_(INF)	168_CXCL6_(INF)	0.3495692254000131
108_CD244_(INF)	112_uPA_(INF)	0.3727812561022965
108_CD244_(INF)	109_EGF_(CVD)	0.1570185036715479
108_CD244_(INF)	149_REN_(CVD)	0.22858276564512092
179_ESM-1_(CVD)	148_PTX3_(CVD)	0.29332766910009855
179_ESM-1_(CVD)	miR-320a	0.17923856633251756
179_ESM-1_(CVD)	194_PECAM-1_(CVD)	0.2465764647858979
179_ESM-1_(CVD)	142_MMP-1_(INF)	0.13470776627940673
129_LOX-1_(CVD)	174_AGRP_(CVD)	0.3185078555708811
129_LOX-1_(CVD)	132_SCF_(INF)	0.1545708227377398
129_LOX-1_(CVD)	miR-223-5p(*)	0.14824154583588722
129_LOX-1_(CVD)	193_FS_(CVD)	0.21130355331050943
