Regulator	Target	MI
122_TIE2_(CVD)	107_PlGF_(CVD)	0.4437981029330098
122_TIE2_(CVD)	194_PECAM-1_(CVD)	0.4447924960171372
122_TIE2_(CVD)	192_NEMO_(CVD)	0.21968440981160953
122_TIE2_(CVD)	173_GAL_(CVD)	0.21362195776328363
148_PTX3_(CVD)	179_ESM-1_(CVD)	0.30662002900787577
148_PTX3_(CVD)	135_TGF-alpha_(INF)	0.25119891077236023
148_PTX3_(CVD)	miR-29a-3p	0.16666481112848963
148_PTX3_(CVD)	miR-126-5p(*)	0.18055696006030075
148_PTX3_(CVD)	175_EN-RAGE_(INF)	0.1463976894858927
148_PTX3_(CVD)	188_NT-3_(INF)	0.2008917324819457
108_CD244_(INF)	125_PDGF subunit B_(CVD)	0.2614076582706373
108_CD244_(INF)	149_IL-10RB_(INF)	0.3012498072039289
108_CD244_(INF)	160_IL-16_(CVD)	0.2914878701201751
108_CD244_(INF)	118_PAR-1_(CVD)	0.3370397739738875
108_CD244_(INF)	111_LAP TGF-beta-1_(INF)	0.28763083881447216
108_CD244_(INF)	131_CD6_(INF)	0.31362370677597706
108_CD244_(INF)	183_MCP-2_(INF)	0.16492042137441754
108_CD244_(INF)	117_CXCL11_(INF)	0.2614155883908831
108_CD244_(INF)	112_uPA_(INF)	0.3520708676497657
179_ESM-1_(CVD)	148_PTX3_(CVD)	0.3066200290078749
179_ESM-1_(CVD)	108_SELE_(CVD)	0.13867305826322518
179_ESM-1_(CVD)	159_TM_(CVD)	0.2996755530455957
179_ESM-1_(CVD)	172_SIRT2_(CVD)	0.2743566354965177
179_ESM-1_(CVD)	141_GH_(CVD)	0.2385057886969415
179_ESM-1_(CVD)	181_VEGF-D_(CVD)	0.22450433087687394
179_ESM-1_(CVD)	188_BNP_(CVD)	0.2767742221549785
179_ESM-1_(CVD)	141_FGF-5_(INF)	0.21862978525350396
129_LOX-1_(CVD)	162_U-PAR_(CVD)	0.40597233502253793
129_LOX-1_(CVD)	169_CXCL10_(INF)	0.3256922474279964
129_LOX-1_(CVD)	175_EN-RAGE_(INF)	0.15703168595682815
108_SELE_(CVD)	116_IL-17A_(INF)	0.18288520530631125
108_SELE_(CVD)	168_CXCL6_(INF)	0.17590962289120338
108_SELE_(CVD)	164_CTSD_(CVD)	0.17982262124515724
108_SELE_(CVD)	185_CCL25_(INF)	0.17226279954289225
108_SELE_(CVD)	194_PECAM-1_(CVD)	0.4129874144853458
108_SELE_(CVD)	112_IL-1ra_(CVD)	0.23467063292291535
108_SELE_(CVD)	166_CCL3_(CVD)	0.2370223474351576
108_SELE_(CVD)	134_IL-6RA_(CVD)	0.15115353336730575
miR-122-5p	miR-885-5p	0.4600649828186212
miR-122-5p	RNY5-5p	0.2224991460794561
miR-122-5p	178_HB-EGF_(CVD)	0.14796639382964294
miR-122-5p	109_IL-7_(INF)	0.2272340169264293
miR-122-5p	miR-192-5p	0.11297648724658416
miR-122-5p	141_GH_(CVD)	0.11177780410295313
miR-21-5p	miR-223-3p	0.7352123443333021
miR-21-5p	126_OSM_(INF)	0.20786799816775492
178_HB-EGF_(CVD)	174_AGRP_(CVD)	0.2634428184064026
178_HB-EGF_(CVD)	miR-122-5p	0.14796639382964294
178_HB-EGF_(CVD)	107_PlGF_(CVD)	0.5050094267231948
