Regulator	Target	MI
122_TIE2_(CVD)	194_PECAM-1_(CVD)	0.27413306217491495
122_TIE2_(CVD)	107_PlGF_(CVD)	0.31168668370565644
122_TIE2_(CVD)	114_IL-17C_(INF)	0.2293319173926598
148_PTX3_(CVD)	179_ESM-1_(CVD)	0.24621988199580525
148_PTX3_(CVD)	136_MMP-3_(CVD)	0.19343508592689052
148_PTX3_(CVD)	159_TM_(CVD)	0.29793068299335346
148_PTX3_(CVD)	194_PECAM-1_(CVD)	0.2747784655887173
148_PTX3_(CVD)	173_CCL28_(INF)	0.14228805419618418
148_PTX3_(CVD)	166_MIP-1 alpha_(INF)	0.18972715214504987
148_PTX3_(CVD)	miR-150-5p	0.10386701378426366
108_CD244_(INF)	118_PAR-1_(CVD)	0.2108499446274914
108_CD244_(INF)	165_CD5_(INF)	0.3977067047143219
108_CD244_(INF)	168_CXCL6_(INF)	0.21817447330051376
108_CD244_(INF)	miR-197-3p	0.16774462127027512
108_CD244_(INF)	148_IL-15RA_(INF)	0.2814878180132112
179_ESM-1_(CVD)	148_PTX3_(CVD)	0.24621988199580525
179_ESM-1_(CVD)	miR-28-5p	0.16709710983491366
179_ESM-1_(CVD)	miR-143-3p	0.19590166772893003
179_ESM-1_(CVD)	139_PRL_(CVD)	0.18021448293157505
179_ESM-1_(CVD)	118_PAR-1_(CVD)	0.20582510688157374
179_ESM-1_(CVD)	171_Dkk-1_(CVD)	0.2658298269306929
179_ESM-1_(CVD)	miR-126-5p(*)	0.10563165330628621
179_ESM-1_(CVD)	183_SPON1_(CVD)	0.33854440082550497
179_ESM-1_(CVD)	miR-16-5p	0.13651603760675002
129_LOX-1_(CVD)	160_IL-16_(CVD)	0.37586318741820524
129_LOX-1_(CVD)	135_TNF-R2_(CVD)	0.40032218890015603
108_SELE_(CVD)	164_CTSD_(CVD)	0.16418042664658028
108_SELE_(CVD)	194_PECAM-1_(CVD)	0.28045948041470137
108_SELE_(CVD)	137_CCL11_(INF)	0.13192429070756084
108_SELE_(CVD)	184_CASP-8_(INF)	0.18447373119715582
108_SELE_(CVD)	196_ECP_(CVD)	0.1762169553371562
108_SELE_(CVD)	150_CHI3L1_(CVD)	0.15055065923886346
miR-122-5p	164_CTSD_(CVD)	0.10027689705255582
miR-122-5p	miR-885-5p	0.3329035766009305
miR-122-5p	RNY5-5p	0.1642073058144069
miR-122-5p	173_CCL28_(INF)	0.13136096037596268
miR-122-5p	miR-192-5p	0.17082734332185368
miR-122-5p	miR-93-5p	0.21190160527166313
miR-21-5p	132_SCF_(INF)	0.12112561024358826
