Regulator	Target	MI
122_TIE2_(CVD)	148_PTX3_(CVD)	0.28731403917496934
122_TIE2_(CVD)	194_PECAM-1_(CVD)	0.39177585616544874
122_TIE2_(CVD)	107_PlGF_(CVD)	0.42413140839568886
122_TIE2_(CVD)	116_KLK6_(CVD)	0.2974693529398591
122_TIE2_(CVD)	172_SIRT2_(CVD)	0.19441427611152573
122_TIE2_(CVD)	105_MCP-3_(INF)	0.16370984214082274
148_PTX3_(CVD)	122_TIE2_(CVD)	0.28731403917496934
148_PTX3_(CVD)	150_CHI3L1_(CVD)	0.14736268561138122
148_PTX3_(CVD)	179_ESM-1_(CVD)	0.2321046177986439
148_PTX3_(CVD)	151_ST2_(CVD)	0.16306328298737682
148_PTX3_(CVD)	173_GAL_(CVD)	0.10736080494780431
108_CD244_(INF)	196_CSF-1_(INF)	0.30528582120724135
108_CD244_(INF)	117_CXCL11_(INF)	0.24503094529535918
108_CD244_(INF)	RNY4-3p	0.1649755276443461
108_CD244_(INF)	126_IL27-A_(CVD)	0.17676860919339532
108_CD244_(INF)	111_LAP TGF-beta-1_(INF)	0.29249044374947797
108_CD244_(INF)	134_SLAMF1_(INF)	0.20716213256174854
179_ESM-1_(CVD)	148_PTX3_(CVD)	0.2321046177986439
179_ESM-1_(CVD)	126_IL27-A_(CVD)	0.1365517432437091
179_ESM-1_(CVD)	152_TIM_(CVD)	0.19914910163586708
179_ESM-1_(CVD)	143_LIF-R_(INF)	0.22144981877333692
179_ESM-1_(CVD)	174_DNER_(INF)	0.14631295976550351
179_ESM-1_(CVD)	miR-222-3p	0.12313286766979292
129_LOX-1_(CVD)	196_CSF-1_(INF)	0.2440410007304603
129_LOX-1_(CVD)	miR-223-5p(*)	0.1322064508101075
129_LOX-1_(CVD)	167_MMP-7_(CVD)	0.26741959148281236
129_LOX-1_(CVD)	162_U-PAR_(CVD)	0.4868963857772659
129_LOX-1_(CVD)	150_CHI3L1_(CVD)	0.2593274621696713
108_SELE_(CVD)	117_CXCL11_(INF)	0.18472417751253278
108_SELE_(CVD)	103_BDNF_(INF)	0.10954076878771701
108_SELE_(CVD)	194_PECAM-1_(CVD)	0.3428078734843263
108_SELE_(CVD)	191_ST1A1_(INF)	0.09122207153755912
108_SELE_(CVD)	139_PRL_(CVD)	0.09243635663774175
108_SELE_(CVD)	118_PAR-1_(CVD)	0.16913635115924563
108_SELE_(CVD)	156_HGF_(INF)	0.1873287556927643
108_SELE_(CVD)	149_REN_(CVD)	0.184658855936366
miR-122-5p	miR-885-5p	0.5275057101954399
miR-122-5p	195_NT-pro-BNP_(CVD)	0.14399911393702158
miR-122-5p	RNY5-5p	0.37578447539843296
miR-122-5p	130_TRAIL-R2_(CVD)	0.19987895257988875
miR-122-5p	miR-192-5p	0.2837172042330307
miR-122-5p	174_DNER_(INF)	0.21477387003982784
miR-122-5p	miR-92a-3p	0.16923194379832385
miR-122-5p	128_CXCL1_(INF)	0.20616660164595935
miR-21-5p	RNY5-5p	0.2388987663139126
miR-21-5p	miR-24-3p	0.5013012157047845
miR-21-5p	195_NT-pro-BNP_(CVD)	0.1733306018679519
178_HB-EGF_(CVD)	165_RAGE_(CVD)	0.17393908253936186
178_HB-EGF_(CVD)	194_PECAM-1_(CVD)	0.24844952898106598
178_HB-EGF_(CVD)	miR-27b-3p	0.1663968653262735
