Regulator	Target	MI
122_TIE2_(CVD)	167_MMP-7_(CVD)	0.28459312570018014
122_TIE2_(CVD)	144_FAS_(CVD)	0.39073418060711695
122_TIE2_(CVD)	194_PECAM-1_(CVD)	0.31204976324327305
122_TIE2_(CVD)	183_MCP-2_(INF)	0.14334230760106692
122_TIE2_(CVD)	145_PAPPA_(CVD)	0.1452788616044014
148_PTX3_(CVD)	179_ESM-1_(CVD)	0.2465219610123306
148_PTX3_(CVD)	174_AGRP_(CVD)	0.18173344564042626
148_PTX3_(CVD)	164_CCL23_(INF)	0.18460985121846818
148_PTX3_(CVD)	194_PECAM-1_(CVD)	0.20274983993536466
148_PTX3_(CVD)	miR-143-3p	0.1301380928773117
148_PTX3_(CVD)	151_ST2_(CVD)	0.12213173635042196
148_PTX3_(CVD)	miR-92a-3p	0.1439619703502686
108_CD244_(INF)	186_CX3CL1_(INF)	0.30811357817000484
108_CD244_(INF)	111_LAP TGF-beta-1_(INF)	0.26179465951242875
108_CD244_(INF)	165_CD5_(INF)	0.3010483764725631
108_CD244_(INF)	133_IL-18_(INF)	0.20825196952112268
179_ESM-1_(CVD)	148_PTX3_(CVD)	0.2465219610123297
179_ESM-1_(CVD)	miR-28-5p	0.09046879139237429
179_ESM-1_(CVD)	181_VEGF-D_(CVD)	0.20035184725516864
179_ESM-1_(CVD)	159_TM_(CVD)	0.23130441938695423
129_LOX-1_(CVD)	162_U-PAR_(CVD)	0.4525579158122133
129_LOX-1_(CVD)	107_CDCP1_(INF)	0.2429184318670723
129_LOX-1_(CVD)	136_MMP-3_(CVD)	0.17472853751735684
129_LOX-1_(CVD)	175_EN-RAGE_(INF)	0.2732752539430594
129_LOX-1_(CVD)	miR-375	0.18083544425460385
108_SELE_(CVD)	126_OSM_(INF)	0.20451464885887827
108_SELE_(CVD)	154_mAmP_(CVD)	0.11780132908201235
108_SELE_(CVD)	194_PECAM-1_(CVD)	0.366638944180556
miR-122-5p	miR-143-3p	0.10957224320895698
miR-122-5p	161_MMP-10_(INF)	0.1082274246405639
miR-122-5p	miR-885-5p	0.4758066932798002
miR-122-5p	174_AGRP_(CVD)	0.10219923382444662
miR-122-5p	RNY5-5p	0.20238740231627705
miR-122-5p	114_CSTB_(CVD)	0.1768529373513088
miR-122-5p	128_CXCL1_(INF)	0.11377551686921983
miR-21-5p	111_SRC_(CVD)	0.4875480153578948
miR-21-5p	miR-24-3p	0.734289492874769
miR-21-5p	160_IL-16_(CVD)	0.16054554169661817
miR-21-5p	miR-126-5p(*)	0.46782870388126874
miR-21-5p	miR-324-5p	0.2729484692695623
miR-21-5p	166_MIP-1 alpha_(INF)	0.15530873858221117
178_HB-EGF_(CVD)	107_PlGF_(CVD)	0.5883452637051612
178_HB-EGF_(CVD)	hsa-miR-574-3p	0.1806826627667757
178_HB-EGF_(CVD)	135_TNF-R2_(CVD)	0.560730576796451
178_HB-EGF_(CVD)	123_TF_(CVD)	0.41692861387152025
178_HB-EGF_(CVD)	123_CST5_(INF)	0.18944489259316022
miR-145-5p	miR-30b-5p	0.6306641790155485
miR-145-5p	miR-24-3p	0.49886670665833677
