Regulator	Target	MI
122_TIE2_(CVD)	148_PTX3_(CVD)	0.21759755139760983
122_TIE2_(CVD)	194_PECAM-1_(CVD)	0.23378556868585942
122_TIE2_(CVD)	miR-93-5p	0.13736760346612442
122_TIE2_(CVD)	167_MMP-7_(CVD)	0.3201944667248853
122_TIE2_(CVD)	151_ST2_(CVD)	0.1360460780715158
122_TIE2_(CVD)	181_VEGF-D_(CVD)	0.1536517294594768
122_TIE2_(CVD)	144_FAS_(CVD)	0.35337323277380417
122_TIE2_(CVD)	173_GAL_(CVD)	0.14800480769945512
148_PTX3_(CVD)	140_MPO_(CVD)	0.18092339441974303
148_PTX3_(CVD)	122_TIE2_(CVD)	0.21759755139760983
148_PTX3_(CVD)	191_CA-125_(CVD)	0.19582689448482427
148_PTX3_(CVD)	179_ESM-1_(CVD)	0.2646515359277579
148_PTX3_(CVD)	189_TWEAK_(INF)	0.13874877084120207
148_PTX3_(CVD)	144_FGF-21_(INF)	0.10199511935139505
148_PTX3_(CVD)	153_Beta-NGF_(INF)	0.16651003757236627
148_PTX3_(CVD)	135_TNF-R2_(CVD)	0.22365977227597345
148_PTX3_(CVD)	162_IL-10_(INF)	0.1436106986992698
108_CD244_(INF)	157_IL-12B_(INF)	0.20513034100976135
108_CD244_(INF)	179_ESM-1_(CVD)	0.2040780316904538
108_CD244_(INF)	131_CD6_(INF)	0.34207976453575206
108_CD244_(INF)	165_CD5_(INF)	0.25182240493077757
179_ESM-1_(CVD)	168_CXCL6_(INF)	0.1692247589102296
179_ESM-1_(CVD)	148_PTX3_(CVD)	0.26465153592775703
179_ESM-1_(CVD)	108_CD244_(INF)	0.2040780316904538
179_ESM-1_(CVD)	194_PECAM-1_(CVD)	0.19318156680270615
179_ESM-1_(CVD)	miR-140-5p	0.13731926463138056
179_ESM-1_(CVD)	145_PAPPA_(CVD)	0.226360244131377
179_ESM-1_(CVD)	183_SPON1_(CVD)	0.1255099375895945
129_LOX-1_(CVD)	162_U-PAR_(CVD)	0.582990490599907
129_LOX-1_(CVD)	miR-221-3p	0.16635905469162093
108_SELE_(CVD)	195_TNFB_(INF)	0.09096792154553413
108_SELE_(CVD)	105_MCP-3_(INF)	0.1329616684107009
108_SELE_(CVD)	117_CXCL11_(INF)	0.1453458106134633
108_SELE_(CVD)	185_CCL25_(INF)	0.1694217630307202
108_SELE_(CVD)	194_PECAM-1_(CVD)	0.34173165181510523
108_SELE_(CVD)	151_IL-18R1_(INF)	0.23751361084719402
miR-122-5p	miR-885-5p	0.5613376889828494
miR-122-5p	RNY5-5p	0.25854382283555033
miR-122-5p	165_CD5_(INF)	0.17433842713481162
miR-122-5p	miR-21-5p	0.19126859884199732
miR-21-5p	miR-122-5p	0.19126859884199732
miR-21-5p	157_PSGL-1_(CVD)	0.10928545347959773
miR-21-5p	miR-223-3p	0.7675064499739888
miR-21-5p	miR-26a-5p	0.6972034584830045
178_HB-EGF_(CVD)	118_PAR-1_(CVD)	0.47949787685701395
178_HB-EGF_(CVD)	135_TNF-R2_(CVD)	0.5649178318284864
178_HB-EGF_(CVD)	126_OSM_(INF)	0.30115117906762734
178_HB-EGF_(CVD)	111_SRC_(CVD)	0.30911807761349674
178_HB-EGF_(CVD)	171_Dkk-1_(CVD)	0.23625154143486693
178_HB-EGF_(CVD)	miR-126-5p(*)	0.14523183009107932
178_HB-EGF_(CVD)	152_TIM_(CVD)	0.2859694949117202
