Regulator	Target	MI
miR-885-5p	TNFRSF11B	0.12244996263089103
miR-885-5p	miR-122-5p	0.36141695607201196
miR-885-5p	ESM1	0.10685046033298029
miR-885-5p	miR-30b-5p	0.20956560300645855
miR-885-5p	miR-223-5p	0.1540244842526599
miR-885-5p	EIF4EBP1	0.19260723573317495
miR-885-5p	ADA	0.1572687932293615
miR-885-5p	HBEGF	0.18980397034352325
miR-20b-5p	OLR1	0.11223664308795023
miR-20b-5p	FST	0.1376214248494554
miR-20b-5p	TNFRSF1B	0.2087742895398499
miR-20b-5p	TNFRSF1A	0.2881706742955501
miR-20b-5p	miR-92a-3p	0.5421940294052723
miR-20b-5p	CCL13	0.1516827043529565
miR-20b-5p	miR-19b-3p	0.8229563569039495
miR-20b-5p	CXCL11	0.1397729064962654
miR-28-5p	CXCL16	0.10890365163922766
miR-28-5p	CTSL	0.14780172321144658
miR-28-5p	CCL2	0.18672474513955617
miR-28-5p	miR-26a-5p	0.19053359294787597
miR-28-5p	FLT3LG	0.14404739471555406
miR-28-5p	SELE	0.11979079602044695
miR-28-5p	MMP10	0.1653713614218999
miR-28-5p	GDNF	0.10780765631877554
miR-28-5p	CD244	0.13471537700071323
miR-122-5p	miR-885-5p	0.36141695607201196
miR-122-5p	RNY5-5p	0.40242011649195497
miR-122-5p	TNFRSF10B	0.11797820402669412
miR-122-5p	TNFRSF1B	0.09737174108937463
miR-122-5p	miR-24-3p	0.21286114473534035
miR-122-5p	miR-192-5p	0.18895647633442447
miR-122-5p	miR-375	0.13267248013532917
miR-126-3p	SPON1	0.12585332643437752
miR-126-3p	CXCL1	0.33840815173806504
miR-126-3p	miR-126-5p	0.5722985940982133
miR-126-3p	IL16	0.12930566511372366
miR-126-3p	miR-140-5p	0.7641850421220706
miR-126-3p	CST5	0.19733401624339564
miR-126-3p	miR-24-3p	0.9766060740555238
miR-320a	HSPB1	0.3473347940281437
miR-320a	miR-486-5p	0.4034345584869685
miR-320a	miR-223-3p	0.6545747315327199
miR-320a	LEP	0.21006235375018267
miR-126-5p	miR-126-3p	0.5722985940982133
miR-126-5p	CCL3	0.19548339772006162
miR-126-5p	FGF23	0.16011266735235274
miR-126-5p	IL18R1	0.0935369418125438
miR-21-5p	MPO	0.12474528577323252
miR-21-5p	PECAM1	0.09072085950491626
miR-21-5p	HBEGF	0.1455345746148149
miR-21-5p	TGFA	0.0943581471740611
miR-21-5p	IL1RL1	0.24220803312535466
miR-21-5p	miR-221-3p	0.5940020278417943
miR-145-5p	NT-pro-BNP	0.1682323373522827
miR-145-5p	miR-140-5p	0.671024548421677
miR-145-5p	miR-30b-5p	0.6944755827450892
miR-145-5p	CDCP1	0.16044563351545804
miR-145-5p	miR-99b-5p	0.42535004379960295
miR-145-5p	CCL7	0.1309018451694488
miR-143-3p	CSF1	0.282440933878207
miR-143-3p	RETN	0.11407249814486953
miR-143-3p	miR-197-3p	0.3611470824896328
miR-143-3p	TNFRSF9	0.17856058141414977
miR-143-3p	NGF	0.17552275350473678
miR-143-3p	miR-140-5p	0.2952825548400817
miR-143-3p	PECAM1	0.10079159199532217
miR-574-3p	IL12B	0.16044208163442608
miR-574-3p	miR-30b-5p	0.520957570573688
miR-574-3p	CD274	0.20018376314540554
miR-574-3p	XPNPEP2	0.22515087359570973
miR-191-5p	CXCL6	0.1975246530047352
miR-191-5p	RNY5-5p	0.26991267703731125
miR-191-5p	ADM	0.11739976888332038
miR-191-5p	MMP7	0.11857855107100068
miR-191-5p	RNY4-3p	0.618566915522079
miR-191-5p	BDNF	0.12866847970324535
miR-191-5p	RNY4-5p	0.6524654181836418
miR-191-5p	AXIN1	0.5300332902014135
miR-191-5p	TNFRSF10B	0.15373904009412342
miR-191-5p	miR-223-3p	0.5849188310475979
miR-191-5p	miR-223-5p	0.511524156103814
miR-191-5p	miR-92a-3p	0.5955398124159448
miR-191-5p	STAMBP	0.33176656585065256
miR-24-3p	IL1RN	0.1703268636052142
miR-24-3p	miR-122-5p	0.2213730048147724
miR-24-3p	miR-223-3p	0.9617702234434127
miR-24-3p	SRC	0.6730992757049847
miR-24-3p	miR-126-3p	0.9766060740555247
miR-24-3p	miR-19b-3p	0.8231149214422766
miR-24-3p	EGF	0.47688155740076876
miR-24-3p	FABP4	0.1982419915048883
miR-27b-3p	CD274	0.1490949905390595
miR-27b-3p	RETN	0.1204541847464391
miR-27b-3p	TGFB1	0.13864698683475485
miR-27b-3p	TNFRSF1B	0.1330080617697602
miR-27b-3p	KLK11	0.12200596948954257
miR-27b-3p	miR-223-3p	0.49241524663784464
miR-27b-3p	LTA	0.12806717305412096
miR-27b-3p	CHI3L1	0.11881606277431356
miR-27b-3p	miR-99b-5p	0.24225206276232925
miR-27b-3p	IL17C	0.16417680290331127
miR-486-5p	RNY5-5p	0.24045137975571063
miR-486-5p	miR-320a	0.40343455848696763
miR-486-5p	CCL23	0.10601077627945799
miR-486-5p	MMP7	0.09355756048493014
miR-486-5p	KITLG	0.10091391102085545
miR-486-5p	PAPPA	0.17635024075799244
miR-486-5p	REN	0.10468994394252551
miR-486-5p	miR-16-5p	0.6804191752473896
miR-93-5p	miR-223-3p	0.7876921340276084
miR-93-5p	CSTB	0.18535954468128235
miR-93-5p	SELPLG	0.137424499253048
miR-93-5p	KLK6	0.08956561080037773
miR-93-5p	miR-197-3p	0.6701009690442321
miR-93-5p	IL10RA	0.15702415191285457
miR-93-5p	CXCL10	0.13297225374633292
miR-93-5p	CD6	0.12209389105307267
miR-222-3p	CXCL9	0.12396082912679418
miR-222-3p	IL27	0.16462098599333608
miR-222-3p	NPPB	0.12959149056692887
miR-222-3p	CASP8	0.16160138273635294
miR-222-3p	CTSL	0.2455708307698803
miR-222-3p	PLAU	0.08940858997930867
miR-222-3p	F2R	0.16966717324748792
miR-222-3p	miR-140-5p	0.747931813058111
miR-222-3p	miR-30b-5p	0.8588708212595488
miR-222-3p	CCL3	0.20486426518631973
miR-222-3p	SLAMF1	0.15464193124209302
miR-29a-3p	MMP10	0.17229006356208743
miR-29a-3p	CHI3L1	0.15116712719547287
miR-29a-3p	miR-19b-3p	0.4298054573576726
miR-29a-3p	FGF23	0.18028780576916326
miR-29a-3p	CCL20	0.17204947604907517
miR-29a-3p	CD5	0.1850477569348099
miR-29a-3p	CCL28	0.09946047000719638
miR-19b-3p	MB	0.17415394636723835
miR-19b-3p	CTSD	0.1864620695370549
miR-19b-3p	MMP1	0.09755083429954858
miR-19b-3p	PLAUR	0.2787513620302171
miR-19b-3p	miR-130a-3p	0.8283504521247842
miR-19b-3p	let-7b-5p	0.735982918834539
miR-19b-3p	SIRT2	0.39036504699033614
miR-19b-3p	MMP12	0.15376039918675044
miR-19b-3p	miR-30b-5p	0.8530581281472243
miR-19b-3p	PDGFB	0.36750466925095093
miR-19b-3p	miR-20b-5p	0.8229563569039495
miR-19b-3p	miR-24-3p	0.8276491130077419
miR-19b-3p	miR-29a-3p	0.4298054573576726
miR-19b-3p	S100A12	0.2122385402378102
miR-19b-3p	miR-221-3p	0.7987463964823576
miR-19b-3p	miR-16-5p	0.681010733181008
miR-197-3p	CXCL16	0.14095797209653327
miR-197-3p	miR-143-3p	0.384330820464136
miR-197-3p	PGF	0.20033901503608664
miR-197-3p	miR-93-5p	0.6593411618802625
miR-197-3p	TGFB1	0.120943833879112
miR-197-3p	SELE	0.2202798385020257
miR-197-3p	KLK11	0.15264781170694253
miR-197-3p	TEK	0.12952700332718248
miR-197-3p	CD244	0.1008955172952053
miR-26a-5p	PLAT	0.17339186033877052
miR-26a-5p	THBD	0.1268414850872439
miR-26a-5p	ESM1	0.1311973168574614
miR-26a-5p	miR-140-5p	0.6619474253404887
miR-26a-5p	miR-30b-5p	1.0329233084348788
miR-26a-5p	miR-223-3p	0.8158604767020021
miR-26a-5p	EIF4EBP1	0.2032372135053775
miR-26a-5p	CCL23	0.11163882302178774
miR-26a-5p	TNFRSF9	0.18981264838362577
miR-26a-5p	miR-221-3p	0.856258030087031
miR-26a-5p	VEGFD	0.13746857163437287
miR-26a-5p	AGRP	0.14225685585627357
miR-26a-5p	PTX3	0.09724806081925408
miR-26a-5p	IL17C	0.1454454346387477
miR-26a-5p	ADA	0.13243590511752767
miR-324-5p	CCL11	0.10659065236952081
miR-324-5p	CSF1	0.14781648771745282
miR-324-5p	FGF23	0.09426911514168701
miR-324-5p	CCL23	0.10687138137751884
miR-324-5p	TNFSF12	0.1049881031499531
miR-324-5p	miR-130a-3p	0.48789694036084263
miR-324-5p	NGF	0.16336311920686253
miR-324-5p	CD5	0.11850533280074771
miR-324-5p	miR-375	0.24071933890736918
miR-324-5p	CD244	0.1577972284145055
miR-130a-3p	miR-324-5p	0.47832652899282113
miR-130a-3p	AXIN1	0.40202500124040963
miR-130a-3p	PAPPA	0.13222823280751417
miR-130a-3p	miR-19b-3p	0.8283504521247842
miR-130a-3p	MUC16	0.13783239672575487
miR-130a-3p	RNY4-5p	0.5095642440336503
miR-221-3p	miR-21-5p	0.5940020278417952
miR-221-3p	TNFSF10	0.22346908416326983
miR-221-3p	TNFRSF11B	0.22825886685733376
miR-221-3p	RETN	0.11466197307948711
miR-221-3p	miR-19b-3p	0.7987463964823576
miR-221-3p	miR-26a-5p	0.856258030087031
miR-221-3p	IL6	0.23856913550820824
miR-221-3p	CD40LG	0.3361426100785003
let-7b-5p	miR-19b-3p	0.735982918834539
let-7b-5p	FGF21	0.10600735011357454
let-7b-5p	IL10	0.08963637019551207
let-7b-5p	MMP3	0.1908373326117907
let-7b-5p	VEGFA	0.1359816353633727
let-7b-5p	LTA	0.08921320132460409
let-7d-5p	miR-28-5p	0.2004869902841655
let-7d-5p	DNER	0.2104485440571251
let-7d-5p	LIFR	0.12866586778223432
let-7d-5p	miR-223-3p	0.6195137948601159
let-7d-5p	SULT1A1	0.28577506984456047
miR-140-5p	miR-145-5p	0.6215943893495748
miR-140-5p	miR-143-3p	0.2961479193276437
miR-140-5p	DKK1	0.10125741521839693
miR-140-5p	miR-126-3p	0.7641850421220715
miR-140-5p	miR-222-3p	0.7479318130581101
miR-140-5p	miR-26a-5p	0.6619474253404887
miR-140-5p	OSM	0.23980008619331095
miR-140-5p	FAS	0.12445503991287143
miR-192-5p	CD40	0.14608895077894424
miR-192-5p	miR-122-5p	0.18895647633442536
miR-192-5p	CX3CL1	0.16431594221388757
miR-192-5p	CCL2	0.1214662208390207
miR-192-5p	MUC16	0.13832167163371256
miR-192-5p	MMP1	0.10352012581948689
miR-192-5p	miR-223-5p	0.19874705711530005
miR-192-5p	PTX3	0.12001331297533202
miR-192-5p	IL17A	0.1586245755252822
miR-192-5p	miR-16-5p	0.2351233802112258
miR-30b-5p	CXCL5	0.3035039932118746
miR-30b-5p	miR-145-5p	0.7082426693095156
miR-30b-5p	miR-574-3p	0.5223466113043758
miR-30b-5p	miR-885-5p	0.20956560300645943
miR-30b-5p	miR-222-3p	0.8447773289886982
miR-30b-5p	miR-19b-3p	0.8530581281472234
miR-30b-5p	miR-26a-5p	1.0474904794258135
miR-223-3p	CSF1	0.17489776627545073
miR-223-3p	CX3CL1	0.19043599188951532
miR-223-3p	miR-145-5p	0.5924035057751693
miR-223-3p	IKBKG	0.3796741962446717
miR-223-3p	NGF	0.19148084964505152
miR-223-3p	GAL	0.09489691463549565
miR-223-3p	miR-150-5p	0.3156555640679528
miR-223-3p	miR-320a	0.6778387780374935
miR-223-3p	miR-191-5p	0.5849188310475979
miR-223-3p	miR-24-3p	0.9617702234434127
miR-223-3p	miR-27b-3p	0.4924152466378455
miR-223-3p	miR-93-5p	0.7876921340276084
miR-223-3p	miR-26a-5p	0.8158604767020021
miR-223-3p	let-7d-5p	0.6195137948601159
miR-223-3p	GH1	0.09309740836549008
miR-223-3p	miR-375	0.14039884653121248
miR-223-5p	miR-885-5p	0.1540244842526599
miR-223-5p	CXCL5	0.28838181316642775
miR-223-5p	miR-191-5p	0.511524156103814
miR-223-5p	CCL4	0.1129703197502474
miR-223-5p	IL10	0.10879714529912654
miR-223-5p	IL15RA	0.16706547017858409
miR-223-5p	CCL23	0.1684500307551975
miR-223-5p	RNY4-3p	0.6155178198061266
miR-223-5p	miR-192-5p	0.19874705711530005
miR-223-5p	IL7	0.154879058853024
miR-375	CCL13	0.19935210971375472
miR-375	IL10RB	0.10093225470519762
miR-375	miR-324-5p	0.24071933890736918
miR-375	F2R	0.18751100843248203
miR-375	ADM	0.09159627739573573
miR-375	miR-122-5p	0.14591065395453384
miR-375	TNFRSF1A	0.1041512813963621
miR-375	FABP4	0.11697581269057444
miR-375	miR-223-3p	0.14039884653121248
miR-375	NTF3	0.09480242183957976
miR-375	IL12B	0.12112569958141339
miR-92a-3p	miR-20b-5p	0.5327285430624267
miR-92a-3p	miR-191-5p	0.5955398124159448
miR-92a-3p	RNY4-5p	0.803941437387742
miR-92a-3p	GDNF	0.15757746605800538
miR-92a-3p	XPNPEP2	0.14856214006369672
miR-99b-5p	CD40	0.09517614718367273
miR-99b-5p	miR-145-5p	0.4176271821962656
