Regulator	Target	MI
miR-885-5p	NT-pro-BNP	0.09301087968922683
miR-885-5p	CXCL9	0.09226968687288295
miR-885-5p	RNY5-5p	0.3820249467904615
miR-885-5p	miR-28-5p	0.11175813390706413
miR-885-5p	miR-122-5p	0.5856808909613465
miR-885-5p	miR-320a	0.09234633037078321
miR-885-5p	SELE	0.09607348071392963
miR-885-5p	MMP12	0.09663834942059513
miR-885-5p	KITLG	0.09001360937421587
miR-885-5p	miR-192-5p	0.2441924867227323
miR-885-5p	CTSL	0.1680698998365191
miR-20b-5p	AGER	0.10792916548685128
miR-20b-5p	CCL8	0.1565539332305983
miR-20b-5p	miR-19b-3p	1.0012043447827068
miR-20b-5p	CCL19	0.15627163619398754
miR-20b-5p	CCL25	0.16220810234975502
miR-28-5p	MUC16	0.09022089801637101
miR-28-5p	MMP1	0.08995000768941086
miR-28-5p	miR-885-5p	0.11175813390706413
miR-28-5p	miR-145-5p	0.14020185112055739
miR-28-5p	THBD	0.11436110413134593
miR-28-5p	miR-27b-3p	0.28048417757221156
miR-28-5p	CD6	0.10154770631258447
miR-28-5p	DNER	0.13759501560180531
miR-28-5p	IL12B	0.12063343225010215
miR-28-5p	TEK	0.18718908228318565
miR-122-5p	miR-143-3p	0.09240827129251361
miR-122-5p	IL1RN	0.09025587852235173
miR-122-5p	FABP4	0.14254650345512143
miR-122-5p	SELPLG	0.17333784429125298
miR-122-5p	GDNF	0.09845062135915672
miR-122-5p	miR-324-5p	0.13956848943288858
miR-122-5p	miR-885-5p	0.5856808909613465
miR-122-5p	TNFRSF1A	0.12047855282818176
miR-126-3p	miR-126-5p	0.4717270721299389
miR-126-3p	miR-21-5p	0.573101002058582
miR-126-3p	miR-223-3p	1.0060026289869342
miR-126-3p	PECAM1	0.11975625311842375
miR-126-3p	miR-222-3p	0.602939018311953
miR-126-3p	miR-197-3p	0.4898108089085582
miR-126-3p	let-7d-5p	0.6288075207902439
miR-320a	PLAT	0.17719893609820492
miR-320a	miR-21-5p	0.5717349543213679
miR-320a	miR-486-5p	0.5463302119838014
miR-320a	IL10	0.12281261581040148
miR-320a	miR-223-3p	0.7535374835496302
miR-320a	STAMBP	0.4039602182267217
miR-320a	miR-150-5p	0.33920378676715846
miR-320a	miR-885-5p	0.09234633037078321
miR-320a	RETN	0.15318604025973492
miR-320a	CCL3	0.09623202108588735
miR-320a	FGF21	0.10550028468845163
miR-320a	TEK	0.0946291637428116
miR-320a	CD244	0.142640310060707
miR-126-5p	miR-126-3p	0.4717270721299389
miR-126-5p	CXCL16	0.12384640727502916
miR-126-5p	MUC16	0.17309564661914045
miR-126-5p	RNY4-3p	0.3754998889933132
miR-126-5p	IL10RB	0.14076131784189538
miR-21-5p	miR-126-3p	0.5731010020585812
miR-21-5p	miR-320a	0.571734954321367
miR-21-5p	SULT1A1	0.2376499315512195
