Regulator	Target	MI
miR-885-5p	miR-20b-5p	0.28367986560311564
miR-885-5p	miR-122-5p	0.5408933134811793
miR-885-5p	VEGFA	0.12853926793013315
miR-885-5p	CTSL	0.2122018039758231
miR-885-5p	MB	0.1070819436039896
miR-885-5p	CHI3L1	0.09038890675841582
miR-20b-5p	CD40	0.14402317470030468
miR-20b-5p	miR-885-5p	0.28367986560311564
miR-20b-5p	miR-93-5p	0.7940366908134795
miR-20b-5p	TNFSF10	0.1297293331564644
miR-20b-5p	miR-19b-3p	1.1212474319972303
miR-20b-5p	SIRT2	0.3405682928056404
miR-20b-5p	PTX3	0.16847878359788915
miR-28-5p	CCL25	0.09362519407881997
miR-28-5p	MMP1	0.15657719561760164
miR-28-5p	miR-122-5p	0.14483421959403042
miR-28-5p	miR-93-5p	0.23277532006594281
miR-28-5p	LTA	0.08913168160534557
miR-122-5p	CSTB	0.10367896758234707
miR-122-5p	miR-885-5p	0.5408933134811811
miR-122-5p	RNY5-5p	0.24973711740020654
miR-122-5p	TNFRSF10B	0.13767522180213287
miR-122-5p	miR-28-5p	0.12130239673980192
miR-122-5p	RNASE3	0.17225856722316113
miR-122-5p	TNFRSF1B	0.24270044276396785
miR-122-5p	MPO	0.09264166313236988
miR-122-5p	miR-21-5p	0.20020994919863888
miR-122-5p	PGF	0.0997223652528163
miR-122-5p	TNFRSF1A	0.16393907920230966
miR-122-5p	GH1	0.09241071321764416
miR-122-5p	THBD	0.10919900491454193
miR-122-5p	ESM1	0.11585279030779372
miR-122-5p	miR-192-5p	0.3080123719689718
miR-122-5p	CDCP1	0.11205955466426065
miR-126-3p	PECAM1	0.19034822083727487
miR-126-3p	miR-24-3p	0.9322561168916943
miR-126-3p	TEK	0.18873286874923867
miR-320a	miR-21-5p	0.5890201627893319
miR-320a	CTSL	0.1048928797242965
miR-320a	miR-192-5p	0.22602606098138533
miR-320a	miR-27b-3p	0.3667686370057801
miR-320a	miR-93-5p	0.714669038581734
miR-320a	SELE	0.14120637469698494
miR-126-5p	miR-24-3p	0.35988684051412356
miR-21-5p	miR-122-5p	0.20020994919863888
miR-21-5p	miR-320a	0.605852806151864
miR-21-5p	IL6R	0.10298448086718892
miR-21-5p	miR-221-3p	0.5392147459730605
miR-21-5p	REN	0.09144188983285062
miR-145-5p	PRL	0.11140952584986419
miR-145-5p	NPPB	0.12475451375423585
miR-145-5p	miR-143-3p	0.3725268750126087
miR-145-5p	IL16	0.08897960622544598
miR-145-5p	miR-30b-5p	0.735701538302421
miR-145-5p	SLAMF1	0.1370921251311792
miR-145-5p	CCL23	0.11750172144149751
miR-145-5p	CCL20	0.09693986666246612
miR-145-5p	IL10RA	0.14834651616840944
miR-145-5p	GH1	0.1720766810981358
miR-143-3p	CXCL5	0.1660593935424055
miR-143-3p	miR-145-5p	0.36954075487839955
miR-143-3p	PLAU	0.12228500147723764
miR-143-3p	FGF23	0.1053257766564073
miR-143-3p	HGF	0.1901220636512191
miR-143-3p	TNFSF12	0.17205290361183767
miR-143-3p	NGF	0.09154403532475985
miR-143-3p	CDCP1	0.13146816536282113
miR-143-3p	IL7	0.1438946909747587
miR-143-3p	CCL28	0.15541460520757955
miR-574-3p	TGFA	0.10736842939823799
miR-574-3p	miR-145-5p	0.5224817808813551
miR-574-3p	miR-27b-3p	0.3555600636662435
miR-574-3p	miR-222-3p	0.594698682245582
miR-574-3p	TNFSF14	0.11838442789400272
miR-574-3p	TNFRSF10B	0.1251096901017359
miR-574-3p	IL6	0.18731754530695177
miR-191-5p	CXCL1	0.23057362034127848
miR-191-5p	RNY4-3p	0.6729847864752161
miR-191-5p	PGF	0.1568044280485621
miR-191-5p	miR-24-3p	0.8413140151797602
miR-191-5p	EGF	0.4748050689013521
miR-191-5p	RNY4-5p	0.8847308028027872
miR-191-5p	KLK11	0.17772206625776654
miR-191-5p	miR-223-5p	0.6350462299695092
miR-24-3p	miR-126-5p	0.35988684051412356
miR-24-3p	CX3CL1	0.12631854023388644
miR-24-3p	miR-223-3p	0.9936216823711117
miR-24-3p	miR-126-3p	0.9322561168916952
miR-24-3p	miR-191-5p	0.8413140151797602
miR-27b-3p	CSTB	0.1088266236861859
miR-27b-3p	SPON1	0.1503270739808924
miR-27b-3p	miR-574-3p	0.37564425693915204
miR-27b-3p	FABP4	0.0928398405456079
miR-27b-3p	XPNPEP2	0.13192881275648016
miR-486-5p	IL1RL1	0.10496284593815197
miR-486-5p	miR-93-5p	0.47611928250449687
miR-486-5p	EIF4EBP1	0.15655468676465656
miR-486-5p	FGF23	0.12685517836825877
miR-486-5p	GDNF	0.12212051227266496
miR-486-5p	miR-16-5p	0.570875458555216
miR-93-5p	miR-28-5p	0.23277532006594281
miR-93-5p	CASP8	0.15169564158232607
miR-93-5p	miR-486-5p	0.47611928250449687
miR-93-5p	FST	0.12167208753905268
miR-93-5p	RNASE3	0.17734371717682862
miR-93-5p	TNFRSF1B	0.10357849957498644
miR-93-5p	MMP10	0.1112563510251432
miR-93-5p	miR-223-3p	0.7780774202637248
miR-93-5p	STAMBP	0.3974083603423626
miR-93-5p	miR-150-5p	0.26876032260639704
miR-93-5p	miR-20b-5p	0.7954098040978943
miR-93-5p	miR-320a	0.6605909308265492
miR-93-5p	miR-24-3p	0.787575363376126
miR-93-5p	miR-197-3p	0.5162445360933718
miR-222-3p	CD274	0.25531590675435645
miR-222-3p	KLK6	0.18088834657343078
miR-222-3p	miR-574-3p	0.5998856482262545
miR-222-3p	miR-29a-3p	0.5126466450132758
miR-222-3p	CCL3	0.1234749268233033
miR-222-3p	miR-19b-3p	0.9334749860620306
miR-222-3p	CTSD	0.18001411403822587
miR-222-3p	miR-223-3p	0.6422537844066349
miR-29a-3p	CCL13	0.12488817306177324
miR-29a-3p	CSTB	0.10212867698694783
miR-29a-3p	miR-222-3p	0.5126466450132758
miR-29a-3p	FGF23	0.13019676829553894
miR-29a-3p	miR-221-3p	0.468974717206069
miR-29a-3p	SIRT2	0.3017821304573882
miR-29a-3p	CCL28	0.1927461861162323
miR-19b-3p	RNY5-5p	0.22386871456224888
miR-19b-3p	miR-20b-5p	1.1212474319972303
miR-19b-3p	miR-222-3p	0.9193232436700987
miR-19b-3p	IL10	0.10462148519049475
miR-19b-3p	IL15RA	0.17490447479022997
miR-19b-3p	miR-26a-5p	0.8333320597167493
miR-19b-3p	IL18	0.15431535756674197
miR-19b-3p	let-7b-5p	0.7020813645032353
miR-19b-3p	miR-140-5p	0.8298925679539737
miR-19b-3p	miR-92a-3p	0.47765341600428624
miR-19b-3p	ADA	0.11901769771588633
miR-197-3p	miR-93-5p	0.5162445360933718
miR-197-3p	RNY4-3p	0.4392793460731861
miR-197-3p	FLT3LG	0.11372963948553227
miR-197-3p	CD6	0.10180339725445453
miR-197-3p	FGF19	0.13422493209321473
miR-26a-5p	NT-pro-BNP	0.10914076382156956
miR-26a-5p	PLAT	0.11789059521453016
miR-26a-5p	miR-19b-3p	0.8202432655684353
miR-26a-5p	miR-130a-3p	0.7033117556212192
miR-26a-5p	miR-221-3p	0.9251996981263773
miR-26a-5p	miR-30b-5p	0.9060541824280692
miR-26a-5p	miR-16-5p	0.6132999615383019
miR-324-5p	TNFRSF11B	0.14725542129671432
miR-324-5p	miR-30b-5p	0.30632030035063096
miR-324-5p	miR-375	0.1698783208837611
miR-324-5p	REN	0.10727599842648683
miR-130a-3p	ESM1	0.15265968625286064
miR-130a-3p	OLR1	0.15290555765849234
miR-130a-3p	miR-30b-5p	0.7094159934588706
miR-130a-3p	miR-99b-5p	0.47530701796464836
miR-221-3p	miR-21-5p	0.5392147459730614
miR-221-3p	miR-29a-3p	0.468974717206069
miR-221-3p	GDF15	0.09760247881155415
miR-221-3p	miR-26a-5p	0.9287497838215586
miR-221-3p	let-7d-5p	0.6524019901424918
miR-221-3p	CD40LG	0.4166687481534286
miR-221-3p	CD5	0.1036795867428566
let-7b-5p	miR-19b-3p	0.7020813645032353
let-7b-5p	LEP	0.1413427398440632
let-7b-5p	miR-16-5p	0.6056215064161314
let-7d-5p	HSPB1	0.2887219032752357
let-7d-5p	IKBKG	0.3911196390105962
let-7d-5p	AXIN1	0.38166842440900695
let-7d-5p	GAL	0.2165336876284103
let-7d-5p	miR-223-3p	0.5595364736083468
let-7d-5p	SRC	0.43758108980753185
let-7d-5p	PDGFB	0.3827188431503332
let-7d-5p	SULT1A1	0.2744255000355533
let-7d-5p	miR-221-3p	0.6524019901424909
let-7d-5p	miR-375	0.1867033921570922
let-7d-5p	IL18R1	0.1640102513301187
miR-140-5p	IL1RN	0.13872869267919619
miR-140-5p	miR-19b-3p	0.8496579838447627
miR-140-5p	HAVCR1	0.17357171287637918
miR-192-5p	CCL23	0.1447764302327501
miR-192-5p	CD40	0.13294842578615818
miR-192-5p	miR-122-5p	0.3080123719689718
miR-192-5p	miR-320a	0.22602606098138622
miR-192-5p	CCL8	0.09279436179818834
miR-192-5p	miR-375	0.24950615189860592
miR-192-5p	PTX3	0.09063953163629801
miR-30b-5p	SELPLG	0.09209059123839225
miR-30b-5p	CXCL5	0.26476405130624237
miR-30b-5p	miR-145-5p	0.7341534668711631
miR-30b-5p	miR-26a-5p	0.9057699134362993
miR-30b-5p	miR-324-5p	0.30632030035063096
miR-30b-5p	LIFR	0.12552726498668942
miR-30b-5p	DKK1	0.09282310831075158
miR-223-3p	THBD	0.11850360132335602
miR-223-3p	F2R	0.15747133025494087
miR-223-3p	miR-24-3p	0.9936216823711117
miR-223-3p	miR-93-5p	0.7780774202637248
miR-223-3p	miR-222-3p	0.6275963265748112
miR-223-3p	CCL4	0.13628748439643967
miR-223-3p	let-7d-5p	0.5595364736083468
miR-223-3p	KITLG	0.11239501010312036
miR-223-5p	miR-191-5p	0.63204785971904
miR-223-5p	MB	0.09079676588266139
miR-223-5p	CCL19	0.14268024501996912
miR-223-5p	TNFRSF9	0.1354490445877179
miR-223-5p	PAPPA	0.1700243052694752
miR-375	SRC	0.26076206213388353
miR-375	miR-324-5p	0.1698783208837611
miR-375	let-7d-5p	0.20058028382210935
miR-375	miR-192-5p	0.2352397283784926
miR-375	CHI3L1	0.09875056985576158
miR-375	CD244	0.10579955987946121
miR-375	IL17A	0.09000867040511906
miR-92a-3p	miR-93-5p	0.4783544353419238
miR-92a-3p	DNER	0.09485398062835149
miR-92a-3p	miR-19b-3p	0.47765341600428624
miR-92a-3p	RNY4-3p	0.460213500302852
miR-92a-3p	RNY4-5p	0.629587144513124
miR-92a-3p	IL7	0.13512720903057396
miR-99b-5p	CCL25	0.09179988457066468
miR-99b-5p	miR-26a-5p	0.519747253308771
miR-99b-5p	MMP3	0.20227683341316105
miR-99b-5p	miR-130a-3p	0.47530701796464747
miR-99b-5p	CXCL10	0.10358655095856317
miR-99b-5p	CHI3L1	0.12213110579277231
miR-99b-5p	HBEGF	0.16521139245673755
miR-150-5p	miR-93-5p	0.26876032260639615
miR-16-5p	CSF1	0.18329089659052578
miR-16-5p	miR-486-5p	0.5711574413357017
miR-16-5p	CCL2	0.11226532073884066
miR-16-5p	miR-26a-5p	0.6124222535048363
miR-16-5p	let-7b-5p	0.6056215064161314
