Regulator	Target	MI
miR-885-5p	miR-574-3p	0.16777509095920706
miR-885-5p	THBD	0.10354014263621103
miR-885-5p	CCL8	0.10858821141169983
miR-885-5p	miR-375	0.09355253954626264
miR-885-5p	AXIN1	0.16690002680296523
miR-885-5p	miR-122-5p	0.4632172126889351
miR-885-5p	CD244	0.12254013109399597
miR-20b-5p	AGER	0.11086925141095438
miR-20b-5p	SULT1A1	0.254493291326523
miR-20b-5p	miR-19b-3p	0.8781464081740742
miR-20b-5p	miR-26a-5p	0.6837812904249931
miR-20b-5p	SELE	0.10072187671115085
miR-28-5p	TGFA	0.08962704545238331
miR-28-5p	miR-130a-3p	0.13866881853343838
miR-122-5p	SPON1	0.08950794332760648
miR-122-5p	miR-885-5p	0.4683153698153726
miR-122-5p	RNY5-5p	0.36426762718706396
miR-122-5p	HSPB1	0.10200484067985993
miR-122-5p	CXCL1	0.10343739114952921
miR-122-5p	PRL	0.16352459384167695
miR-122-5p	F3	0.15312612606303144
miR-122-5p	MPO	0.10905010268242687
miR-122-5p	GH1	0.09511690977851828
miR-122-5p	LGALS3	0.11835363808447141
miR-122-5p	KITLG	0.09164918316855264
miR-122-5p	miR-192-5p	0.10793217484005169
miR-122-5p	TNFSF10	0.10657370804504218
miR-122-5p	miR-150-5p	0.14669164386597355
miR-126-3p	NT-pro-BNP	0.109604902625974
miR-126-3p	PDGFB	0.4111656024912085
miR-126-3p	miR-126-5p	0.33807169608798215
miR-126-3p	miR-21-5p	0.5817252253816854
miR-126-3p	miR-24-3p	1.0799883126481928
miR-126-3p	miR-29a-3p	0.37516869914455064
miR-126-3p	F2R	0.22330695194915595
miR-126-3p	let-7d-5p	0.4952098775051743
miR-126-3p	MMP12	0.13776098664379877
miR-320a	HSPB1	0.2651725633074635
miR-320a	miR-24-3p	0.704927672382123
miR-320a	HGF	0.12195004371594731
miR-320a	OSM	0.10214910245982001
miR-320a	MMP10	0.10909775849636993
miR-126-5p	miR-126-3p	0.33807169608798215
