Regulator	Target	MI
miR-885-5p	NT-pro-BNP	0.09091160651816566
miR-885-5p	CD274	0.10938356009021977
miR-885-5p	IL27	0.1576195459523806
miR-885-5p	miR-122-5p	0.5238783387092907
miR-885-5p	miR-192-5p	0.1732078762156073
miR-885-5p	LEP	0.15885289139439607
miR-885-5p	miR-222-3p	0.13275211042352275
miR-885-5p	miR-375	0.14513048498460268
miR-885-5p	CCL4	0.09323470625247765
miR-20b-5p	miR-19b-3p	1.0974709037714971
miR-20b-5p	DKK1	0.16192619408584097
miR-20b-5p	let-7b-5p	0.6067398814447635
miR-20b-5p	PTX3	0.11387344573757385
miR-20b-5p	miR-16-5p	0.6001474297725542
miR-28-5p	GDF15	0.09496848038016559
miR-28-5p	MMP3	0.1236647611248296
miR-28-5p	PDGFB	0.2623757474217685
miR-28-5p	TNFRSF10B	0.09602510434142442
miR-28-5p	KLK11	0.11909617966215169
miR-28-5p	let-7d-5p	0.17266534899963393
miR-28-5p	CXCL10	0.09494545041900171
miR-28-5p	LGALS3	0.10645691235444055
miR-28-5p	CCL8	0.10474640567291438
miR-28-5p	miR-99b-5p	0.1931118754611134
miR-28-5p	IL6R	0.09261214840492382
miR-122-5p	SPON1	0.13071934114039063
miR-122-5p	TGFB1	0.11680264293274423
miR-122-5p	miR-885-5p	0.516227855033967
miR-122-5p	MMP3	0.1255760457072279
miR-122-5p	RNY5-5p	0.22402018419213832
miR-122-5p	CXCL1	0.10873943308810219
miR-122-5p	TNFRSF11B	0.19360768919734817
miR-122-5p	miR-320a	0.11347942108353859
miR-122-5p	EIF4EBP1	0.10636806381021557
miR-122-5p	IKBKG	0.12045720849112307
miR-126-3p	miR-126-5p	0.5188837027973561
miR-126-3p	miR-150-5p	0.35941107471154066
miR-126-3p	miR-320a	0.70272486388241
miR-126-3p	miR-24-3p	0.9067112655315492
miR-126-3p	miR-222-3p	0.5406838540487247
miR-126-3p	miR-29a-3p	0.5763697411658795
miR-126-3p	CXCL11	0.09054543825165862
miR-320a	miR-122-5p	0.11560277161118204
miR-320a	miR-126-3p	0.6892157398387839
miR-320a	KLK6	0.14044841754427928
miR-320a	miR-486-5p	0.41495708015707944
miR-320a	FGF21	0.15657867551183102
miR-320a	IL16	0.1355675254190727
miR-126-5p	miR-126-3p	0.5188837027973561
miR-126-5p	miR-143-3p	0.1811298748967083
miR-126-5p	miR-130a-3p	0.33509677745926236
miR-126-5p	miR-92a-3p	0.3896083049981476
miR-126-5p	FAS	0.11323623727065524
miR-21-5p	PLAT	0.13757534908080604
miR-21-5p	CXCL5	0.1819756818654108
miR-21-5p	miR-24-3p	0.6515614914568424
miR-21-5p	CASP8	0.2320349210009276
miR-21-5p	TNFSF14	0.1753166870081957
miR-21-5p	CD40LG	0.31797513368963237
miR-145-5p	miR-143-3p	0.37723571253527854
miR-145-5p	THBD	0.12384252221987513
miR-145-5p	miR-30b-5p	0.6386549733418647
miR-145-5p	SULT1A1	0.20398083961079738
miR-145-5p	IL1RL1	0.10028867924056684
miR-145-5p	miR-24-3p	0.5943678654607627
miR-145-5p	CCL7	0.169509668134328
miR-145-5p	CCL2	0.11196630506562588
miR-145-5p	CCL23	0.11243971418604559
miR-145-5p	IL10RB	0.09381671652760204
miR-145-5p	FABP4	0.13922834656843275
miR-145-5p	CD5	0.14431692552243192
miR-145-5p	ADA	0.11221981111262203
miR-143-3p	MMP1	0.09239064187484658
miR-143-3p	miR-145-5p	0.3828209515683918
miR-143-3p	CDCP1	0.12662645077484758
miR-143-3p	FGF23	0.1182942527048878
miR-143-3p	CD244	0.14351300587217075
miR-574-3p	MB	0.13391703038454938
miR-574-3p	miR-222-3p	0.5729769498451516
miR-574-3p	miR-29a-3p	0.4389508887017861
miR-574-3p	NTF3	0.11895944851996809
miR-574-3p	HBEGF	0.16315347953379877
miR-191-5p	HSPB1	0.3091495480796631
miR-191-5p	IL27	0.13941268879885538
miR-191-5p	MMP7	0.10600809754537632
miR-191-5p	RNY4-3p	0.7873518657071878
miR-191-5p	miR-223-3p	0.5222285777746025
miR-191-5p	miR-92a-3p	0.4728208434046399
miR-191-5p	EGF	0.3460368234684079
miR-191-5p	IL10RA	0.1361486529363276
miR-191-5p	RNY4-5p	0.7723741093290029
miR-191-5p	miR-375	0.16799058279679446
miR-24-3p	PDGFB	0.3452135214232346
miR-24-3p	miR-126-3p	0.9067112655315483
miR-24-3p	miR-21-5p	0.6595663358406654
miR-24-3p	miR-145-5p	0.5943678654607627
miR-24-3p	IKBKG	0.4922396691209272
miR-24-3p	RNY4-5p	0.6164448004212941
miR-24-3p	AXIN1	0.429948730037907
miR-24-3p	let-7d-5p	0.6456404000388751
miR-24-3p	miR-192-5p	0.16294050804353866
