Regulator	Target	MI
miR-885-5p	MMP12	0.12581263654385388
miR-885-5p	miR-93-5p	0.13815194518576224
miR-885-5p	CCL4	0.10193908199578239
miR-885-5p	IL12B	0.1424333850762629
miR-885-5p	miR-122-5p	0.540506805659156
miR-885-5p	DKK1	0.09573667350026227
miR-885-5p	CXCL5	0.15640452715818043
miR-885-5p	MMP10	0.11618316116333194
miR-20b-5p	miR-29a-3p	0.5370030641492232
miR-20b-5p	miR-19b-3p	0.9239062214971838
miR-20b-5p	let-7b-5p	0.5755974542904516
miR-28-5p	IL10	0.09999901001879863
miR-28-5p	SELPLG	0.11081000343921499
miR-28-5p	VEGFD	0.1480419584078252
miR-28-5p	VEGFA	0.10977152568494741
miR-28-5p	FGF5	0.1401294271088389
miR-28-5p	PLAU	0.10230644982407622
miR-28-5p	miR-93-5p	0.17106672108557763
miR-28-5p	CCL28	0.15128822694749378
miR-122-5p	CSTB	0.10802558769254844
miR-122-5p	CSF1	0.09307544467187423
miR-122-5p	miR-223-5p	0.1612251676945542
miR-122-5p	miR-885-5p	0.5425533157892666
miR-122-5p	RNY5-5p	0.2971205986400358
miR-122-5p	TNFRSF10B	0.09418938496045381
miR-122-5p	CXCL1	0.17579064581278647
miR-122-5p	miR-150-5p	0.0893639848837946
miR-126-3p	CSF1	0.11437228949572464
miR-126-3p	miR-126-5p	0.5826205988677859
miR-126-3p	miR-21-5p	0.4680745666321018
miR-126-3p	DKK1	0.15239234367539112
miR-126-3p	PECAM1	0.27342949106435643
miR-126-3p	miR-320a	0.5924008075127629
miR-126-3p	miR-24-3p	0.9809197247397545
miR-126-3p	let-7d-5p	0.48055530655955536
miR-126-3p	IL7	0.10366243697993571
miR-126-3p	XPNPEP2	0.15807041299022817
miR-320a	HSPB1	0.25568694061289676
miR-320a	PLAT	0.14684443805777292
miR-320a	IL16	0.12161714419466652
miR-320a	miR-150-5p	0.26500034780166626
miR-320a	miR-191-5p	0.5959301162345385
miR-320a	miR-93-5p	0.7272925991333379
miR-320a	MUC16	0.13890604473554635
miR-126-5p	miR-126-3p	0.5826205988677859
miR-126-5p	miR-143-3p	0.16515962093408643
miR-126-5p	CCL8	0.11503729687730946
miR-126-5p	RNY4-3p	0.44447030607606486
miR-126-5p	HBEGF	0.15905844860803153
miR-21-5p	miR-126-3p	0.4680745666321018
miR-21-5p	miR-27b-3p	0.18930768071539816
miR-21-5p	NTF3	0.19007947149062954
miR-21-5p	SIRT2	0.3309983251104631
miR-21-5p	miR-223-5p	0.36079628185716484
miR-21-5p	miR-375	0.15814154224721744
miR-145-5p	HSPB1	0.23262515596248523
miR-145-5p	CCL7	0.09347330376796226
miR-145-5p	IL10	0.14581269465987923
miR-145-5p	miR-26a-5p	0.5802449748555922
miR-145-5p	RNASE3	0.12873352061549426
miR-145-5p	ADA	0.09820045082770701
miR-143-3p	IL15RA	0.12227673986132803
miR-143-3p	LIFR	0.13322027991177343
miR-143-3p	miR-126-5p	0.16515962093408643
miR-143-3p	miR-192-5p	0.1434293355905547
miR-143-3p	LEP	0.09117071390516429
miR-143-3p	miR-99b-5p	0.16031278149584693
miR-143-3p	PTX3	0.1365642792918047
miR-143-3p	IL6R	0.09294494449417634
miR-143-3p	IL18R1	0.15649817091478457
miR-574-3p	miR-24-3p	0.47737546586989854
miR-574-3p	miR-29a-3p	0.44748778002820266
miR-574-3p	MMP12	0.12485117907456633
miR-574-3p	miR-140-5p	0.4694785304476268
miR-574-3p	miR-192-5p	0.23801324835602955
miR-574-3p	CD244	0.10245243500392576
miR-191-5p	CXCL1	0.2493571795841012
miR-191-5p	IL27	0.10967742758115229
miR-191-5p	CASP8	0.2270487461164139
miR-191-5p	IKBKG	0.40811171308322525
miR-191-5p	RNY4-3p	0.6268725426046027
miR-191-5p	MMP1	0.10046694766416664
miR-191-5p	AXIN1	0.37663455988357164
miR-191-5p	F3	0.0946328462928685
miR-191-5p	miR-92a-3p	0.6565862915289982
miR-191-5p	STAMBP	0.2914106250854154
miR-191-5p	SULT1A1	0.1509561799025203
miR-191-5p	EIF4EBP1	0.1959023361698362
miR-191-5p	RNY4-5p	0.756542620837064
miR-191-5p	OSM	0.09747650624785642
miR-191-5p	let-7d-5p	0.44998147922245124
miR-191-5p	miR-223-5p	0.43988116883042583
miR-24-3p	miR-126-3p	0.9809197247397545
miR-24-3p	miR-574-3p	0.47737546586989943
miR-24-3p	THBD	0.0931633163485257
miR-24-3p	miR-197-3p	0.5758918204975512
miR-24-3p	CTSD	0.12250007320650358
miR-24-3p	TGFB1	0.17011064270757892
miR-24-3p	TNFRSF1B	0.13216855032778074
miR-24-3p	PGF	0.1511041146367269
miR-24-3p	miR-223-3p	0.913472785635939
miR-24-3p	FGF19	0.22040250996356026
miR-27b-3p	miR-21-5p	0.18930768071539905
miR-27b-3p	OLR1	0.09591107649928698
miR-27b-3p	FGF23	0.11524413608599904
miR-27b-3p	TNFRSF9	0.10637718412106167
miR-27b-3p	PLAUR	0.0994067903709448
miR-27b-3p	TNFRSF1B	0.12060329262540659
miR-27b-3p	XPNPEP2	0.13455675359816865
miR-27b-3p	FGF19	0.12961412902238045
miR-27b-3p	FAS	0.11539342961089094
miR-486-5p	miR-93-5p	0.5071753171295272
miR-486-5p	TNFSF10	0.13618485287103965
miR-486-5p	MMP3	0.10455403542235242
miR-486-5p	REN	0.18030161719749316
miR-486-5p	miR-16-5p	0.6256234944654793
miR-93-5p	miR-28-5p	0.17106672108557852
miR-93-5p	miR-486-5p	0.5071753171295272
miR-93-5p	MMP7	0.15105337411438047
miR-93-5p	miR-223-3p	0.919276688412701
miR-93-5p	PAPPA	0.08890742369173577
miR-93-5p	miR-92a-3p	0.4663534436517658
miR-93-5p	miR-885-5p	0.13726840027490983
miR-93-5p	miR-320a	0.7273554995737976
miR-93-5p	miR-19b-3p	0.7215235687693449
miR-93-5p	IL10RA	0.10084314695418772
miR-222-3p	miR-19b-3p	0.6889772647091679
miR-222-3p	FGF21	0.12540319996248783
miR-222-3p	miR-140-5p	0.7146992048680438
miR-222-3p	miR-223-5p	0.3656220375735897
miR-222-3p	CHI3L1	0.1716963589308893
miR-29a-3p	miR-20b-5p	0.5370030641492232
miR-29a-3p	miR-574-3p	0.44748778002820355
miR-29a-3p	FGF23	0.18569871219212253
miR-29a-3p	FST	0.10322051548100752
miR-29a-3p	IL18	0.12063158177774547
miR-29a-3p	PLAUR	0.14681538737464006
miR-29a-3p	SIRT2	0.43898987750921226
miR-29a-3p	GAL	0.14345039810222993
miR-29a-3p	miR-150-5p	0.19384714254353774
miR-19b-3p	miR-20b-5p	0.9239062214971838
miR-19b-3p	miR-93-5p	0.7215235687693458
miR-19b-3p	miR-222-3p	0.6889772647091679
miR-19b-3p	miR-130a-3p	0.6922520678303137
miR-19b-3p	IL6	0.09572399624101813
miR-19b-3p	miR-30b-5p	0.805270189108775
miR-19b-3p	FAS	0.09174988371813964
miR-19b-3p	miR-99b-5p	0.4914896457583371
