Regulator	Target	MI
miR-885-5p	NT-pro-BNP	0.1375529103915456
miR-885-5p	miR-130a-3p	0.11807585189950132
miR-885-5p	PLAT	0.13379173067328587
miR-885-5p	miR-122-5p	0.49513683193771296
miR-885-5p	F3	0.13062478835990898
miR-885-5p	FABP4	0.203026477914932
miR-885-5p	GAL	0.15850124522146913
miR-885-5p	CTSL	0.0951190606024852
miR-885-5p	MB	0.1603091745812666
miR-885-5p	NTF3	0.136725608998578
miR-885-5p	CD244	0.09046280264003048
miR-20b-5p	MMP3	0.16354862984405116
miR-20b-5p	IL18	0.11329949069494827
miR-20b-5p	TNFRSF1A	0.10070463747865244
miR-20b-5p	miR-93-5p	0.7315495718572018
miR-20b-5p	CCL3	0.1869451436256444
miR-20b-5p	miR-19b-3p	1.2280836600416007
miR-20b-5p	FGF23	0.14840166328352833
miR-20b-5p	TGFB1	0.10860910893470965
miR-20b-5p	OSM	0.1580256703097298
miR-20b-5p	IL17C	0.16210610696837513
miR-28-5p	THBD	0.0958648811450944
miR-28-5p	KITLG	0.09078999620654837
miR-28-5p	CASP8	0.1448044610332211
miR-28-5p	FABP4	0.15455271193163256
miR-28-5p	miR-126-5p	0.20892015717351686
miR-122-5p	miR-885-5p	0.49513683193771296
miR-122-5p	RNY5-5p	0.33778758567682754
miR-122-5p	NGF	0.14127702306264567
miR-122-5p	miR-145-5p	0.1888558098439299
miR-122-5p	miR-143-3p	0.16222957831770746
miR-122-5p	miR-375	0.14456683741722465
miR-122-5p	IL12B	0.09171655037291604
miR-122-5p	HAVCR1	0.09823757464905203
miR-122-5p	ADA	0.1290739093946538
miR-126-3p	CXCL1	0.19229697756909303
miR-126-3p	miR-126-5p	0.4151408328098185
miR-126-3p	miR-21-5p	0.627423023712188
miR-126-3p	IKBKG	0.38503344273380513
miR-126-3p	AXIN1	0.5023495201199539
miR-126-3p	miR-223-3p	1.122472077248526
miR-126-3p	miR-320a	0.7744563606177444
miR-126-3p	miR-24-3p	0.9522878499222287
miR-126-3p	miR-222-3p	0.6388745263660338
miR-126-3p	miR-197-3p	0.5506779772592711
miR-126-3p	IL10RA	0.12912801673559038
miR-320a	miR-126-3p	0.8004287353087731
miR-320a	miR-486-5p	0.5643736375557742
miR-320a	IL6R	0.13246033412674763
miR-320a	MUC16	0.12359425645969768
miR-320a	TNFSF14	0.21635377763563568
miR-320a	VEGFD	0.11891170587963185
miR-320a	SIRT2	0.2796443779104738
miR-320a	PAPPA	0.10239138035940076
miR-320a	TEK	0.1985112720654092
miR-126-5p	miR-28-5p	0.20892015717351686
miR-126-5p	miR-126-3p	0.4151408328098185
miR-126-5p	miR-143-3p	0.19656219563802768
miR-126-5p	CCL25	0.1250494353063205
miR-126-5p	RNY4-3p	0.4248284927395982
miR-126-5p	F3	0.1616573647795878
miR-126-5p	IL6	0.20779500084450486
miR-21-5p	miR-126-3p	0.6413984350439534
miR-21-5p	CCL23	0.21598080122883623
miR-21-5p	EGF	0.4186127009694838
miR-145-5p	CXCL9	0.11649860633052
miR-145-5p	IL27	0.2072401959129433
miR-145-5p	miR-122-5p	0.1888558098439299
miR-145-5p	IL15RA	0.20153305932819787
miR-145-5p	FLT3LG	0.19151397257529723
miR-145-5p	CCL13	0.1733723752205032
miR-145-5p	CCL4	0.2845271857277867
miR-145-5p	miR-26a-5p	0.6448582650319246
miR-145-5p	CXCL11	0.23406690207953584
miR-143-3p	CXCL9	0.09534966080058904
miR-143-3p	GDF15	0.09321656030717662
miR-143-3p	MMP1	0.12810596400436847
miR-143-3p	TNFRSF9	0.10739578441545294
miR-143-3p	HSPB1	0.12903324311540043
miR-143-3p	TGFA	0.10237777224085587
miR-143-3p	TNFRSF11B	0.14405384591629744
miR-143-3p	miR-122-5p	0.16222957831770746
miR-143-3p	miR-126-5p	0.19656219563802768
miR-143-3p	MPO	0.15548219085661952
miR-143-3p	CCL7	0.09622292258649434
miR-143-3p	IL7	0.1300180379370106
miR-143-3p	CCL2	0.20002056523411316
miR-143-3p	OLR1	0.11582472140556632
miR-143-3p	PTX3	0.11195614178019575
miR-574-3p	miR-222-3p	0.5015984579203625
miR-574-3p	GDNF	0.12119530886743668
miR-191-5p	HSPB1	0.39762817513891413
miR-191-5p	MPO	0.2215436133310158
miR-191-5p	miR-93-5p	0.6242194814399387
miR-191-5p	RNY4-3p	0.7683524656575393
miR-191-5p	RNY4-5p	0.6253070900397013
miR-191-5p	miR-375	0.17975613657558753
miR-191-5p	PECAM1	0.09568136927891491
miR-24-3p	CSF1	0.09538428405288446
miR-24-3p	CX3CL1	0.16675603161038488
miR-24-3p	DKK1	0.1346188826550785
miR-24-3p	miR-126-3p	0.9522878499222287
miR-24-3p	miR-93-5p	0.9296842339783291
miR-24-3p	REN	0.11799547282646561
miR-24-3p	CCL28	0.18308891683341422
miR-27b-3p	SPON1	0.1917178534455104
miR-27b-3p	ESM1	0.19186462911197655
miR-27b-3p	miR-93-5p	0.2890339587288029
miR-27b-3p	MMP7	0.1214152235146626
miR-27b-3p	TNFSF14	0.13108345401925714
miR-27b-3p	HBEGF	0.09582382333316541
miR-486-5p	miR-320a	0.5575173069030539
miR-486-5p	FGF5	0.09275530072787319
miR-486-5p	miR-16-5p	0.7429519060576704
miR-93-5p	SELPLG	0.10305809975898761
miR-93-5p	miR-20b-5p	0.759526282997137
miR-93-5p	miR-191-5p	0.6313399013745142
miR-93-5p	miR-24-3p	0.9296842339783291
miR-93-5p	miR-27b-3p	0.2890339587288038
miR-93-5p	IL10	0.18152638149256273
miR-93-5p	let-7d-5p	0.6445506338557365
miR-93-5p	miR-92a-3p	0.6231685482816474
miR-93-5p	STAMBP	0.4082336813222698
miR-222-3p	NT-pro-BNP	0.18534208196523494
miR-222-3p	miR-574-3p	0.5015984579203625
miR-222-3p	LGALS3	0.12707507010084385
miR-222-3p	NGF	0.17816332867243023
miR-222-3p	miR-30b-5p	0.8512923079328703
miR-222-3p	miR-99b-5p	0.4556905012406034
miR-222-3p	miR-126-3p	0.6388745263660338
miR-222-3p	IL18R1	0.1380659982335697
miR-29a-3p	PLAT	0.1131468518777341
miR-29a-3p	SLAMF1	0.13855783140054
miR-29a-3p	miR-130a-3p	0.44545196289408207
miR-29a-3p	IL16	0.13057430702275497
miR-29a-3p	miR-150-5p	0.39602929918816976
miR-19b-3p	ADM	0.13135599923774066
miR-19b-3p	MB	0.2588862045429634
miR-19b-3p	let-7b-5p	0.7405988045133478
miR-19b-3p	CCL11	0.14759641092162212
miR-19b-3p	miR-20b-5p	1.183175169241819
miR-19b-3p	CCL20	0.10230721029701417
miR-19b-3p	miR-26a-5p	0.8743845215557542
miR-19b-3p	miR-16-5p	0.7229942920504477
miR-197-3p	CXCL6	0.13395538629366932
miR-197-3p	TNFSF10	0.11707021165833087
miR-197-3p	TNFSF11	0.13329647847148696
miR-197-3p	MMP1	0.16622353334703543
miR-197-3p	FST	0.14078810919661144
miR-197-3p	miR-126-3p	0.571185290293589
miR-197-3p	VEGFA	0.10283127331878195
miR-26a-5p	CD40	0.20314304817191697
miR-26a-5p	miR-145-5p	0.6448582650319246
miR-26a-5p	CTSL	0.13886208949408552
miR-26a-5p	miR-130a-3p	0.8748856906132607
miR-26a-5p	PGF	0.19697824604527092
miR-26a-5p	miR-30b-5p	0.9820417099215515
miR-26a-5p	miR-223-3p	0.7829873683622415
miR-26a-5p	RNY5-5p	0.1971661354897174
miR-26a-5p	RETN	0.19624952581677846
miR-26a-5p	CCL7	0.20976090256386826
miR-26a-5p	miR-19b-3p	0.8743845215557542
miR-26a-5p	IL10RB	0.13476277325761732
miR-26a-5p	TNFRSF9	0.13447645489036208
miR-26a-5p	miR-221-3p	0.8017985269960084
miR-26a-5p	LEP	0.10985208382872536
miR-324-5p	NPPB	0.14764037433042088
miR-324-5p	DNER	0.12235620947827375
miR-324-5p	NTF3	0.14050607655049419
miR-324-5p	CCL19	0.14413804751013792
miR-324-5p	TGFB1	0.1313449154733961
miR-324-5p	miR-130a-3p	0.3834902272389922
miR-324-5p	TNFRSF1A	0.10590229662920603
miR-324-5p	GH1	0.1457925306223915
miR-130a-3p	miR-324-5p	0.3834902272389922
miR-130a-3p	LIFR	0.12619504187024777
miR-130a-3p	miR-99b-5p	0.5017625489510555
miR-130a-3p	miR-885-5p	0.11807585189950132
