Regulator	Target	MI
miR-885-5p	IL15RA	0.09747587581651196
miR-885-5p	FST	0.11672239069404444
miR-885-5p	miR-28-5p	0.11670804401857104
miR-885-5p	miR-122-5p	0.4634846618757269
miR-885-5p	miR-126-5p	0.08920355421915893
miR-885-5p	MPO	0.09556931383931566
miR-885-5p	PGF	0.12231493154057205
miR-885-5p	CCL7	0.15063262806735445
miR-885-5p	TNFSF11	0.08921464621008557
miR-885-5p	IL6R	0.11405977405938739
miR-885-5p	ADA	0.11073550327302684
miR-20b-5p	FLT3LG	0.18859164046699917
miR-20b-5p	EIF4EBP1	0.16051799671065936
miR-20b-5p	miR-19b-3p	0.9719338918636566
miR-20b-5p	VEGFA	0.1598542235849223
miR-28-5p	GDF15	0.10576285341138458
miR-28-5p	IL10RB	0.10860854114184093
miR-28-5p	TGFA	0.151571047785084
miR-28-5p	LIFR	0.13720807187815343
miR-28-5p	NGF	0.12639055780348318
miR-28-5p	F3	0.09744229551715744
miR-28-5p	miR-27b-3p	0.1569875142168593
miR-28-5p	CDCP1	0.12043344079457263
miR-28-5p	miR-223-5p	0.14990042603461173
miR-28-5p	miR-375	0.13932043525554683
miR-28-5p	CCL2	0.1013444586305523
miR-28-5p	miR-99b-5p	0.3030806337904828
miR-122-5p	SPON1	0.1681146261978883
miR-122-5p	miR-885-5p	0.4634846618757278
miR-122-5p	RNY5-5p	0.2483187428268563
miR-122-5p	CXCL1	0.28696140633958844
miR-122-5p	miR-320a	0.1450484124341962
miR-122-5p	RETN	0.21873087620502307
miR-122-5p	KLK6	0.13054483617501944
miR-122-5p	TNFRSF1A	0.1099452648703867
miR-122-5p	THBD	0.13144545421838583
miR-122-5p	miR-192-5p	0.1479007116749127
miR-122-5p	CCL28	0.23423233414153088
miR-126-3p	THBD	0.11132186702242919
miR-126-3p	CTSD	0.10164315900089882
miR-126-3p	SRC	0.5040371079880224
miR-126-3p	miR-24-3p	0.9369005225048603
miR-126-3p	miR-27b-3p	0.2755816466430323
miR-126-3p	OSM	0.1579502880873509
miR-126-3p	let-7d-5p	0.6189111366230247
miR-320a	miR-122-5p	0.16554603561701686
miR-320a	NPPB	0.09622415340487045
miR-320a	RNY4-3p	0.5705233974613853
miR-320a	miR-93-5p	0.7998313591169577
miR-126-5p	miR-885-5p	0.08920355421915893
miR-126-5p	CXCL16	0.20173562286791835
miR-126-5p	miR-24-3p	0.48510057046655497
miR-126-5p	TNFSF12	0.2530434735240634
miR-21-5p	SIRT2	0.38572000733040657
miR-21-5p	miR-24-3p	0.8537634044947806
miR-21-5p	VEGFD	0.13366407443621675
miR-145-5p	CXCL9	0.1269256957847329
miR-145-5p	miR-143-3p	0.3750083883301789
miR-145-5p	miR-30b-5p	0.6353777340457185
miR-145-5p	CSTB	0.1330194620284626
miR-145-5p	CXCL11	0.29518413400031296
miR-145-5p	KITLG	0.09435080160669163
miR-145-5p	miR-16-5p	0.5928774395377205
miR-143-3p	IL1RN	0.21770571284279772
miR-143-3p	TNFRSF11B	0.1964894897377274
miR-143-3p	CX3CL1	0.12493332749904518
miR-143-3p	miR-145-5p	0.3528394644679018
miR-143-3p	NPPB	0.09349846606975465
miR-143-3p	MB	0.11896225785269454
miR-143-3p	TNFSF12	0.09418785799301954
miR-143-3p	VEGFD	0.1556504001843102
miR-143-3p	CCL28	0.19855948825022107
miR-574-3p	miR-140-5p	0.5406257721184264
miR-574-3p	miR-221-3p	0.5246564442537807
miR-574-3p	CD5	0.12279760041144261
miR-574-3p	AGRP	0.1456539120437057
miR-574-3p	miR-16-5p	0.5802586816168152
miR-191-5p	IKBKG	0.4908893515669899
miR-191-5p	RNY4-3p	0.7206271074592658
miR-191-5p	miR-223-3p	0.6159747094064079
miR-191-5p	miR-92a-3p	0.6043380774951901
miR-191-5p	RNY4-5p	0.8057440476926683
miR-191-5p	FGF19	0.14661770600963653
miR-191-5p	miR-223-5p	0.5629015692370416
miR-24-3p	IL27	0.11187685829088512
miR-24-3p	miR-126-5p	0.48510057046655497
miR-24-3p	miR-21-5p	0.8537634044947797
miR-24-3p	CASP8	0.31336828093204616
miR-24-3p	AXIN1	0.5565806085555893
miR-24-3p	miR-223-3p	1.1037391750973118
miR-24-3p	miR-92a-3p	0.5846863503164323
miR-24-3p	miR-126-3p	0.9369005225048603
miR-24-3p	miR-222-3p	0.6767205131330813
miR-24-3p	miR-197-3p	0.49710148567421797
miR-24-3p	RNY4-5p	0.6587358136568744
miR-27b-3p	CD274	0.12326515309887132
miR-27b-3p	miR-28-5p	0.1569875142168593
miR-27b-3p	miR-126-3p	0.2917917839349782
miR-27b-3p	FGF5	0.09509344111075357
miR-27b-3p	miR-24-3p	0.286016447095788
miR-27b-3p	CCL19	0.10783512173550047
miR-27b-3p	CCL23	0.1270395977678227
miR-27b-3p	GAL	0.11301767299384391
miR-486-5p	GAL	0.12526982582534085
miR-486-5p	miR-92a-3p	0.46772621578018647
miR-486-5p	REN	0.17416833951593969
