Regulator	Target	MI
miR-885-5p	CCL23	0.10045214050396023
miR-885-5p	SPON1	0.1405941270480504
miR-885-5p	CCL11	0.15053664899686048
miR-885-5p	F2R	0.15236731587294194
miR-885-5p	miR-122-5p	0.4164651532018633
miR-885-5p	AGER	0.12319207240333085
miR-885-5p	KLK11	0.09606361105837369
miR-885-5p	miR-143-3p	0.22757320663720915
miR-885-5p	CCL8	0.23023819264952294
miR-885-5p	miR-197-3p	0.1281342348925536
miR-20b-5p	CSF1	0.18543638994580736
miR-20b-5p	MMP3	0.09689056120304684
miR-20b-5p	IL16	0.09429429679955792
miR-20b-5p	TNFRSF1B	0.16355353500117698
miR-20b-5p	let-7b-5p	0.7959557044529406
miR-20b-5p	miR-19b-3p	1.003683899714673
miR-20b-5p	BDNF	0.11310558663399561
miR-28-5p	CCL25	0.09292785846481255
miR-28-5p	CXCL6	0.13410980172754972
miR-28-5p	FST	0.09399237797196136
miR-28-5p	CXCL16	0.1766697476090835
miR-28-5p	miR-143-3p	0.21810424923632077
miR-28-5p	miR-191-5p	0.23411085438036672
miR-28-5p	miR-27b-3p	0.24137296089871185
miR-28-5p	IL7	0.10895933988126583
miR-122-5p	CCL13	0.0984378583177774
miR-122-5p	SELPLG	0.1120753231684537
miR-122-5p	HGF	0.13188593702487506
miR-122-5p	miR-885-5p	0.4164651532018624
miR-122-5p	RNY5-5p	0.3554607925947444
miR-122-5p	NPPB	0.09931709207527284
miR-122-5p	miR-192-5p	0.40578998939984956
miR-122-5p	miR-486-5p	0.09615988301369516
miR-122-5p	STAMBP	0.09933508988610296
miR-122-5p	HAVCR1	0.2831586409248841
miR-122-5p	IL18R1	0.09921330818543783
miR-126-3p	miR-21-5p	0.6312239463453073
miR-126-3p	CX3CL1	0.18778123882464648
miR-126-3p	AXIN1	0.5398975773859735
miR-126-3p	STAMBP	0.44637769148749573
miR-126-3p	miR-150-5p	0.32966838044888913
miR-126-3p	miR-24-3p	1.01827999236139
miR-126-3p	MUC16	0.09059142760431271
miR-126-3p	miR-26a-5p	0.666826090500634
miR-126-3p	let-7d-5p	0.5511691695969088
miR-126-3p	FAS	0.24932242356363776
miR-320a	miR-486-5p	0.5525946601088405
miR-320a	RNY4-3p	0.5165224934526806
miR-320a	FST	0.1264165681309386
miR-320a	F3	0.15612701036989574
miR-320a	miR-223-3p	0.6312716391105839
miR-320a	miR-99b-5p	0.32598015095464117
miR-320a	IL10RB	0.11443609462097726
miR-320a	PTX3	0.15754792543799034
miR-126-5p	miR-24-3p	0.5565134531612363
miR-126-5p	IL7	0.16289479264168794
miR-21-5p	miR-126-3p	0.6312239463453064
miR-21-5p	CXCL5	0.29677220465260223
miR-21-5p	miR-223-5p	0.36264027302550605
miR-145-5p	miR-19b-3p	0.5899872764354397
miR-145-5p	CXCL11	0.14897679223557692
miR-143-3p	IL15RA	0.1107121293300013
miR-143-3p	miR-885-5p	0.22757320663720826
miR-143-3p	miR-28-5p	0.21810424923631988
miR-143-3p	VEGFD	0.10338620408412602
miR-143-3p	CD40LG	0.17266434886176274
miR-143-3p	CDCP1	0.17132909916048966
miR-143-3p	CCL7	0.14729921637499377
miR-143-3p	miR-375	0.20900208352268113
miR-143-3p	miR-19b-3p	0.1874485359520266
