Regulator	Target	MI
miR-885-5p	RNY5-5p	0.30132098954106556
miR-885-5p	OSM	0.10348765750044642
miR-885-5p	miR-221-3p	0.2150498044073883
miR-885-5p	miR-122-5p	0.5454787737694531
miR-885-5p	miR-192-5p	0.22783187958383522
miR-885-5p	FABP4	0.1971454651752742
miR-885-5p	PAPPA	0.13379160344929453
miR-885-5p	PECAM1	0.12593373233191318
miR-20b-5p	CCL11	0.14317973461257605
miR-20b-5p	miR-93-5p	0.791634851088153
miR-20b-5p	miR-222-3p	0.7482325993395387
miR-20b-5p	miR-19b-3p	1.0005816866073287
miR-20b-5p	IKBKG	0.41551500465677993
miR-20b-5p	SIRT2	0.29462445598322784
miR-20b-5p	miR-30b-5p	0.7647395270117299
miR-28-5p	CCL13	0.11323775485008447
miR-28-5p	IL15RA	0.14524475583656749
miR-28-5p	IL10RB	0.09557108623056454
miR-28-5p	F2R	0.12760271979486504
miR-28-5p	MMP3	0.13558865894872518
miR-28-5p	KLK6	0.18105976610619834
miR-28-5p	NPPB	0.1175693277919958
miR-28-5p	GH1	0.12680188512863655
miR-28-5p	LGALS3	0.11519804048858973
miR-28-5p	CASP8	0.2066735646721467
miR-28-5p	miR-222-3p	0.23317367754184115
miR-28-5p	EIF4EBP1	0.16952685091617958
miR-28-5p	CCL2	0.10725324264785563
miR-28-5p	IL17A	0.11848621504963575
miR-122-5p	CCL20	0.10278785120774181
miR-122-5p	IL10RB	0.09995386495717362
miR-122-5p	HGF	0.1155985396691408
miR-122-5p	RNY4-5p	0.14295652697349226
miR-122-5p	miR-885-5p	0.545478773769454
miR-122-5p	PTX3	0.130884172878047
miR-122-5p	miR-126-3p	0.13605847033834895
miR-122-5p	VEGFA	0.17718575205803244
miR-126-3p	miR-122-5p	0.1492088065003978
miR-126-3p	miR-126-5p	0.4683427068205104
miR-126-3p	miR-30b-5p	0.6327620941426897
miR-126-3p	PECAM1	0.13224004479489704
miR-126-3p	PDGFB	0.3049541280423105
miR-126-3p	TNFRSF11B	0.09878936303957708
miR-126-3p	miR-24-3p	0.9366433144620538
miR-320a	ESM1	0.13784236680462136
miR-320a	miR-93-5p	0.680669731013329
miR-320a	TGFB1	0.1587383590784741
miR-126-5p	miR-126-3p	0.4814930429825601
miR-126-5p	CTSD	0.12847708155193427
miR-126-5p	CCL25	0.109720507840108
miR-126-5p	TNFSF12	0.15495094760529682
miR-126-5p	PGF	0.16644003509290606
miR-126-5p	CXCL11	0.11577897801564685
miR-21-5p	HSPB1	0.21268875674765741
miR-21-5p	miR-320a	0.5219193717065398
miR-21-5p	miR-27b-3p	0.3062328643476242
miR-21-5p	miR-26a-5p	0.5313139356819736
miR-21-5p	miR-223-3p	0.5692433586464771
miR-145-5p	CXCL9	0.13158376916966041
miR-145-5p	IKBKG	0.433685587419113
miR-145-5p	RNY4-3p	0.4442997900021197
miR-145-5p	F2R	0.17894996217525527
miR-145-5p	RNASE3	0.13321920501632079
miR-145-5p	TNFRSF1B	0.1313103168907297
miR-145-5p	MMP10	0.11903925948270633
miR-145-5p	miR-192-5p	0.259232202204168
miR-145-5p	miR-191-5p	0.4298785137804515
miR-145-5p	CCL7	0.1776809446260854
miR-145-5p	miR-222-3p	0.6038241543242036
miR-145-5p	SELE	0.09188949689058123
miR-143-3p	MUC16	0.0899291692813593
miR-143-3p	miR-26a-5p	0.41690355089912945
miR-143-3p	FST	0.10771136241917034
miR-143-3p	HGF	0.13523934206812527
miR-143-3p	CDCP1	0.20280052426333928
miR-143-3p	FABP4	0.10342537800399665
miR-143-3p	OLR1	0.15738019676818205
miR-574-3p	miR-222-3p	0.4625943904524332
miR-574-3p	miR-29a-3p	0.46070419925986705
miR-574-3p	CD6	0.17387349764614157
miR-574-3p	CD5	0.11192704606339099
miR-574-3p	IL18R1	0.1836864523853725
miR-574-3p	HBEGF	0.17667047114101297
miR-191-5p	CXCL1	0.2741555643620712
miR-191-5p	miR-145-5p	0.43468248117055097
miR-191-5p	HAVCR1	0.09238870816132394
miR-191-5p	IL6R	0.1632120643077366
miR-191-5p	RNY4-3p	0.6485397232974659
miR-191-5p	HGF	0.16236345156737464
miR-191-5p	AXIN1	0.38809598967794656
miR-191-5p	miR-130a-3p	0.5054610717152581
miR-191-5p	miR-92a-3p	0.6938189111333175
miR-191-5p	miR-885-5p	0.24510806325684076
miR-191-5p	RNY5-5p	0.1787888310154928
miR-191-5p	miR-24-3p	0.6132302399769793
miR-191-5p	RNY4-5p	0.7623547956932626
miR-191-5p	TNFRSF10B	0.16785420662811568
miR-191-5p	REN	0.11897569160096477
miR-24-3p	TNFSF10	0.12928279136815668
miR-24-3p	miR-223-3p	1.0263058408996706
miR-24-3p	miR-126-3p	0.9366433144620538
miR-24-3p	miR-191-5p	0.6132302399769793
miR-24-3p	miR-93-5p	0.7518285911744318
miR-24-3p	miR-197-3p	0.5951551106273589
miR-24-3p	EGF	0.41898206715183317
miR-24-3p	miR-26a-5p	0.722343287640526
miR-24-3p	CD40LG	0.27216728704462234
miR-27b-3p	IL1RN	0.18886829008157235
miR-27b-3p	CCL11	0.09932938615827158
miR-27b-3p	miR-21-5p	0.2938548185138856
miR-27b-3p	LGALS3	0.18694988159280168
miR-27b-3p	miR-30b-5p	0.2505037105991139
miR-27b-3p	CD6	0.09270855679613366
miR-27b-3p	CCL28	0.10027692747942396
miR-486-5p	CD274	0.14506072432293937
miR-486-5p	AGER	0.15261920871736745
miR-486-5p	THBD	0.19059389162077167
miR-486-5p	miR-92a-3p	0.4363298201380186
miR-486-5p	miR-16-5p	0.7956860230341425
miR-93-5p	miR-20b-5p	0.7820026413513554
miR-93-5p	miR-320a	0.6669239211610698
miR-93-5p	miR-24-3p	0.7518285911744318
miR-93-5p	miR-29a-3p	0.4138845935403994
miR-93-5p	IL10RA	0.1692832253805321
miR-93-5p	let-7d-5p	0.519634990816841
miR-93-5p	miR-223-5p	0.2854226771115487
miR-93-5p	miR-92a-3p	0.47569981111921145
miR-93-5p	STAMBP	0.40273513805424344
miR-222-3p	miR-28-5p	0.2035483154061417
miR-222-3p	miR-145-5p	0.6038241543242036
miR-222-3p	TNFSF11	0.11820530332378798
miR-222-3p	miR-140-5p	0.7139526709809214
miR-222-3p	miR-223-3p	0.5817299604475767
miR-222-3p	miR-20b-5p	0.7482325993395387
miR-29a-3p	IL1RN	0.10040372340431158
miR-29a-3p	miR-574-3p	0.45660273665300366
miR-29a-3p	miR-93-5p	0.4191189876025021
miR-29a-3p	FGF23	0.15297826389801195
miR-29a-3p	MMP1	0.10372788379035125
miR-29a-3p	RNY4-5p	0.43599208151139557
miR-29a-3p	PAPPA	0.22014312219989396
miR-19b-3p	CXCL8	0.1551564676959769
miR-19b-3p	MB	0.23087887322096368
miR-19b-3p	DNER	0.1946013128914128
miR-19b-3p	let-7b-5p	0.5996519277217711
miR-19b-3p	miR-20b-5p	1.0005816866073287
miR-19b-3p	S100A12	0.13104509921687413
miR-19b-3p	SLAMF1	0.17631582701575077
miR-19b-3p	miR-221-3p	0.6796248010161863
miR-19b-3p	IL6	0.10849148057594693
miR-19b-3p	miR-16-5p	0.6386539608795525
miR-197-3p	miR-24-3p	0.5951551106273589
miR-197-3p	CTSL	0.09831443465874656
miR-197-3p	PLAU	0.16230502088470722
miR-197-3p	IL15RA	0.13809044134683823
miR-197-3p	TNFRSF1B	0.14607583002830182
miR-197-3p	VEGFA	0.1332285761685883
miR-197-3p	FAS	0.11525260137932758
miR-26a-5p	NT-pro-BNP	0.14349826595124693
miR-26a-5p	CSF1	0.11288305536641108
miR-26a-5p	PRL	0.14956030877396653
miR-26a-5p	miR-21-5p	0.5313139356819736
miR-26a-5p	NPPB	0.12925036926424482
miR-26a-5p	miR-143-3p	0.4004977004716759
miR-26a-5p	miR-24-3p	0.722343287640526
miR-26a-5p	miR-221-3p	0.7713531756412966
miR-26a-5p	let-7d-5p	0.6683323364075875
miR-26a-5p	miR-140-5p	0.6880084310372014
miR-26a-5p	miR-30b-5p	0.9602587705388466
miR-324-5p	CD40	0.15208831675737322
miR-324-5p	TNFRSF11B	0.11707160809725803
miR-324-5p	RETN	0.11816560925301633
miR-324-5p	SULT1A1	0.19363250210817284
miR-324-5p	PLAU	0.13171530781527352
miR-324-5p	IL10RB	0.08978554034269681
miR-324-5p	MMP1	0.15583144693455875
miR-324-5p	NGF	0.1967916162078316
miR-324-5p	TNFRSF1A	0.09269137837952268
miR-324-5p	miR-140-5p	0.2175633432317241
miR-324-5p	IL7	0.12025819794853376
miR-324-5p	LEP	0.19389879556463097
miR-324-5p	PTX3	0.1316284245827246
miR-324-5p	TEK	0.13623530880376666
miR-130a-3p	SPON1	0.1336671845769848
miR-130a-3p	IL15RA	0.119564325923454
miR-130a-3p	IL18	0.14134501844587177
