Regulator	Target	MI
miR-885-5p	CD40	0.1526999982401298
miR-885-5p	SPON1	0.10061033204518743
miR-885-5p	TNFRSF9	0.10761108712568213
miR-885-5p	TNFSF12	0.11064747180643675
miR-885-5p	miR-130a-3p	0.10043138258277651
miR-885-5p	IL27	0.1166330569803069
miR-885-5p	miR-122-5p	0.3845356074617001
miR-885-5p	RNASE3	0.09008386451409489
miR-885-5p	KLK11	0.123993237375287
miR-885-5p	VEGFA	0.1166222605686622
miR-885-5p	IL1RL1	0.17988793024292438
miR-885-5p	CCL7	0.292999063575456
miR-885-5p	TNFSF10	0.1251871136851408
miR-885-5p	S100A12	0.13718030203103648
miR-885-5p	CCL19	0.09296700720497952
miR-885-5p	IL6R	0.09727873792047248
miR-885-5p	SLAMF1	0.10054522691323076
miR-20b-5p	miR-93-5p	0.6206862976926901
miR-20b-5p	miR-19b-3p	0.9680071445380207
miR-20b-5p	let-7b-5p	0.8007108357674211
miR-20b-5p	LEP	0.15462740616162307
miR-28-5p	CCL11	0.165713248975762
miR-28-5p	MMP1	0.10232589628985256
miR-28-5p	TGFA	0.15975093194584833
miR-28-5p	PLAT	0.10288824803644747
miR-28-5p	SELE	0.18090597549860288
miR-28-5p	GH1	0.12243563824415027
miR-28-5p	miR-222-3p	0.14337311075018455
miR-28-5p	LTA	0.19026999147442503
miR-122-5p	SELPLG	0.09231692110144252
miR-122-5p	miR-885-5p	0.3845356074617001
miR-122-5p	RNY5-5p	0.3567834950005002
miR-122-5p	TGFA	0.22439710214585684
miR-122-5p	CXCL1	0.09647273484064023
miR-122-5p	miR-143-3p	0.125685372763634
miR-122-5p	miR-574-3p	0.14561376825770544
miR-122-5p	THBD	0.12872717978952597
miR-122-5p	DNER	0.14556083569669553
miR-122-5p	EIF4EBP1	0.10704359870054603
miR-122-5p	TNFSF11	0.0924521859466445
miR-122-5p	IL15RA	0.14009276394295345
miR-122-5p	RNY4-5p	0.16537621882073683
miR-122-5p	NGF	0.12223185736717035
miR-122-5p	MMP10	0.1303529934156975
miR-122-5p	FABP4	0.14122112301787482
miR-122-5p	CHI3L1	0.0915668189616472
miR-122-5p	PTX3	0.12270219990255882
miR-122-5p	TEK	0.14960540902951536
miR-122-5p	HBEGF	0.18952232132549263
miR-126-3p	miR-126-5p	0.4510666416855642
miR-126-3p	miR-21-5p	0.5893473766465842
miR-126-3p	DNER	0.14500154300186718
miR-126-3p	MMP7	0.15603441276986718
miR-126-3p	MMP3	0.14652692527203648
miR-126-3p	miR-24-3p	1.0588559721751887
miR-126-3p	FABP4	0.14539903323710757
miR-320a	IL6R	0.1546048273663052
miR-320a	MMP1	0.1412444956735044
miR-320a	let-7b-5p	0.565719047921565
miR-320a	miR-223-3p	0.6258623329397448
miR-320a	miR-150-5p	0.23935908321674404
miR-320a	SELE	0.11306276815444605
miR-320a	CD6	0.21081560093819363
miR-320a	TEK	0.178837554416436
miR-320a	CD244	0.24564728748029374
miR-126-5p	miR-126-3p	0.4390560804093395
miR-21-5p	CXCL1	0.26378832540131825
miR-21-5p	FGF5	0.13799999749273528
miR-21-5p	HAVCR1	0.17011939917658925
miR-21-5p	FLT3LG	0.11751719470215516
miR-21-5p	miR-126-3p	0.5893473766465833
miR-21-5p	miR-27b-3p	0.2115317828100336
miR-21-5p	NTF3	0.21749114039006123
miR-21-5p	FGF19	0.1415511445311184
miR-21-5p	miR-375	0.15623816892002207
miR-145-5p	miR-143-3p	0.23919248890592648
miR-145-5p	PLAUR	0.14512269519770626
miR-145-5p	HBEGF	0.21236106888401363
miR-145-5p	FGF23	0.09756136131273596
miR-145-5p	miR-26a-5p	0.5784187449541545
miR-145-5p	VEGFD	0.1684885727410963
miR-143-3p	miR-122-5p	0.125685372763634
miR-143-3p	KLK6	0.2753359405108391
miR-143-3p	miR-145-5p	0.1578256934618052
miR-143-3p	IL6	0.09667639000435013
miR-574-3p	CD40	0.18303138815746944
miR-574-3p	CXCL9	0.11404173608166168
miR-574-3p	miR-122-5p	0.14561376825770544
miR-574-3p	CTSD	0.09692072602158586
miR-574-3p	miR-192-5p	0.2968202748962696
miR-574-3p	miR-99b-5p	0.4204279399051023
miR-574-3p	CD274	0.12605687503482876
miR-574-3p	IL1RL1	0.1384722558669429
miR-574-3p	miR-222-3p	0.5543440326825619
miR-574-3p	CCL4	0.1765806776790262
miR-574-3p	KITLG	0.1308593523703836
miR-191-5p	RNY4-3p	0.7924091683243493
miR-191-5p	miR-223-3p	0.7065617441824497
miR-191-5p	miR-92a-3p	0.7828369921756586
miR-191-5p	RNY5-5p	0.32397412584343943
miR-191-5p	FGF21	0.30120095501816024
miR-191-5p	EGF	0.4600677052811948
miR-191-5p	RNY4-5p	0.7280571923592101
miR-24-3p	MPO	0.14055114866609575
miR-24-3p	IKBKG	0.5599308282180138
miR-24-3p	miR-223-3p	1.0604590450182565
miR-24-3p	SRC	0.4821844408341338
miR-24-3p	miR-126-3p	1.0588559721751887
miR-24-3p	miR-93-5p	0.8064599555319214
miR-24-3p	miR-19b-3p	0.6409182711614294
miR-24-3p	miR-221-3p	0.6204249405320361
miR-24-3p	AGRP	0.1304983248440097
miR-27b-3p	PDGFB	0.2322409130016556
miR-27b-3p	TNFRSF11B	0.14840005541522405
miR-27b-3p	AGER	0.1370324449109228
miR-27b-3p	miR-21-5p	0.21153178281003449
miR-27b-3p	CASP8	0.18304490199464052
miR-27b-3p	OLR1	0.17507244701910185
miR-27b-3p	CTSD	0.09983363004771562
miR-27b-3p	TGFB1	0.2011063018542174
miR-27b-3p	TNFRSF10B	0.1735592642022601
miR-27b-3p	RNASE3	0.09929817163694477
miR-27b-3p	TNFRSF1B	0.10518413433189977
miR-27b-3p	DKK1	0.11530733468566012
miR-486-5p	miR-93-5p	0.6119017400873021
miR-486-5p	TNFRSF1B	0.17582121015453023
miR-486-5p	MMP12	0.11719466873050965
miR-486-5p	miR-16-5p	0.5745378492843747
miR-93-5p	CASP8	0.15473548061207065
miR-93-5p	miR-486-5p	0.6119017400873012
miR-93-5p	miR-92a-3p	0.511246063437274
miR-93-5p	STAMBP	0.4372103037328561
miR-93-5p	PDGFB	0.3668928381529808
miR-93-5p	miR-20b-5p	0.6206862976926883
miR-93-5p	KLK6	0.11056472608410406
miR-93-5p	miR-24-3p	0.8064599555319205
miR-93-5p	CCL3	0.1442069214460826
miR-93-5p	PTX3	0.12040553002893972
miR-222-3p	NT-pro-BNP	0.1086708651079995
miR-222-3p	miR-28-5p	0.14337311075018544
miR-222-3p	miR-574-3p	0.5543440326825628
miR-222-3p	miR-130a-3p	0.6961206027512121
miR-222-3p	IL16	0.13129900501823144
miR-222-3p	miR-29a-3p	0.5532443644297658
miR-222-3p	miR-19b-3p	0.791366169596448
miR-222-3p	miR-26a-5p	0.7455512603493615
miR-222-3p	IL7	0.12949258130368868
miR-29a-3p	CSF1	0.19997649640559523
miR-29a-3p	miR-324-5p	0.2774265775038893
miR-29a-3p	GAL	0.16602270963332888
miR-29a-3p	miR-222-3p	0.5532443644297667
miR-29a-3p	CCL23	0.1545466637973858
miR-29a-3p	GH1	0.11269972072994072
miR-29a-3p	CD5	0.14374721401490564
miR-19b-3p	ADM	0.09848499664793753
miR-19b-3p	CXCL16	0.09762970229277279
miR-19b-3p	SIRT2	0.3953397124581022
miR-19b-3p	miR-140-5p	0.839310399108399
miR-19b-3p	miR-99b-5p	0.5060625724544989
miR-19b-3p	CCL13	0.11522683743952555
miR-19b-3p	miR-20b-5p	0.9680071445380207
miR-19b-3p	miR-24-3p	0.6409182711614303
miR-19b-3p	miR-222-3p	0.791366169596448
miR-19b-3p	TGFB1	0.2193444218340277
miR-19b-3p	BDNF	0.13379491315194691
miR-19b-3p	miR-16-5p	0.7313436777537765
miR-197-3p	NPPB	0.16277246601417783
miR-197-3p	miR-223-3p	0.5541633579900207
miR-197-3p	CCL19	0.09570907185166622
miR-197-3p	CXCL10	0.15608461787961225
miR-26a-5p	miR-145-5p	0.5784187449541554
miR-26a-5p	MB	0.1720325821340749
miR-26a-5p	TNFSF11	0.11556051712087978
miR-26a-5p	IL15RA	0.16941539825100183
miR-26a-5p	F2R	0.20576824223909096
miR-26a-5p	RNASE3	0.091469434879909
miR-26a-5p	miR-30b-5p	1.0473785325517921
miR-26a-5p	PAPPA	0.23623332995217616
miR-26a-5p	miR-222-3p	0.7283978609893156
miR-26a-5p	GDF15	0.10182728179091693
miR-26a-5p	RNY4-5p	0.5211298476320865
miR-26a-5p	TNFRSF9	0.18164876967021915
miR-26a-5p	miR-221-3p	0.9225772933458911
miR-26a-5p	VEGFA	0.1499050232124146
miR-26a-5p	CCL28	0.09633941097480303
miR-324-5p	CCL11	0.23170841956868227
miR-324-5p	IL27	0.11988517304120183
miR-324-5p	PLAU	0.14323423610823394
miR-324-5p	miR-29a-3p	0.2774265775038893
miR-324-5p	TNFSF12	0.24540431625939174
miR-324-5p	LIFR	0.11988054564142825
miR-324-5p	NGF	0.11220336272764264
miR-324-5p	FGF19	0.11424721832088469
miR-324-5p	PTX3	0.10189893181892362
miR-324-5p	ADA	0.1231668942526305
miR-130a-3p	CXCL6	0.13203003574080707
miR-130a-3p	HSPB1	0.3963340897081373
miR-130a-3p	CXCL5	0.27532715625212756
miR-130a-3p	miR-885-5p	0.1004313825827774
miR-130a-3p	SULT1A1	0.18051908560886698
miR-130a-3p	miR-221-3p	0.7074975407628887
miR-221-3p	CXCL8	0.10061597119932841
miR-221-3p	LGALS3	0.12822932551600452
