Regulator	Target	MI
miR-885-5p	miR-122-5p	0.5756821386104161
miR-885-5p	FGF5	0.11973546464548512
miR-885-5p	miR-574-3p	0.19474286766178572
miR-885-5p	LGALS3	0.18885847850798854
miR-885-5p	DNER	0.15447496678911765
miR-885-5p	FST	0.17718675787263383
miR-885-5p	IL18	0.12831887118905883
miR-885-5p	OSM	0.08903008678445268
miR-885-5p	ADA	0.0960787363181046
miR-20b-5p	SPON1	0.18328389179614657
miR-20b-5p	NPPB	0.18268264374290144
miR-20b-5p	PLAU	0.15174203544301879
miR-20b-5p	IL15RA	0.19196800225628952
miR-20b-5p	FST	0.20822088459949217
miR-20b-5p	HGF	0.18342238623756923
miR-20b-5p	let-7b-5p	0.8521252517465019
miR-20b-5p	LTA	0.14600857372367582
miR-20b-5p	SELPLG	0.12420773433909105
miR-20b-5p	TGFA	0.1892886503059268
miR-20b-5p	miR-19b-3p	1.08128740419306
miR-20b-5p	miR-26a-5p	0.7694209857783862
miR-20b-5p	VEGFA	0.1497355875553268
miR-20b-5p	miR-16-5p	0.6162385888041078
miR-28-5p	IL10RB	0.14102052749482574
miR-28-5p	SRC	0.21054013779674552
miR-28-5p	TNFRSF11B	0.15404167379995837
miR-28-5p	NPPB	0.14516793737942546
miR-28-5p	miR-30b-5p	0.19116532309349932
miR-28-5p	NTF3	0.1492439338557663
miR-28-5p	IL17C	0.12812451045259277
miR-122-5p	NT-pro-BNP	0.11912644440480769
miR-122-5p	CXCL6	0.19990559125903218
miR-122-5p	IL1RN	0.1284276253719634
miR-122-5p	miR-885-5p	0.5756821386104161
miR-122-5p	PLAT	0.17760003707836436
miR-122-5p	miR-320a	0.16763981338196743
miR-122-5p	RNASE3	0.22168591010128935
miR-122-5p	miR-192-5p	0.17975457819092355
miR-122-5p	NTF3	0.17166201669648817
miR-122-5p	IL12B	0.140180795497983
miR-126-3p	HSPB1	0.36485894366601634
miR-126-3p	CXCL1	0.19565399491331714
miR-126-3p	miR-126-5p	0.4017514851607995
miR-126-3p	MPO	0.10630992409007245
miR-126-3p	miR-21-5p	0.641687163059629
miR-126-3p	CTSD	0.10829513223575393
miR-126-3p	TNFRSF1A	0.20476735455046846
miR-126-3p	miR-24-3p	1.0435812966960505
miR-126-3p	miR-29a-3p	0.5335286909325783
miR-126-3p	KLK11	0.167149349877306
miR-126-3p	REN	0.14490738146834836
miR-320a	miR-122-5p	0.16763981338196743
miR-320a	miR-486-5p	0.4485555725040298
miR-320a	MMP10	0.1409328138168746
miR-320a	miR-150-5p	0.44076286716014934
miR-320a	CD274	0.22129224519905577
miR-320a	miR-93-5p	0.7055124320457997
miR-320a	ADA	0.09495261267319677
miR-126-5p	miR-126-3p	0.4017514851608004
