Regulator	Target	MI
miR-885-5p	CXCL9	0.1513375604539
miR-885-5p	RNY4-3p	0.2480272136606656
miR-885-5p	miR-122-5p	0.4242742633141452
miR-885-5p	F3	0.09230106999546628
miR-885-5p	KLK11	0.12220606520224919
miR-885-5p	let-7d-5p	0.2032738404822565
miR-885-5p	miR-143-3p	0.18491951153737318
miR-885-5p	ESM1	0.09938689251207844
miR-885-5p	IL6	0.12090403946982864
miR-885-5p	miR-192-5p	0.30102798481809057
miR-885-5p	CCL7	0.13266521513166118
miR-20b-5p	miR-145-5p	0.5914829606278671
miR-20b-5p	miR-93-5p	0.771240402382487
miR-20b-5p	DNER	0.20508262117419918
miR-20b-5p	miR-19b-3p	1.0560880689909347
miR-20b-5p	miR-26a-5p	0.7497812158715478
miR-20b-5p	DKK1	0.13414122098674497
miR-20b-5p	let-7b-5p	0.8924190926434035
miR-28-5p	CD40	0.1560364409867363
miR-28-5p	CSF1	0.09046515460767601
miR-28-5p	FLT3LG	0.09502767475733265
miR-28-5p	CXCL1	0.19409067401196545
miR-28-5p	VEGFD	0.113961624005122
miR-28-5p	PRL	0.14787379819954172
miR-28-5p	let-7d-5p	0.20836123542929563
miR-28-5p	VEGFA	0.10259900624801865
miR-28-5p	miR-143-3p	0.23724560738066813
miR-28-5p	CCL3	0.10481025071600669
miR-28-5p	HBEGF	0.12764911954292302
miR-122-5p	IL10	0.16992845713054905
miR-122-5p	miR-324-5p	0.15697170980587583
miR-122-5p	HGF	0.09606141568891324
miR-122-5p	miR-885-5p	0.4242742633141452
miR-122-5p	RNY5-5p	0.3838832130142613
miR-122-5p	TNFRSF10B	0.13629520231826042
miR-122-5p	PRL	0.12557097597125022
miR-122-5p	miR-126-5p	0.1511346646517806
miR-122-5p	TNFRSF1A	0.14955829396728948
miR-122-5p	PAPPA	0.14872916643752188
miR-122-5p	CCL2	0.18805057250601553
miR-122-5p	CCL28	0.09610352214087481
miR-126-3p	CXCL9	0.12212404980888625
miR-126-3p	miR-21-5p	0.5818226597932625
miR-126-3p	TNFSF11	0.18417298526161474
miR-126-3p	MMP7	0.1289131810672446
miR-126-3p	FLT3LG	0.09142485688344504
miR-126-3p	miR-24-3p	1.0433624611631975
miR-126-3p	GDNF	0.09675347238182663
miR-126-3p	miR-375	0.17748369565460997
miR-320a	PLAT	0.19259125929913168
miR-320a	TNFSF10	0.24797846667365686
miR-320a	RNY4-3p	0.5050494682854341
miR-320a	PGF	0.16050330780588418
miR-320a	miR-93-5p	0.6821668186634282
miR-320a	miR-222-3p	0.5651682526878163
miR-320a	miR-197-3p	0.49362444211251955
miR-320a	MUC16	0.15499549999133766
miR-126-5p	miR-122-5p	0.13472881422432614
miR-126-5p	miR-93-5p	0.6254734970943048
miR-126-5p	FABP4	0.10407619238910026
miR-21-5p	CASP8	0.1853021586871293
miR-21-5p	GAL	0.15784522890778518
miR-21-5p	miR-126-3p	0.5818226597932634
miR-21-5p	CD5	0.09318708443954815
miR-145-5p	miR-20b-5p	0.5773030927527403
miR-145-5p	CCL19	0.134601099861289
miR-145-5p	CCL23	0.14465345751588643
miR-145-5p	CDCP1	0.17406833772362784
miR-143-3p	miR-885-5p	0.18491951153737407
miR-143-3p	miR-28-5p	0.22791613550751766
miR-143-3p	CCL20	0.18700906816788887
miR-143-3p	FST	0.10140813685674654
miR-143-3p	miR-140-5p	0.2778877521242249
miR-143-3p	TEK	0.16641629369250222
miR-574-3p	KLK6	0.14027012078864498
miR-574-3p	NPPB	0.16041082573541843
miR-574-3p	miR-222-3p	0.5411011283469334
miR-574-3p	CCL3	0.1619939234486827
miR-191-5p	IKBKG	0.4842234690747702
miR-191-5p	RNY4-3p	0.6283189546956818
miR-191-5p	SIRT2	0.5089363595980112
miR-191-5p	miR-223-3p	0.7655362529314624
miR-191-5p	PDGFB	0.4014410866731817
miR-191-5p	CCL20	0.10866139883476666
miR-191-5p	RNY4-5p	0.6813925180709024
miR-191-5p	CXCL11	0.11554407303827308
miR-191-5p	CD40LG	0.2643124838717794
miR-191-5p	TEK	0.10187969452150902
miR-191-5p	CCL28	0.12101640137388259
miR-24-3p	miR-223-3p	0.995467906727475
miR-24-3p	PAPPA	0.13437302041841814
miR-24-3p	CCL13	0.10588858668587253
miR-24-3p	miR-126-3p	1.0433624611631984
miR-24-3p	miR-27b-3p	0.3558633066787351
miR-24-3p	miR-93-5p	0.9142351858338458
miR-24-3p	NTF3	0.33989080691328244
miR-24-3p	miR-19b-3p	0.7554477885047763
miR-24-3p	let-7d-5p	0.5521177614888524
miR-24-3p	FGF19	0.17907337542790192
