Regulator	Target	MI
miR-885-5p	IL1RN	0.12903317845645113
miR-885-5p	miR-122-5p	0.4357328679315744
miR-885-5p	CX3CL1	0.16069071277294356
miR-885-5p	miR-145-5p	0.17511940531078185
miR-885-5p	LGALS3	0.11763404826989277
miR-885-5p	CCL8	0.09418754001020258
miR-885-5p	OLR1	0.10593701214463191
miR-885-5p	TNFSF14	0.11504611482925942
miR-885-5p	VEGFD	0.09510519726584743
miR-885-5p	GH1	0.15684945415724627
miR-885-5p	FGF19	0.18030325697689342
miR-885-5p	miR-223-5p	0.21198260610795483
miR-885-5p	PTX3	0.12169962531922529
miR-20b-5p	CXCL6	0.09876006151003747
miR-20b-5p	miR-19b-3p	0.9796826147505087
miR-20b-5p	CCL19	0.1392892800809422
miR-20b-5p	IL15RA	0.10756633785134273
miR-20b-5p	miR-26a-5p	0.7124025750523488
miR-20b-5p	CD5	0.11650676554868777
miR-28-5p	CXCL9	0.10769646467718808
miR-28-5p	ESM1	0.1711501443347876
miR-28-5p	miR-27b-3p	0.17754317875946413
miR-28-5p	TNFSF11	0.09159669282974026
miR-28-5p	HAVCR1	0.11879716398263795
miR-28-5p	FST	0.1757361160306008
miR-28-5p	VEGFA	0.09485722032427013
miR-28-5p	miR-99b-5p	0.2621869934106362
miR-28-5p	CCL28	0.15635749704427138
miR-28-5p	IL17C	0.10228918122016672
miR-122-5p	NT-pro-BNP	0.12146412470816159
miR-122-5p	miR-885-5p	0.44083102505801186
miR-122-5p	RNY5-5p	0.41041902940201247
miR-122-5p	TGFA	0.157869187933799
miR-122-5p	FGF5	0.11474706339144536
miR-122-5p	NPPB	0.12685990911812262
miR-122-5p	miR-574-3p	0.20328443075378644
miR-122-5p	MMP3	0.1450990017678322
miR-122-5p	TNFRSF10B	0.19366288912465457
miR-122-5p	RNASE3	0.12185964685312545
miR-122-5p	F3	0.10707991581731768
miR-122-5p	KLK11	0.11271734305485026
miR-122-5p	IL7	0.15050490125758476
miR-122-5p	STAMBP	0.15877551713831384
miR-122-5p	TEK	0.13740330623452035
miR-126-3p	miR-126-5p	0.5585726066203707
miR-126-3p	miR-21-5p	0.6748341035055301
miR-126-3p	ESM1	0.11806045490579642
miR-126-3p	IKBKG	0.37855391849534215
miR-126-3p	miR-223-3p	0.9377092865182268
miR-126-3p	STAMBP	0.3098687617190814
miR-126-3p	miR-150-5p	0.4111121092876129
miR-126-3p	CCL7	0.12225375058214727
miR-126-3p	miR-222-3p	0.6648155681609538
miR-126-3p	IL7	0.13126459733518914
miR-126-3p	ADA	0.14187627483950038
miR-320a	miR-486-5p	0.3963219161562268
miR-320a	miR-140-5p	0.5314716210950907
miR-320a	PAPPA	0.1552472040510091
miR-320a	HBEGF	0.1995390186013264
miR-320a	miR-24-3p	0.7907026539559068
miR-320a	TGFB1	0.1572834824583298
miR-126-5p	miR-126-3p	0.5585726066203707
miR-126-5p	CCL23	0.15806334516050136
miR-21-5p	PLAT	0.19220875316069996
miR-21-5p	miR-126-3p	0.6561931913483194
miR-21-5p	miR-27b-3p	0.3142810553690065
miR-21-5p	miR-29a-3p	0.3836361631505385
miR-21-5p	NTF3	0.14201456379846888
miR-21-5p	MMP7	0.16836557479346492
miR-21-5p	OSM	0.12583436728548758
miR-21-5p	DKK1	0.15313612449227687
miR-145-5p	miR-885-5p	0.17511940531078096
miR-145-5p	CST5	0.13921392015559242
miR-145-5p	miR-143-3p	0.31116602063284127
miR-145-5p	miR-30b-5p	0.5327549747364655
miR-145-5p	CD6	0.10742472745488296
miR-143-3p	TNFRSF9	0.09606021917214136
miR-143-3p	miR-145-5p	0.29625545679523846
miR-143-3p	CCL7	0.11772587078044783
miR-143-3p	GDNF	0.11390392467828647
miR-143-3p	HBEGF	0.2365302472453985
miR-574-3p	miR-122-5p	0.22230677872604687
miR-574-3p	miR-19b-3p	0.547762418985954
miR-574-3p	miR-192-5p	0.27749738245952926
miR-191-5p	HSPB1	0.21332143858315522
miR-191-5p	CX3CL1	0.11680839059531412
miR-191-5p	CASP8	0.1842184393720263
miR-191-5p	RNY4-3p	0.7148160608003931
miR-191-5p	AXIN1	0.44881568087852575
miR-191-5p	SIRT2	0.24108108771004488
miR-191-5p	MMP12	0.12647244093334287
miR-191-5p	miR-140-5p	0.5411609988194614
