Regulator	Target	MI
miR-885-5p	OSM	0.11396172507116109
miR-885-5p	miR-28-5p	0.13653298852435558
miR-885-5p	miR-122-5p	0.4723779104097643
miR-885-5p	MMP10	0.09124243244853592
miR-885-5p	THBD	0.14386965120807904
miR-885-5p	CASP8	0.09501149882435644
miR-885-5p	FABP4	0.1440941384610781
miR-885-5p	miR-486-5p	0.21165779889484426
miR-885-5p	miR-222-3p	0.12654558261356819
miR-885-5p	IL12B	0.1945477270499456
miR-885-5p	CD244	0.13739149559553887
miR-20b-5p	FLT3LG	0.09710190665549767
miR-20b-5p	miR-130a-3p	0.5960827728890212
miR-20b-5p	miR-93-5p	0.6368471352141265
miR-20b-5p	miR-19b-3p	0.8260579449151564
miR-20b-5p	TNFRSF10B	0.22897111629541556
miR-20b-5p	IL6	0.18580592602199175
miR-20b-5p	CD40LG	0.33389247088719465
miR-28-5p	NT-pro-BNP	0.09463783779258605
miR-28-5p	CCL20	0.09520363146771604
miR-28-5p	miR-885-5p	0.1365329885243547
miR-28-5p	F3	0.10579996128521962
miR-28-5p	KLK6	0.11774604537363054
miR-28-5p	miR-93-5p	0.1937584698926127
miR-28-5p	LTA	0.09031138594936206
miR-28-5p	miR-99b-5p	0.15374537284350165
miR-28-5p	HAVCR1	0.1517965433447257
miR-28-5p	CCL28	0.18632132231447684
miR-122-5p	RNY4-5p	0.16082141543368245
miR-122-5p	TNFSF12	0.14499734143618692
miR-122-5p	miR-885-5p	0.4317546501783145
miR-122-5p	RNY5-5p	0.29701762629591677
miR-122-5p	FLT3LG	0.11202836886751388
miR-122-5p	HSPB1	0.20455070027161426
miR-122-5p	CXCL1	0.3366507984946976
miR-122-5p	PRL	0.10666575363898101
miR-122-5p	miR-126-5p	0.16215295284393516
miR-122-5p	F3	0.19009388530220672
miR-122-5p	IL6	0.14378462418504867
miR-122-5p	miR-192-5p	0.2336581504568498
miR-122-5p	GDNF	0.2559777416678255
miR-122-5p	LEP	0.11596882302791922
miR-122-5p	miR-150-5p	0.19396876871345636
miR-126-3p	miR-126-5p	0.5401612908473661
miR-126-3p	CX3CL1	0.14793147752173308
miR-126-3p	miR-145-5p	0.4907093099921136
miR-126-3p	OLR1	0.1352043635123339
miR-126-3p	miR-223-3p	0.9522240974115777
miR-126-3p	miR-24-3p	0.9751445782320189
miR-126-3p	CCL28	0.13605912026499478
miR-320a	PLAT	0.11566080970884052
miR-320a	miR-486-5p	0.4394604920029215
miR-320a	IKBKG	0.45974359359528183
miR-320a	CCL11	0.12661148480188444
miR-320a	miR-93-5p	0.6828289549146511
miR-320a	CCL25	0.10880631567277188
miR-320a	TNFSF12	0.09497193368827084
miR-320a	AGRP	0.11250117888379307
miR-126-5p	CSTB	0.0893598308093555
miR-126-5p	miR-122-5p	0.16215295284393516
miR-126-5p	miR-126-3p	0.540161290847367
miR-126-5p	miR-486-5p	0.33494691464248216
miR-126-5p	TGFB1	0.17599568394587628
miR-21-5p	miR-24-3p	0.6873031473270075
miR-21-5p	FGF19	0.09061341651780186
miR-145-5p	miR-143-3p	0.14848768344331642
miR-145-5p	TNFSF11	0.15090287596212537
miR-145-5p	IL16	0.1405963902146974
miR-145-5p	MMP10	0.12458493549932381
miR-145-5p	miR-30b-5p	0.6260941420471058
miR-145-5p	miR-126-3p	0.4907093099921136
miR-145-5p	miR-27b-3p	0.29509660414587824
miR-145-5p	CXCL11	0.18240761834796615
miR-143-3p	SULT1A1	0.12187325680526939
miR-143-3p	FST	0.20444499550309292
miR-143-3p	LTA	0.09169126672134453
miR-143-3p	CCL28	0.11358819079959837
miR-143-3p	miR-145-5p	0.14848768344331642
miR-574-3p	CCL7	0.12395122943407078
miR-574-3p	miR-222-3p	0.5981913626663795
miR-574-3p	BDNF	0.11005097989224044
miR-191-5p	HSPB1	0.31392825338201025
miR-191-5p	CTSL	0.09603097803660177
miR-191-5p	DNER	0.11434377718360533
miR-191-5p	RNY4-3p	0.6963841985328942
miR-191-5p	IL18	0.1138237576731802
miR-191-5p	SIRT2	0.4438832360549734
miR-191-5p	miR-24-3p	0.8340566301001635
miR-191-5p	RNY4-5p	0.8191673264809545
miR-191-5p	XPNPEP2	0.20200170172597254
miR-24-3p	miR-21-5p	0.6873031473270075
miR-24-3p	PLAU	0.21929966061480766
miR-24-3p	MMP12	0.117347245887232
miR-24-3p	miR-92a-3p	0.5468805930946434
miR-24-3p	HBEGF	0.20585192939338448
miR-24-3p	miR-126-3p	0.9587756148446687
miR-24-3p	miR-191-5p	0.8340566301001626
miR-24-3p	EIF4EBP1	0.16374678138139842
miR-24-3p	CCL2	0.1099888495234147
miR-24-3p	miR-197-3p	0.47513310538928355
miR-24-3p	miR-26a-5p	0.6020658875410003
miR-24-3p	let-7d-5p	0.5246356012385487
miR-27b-3p	PDGFB	0.2610069081795654
miR-27b-3p	CXCL1	0.25107569335455704
miR-27b-3p	miR-145-5p	0.29509660414587824
miR-486-5p	miR-885-5p	0.21165779889484426
miR-486-5p	miR-320a	0.43946049200292236
miR-486-5p	miR-126-5p	0.33494691464248216
miR-486-5p	CST5	0.13730978537577165
miR-486-5p	FGF23	0.0889929079830738
miR-486-5p	miR-150-5p	0.21080748367412117
miR-486-5p	ADA	0.16482562686283408
miR-486-5p	miR-16-5p	0.5408071129381193
miR-93-5p	CXCL9	0.1528172133001231
miR-93-5p	CSF1	0.13183890049983304
miR-93-5p	miR-20b-5p	0.6368471352141256
miR-93-5p	miR-28-5p	0.1937584698926127
miR-93-5p	miR-320a	0.6587518795876823
miR-93-5p	miR-223-3p	0.8740971669099551
miR-93-5p	STAMBP	0.46057267499895005
miR-222-3p	miR-885-5p	0.12654558261356819
miR-222-3p	miR-574-3p	0.5981913626663804
miR-222-3p	miR-29a-3p	0.46723431081996036
miR-222-3p	let-7b-5p	0.727738633703324
miR-222-3p	miR-140-5p	0.675484586717646
miR-222-3p	miR-192-5p	0.2784647712245887
miR-222-3p	miR-223-3p	0.5889645122485989
miR-29a-3p	THBD	0.1761013825568103
miR-29a-3p	MMP3	0.2137589495574801
miR-29a-3p	PGF	0.14706396182545678
miR-29a-3p	PAPPA	0.1308296069353494
miR-29a-3p	miR-150-5p	0.30467332574535444
miR-29a-3p	CCL13	0.12391902493075957
miR-29a-3p	miR-222-3p	0.4672343108199595
miR-29a-3p	TNFRSF9	0.10203167180480044
miR-29a-3p	KLK11	0.32225081042180026
miR-29a-3p	miR-223-5p	0.33681092781239297
miR-19b-3p	miR-20b-5p	0.8260579449151564
miR-19b-3p	miR-26a-5p	0.7991746428424076
miR-19b-3p	CXCL10	0.20008528700754802
miR-19b-3p	miR-140-5p	0.9764252709294654
miR-19b-3p	miR-16-5p	0.7679378981760685
miR-197-3p	miR-24-3p	0.47513310538928444
miR-197-3p	RNY4-5p	0.5669585249225815
miR-197-3p	F2R	0.10812072965865838
miR-26a-5p	IL27	0.13112060826952465
miR-26a-5p	miR-30b-5p	0.9519073425476359
miR-26a-5p	miR-24-3p	0.6020658875410003
miR-26a-5p	miR-19b-3p	0.7991746428424085
miR-26a-5p	CCL23	0.14202374863156209
miR-26a-5p	miR-221-3p	0.8198984400507916
miR-26a-5p	PTX3	0.15907349026945816
miR-324-5p	CD40	0.17678820840513776
