Regulator	Target	MI
miR-885-5p	NT-pro-BNP	0.09652914800201717
miR-885-5p	SELPLG	0.0959157508883548
miR-885-5p	GDF15	0.11859423804944136
miR-885-5p	PECAM1	0.18544686736464389
miR-885-5p	IL12B	0.10722535613191919
miR-885-5p	ADM	0.09114917952679225
miR-885-5p	miR-122-5p	0.5055446718759002
miR-885-5p	FGF21	0.18762665201015505
miR-885-5p	miR-16-5p	0.12205791332540095
miR-20b-5p	let-7b-5p	0.7290712383026907
miR-20b-5p	miR-93-5p	0.6987812181661006
miR-20b-5p	miR-222-3p	0.8716427338896162
miR-20b-5p	miR-19b-3p	1.0213272308897405
miR-28-5p	CXCL9	0.17383899200802766
miR-28-5p	FST	0.20823001130238517
miR-28-5p	TGFA	0.16730469698638561
miR-28-5p	miR-130a-3p	0.3368209287573576
miR-28-5p	RNASE3	0.13282890603219144
miR-28-5p	GH1	0.16322115868570908
miR-28-5p	miR-27b-3p	0.28618861941771456
miR-28-5p	CD244	0.12735582081650598
miR-122-5p	NPPB	0.11830974358787838
miR-122-5p	CSTB	0.09219841291952502
miR-122-5p	miR-26a-5p	0.10707202987259112
miR-122-5p	miR-375	0.1302847418222246
miR-122-5p	miR-885-5p	0.5055446718759002
miR-122-5p	RNY5-5p	0.23267520931100538
miR-122-5p	TNFSF10	0.12478185330290703
miR-122-5p	CXCL1	0.17587774656127753
miR-122-5p	TEK	0.11262258955324445
miR-126-3p	IKBKG	0.5649465827851587
miR-126-3p	AXIN1	0.5765433889156419
miR-126-3p	RNASE3	0.13505920108113578
miR-126-3p	miR-223-3p	1.0446003020554766
miR-126-3p	PECAM1	0.14934551104171323
miR-126-3p	PDGFB	0.4903655828835287
miR-126-3p	miR-320a	0.9378207478262253
miR-320a	miR-150-5p	0.3561313789219476
miR-320a	miR-126-3p	0.9378207478262253
miR-320a	miR-27b-3p	0.41784962854226393
miR-320a	miR-93-5p	0.7276453656332595
miR-320a	CXCL11	0.1386284537003668
miR-320a	GDNF	0.10368887379260627
miR-126-5p	IL27	0.14409446081040578
miR-126-5p	CTSD	0.15589811267591003
miR-126-5p	F3	0.10923877951026295
miR-126-5p	miR-223-3p	0.7027587825245263
miR-126-5p	CHI3L1	0.14284513007752953
miR-126-5p	MUC16	0.1909198710094282
miR-21-5p	MMP7	0.12295313755500992
miR-21-5p	SELPLG	0.19605231643671317
miR-21-5p	miR-24-3p	0.8386657557675097
miR-21-5p	S100A12	0.10247284813206914
miR-21-5p	KLK11	0.10151646568624884
miR-21-5p	KITLG	0.09786210799426343
miR-21-5p	FGF19	0.142594291471851
miR-145-5p	NT-pro-BNP	0.1278411032466531
miR-145-5p	PLAT	0.17257137580334803
miR-145-5p	miR-143-3p	0.4876048493473535
miR-145-5p	miR-130a-3p	0.6301321440679164
miR-145-5p	PGF	0.15752357688992102
miR-145-5p	HBEGF	0.14400832021390197
miR-145-5p	CCL4	0.12003859969387864
miR-145-5p	IL7	0.12299834464710635
miR-143-3p	MPO	0.13980644886417082
miR-143-3p	miR-145-5p	0.4876048493473535
miR-143-3p	CCL8	0.14523455965112753
miR-143-3p	CCL23	0.13881604571515727
miR-143-3p	TNFSF12	0.16889276318940638
miR-143-3p	CCL28	0.13905630827591775
miR-574-3p	CD40	0.11247292335698766
miR-574-3p	TNFSF11	0.12685103788675
miR-574-3p	miR-30b-5p	0.5888776185391107
miR-574-3p	miR-29a-3p	0.5763046891905059
miR-574-3p	FGF23	0.24575265982974415
miR-574-3p	TNFRSF10B	0.12040687820282159
miR-574-3p	XPNPEP2	0.2302570957582155
miR-574-3p	PTX3	0.09851717440674523
miR-191-5p	ESM1	0.1317221647807827
miR-191-5p	RNY4-3p	0.8451055551976543
miR-191-5p	miR-223-3p	0.7995218566700402
miR-191-5p	miR-92a-3p	0.5854198162448192
miR-191-5p	RNY4-5p	1.047080366717954
miR-191-5p	SELE	0.126427262271247
miR-24-3p	miR-21-5p	0.841091213714285
miR-24-3p	FGF5	0.09187225779482766
miR-24-3p	miR-223-3p	1.041253664529095
miR-24-3p	EGF	0.5660499942744233
miR-24-3p	miR-26a-5p	0.6899606319150404
miR-24-3p	IL10RA	0.19537805950975873
miR-24-3p	let-7d-5p	0.648120813521122
miR-24-3p	TEK	0.1344741042262374
miR-27b-3p	CCL13	0.11726575942864415
miR-27b-3p	CSTB	0.09698383078507256
miR-27b-3p	miR-28-5p	0.28618861941771634
miR-27b-3p	miR-320a	0.41784962854226393
miR-27b-3p	FABP4	0.10659376455718217
miR-27b-3p	LEP	0.1273364660723324
miR-27b-3p	miR-223-5p	0.4790494256223301
miR-27b-3p	AGRP	0.1253270704458096
miR-27b-3p	HBEGF	0.1487870511789211
miR-486-5p	CCL13	0.09390654376127827
miR-486-5p	PLAU	0.16852439056128432
miR-486-5p	NTF3	0.09633595135676831
miR-486-5p	CCL3	0.10737094972952388
miR-486-5p	EIF4EBP1	0.1765322471300852
miR-486-5p	BDNF	0.11168257762728118
miR-486-5p	IL18	0.15805267818593904
miR-486-5p	miR-16-5p	0.5603331192210126
miR-93-5p	MB	0.1264748002393441
miR-93-5p	miR-223-3p	1.0146125834687156
miR-93-5p	STAMBP	0.4171700061513386
miR-93-5p	CCL11	0.1537411058994369
miR-93-5p	miR-20b-5p	0.6987812181661006
miR-93-5p	TNFRSF11B	0.15187465301206515
miR-93-5p	miR-320a	0.7248594377215882
miR-93-5p	CCL7	0.11995831623955144
miR-93-5p	CCL2	0.10514066278600431
miR-93-5p	CD40LG	0.4462281318094208
miR-222-3p	miR-324-5p	0.4685707271949662
miR-222-3p	miR-140-5p	0.8547983905683312
miR-222-3p	miR-30b-5p	0.8722936843852187
miR-222-3p	miR-223-3p	0.6346447201841103
miR-222-3p	miR-99b-5p	0.3878690179201003
miR-222-3p	miR-20b-5p	0.8716427338896171
miR-222-3p	RETN	0.10302380392828692
miR-222-3p	IL17C	0.14661262503130512
miR-29a-3p	miR-574-3p	0.5763046891905059
miR-29a-3p	miR-221-3p	0.5756437226152071
miR-29a-3p	CD5	0.10747653691842007
miR-19b-3p	SPON1	0.11913251741365016
miR-19b-3p	CSF1	0.18498485300355405
miR-19b-3p	CXCL16	0.1144005801981498
miR-19b-3p	CD274	0.13097642774521567
miR-19b-3p	miR-20b-5p	1.0213272308897405
miR-19b-3p	miR-26a-5p	0.8974905284907324
miR-19b-3p	miR-16-5p	0.7365276302231596
miR-197-3p	IL1RN	0.10955292594872734
miR-197-3p	miR-223-3p	0.7049531048682374
miR-26a-5p	CXCL6	0.2065738775702659
miR-26a-5p	miR-122-5p	0.10821050681247435
miR-26a-5p	FLT3LG	0.12354040907895936
miR-26a-5p	SIRT2	0.43393677287819177
miR-26a-5p	miR-30b-5p	1.1087243049555617
miR-26a-5p	miR-24-3p	0.6895708352632113
miR-26a-5p	miR-19b-3p	0.8974905284907324
miR-26a-5p	miR-221-3p	1.058692244095358
miR-324-5p	CST5	0.12556274535866763
miR-324-5p	THBD	0.16589860776716847
miR-324-5p	PLAU	0.1276309051707658
miR-324-5p	miR-222-3p	0.45805096774332466
miR-324-5p	CCL19	0.2788163808560311
miR-324-5p	LIFR	0.13718521238879777
miR-324-5p	VEGFD	0.10125616011415417
miR-324-5p	NGF	0.17001307579604052
miR-324-5p	MMP12	0.11300741304225603
miR-324-5p	IL6	0.1666521691462295
miR-324-5p	TEK	0.1610845692049132
miR-130a-3p	miR-28-5p	0.32121544885091513
miR-130a-3p	miR-145-5p	0.6230117241333399
miR-130a-3p	CTSL	0.15052601874823957
miR-130a-3p	IL10	0.11594923400543689
miR-130a-3p	MMP10	0.31558187384680014
miR-130a-3p	IL1RL1	0.12645187618951592
miR-130a-3p	CCL20	0.16652527502026526
miR-130a-3p	RNY4-5p	0.559572472771495
miR-130a-3p	miR-221-3p	0.7570765460824038
miR-221-3p	CXCL1	0.4492679391776502
miR-221-3p	CX3CL1	0.18207331689911221
miR-221-3p	IL15RA	0.27273329220517617
miR-221-3p	miR-130a-3p	0.7570765460824038
miR-221-3p	SULT1A1	0.3028492996400507
miR-221-3p	miR-29a-3p	0.5756437226152071
miR-221-3p	CCL25	0.15070130994297237
miR-221-3p	TNFSF14	0.1291163690611139
miR-221-3p	miR-26a-5p	1.0688109281321223
miR-221-3p	let-7d-5p	0.6636757889597371
let-7b-5p	miR-20b-5p	0.7290712383026916
let-7b-5p	CTSD	0.1343462030595015
let-7b-5p	TGFB1	0.14213741268656577
let-7b-5p	FABP4	0.09157080390767369
let-7b-5p	miR-16-5p	0.6635783832253725
let-7d-5p	CXCL9	0.11441627527052578
let-7d-5p	DNER	0.15588076338597556
let-7d-5p	HGF	0.12900164650049906
let-7d-5p	DKK1	0.09700165477396183
let-7d-5p	SRC	0.6274477568774328
let-7d-5p	miR-24-3p	0.648120813521122
let-7d-5p	SLAMF1	0.1908823752214195
let-7d-5p	BDNF	0.16549579110615387
let-7d-5p	miR-221-3p	0.663675788959738
let-7d-5p	REN	0.10499670333887678
miR-140-5p	NPPB	0.13240933047641246
miR-140-5p	HAVCR1	0.11337754538227873
miR-140-5p	PLAUR	0.14687497641512337
miR-140-5p	miR-222-3p	0.8547983905683303
miR-192-5p	CD274	0.2059712644964451
miR-192-5p	miR-30b-5p	0.15418757906075964
miR-192-5p	CCL8	0.09913953166137102
miR-192-5p	VEGFD	0.11766864456703185
miR-30b-5p	miR-574-3p	0.5888776185391116
miR-30b-5p	miR-192-5p	0.15418757906075875
miR-30b-5p	miR-222-3p	0.9078828102597027
miR-30b-5p	IL10RB	0.13432826650234997
miR-30b-5p	miR-26a-5p	1.0771858558279455
miR-30b-5p	IL18R1	0.1164401523705898
miR-223-3p	HSPB1	0.39977516252514
miR-223-3p	miR-126-5p	0.7027587825245272
miR-223-3p	miR-126-3p	1.0627104490904689
miR-223-3p	miR-191-5p	0.799521856670041
miR-223-3p	miR-24-3p	1.041253664529095
miR-223-3p	miR-93-5p	1.0146125834687165
miR-223-3p	miR-222-3p	0.6346447201841094
miR-223-3p	miR-197-3p	0.7049531048682356
miR-223-3p	GDF15	0.15607777723295158
miR-223-3p	miR-223-5p	0.6209081534338408
miR-223-5p	CXCL5	0.3246145758242083
miR-223-5p	LGALS3	0.14749174632332895
miR-223-5p	miR-27b-3p	0.4790494256223301
miR-223-5p	TNFSF10	0.21000611570184624
miR-223-5p	RNY4-3p	0.8681057501500993
miR-223-5p	MMP10	0.17278698193705466
miR-223-5p	miR-223-3p	0.6209081534338416
miR-375	CCL25	0.14612651075643335
miR-375	CCL23	0.13345821251981782
miR-375	TGFB1	0.26339455349992313
miR-375	CSF1	0.16400089770983417
miR-375	MMP1	0.19309035770743055
miR-375	FLT3LG	0.11062554705781924
miR-375	miR-122-5p	0.1302847418222246
miR-375	FGF5	0.09387465266258843
miR-375	GH1	0.11186154727015829
miR-375	LGALS3	0.19817063195151174
miR-375	miR-92a-3p	0.20624927813630567
miR-92a-3p	CASP8	0.2663902246511105
miR-92a-3p	OLR1	0.14089435983692056
miR-92a-3p	IL16	0.14384870817186712
miR-92a-3p	GAL	0.09746801215368261
miR-92a-3p	RNY5-5p	0.351172953622477
miR-92a-3p	miR-191-5p	0.5854198162448192
miR-92a-3p	EGF	0.45251701198130423
