Regulator	Target	MI
miR-885-5p	miR-20b-5p	0.17260058146190183
miR-885-5p	miR-122-5p	0.4860451425440342
miR-885-5p	RETN	0.202936449148587
miR-885-5p	LGALS3	0.09586970664269323
miR-885-5p	miR-192-5p	0.13238824046428288
miR-885-5p	GAL	0.09517000719591717
miR-885-5p	TNFSF10	0.1463649736749053
miR-885-5p	HAVCR1	0.12601044060687538
miR-20b-5p	NT-pro-BNP	0.1344386871290446
miR-20b-5p	SPON1	0.26644818222078914
miR-20b-5p	CXCL1	0.359942159938889
miR-20b-5p	miR-145-5p	0.8070966050549071
miR-20b-5p	miR-143-3p	0.2929638061926827
miR-20b-5p	FST	0.19467206350330102
miR-20b-5p	miR-885-5p	0.17260058146190183
miR-20b-5p	miR-19b-3p	1.0312945917457501
miR-20b-5p	CCL20	0.10113870295857375
miR-20b-5p	RNY4-5p	0.5748659219151389
miR-20b-5p	CD5	0.12739751106974762
miR-28-5p	CCL13	0.09758988739142627
miR-28-5p	RNY4-5p	0.27814818384449325
miR-28-5p	CXCL1	0.11363804199667715
miR-28-5p	PLAT	0.1309684451653519
miR-28-5p	miR-126-5p	0.18525072116830987
miR-28-5p	CXCL5	0.15909232653788852
miR-28-5p	ESM1	0.10099393408099733
miR-28-5p	EIF4EBP1	0.21877543168499614
miR-28-5p	S100A12	0.13097079150202884
miR-28-5p	TEK	0.09737716933212415
miR-28-5p	HAVCR1	0.09755399476134041
miR-28-5p	CTSD	0.09093098653635501
miR-122-5p	CXCL6	0.16996264006289685
miR-122-5p	CCL11	0.14350179649132055
miR-122-5p	miR-885-5p	0.4484758986202042
miR-122-5p	RNY5-5p	0.1897241749609515
miR-122-5p	miR-126-3p	0.1877107254308923
miR-122-5p	miR-143-3p	0.2762598058881851
miR-122-5p	CCL7	0.23004651656960018
miR-122-5p	CTSD	0.14741867835993805
miR-122-5p	CCL20	0.14788747183280204
miR-122-5p	TNFSF12	0.14872157671165276
miR-122-5p	VEGFD	0.12427191623418832
miR-126-3p	NPPB	0.20209656059524939
miR-126-3p	RNY4-3p	0.5125056847941503
miR-126-3p	miR-140-5p	0.7710892553745685
miR-126-3p	miR-223-3p	1.1017622525463153
miR-126-3p	miR-320a	0.699735238167392
miR-126-3p	IL1RL1	0.13627244128865446
miR-126-3p	miR-24-3p	1.1439806627769764
miR-126-3p	GDF15	0.19053302438570174
miR-126-3p	miR-26a-5p	0.7198928270772793
miR-126-3p	KITLG	0.11558503173411694
miR-126-3p	IL7	0.14461501309134484
miR-126-3p	miR-375	0.19755187098384575
miR-126-3p	IL18R1	0.17362605666948472
miR-320a	miR-486-5p	0.5912218944422012
miR-320a	NGF	0.1333955426085538
miR-320a	LTA	0.20864666527973075
miR-320a	miR-126-3p	0.699735238167392
miR-320a	miR-27b-3p	0.3091136419272065
miR-320a	miR-93-5p	0.7473872917855084
miR-126-5p	miR-24-3p	0.5624145926338926
miR-126-5p	CASP8	0.21148665276075196
miR-126-5p	DNER	0.19145384385311193
miR-126-5p	IL10RB	0.2395286031260726
miR-126-5p	IL10RA	0.10186006742666187
miR-126-5p	CXCL10	0.23272901752851105
miR-126-5p	CDCP1	0.08957066136288905
miR-21-5p	miR-324-5p	0.4467616213476626
miR-21-5p	PECAM1	0.1468937613622776
miR-21-5p	miR-24-3p	0.7094694777410409
miR-21-5p	CCL4	0.13015064540294574
miR-21-5p	CD40LG	0.3187127192399153
miR-145-5p	IL12B	0.1864950922861297
miR-145-5p	RNY4-3p	0.46201848505778553
miR-145-5p	miR-20b-5p	0.8087218620209642
miR-145-5p	KLK6	0.1510157550985083
miR-145-5p	TNFRSF9	0.18427482652723626
miR-143-3p	miR-20b-5p	0.29384151422614746
miR-143-3p	TGFA	0.1531165315420191
miR-143-3p	miR-122-5p	0.2366971698200473
miR-143-3p	MPO	0.11316718233253198
miR-143-3p	DNER	0.18550257901711298
miR-143-3p	TNFSF11	0.13758064259312608
miR-143-3p	FGF23	0.17672644885014321
miR-143-3p	HGF	0.19389439219034177
miR-143-3p	MMP3	0.2166799470127252
miR-143-3p	OSM	0.2455306267966666
miR-143-3p	NGF	0.14924768426241908
miR-143-3p	SELE	0.15941137242713133
miR-143-3p	GH1	0.1443928889884578
miR-143-3p	CCL28	0.2114818801135474
miR-574-3p	miR-130a-3p	0.5897420550893937
miR-574-3p	miR-192-5p	0.242590031397107
miR-574-3p	HBEGF	0.2232250486941707
miR-574-3p	miR-27b-3p	0.35734140853158625
miR-574-3p	miR-222-3p	0.6058275991621249
miR-574-3p	TEK	0.12169112463765774
miR-191-5p	LGALS3	0.1178583687849839
miR-191-5p	OLR1	0.12863850644392727
miR-191-5p	IKBKG	0.38514105068599225
miR-191-5p	HAVCR1	0.10204655513479999
miR-191-5p	RNY4-3p	0.6950033365302906
miR-191-5p	AXIN1	0.4651148760566821
miR-191-5p	SIRT2	0.3942663386671166
miR-191-5p	miR-92a-3p	0.6488811793426787
miR-191-5p	CHI3L1	0.21364117979974395
miR-191-5p	miR-99b-5p	0.38899649903992106
miR-191-5p	PDGFB	0.3906966416088036
miR-191-5p	miR-24-3p	0.7055707482754894
miR-191-5p	FGF21	0.15721793641289672
miR-191-5p	RNY4-5p	0.7618263030344492
miR-24-3p	miR-126-5p	0.5777193776025324
miR-24-3p	miR-21-5p	0.7094694777410409
miR-24-3p	CXCL5	0.2765499917997154
miR-24-3p	miR-126-3p	1.1318057573503912
miR-24-3p	miR-191-5p	0.7055707482754903
miR-24-3p	NTF3	0.20065072693798758
miR-24-3p	let-7d-5p	0.6961653155401555
miR-24-3p	miR-223-5p	0.5095207470389056
miR-27b-3p	miR-320a	0.3091136419272065
miR-27b-3p	miR-574-3p	0.3556863124666849
miR-27b-3p	NTF3	0.20933359809905028
miR-27b-3p	CCL2	0.12480030995087521
miR-27b-3p	S100A12	0.1253472180292725
miR-27b-3p	FABP4	0.15010758077854547
miR-486-5p	miR-320a	0.5912218944422021
miR-486-5p	miR-92a-3p	0.5766500779862183
miR-486-5p	REN	0.10226211614851977
miR-486-5p	miR-16-5p	0.6013218690602438
miR-93-5p	HSPB1	0.21963020095304042
miR-93-5p	GAL	0.08948748065708045
miR-93-5p	miR-223-3p	0.9043434781108903
miR-93-5p	miR-92a-3p	0.6391226707366728
miR-93-5p	miR-320a	0.7350829039649192
miR-93-5p	miR-19b-3p	0.7560049137622746
miR-93-5p	TNFSF14	0.16182794511360665
miR-93-5p	TNFSF12	0.17598108618213715
miR-93-5p	TNFRSF10B	0.18576326694505862
miR-222-3p	miR-28-5p	0.1645411443269129
miR-222-3p	miR-574-3p	0.605827599162124
miR-222-3p	IL6R	0.1854982873198221
miR-222-3p	F2R	0.16698028333963855
miR-222-3p	let-7b-5p	0.8415605989650397
miR-222-3p	miR-140-5p	0.8434360647812627
miR-222-3p	AGER	0.176583343199197
miR-222-3p	miR-19b-3p	0.7719966141714085
miR-222-3p	CD6	0.2007206267356274
miR-29a-3p	MMP1	0.21155265816905988
miR-29a-3p	PLAUR	0.21150569285082277
miR-29a-3p	MMP10	0.11748148263974745
miR-29a-3p	miR-223-3p	0.5666237056708789
miR-29a-3p	miR-150-5p	0.26983360840461934
miR-29a-3p	CCL19	0.11602007767647304
miR-29a-3p	VEGFA	0.14157626103859489
miR-29a-3p	FGF19	0.11098719374254795
miR-29a-3p	FAS	0.18323128689687707
miR-19b-3p	ADM	0.14117997615596956
miR-19b-3p	IL15RA	0.13389073887519576
miR-19b-3p	miR-140-5p	0.7738829222461412
miR-19b-3p	miR-30b-5p	0.9211385946282711
miR-19b-3p	miR-20b-5p	1.031294591745751
miR-19b-3p	miR-93-5p	0.7560049137622746
miR-19b-3p	S100A12	0.24569125825748372
miR-19b-3p	KLK11	0.14418770944082038
