Regulator	Target	MI
miR-885-5p	GDF15	0.16852795570146384
miR-885-5p	IL18	0.1796960639297085
miR-885-5p	miR-122-5p	0.46685170457303826
miR-885-5p	RETN	0.11078983186473135
miR-885-5p	CHI3L1	0.10059879636942526
miR-885-5p	FGF21	0.11473058126917568
miR-20b-5p	FGF5	0.09506661848574183
miR-20b-5p	miR-93-5p	0.6755390358131468
miR-20b-5p	miR-19b-3p	0.985874401194418
miR-20b-5p	MMP3	0.1251413815461273
miR-20b-5p	IL18	0.09164847586789193
miR-20b-5p	miR-30b-5p	0.7948507514172913
miR-28-5p	SELPLG	0.11780382413882506
miR-28-5p	TGFB1	0.1099922982678132
miR-28-5p	CSF1	0.0922415857955805
miR-28-5p	SELE	0.18419434159947912
miR-28-5p	CXCL16	0.12237703990507942
miR-28-5p	VEGFA	0.12988635359884082
miR-28-5p	NPPB	0.09968217168030424
miR-28-5p	miR-150-5p	0.21189998000413723
miR-122-5p	NT-pro-BNP	0.10883682746900014
miR-122-5p	TNFSF12	0.13980743804366735
miR-122-5p	miR-885-5p	0.4563816135372969
miR-122-5p	RNY5-5p	0.3542143667805746
miR-122-5p	PLAUR	0.10651046461130687
miR-122-5p	CXCL1	0.11433550155107675
miR-122-5p	miR-192-5p	0.333079277142982
miR-122-5p	miR-92a-3p	0.1825702221575085
miR-126-3p	miR-126-5p	0.6582996463973236
miR-126-3p	miR-21-5p	0.6815496698480104
miR-126-3p	miR-223-3p	1.0677761684154463
miR-126-3p	miR-150-5p	0.3622627448956832
miR-126-3p	miR-27b-3p	0.2793840951739064
miR-320a	IL27	0.13754194496260563
miR-320a	miR-21-5p	0.6334024746396612
miR-320a	miR-24-3p	0.7650578624571969
miR-320a	FAS	0.10762193039634127
miR-320a	TEK	0.1871374784959139
miR-126-5p	miR-126-3p	0.6766454302496401
miR-126-5p	miR-191-5p	0.5083679636050116
miR-126-5p	FGF19	0.13598055854259528
miR-21-5p	RNY5-5p	0.2513289020958567
miR-21-5p	miR-126-3p	0.6649390221748694
miR-21-5p	miR-320a	0.6426009642662445
miR-21-5p	TNFSF14	0.1512311642898423
miR-21-5p	RNY4-5p	0.6482982574528462
miR-21-5p	IL7	0.09207929829719053
miR-145-5p	IL10	0.0922882925523103
miR-145-5p	CXCL11	0.11503764319979126
miR-145-5p	miR-30b-5p	0.5364954111236147
miR-143-3p	THBD	0.09527870432291952
miR-143-3p	DNER	0.15302280825594217
miR-143-3p	NTF3	0.14375850121977862
miR-143-3p	miR-19b-3p	0.38195368909722305
miR-143-3p	FGF23	0.09201050567877367
miR-143-3p	GDF15	0.1071351311034281
miR-143-3p	FLT3LG	0.1202689930554417
miR-574-3p	miR-30b-5p	0.5349146186530094
miR-574-3p	miR-375	0.13921067806101028
miR-191-5p	miR-126-5p	0.5083679636050107
miR-191-5p	miR-24-3p	0.6556216779354438
miR-191-5p	SLAMF1	0.0917272049080502
miR-191-5p	RNY4-3p	0.6117477551904313
miR-191-5p	RNY4-5p	0.8045538574569404
miR-191-5p	MMP10	0.20050630206543119
miR-24-3p	CD40	0.10703931017954726
miR-24-3p	CXCL9	0.10130811864835909
miR-24-3p	HSPB1	0.304680456377592
miR-24-3p	IKBKG	0.5011642598883332
miR-24-3p	IL15RA	0.11692010745233095
miR-24-3p	miR-223-3p	1.0348012963272994
miR-24-3p	miR-320a	0.7467278439600022
miR-24-3p	miR-191-5p	0.6556216779354429
miR-24-3p	miR-93-5p	0.8081549132259127
miR-24-3p	TNFSF12	0.15159691783555207
miR-24-3p	miR-221-3p	0.791437580921813
miR-24-3p	KLK11	0.12645513538822772
miR-24-3p	let-7d-5p	0.7149828369846203
miR-27b-3p	CD274	0.1429585204562578
miR-27b-3p	RETN	0.17856512162154647
miR-27b-3p	CCL4	0.09147165015887104
miR-27b-3p	CDCP1	0.12300122117131629
miR-486-5p	miR-93-5p	0.44773888994223565
miR-486-5p	EIF4EBP1	0.15783095386947377
miR-486-5p	CD5	0.10104141928078825
miR-486-5p	PAPPA	0.22376100843755786
miR-486-5p	miR-16-5p	0.6379942040697717
miR-93-5p	miR-20b-5p	0.6755390358131477
miR-93-5p	miR-24-3p	0.8081549132259109
miR-93-5p	miR-486-5p	0.44773888994223654
miR-93-5p	CTSL	0.11857983092459445
miR-93-5p	MMP7	0.12340507421866942
miR-93-5p	miR-130a-3p	0.5534108654420367
miR-93-5p	miR-92a-3p	0.5440150525399874
miR-222-3p	NPPB	0.10717332956054015
miR-222-3p	CTSD	0.12382988797170835
miR-222-3p	F2R	0.1595067160343948
miR-222-3p	IL16	0.20074439200606697
miR-222-3p	miR-30b-5p	0.7666387327648989
miR-222-3p	miR-19b-3p	0.8025685814602417
miR-29a-3p	miR-574-3p	0.5092657594635055
miR-29a-3p	DKK1	0.14953605285493232
miR-29a-3p	miR-30b-5p	0.5059730963236122
miR-19b-3p	miR-143-3p	0.38195368909722305
miR-19b-3p	miR-130a-3p	0.6416045918851889
miR-19b-3p	SIRT2	0.34690456861595553
miR-19b-3p	PECAM1	0.15143218988661467
miR-19b-3p	miR-20b-5p	0.985874401194418
miR-19b-3p	TGFA	0.12341724620782735
