Regulator	Target	MI
miR-885-5p	SELPLG	0.12359656052904722
miR-885-5p	RNY4-3p	0.12865059176272986
miR-885-5p	TNFSF12	0.13817573454383858
miR-885-5p	MMP3	0.1298673433592299
miR-885-5p	miR-20b-5p	0.12113692721488789
miR-885-5p	IL27	0.13061044601940797
miR-885-5p	miR-122-5p	0.46744593978062987
miR-885-5p	miR-192-5p	0.11514826794200328
miR-885-5p	CCL8	0.14746504679132943
miR-885-5p	CCL7	0.0896191983823087
miR-885-5p	MB	0.09991101626447474
miR-20b-5p	CXCL16	0.21815143794549918
miR-20b-5p	DKK1	0.12204252565702056
miR-20b-5p	let-7b-5p	0.7558656830385848
miR-20b-5p	miR-93-5p	0.6392144945573737
miR-20b-5p	miR-19b-3p	0.992310012706886
miR-28-5p	SPON1	0.09590922407351421
miR-28-5p	miR-885-5p	0.09132261137158793
miR-28-5p	miR-130a-3p	0.2618347134542507
miR-28-5p	MMP12	0.11265026507862608
miR-28-5p	miR-143-3p	0.25852956393870485
miR-28-5p	CHI3L1	0.16779015895828575
miR-122-5p	miR-885-5p	0.467445939780629
miR-122-5p	F2R	0.18713601467270724
miR-122-5p	RNY5-5p	0.36721982218368865
miR-122-5p	CXCL1	0.10207569549348161
miR-122-5p	RNASE3	0.10701420267024986
miR-122-5p	F3	0.10360298190630246
miR-122-5p	miR-21-5p	0.15247831590666383
miR-122-5p	VEGFA	0.11207541828157908
miR-122-5p	IL1RL1	0.14932066861484738
miR-122-5p	LGALS3	0.1152558755653601
miR-122-5p	CCL19	0.09255472670118436
miR-122-5p	TEK	0.14043730271820376
miR-126-3p	SRC	0.4705379731079784
miR-126-3p	miR-126-5p	0.32327639934012975
miR-126-3p	miR-21-5p	0.5680616388670776
miR-126-3p	miR-24-3p	0.9599955340336042
miR-126-3p	miR-27b-3p	0.31479078823724915
miR-126-3p	TNFSF10	0.11601952268781357
miR-126-3p	MUC16	0.18188616535040492
miR-126-3p	CD40LG	0.28776813424727266
miR-320a	CD274	0.15222832979504197
miR-320a	miR-93-5p	0.6224113176216299
miR-320a	IL12B	0.1282563533370764
miR-320a	RNY4-3p	0.43384899757943707
miR-320a	TNFSF14	0.12489261459578138
miR-320a	IL7	0.13853914124438216
miR-320a	LEP	0.11454674741199078
miR-126-5p	miR-126-3p	0.32327639934012886
miR-126-5p	CTSD	0.09702436455303509
miR-126-5p	RNY4-3p	0.31608994842746796
miR-126-5p	RNASE3	0.12584353940799708
miR-126-5p	F3	0.15883943717470927
miR-126-5p	GH1	0.10995688212753318
miR-126-5p	HBEGF	0.11131642831258315
miR-21-5p	miR-122-5p	0.1180456506013261
miR-21-5p	MB	0.11021691851714355
miR-21-5p	RNY5-5p	0.31128481495170046
miR-21-5p	TNFRSF11B	0.15033006411032446
miR-21-5p	miR-126-3p	0.5680616388670776
miR-21-5p	NTF3	0.09585489832821548
miR-21-5p	FGF19	0.11038957403127103
miR-145-5p	CSTB	0.11519694077566633
miR-145-5p	RNY5-5p	0.2272563758408852
miR-145-5p	IL27	0.17153869892049478
miR-145-5p	miR-574-3p	0.4909699506386884
miR-145-5p	CCL7	0.1030343554260087
miR-145-5p	miR-19b-3p	0.5923373307323319
miR-145-5p	MMP10	0.09050326797464425
miR-145-5p	CXCL11	0.11394476271268683
miR-145-5p	CDCP1	0.1898101509062169
miR-145-5p	miR-99b-5p	0.49179384015501704
miR-143-3p	miR-28-5p	0.25852956393870485
miR-143-3p	SULT1A1	0.19477295668798256
miR-143-3p	CCL19	0.1210379187733075
miR-143-3p	RNY4-5p	0.24650099059407538
miR-143-3p	FLT3LG	0.11049404383192307
miR-143-3p	miR-140-5p	0.19534184271555244
miR-143-3p	IL7	0.15106531405835977
miR-143-3p	XPNPEP2	0.1741813729506294
miR-574-3p	HSPB1	0.2844916179013728
miR-574-3p	miR-145-5p	0.5037156926426585
miR-574-3p	miR-26a-5p	0.5622551002367517
