Regulator	Target	MI
miR-885-5p	SPON1	0.11704918071027492
miR-885-5p	IL10RB	0.11666993848715457
miR-885-5p	F2R	0.11856063486395918
miR-885-5p	miR-122-5p	0.4040967074349169
miR-885-5p	PRL	0.09321346141728082
miR-885-5p	miR-192-5p	0.425281273312641
miR-885-5p	FABP4	0.12436850461585891
miR-885-5p	AGRP	0.15462098424206694
miR-885-5p	miR-197-3p	0.14907373147803948
miR-885-5p	ADA	0.08913872079018059
miR-20b-5p	CD274	0.140323455035821
miR-20b-5p	miR-126-3p	0.7104438685934777
miR-20b-5p	miR-19b-3p	1.1614161710089936
miR-20b-5p	IL18	0.09966181322756018
miR-20b-5p	let-7d-5p	0.6667797807770652
miR-28-5p	CCL23	0.11898529736031627
miR-28-5p	CD40	0.09517003093313203
miR-28-5p	CDCP1	0.10635989486562192
miR-28-5p	MB	0.11536213887532298
miR-28-5p	miR-375	0.10824993483967038
miR-28-5p	miR-99b-5p	0.16953894062309605
miR-28-5p	TNFRSF11B	0.09501943407314162
miR-28-5p	MMP10	0.0962576221488387
miR-122-5p	FGF5	0.1315882150222345
miR-122-5p	CSTB	0.11658622249763972
miR-122-5p	LGALS3	0.12172747819424945
miR-122-5p	miR-885-5p	0.40409670743491777
miR-122-5p	RNY5-5p	0.2902075080702673
miR-122-5p	PLAUR	0.1264660572747891
miR-122-5p	miR-126-3p	0.19650090877534154
miR-126-3p	SPON1	0.10182910823593172
miR-126-3p	CXCL1	0.14372143850794394
miR-126-3p	miR-122-5p	0.19190232483503777
miR-126-3p	miR-126-5p	0.4837083349582434
miR-126-3p	CXCL5	0.1602542291843756
miR-126-3p	AXIN1	0.3892605830358917
miR-126-3p	miR-223-3p	1.0435982700511186
miR-126-3p	STAMBP	0.3793628754923981
miR-126-3p	miR-150-5p	0.38791570272565234
miR-126-3p	PDGFB	0.28714654654775273
miR-126-3p	miR-24-3p	1.0043569254181905
miR-126-3p	miR-222-3p	0.6437334423463303
miR-126-3p	GDF15	0.10460982621017223
miR-126-3p	XPNPEP2	0.10004761117955585
miR-320a	CXCL9	0.1165285178770672
miR-320a	MPO	0.111444715410709
miR-320a	IL10	0.10426602535878615
miR-320a	miR-93-5p	0.6836353504780819
miR-320a	CCL19	0.0938371395000619
miR-320a	IL6	0.14789968374448303
miR-320a	FGF19	0.1198514441690186
miR-126-5p	miR-126-3p	0.4837083349582434
miR-126-5p	miR-375	0.13477222411848633
miR-21-5p	miR-99b-5p	0.3549322807179074
miR-21-5p	RNY5-5p	0.2658801037204279
miR-21-5p	miR-24-3p	0.6969969307362556
miR-21-5p	TNFSF12	0.1011926546654962
miR-21-5p	miR-221-3p	0.6381427578960661
miR-21-5p	GH1	0.10447664965270054
miR-21-5p	IL7	0.1333639781246463
miR-21-5p	REN	0.10557441488227681
miR-145-5p	CX3CL1	0.1093361482194446
miR-145-5p	F2R	0.11615242073549581
miR-145-5p	CCL4	0.13998482559736214
miR-145-5p	miR-19b-3p	0.5398466591406068
miR-145-5p	miR-197-3p	0.49356676588013837
miR-145-5p	CCL23	0.14734106365993327
miR-145-5p	CXCL11	0.08913513132897322
miR-145-5p	CCL28	0.18638417786272754
miR-143-3p	FST	0.11002098919681202
miR-143-3p	LIFR	0.10855104467230348
miR-143-3p	PRL	0.11527702121242367
miR-143-3p	CXCL10	0.14542164753652465
miR-143-3p	miR-486-5p	0.21834668503497578
miR-574-3p	MB	0.13726384578645856
miR-574-3p	miR-222-3p	0.5261994020737557
miR-574-3p	miR-29a-3p	0.4719917196817027
miR-574-3p	IL12B	0.1585462849230792
miR-191-5p	IKBKG	0.38891472776067815
miR-191-5p	RNY4-3p	0.7103949801450504
miR-191-5p	RNY4-5p	0.7421206027479519
miR-191-5p	CD40LG	0.36265610242641966
miR-191-5p	miR-223-3p	0.784063497559834
miR-24-3p	miR-126-3p	1.0043569254181905
miR-24-3p	miR-21-5p	0.6749108508872208
miR-24-3p	miR-93-5p	0.841719834925347
miR-24-3p	EGF	0.4063521125095022
miR-27b-3p	AGER	0.11199743112830784
miR-27b-3p	SULT1A1	0.21884737178028946
